Team,GP,AB,R,H,X2B,X3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS
Astros,162,5594,863,1496,299,14,221,834,2486,569,1222,53,0.267,0.339,0.444,0.783
BlueJays,162,5476,846,1455,285,13,262,816,2552,496,1218,81,0.266,0.330,0.466,0.797
RedSox,162,5495,829,1434,330,23,219,783,2467,512,1386,40,0.261,0.328,0.449,0.777
Nats,162,5385,724,1388,272,20,182,686,2246,573,1303,56,0.258,0.337,0.417,0.754
WhiteSox,162,5357,796,1373,275,22,190,757,2262,586,1389,57,0.256,0.336,0.422,0.758
Reds,162,5423,786,1352,295,13,222,756,2339,553,1425,36,0.249,0.328,0.431,0.759
Giants,162,5462,804,1360,271,25,241,768,2404,602,1461,66,0.249,0.329,0.440,0.769
Rockies,161,5374,739,1338,275,34,182,709,2227,491,1356,76,0.249,0.317,0.414,0.731
Royals,162,5427,686,1349,251,29,163,647,2147,421,1258,124,0.249,0.306,0.396,0.702
Angels,162,5437,723,1331,265,23,190,691,2212,464,1394,79,0.245,0.310,0.407,0.717
Dodgers,162,5445,830,1330,247,24,237,799,2336,613,1408,65,0.244,0.330,0.429,0.759
Braves,161,5363,790,1307,269,20,239,762,2333,549,1453,59,0.244,0.319,0.435,0.754
Cards,162,5351,706,1303,261,22,198,678,2202,478,1341,89,0.244,0.313,0.412,0.725
Rays,162,5507,857,1335,288,35,222,810,2359,585,1542,88,0.242,0.321,0.428,0.749
Padres,162,5384,729,1305,273,21,180,695,2160,586,1324,110,0.242,0.321,0.401,0.722
Tigers,162,5376,697,1299,236,37,179,675,2146,490,1514,88,0.242,0.308,0.399,0.707
Twins,162,5431,729,1311,271,17,228,690,2300,525,1405,54,0.241,0.314,0.423,0.738
Phillies,162,5366,734,1288,262,24,198,700,2192,564,1402,77,0.240,0.318,0.408,0.726
Orioles,162,5420,659,1296,266,15,195,632,2177,451,1454,54,0.239,0.304,0.402,0.705
Mets,162,5210,636,1242,228,18,176,604,2034,495,1392,54,0.238,0.314,0.390,0.705
Indians,162,5332,717,1269,248,22,203,686,2170,453,1387,109,0.238,0.303,0.407,0.710
Athletics,162,5395,743,1283,271,19,199,698,2189,545,1349,88,0.238,0.316,0.406,0.722
Yankees,162,5331,711,1266,213,12,222,666,2169,621,1482,63,0.237,0.322,0.407,0.729
Cubs,162,5306,705,1255,225,26,210,672,2162,502,1596,86,0.237,0.312,0.407,0.719
Pirates,162,5336,609,1261,240,35,124,570,1943,529,1328,60,0.236,0.309,0.364,0.673
Diamondbacks,162,5489,679,1297,308,31,144,644,2099,537,1465,43,0.236,0.309,0.382,0.692
Brewers,162,5362,738,1251,255,18,194,700,2124,586,1465,82,0.233,0.317,0.396,0.713
Marlins,162,5348,623,1244,226,23,158,594,1990,450,1553,106,0.233,0.298,0.372,0.671
Rangers,162,5405,625,1254,225,24,167,598,2028,433,1381,106,0.232,0.294,0.375,0.670
Mariners,162,5355,697,1209,233,11,199,673,2061,535,1492,64,0.226,0.303,0.385,0.688
