Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K/9,BB/9,FIP,WAR,RA9-WAR,ADP,playerid
Nathan Eovaldi,BOS,12,10,3.94,31,31,0,183,176,80,25,184,44,1.2,9.05,2.15,3.76,3.5,3.7,140.2,9132
Chris Sale,BOS,11,8,3.57,28,28,0,157,133,62,20,193,46,1.14,11.05,2.65,3.44,3.3,3.9,54.7,10603
Nick Pivetta,BOS,10,10,4.6,29,29,0,165,159,84,26,173,66,1.36,9.44,3.6,4.43,2,2.1,365.1,15454
Tanner Houck,BOS,8,7,4.05,18,46,0,125,115,56,15,134,46,1.29,9.71,3.33,3.87,1.8,2,207.1,19879
Michael Wacha,BOS,8,9,4.7,23,38,0,134,139,70,21,120,41,1.35,8.12,2.75,4.48,1.3,1.4,485.8,14078
Matt Barnes,BOS,4,3,3.59,0,66,11,66,54,26,7,86,29,1.24,11.72,3.9,3.45,0.9,0.9,277.6,12863
Garrett Whitlock,BOS,4,3,3.76,0,68,20,68,64,28,8,71,22,1.26,9.36,2.89,3.65,0.6,0.8,254.7,20191
James Paxton,BOS,3,3,4.18,8,8,0,44,41,21,6,46,15,1.28,9.45,3.04,4.08,0.6,0.8,577.3,11828
Rich Hill,BOS,6,7,5.12,19,19,0,104,109,59,18,90,39,1.43,7.8,3.39,5.01,0.5,0.8,413.9,4806
Josh Taylor,BOS,3,3,3.74,0,60,1,60,52,25,7,70,26,1.3,10.52,3.96,3.78,0.5,0.7,999,17359
Hirokazu Sawamura,BOS,3,3,4.27,0,56,0,56,51,27,7,61,28,1.41,9.75,4.44,4.23,0.2,0.3,589.6,27515
Kutter Crawford,BOS,2,2,4.28,2,24,0,31,29,15,5,33,11,1.28,9.48,3.08,4.15,0.2,0.3,999,20531
Darwinzon Hernandez,BOS,3,2,3.96,0,52,0,52,42,23,6,66,33,1.43,11.39,5.65,4.14,0.2,0.5,999,19848
Austin Davis,BOS,2,2,4.48,0,48,0,48,46,24,7,48,22,1.41,9.01,4.07,4.47,0.1,0.2,999,17117
