Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,#NAME?,#NAME?,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR,playerid
Danny Jansen,TOR,3,8,2,3,2,0,12.50%,0.00%,1,0.4,0.571,0.625,1.571,0.9,0.61,513,0.2,3.8,0.1,0.4,27,3,7,8,4,1,1,0,2,3,2,1,0,0,0,0,0,0,0,0,0.571,3,4,0,0,25,11,14,0,0,0,12.50%,0.00%,1,0.625,1.571,2.196,1,0.4,0.75,0.00%,42.90%,57.10%,0.00%,50.00%,0.00%,0.00%,0.9,3.6,4,3.6,-0.1,0.2,0.2,4.1,0.4,$3.50,1.6,513,0.16,-0.04,0.2,1.54,0.16,0.47,,0,0.42,-0.07,56.00%,94.4,32.00%,87,,,,,12.00%,81,,,,,,,3.3,-0.2,,,0.6,,,23.54,-2.73,,,21.07,,,16.70%,76.90%,48.00%,50.00%,100.00%,91.70%,52.00%,50.00%,4.00%,0.2,44.00%,,,,,12.00%,32.00%,,,,12.00%,,,,95,,,,,91.4,86.9,,,,81,,,-4.5,,,,,9.6,0.1,,,,8.8,,,9,,,,,-0.4,2.9,,,,4.5,,,3.5,,,,,-0.2,-0.2,,,,0.6,,,32.13,,,,,-7.97,-2.73,,,,21.07,,,16.70%,76.90%,48.00%,50.00%,100.00%,91.70%,52.00%,24.3,0.1,0,0.2,27 - 27,3.8,0,0,57.10%,14.30%,28.60%,14.30%,28.60%,57.10%,37.50%,12.00%,,,44.00%,,,,,12.00%,32.00%,,81.3,,,95.3,,,,,91.7,87.2,,8,,,-4.1,,,,,8.6,0.1,,3.6,,,8,,,,,-1.4,1.8,,0.6,,,3.5,,,,,-0.2,-0.2,,21.07,,,32.13,,,,,-7.97,-2.73,,18.20%,71.40%,48.00%,50.00%,100.00%,91.70%,56.00%,,-0.1,247,147,0,206,425,725,142,0,102,154,498,141,41,115,82,54,189,95.6,8.1,2,28.60%,105.4,4,57.10%,7,8.00%,12.00%,0.335,1.147,0.61,0.4,16535
Tucupita Marcano,PIT,1,2,0,1,0,0,0.00%,50.00%,0.5,1,0.5,0.5,1,0.648,0.233,331,0.1,0.6,1.5,0.2,22,1,2,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.5,0,1,0,0,10,4,6,0,0,0,0.00%,50.00%,0,0.5,1,1.5,0.5,1,0,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.648,0.5,1,0.5,1.5,0.1,0,2.2,0.2,$1.90,2.6,331,0.03,-0.01,0.04,0.68,0.07,0.54,0.59,1,0.04,0.01,80.00%,96.5,,,,,,,20.00%,90.5,,,,,,,-0.3,,,,0.8,,,-4.16,,,,42.01,,,16.70%,25.00%,20.00%,0.00%,100.00%,50.00%,40.00%,50.00%,10.00%,0.1,,,,,,80.00%,,,,,20.00%,,,,,,,,,96.4,,,,,90.3,,,,,,,,2.6,,,,,-8,,,,,,,,9.2,,,,,6.7,,,,,,,,-0.3,,,,,0.8,,,,,,,,-4.16,,,,,42.01,,,20.00%,20.00%,20.00%,0.00%,100.00%,50.00%,50.00%,22.5,1.5,0,0.1,22 - 22,0.6,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,50.00%,20.00%,,,,,,,,80.00%,,,90.7,,,,,,,,96.7,,,-7.7,,,,,,,,1.6,,,5.9,,,,,,,,8.7,,,0.8,,,,,,,,-0.3,,,42.01,,,,,,,,-4.16,,,25.00%,16.70%,20.00%,0.00%,100.00%,50.00%,60.00%,,,214,0,218,160,270,364,351,0,0,279,0,244,0,0,0,0,349,95.8,26.1,0,0.00%,95.8,1,100.00%,1,40.00%,50.00%,0.142,0.421,0.233,0.2,22871
Matt Reynolds,- - -,4,7,0,1,0,0,28.60%,14.30%,0.2,0.75,0.6,0.714,0.8,0.641,0.415,320,-0.1,1.6,-0.4,0.2,31,4,5,7,3,2,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0.6,2,1,1,0,32,16,16,0,0,0,28.60%,14.30%,2,0.714,0.8,1.514,0.2,0.75,2,25.00%,50.00%,25.00%,0.00%,0.00%,0.00%,0.00%,0.641,1.8,3,1.7,-0.4,0.2,0,1.4,0.2,$1.20,0.8,320,0.05,-0.05,0.1,1.16,0.11,0.6,1.31,1,0.17,-0.09,68.80%,92.9,12.50%,83.8,,,12.50%,79.8,6.30%,83.5,,,,,,,1.5,0,,0.2,0.1,,,6.68,0.66,,5.36,2.96,,,11.80%,46.70%,28.10%,50.00%,100.00%,88.90%,46.90%,42.90%,3.10%,-0.1,46.90%,,,,,21.90%,12.50%,12.50%,,,6.30%,,,,93.3,,,,,91.8,83.8,79.6,,,83.5,,,3.3,,,,,9.6,-2.6,-1.1,,,4.7,,,8.5,,,,,2.9,2.8,-4.2,,,4.4,,,0.4,,,,,1.2,0,0.2,,,0.1,,,2.33,,,,,16.43,0.66,5.36,,,2.96,,,5.60%,57.10%,28.10%,100.00%,87.50%,88.90%,43.80%,22.5,-0.4,0,-0.1,31 - 31,1.6,0,0,25.00%,25.00%,50.00%,0.00%,75.00%,25.00%,42.90%,6.30%,,6.30%,46.90%,6.30%,,,,21.90%,12.50%,,83.9,,80.7,93.6,84.2,,,,92.2,81.7,,4.1,,-4.1,2.7,-1.7,,,,8.8,-2.2,,4.3,,-5.4,7.9,4.1,,,,1.9,-1.9,,0.1,,-0.2,0.4,0.3,,,,1.2,0.1,,2.96,,-7.74,2.33,13.94,,,,16.43,2.92,,7.70%,42.10%,28.10%,100.00%,87.50%,88.90%,59.40%,,,257,312,62,229,216,146,263,127,112,70,0,61,72,205,0,143,87,93.3,15.6,0,0.00%,104.5,2,50.00%,4,21.90%,25.00%,0.31,0.39,0.415,0.2,13788
Rob Refsnyder,BOS,3,6,0,0,1,0,16.70%,0.00%,0.4,0.4,0.4,0.5,0.8,0.548,0.297,266,0,1.1,0.3,0.2,31,3,5,6,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0.4,3,0,2,0,16,6,10,0,0,0,16.70%,0.00%,1,0.5,0.8,1.3,0.4,0.4,3,40.00%,60.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.548,1.1,2,1.1,0.5,0.2,-0.3,1.6,0.2,$1.30,0.1,266,0.01,-0.04,0.05,1.38,0.15,0.44,0.06,1,0.07,-0.06,62.50%,95.8,6.30%,89,,,12.50%,75.5,6.30%,82,12.50%,87.5,,,,,0.8,0,,0.8,-0.2,-0.2,,8.13,3.43,,37.61,-15.98,-11.51,,33.30%,71.40%,50.00%,100.00%,80.00%,87.50%,43.80%,83.30%,6.30%,0,31.30%,,,,,31.30%,6.30%,12.50%,,,18.80%,,,,95.4,,,,,96.4,89,75.2,,,85.6,,,6.6,,,,,-10.8,-2.2,11.7,,,10.1,,,10.6,,,,,6.4,6.1,-3.4,,,7.4,,,0.5,,,,,0.3,0,0.8,,,-0.4,,,10.88,,,,,5.39,3.43,37.61,,,-13,,,28.60%,66.70%,50.00%,100.00%,83.30%,87.50%,56.30%,19.3,0.3,0,0,31 - 31,1.1,0,0,40.00%,20.00%,40.00%,20.00%,80.00%,0.00%,16.70%,18.80%,,12.50%,31.30%,,,,,31.30%,6.30%,,86.2,,75.3,96,,,,,97,89.5,,9.4,,12.3,6,,,,,-9.7,-1.3,,6,,-5.4,9.4,,,,,5.5,4.7,,-0.4,,0.8,0.5,,,,,0.3,0,,-13,,37.61,10.88,,,,,5.39,3.43,,28.60%,66.70%,50.00%,100.00%,83.30%,87.50%,56.30%,,,173,196,0,165,216,290,142,190,143,0,,98,58,161,115,153,0,76.4,-2.6,0,0.00%,85.2,0,0.00%,5,12.50%,18.80%,0.233,0.263,0.297,0.1,13770
Taylor Ward,LAA,15,67,5,16,13,1,17.90%,17.90%,0.364,0.447,0.4,0.507,0.764,0.543,0.456,267,-0.6,11.4,-0.2,1.4,28,15,55,67,22,13,3,1,5,16,13,12,0,12,0,0,0,1,1,2,0.4,19,16,8,0,271,115,156,2,0,0,17.90%,17.90%,1,0.507,0.764,1.271,0.364,0.447,1.19,18.60%,44.20%,37.20%,0.00%,31.30%,10.50%,0.00%,0.543,12,19,12.1,0.5,2,-0.7,13.4,1.4,$11.60,5.5,267,0.71,-0.82,1.53,9.03,0.98,0.92,,0,1.12,-0.35,46.10%,93.4,26.20%,83.9,6.30%,87.9,10.70%,80.3,10.30%,82.8,0.40%,90,,,,,0.8,7.3,2.2,0.7,0.9,0,,0.62,10.27,13.17,2.33,3.27,1.42,,20.10%,67.00%,39.50%,65.60%,86.70%,80.40%,41.30%,58.20%,7.70%,-0.6,33.90%,,9.60%,0.40%,,12.50%,22.90%,6.60%,4.10%,,10.00%,,,,93.8,,86.7,89.8,,91.9,83.7,78.9,82.5,,82.5,,,-3.2,,1.5,-8.8,,2.2,2.6,0.1,1.6,,4.5,,,10.6,,2.4,4.2,,6.1,1,-6.1,-6.5,,4,,,1.1,,5.1,0,,0.1,4.5,0.9,-0.2,,0.4,,,1.22,,19.47,1.42,,0.27,7.21,5.12,-2.24,,1.65,,,18.50%,58.90%,39.50%,54.20%,88.00%,80.40%,52.00%,23,-0.2,-0.6,0.1,28 - 28,11.4,0.2,-0.1,44.20%,34.90%,20.90%,16.30%,48.80%,34.90%,43.30%,10.00%,,11.40%,34.70%,5.50%,0.40%,,,11.80%,26.20%,,83,,81,94.3,87.8,89.9,,,92.3,84.5,,4.1,,0.7,-3,1.3,-8.1,,,2.4,2.8,,3,,-6.6,9.6,2.2,2.6,,,4.6,0.3,,0.4,,0.8,1.3,1.2,0,,,0,8.2,,1.65,,2.61,1.34,7.67,1.42,,,-0.14,11.62,,18.60%,58.50%,39.50%,54.20%,88.00%,80.40%,52.40%,,,173,210,78,167,207,263,159,88,106,100,311,109,101,84,94,93,116,86.7,11.6,7,16.30%,106.5,16,37.20%,43,17.70%,25.50%,0.337,0.627,0.456,1.4,17548
Mike Trout,LAA,19,81,6,17,11,0,18.50%,16.00%,0.422,0.356,0.344,0.481,0.766,0.526,0.53,255,-1.4,12.2,1.5,1.8,30,19,64,81,22,8,7,1,6,17,11,15,1,13,2,0,0,1,0,0,0.344,12,30,9,1,362,157,205,2,0,0,18.50%,16.00%,1.15,0.481,0.766,1.247,0.422,0.356,0.4,17.60%,23.50%,58.80%,3.30%,20.00%,16.70%,0.00%,0.526,13.5,22,13.6,1.3,2.4,0.1,16.3,1.8,$14.10,4,255,1.2,-0.93,2.13,11.39,1.25,0.87,,0,1.77,-0.38,55.80%,93.4,26.80%,85.3,3.90%,88,6.40%,80.6,6.60%,84.8,0.60%,87,,,1.10%,,7,2,1.8,1.1,1.6,-0.1,,3.48,2.04,12.77,4.83,6.87,-7.22,,22.20%,64.40%,37.60%,68.60%,84.70%,78.70%,36.50%,49.40%,8.00%,-1.4,40.60%,,6.40%,0.80%,,15.20%,23.80%,5.50%,1.40%,,6.40%,,,,93.5,,88.2,86,,92.7,85,80.1,83.2,,84.8,,,-1.8,,1.7,-7.1,,-2.4,1.6,0.1,1.1,,1.4,,,10.4,,3.7,1.8,,6,1.3,-4.6,-6.1,,4.1,,,5.2,,1.6,-0.1,,1.9,2,1.3,-0.1,,1.6,,,3.52,,7.17,-4.81,,3.51,2.29,6.66,-1.3,,7.16,,,18.20%,59.40%,37.60%,60.00%,85.10%,78.70%,47.00%,23.4,1.5,-0.1,-1,30 - 30,12.2,0.2,-0.3,45.10%,25.50%,29.40%,13.70%,52.90%,33.30%,42.00%,5.20%,,6.10%,40.60%,3.90%,0.80%,,,14.90%,26.20%,2.20%,84.9,,81,94,88.4,86.6,,,93.1,85.8,88.3,3.3,,0.1,-1.6,1.5,-6.3,,,-2.3,1.7,-4.8,2.7,,-6.1,9.5,3,1.2,,,4.8,0.4,3,1.7,,1.1,4.4,1.7,-0.1,,,2.4,2.3,0,8.96,,5.07,3.01,12.3,-4.81,,,4.47,2.44,-0.49,17.90%,59.30%,37.60%,61.80%,84.30%,78.70%,47.50%,,,148,217,70,159,207,306,126,84,56,159,199,111,74,118,79,101,110,91.4,22.7,14,27.50%,112.9,24,47.10%,51,19.10%,27.10%,0.335,0.861,0.53,1.7,10155
Nick Ahmed,ARI,7,23,3,4,4,0,0.00%,26.10%,0.478,0.357,0.348,0.348,0.826,0.511,0.286,235,0,3.5,1.4,0.6,32,7,23,23,8,3,2,0,3,4,4,0,0,6,0,0,0,0,0,0,0.348,9,6,2,0,86,25,61,0,0,0,0.00%,26.10%,0,0.348,0.826,1.174,0.478,0.357,1.5,11.80%,52.90%,35.30%,0.00%,50.00%,0.00%,0.00%,0.511,3.6,6,3.5,1.1,0.7,0.3,5.7,0.6,$4.90,0.8,235,0.26,-0.35,0.61,2.65,0.3,0.86,,0,0.48,-0.17,52.30%,94.1,22.10%,86.5,5.80%,90,4.70%,77,9.30%,85.6,5.80%,82.2,,,,,2,1.1,0.5,0.1,0,0,,4.5,5.71,9.55,1.26,0.19,0.51,,28.60%,70.50%,50.00%,50.00%,96.80%,83.70%,51.20%,60.90%,8.10%,0,33.70%,,5.80%,5.80%,,17.40%,22.10%,4.70%,,,10.50%,,,,94.3,,89.9,82,,93.9,86.6,77.1,,,86,,,-2.2,,0,3.7,,-5.1,2.3,-2.4,,,0,,,9.1,,4,2.7,,5.7,1.6,-5.3,,,3.7,,,1.5,,0.6,0,,0.5,1.1,0.1,,,0.1,,,5.21,,11.61,0.51,,3.09,5.71,1.26,,,0.73,,,28.10%,63.00%,50.00%,44.40%,94.10%,83.70%,62.80%,24.4,1.4,0,0,32 - 32,3.5,0.1,0,64.70%,23.50%,11.80%,17.60%,52.90%,29.40%,39.10%,9.30%,,2.30%,33.70%,7.00%,7.00%,,,17.40%,23.30%,,85.5,,74.4,94.3,89.8,83.2,,,94.1,85.9,,1.8,,5.1,-1.5,0.4,1.9,,,-4.3,2.4,,2.2,,-10.7,8.1,3.9,2.3,,,4.6,-0.1,,0,,0.1,1.5,0.6,0.1,,,0.5,1.1,,0.19,,2.96,5.21,9.69,1.26,,,3.09,5.38,,26.50%,65.40%,50.00%,44.40%,94.10%,83.70%,60.50%,,,149,0,114,112,223,348,125,60,119,98,493,158,68,48,94,101,103,88.4,3.6,2,11.80%,104.9,7,41.20%,17,19.80%,27.90%,0.233,0.454,0.286,0.6,12147
Travis Demeritte,ATL,8,27,2,6,2,0,11.10%,25.90%,0.333,0.467,0.375,0.444,0.708,0.5,0.363,227,0.2,4,0.4,0.6,27,8,24,27,9,5,2,0,2,6,2,3,0,7,0,0,0,0,0,0,0.375,9,5,3,0,101,36,65,1,0,0,11.10%,25.90%,0.43,0.444,0.708,1.153,0.333,0.467,1.8,17.60%,52.90%,29.40%,0.00%,40.00%,11.10%,0.00%,0.5,4,7,3.8,0.7,0.8,-0.3,5.3,0.6,$4.60,2,227,0.25,-0.29,0.54,2.86,0.31,0.79,1.26,1,0.43,-0.11,53.50%,94,26.70%,84.2,5.90%,90.2,5.90%,79.8,7.90%,83.8,,,,,,,0,1.7,1.6,-0.3,1.1,,,0,6.4,27.02,-5.4,13.54,,,28.00%,66.70%,47.50%,71.40%,73.50%,72.90%,50.50%,77.80%,12.90%,0.2,37.60%,,9.90%,,,15.80%,22.80%,5.00%,1.00%,,7.90%,,,,94,,89.2,,,93.7,83.5,79,83,,83.7,,,3.5,,1.7,,,-7.4,4.3,3,-2.7,,1.9,,,9.6,,3.4,,,4.6,0.2,-6.1,-8.1,,2.4,,,-0.9,,3.5,,,0.9,-0.3,-0.4,0,,1.1,,,-2.26,,35.42,,,5.35,-1.49,-7.24,3.83,,13.54,,,22.00%,65.00%,47.50%,66.70%,74.40%,72.90%,59.40%,22.3,0.4,0,0.1,27 - 27,4,0.1,0.1,35.30%,23.50%,41.20%,5.90%,58.80%,35.30%,44.40%,7.90%,,5.90%,39.60%,6.90%,,,,15.80%,23.80%,,83.8,,79.6,94,87.6,,,,93.8,83.9,,1.7,,2.3,3,1.9,,,,-7.2,4.6,,1.1,,-7.8,8.4,1.9,,,,3.6,-0.4,,1.1,,-0.3,-0.9,3.1,,,,0.9,0.1,,13.54,,-5.4,-2.16,43.94,,,,5.35,0.54,,23.30%,65.50%,47.50%,70.00%,73.70%,72.90%,57.40%,,,161,121,113,143,191,243,164,90,119,82,394,86,68,169,31,112,123,90,11.4,3,17.60%,107.6,7,41.20%,17,16.80%,29.70%,0.27,0.499,0.363,0.5,15958
Garrett Stubbs,PHI,5,11,0,0,1,0,9.10%,18.20%,0.3,0.5,0.4,0.455,0.7,0.495,0.393,225,0.1,1.6,0.2,0.2,29,5,10,11,4,2,1,1,0,0,1,1,0,2,0,0,0,0,0,0,0.4,2,3,2,0,46,16,30,0,1,1,9.10%,18.20%,0.5,0.455,0.7,1.155,0.3,0.5,0.67,28.60%,28.60%,42.90%,0.00%,0.00%,0.00%,100.00%,0.495,1.6,3,1.5,0,0.3,0.2,2.2,0.2,$1.90,2.6,225,0.18,-0.07,0.25,2.44,0.27,0.57,,0,0.26,0.06,50.00%,92.8,28.30%,82,2.20%,90,2.20%,80,17.40%,85.3,,,,,,,0.4,1.5,0,0,-0.3,,,1.6,11.7,3.07,3.07,-3.4,,,32.00%,57.10%,43.50%,87.50%,83.30%,85.00%,45.70%,54.50%,6.50%,0.1,39.10%,,2.20%,,,10.90%,28.30%,2.20%,,,17.40%,,,,92.6,,89.9,,,93.5,81.9,79.8,,,85.1,,,-3.7,,-1,,,-9.8,5.2,8.4,,,-8.9,,,9.3,,9.4,,,6.1,-0.5,-2.8,,,3,,,0,,0,,,0.3,1.5,0,,,-0.3,,,0.11,,3.07,,,6.98,11.7,3.07,,,-3.4,,,31.60%,51.90%,43.50%,83.30%,85.70%,85.00%,58.70%,23.7,0.2,0,0,29 - 29,1.6,0,0.1,75.00%,12.50%,12.50%,37.50%,37.50%,25.00%,27.30%,17.40%,,2.20%,39.10%,2.20%,,,,10.90%,28.30%,,85.2,,79.7,92.9,90.5,,,,94.1,82.1,,-8.1,,9.4,-3.2,0.1,,,,-9.1,6.1,,1.6,,-4.5,8.3,7.9,,,,5.1,-1.6,,-0.3,,0,0,0,,,,0.3,1.5,,-3.4,,3.07,0.11,3.07,,,,6.98,11.7,,28.60%,56.00%,43.50%,83.30%,85.70%,85.00%,54.30%,,0,171,99,79,146,189,219,175,145,64,119,0,183,36,51,200,71,87,80.9,14.4,0,0.00%,97.9,2,25.00%,8,21.70%,28.30%,0.328,0.524,0.393,0.2,18067
Alfonso Rivas III,CHC,9,25,1,4,6,0,16.00%,20.00%,0.19,0.533,0.429,0.52,0.619,0.493,0.355,224,-0.5,2.9,0.2,0.4,25,9,21,25,9,7,1,0,1,4,6,4,1,5,0,0,0,0,0,0,0.429,9,3,4,0,95,37,58,0,0,0,16.00%,20.00%,0.8,0.52,0.619,1.139,0.19,0.533,3,25.00%,56.30%,18.80%,0.00%,33.30%,0.00%,0.00%,0.493,3.5,6,3.5,0.7,0.7,-0.5,4,0.4,$3.40,1.1,224,0.32,-0.19,0.5,6.48,0.68,0.88,1.65,3,0.34,0.02,43.20%,91.6,8.40%,83,12.60%,92.8,18.90%,81.1,16.80%,86.3,,,,,1.10%,,1.5,-0.2,1.9,-0.5,1,,,3.72,-3,16.15,-2.57,6.48,,,19.60%,65.90%,41.10%,40.00%,96.60%,82.10%,46.30%,56.00%,7.40%,-0.5,28.40%,,12.60%,,,14.70%,7.40%,18.90%,2.10%,,15.80%,,,,90.5,,92.7,,,93.5,83.3,80.7,84.7,,86.6,,,-5.3,,1.1,,,-6.5,0.6,4.4,3,,-7.6,,,8.3,,6.2,,,5.4,0,-3.7,-0.6,,3.6,,,1.2,,1.9,,,0.3,-0.1,-0.5,-0.1,,1,,,4.53,,16.15,,,2.16,-1.14,-2.55,-7.28,,6.57,,,15.90%,62.70%,41.10%,28.60%,93.80%,82.10%,53.70%,21.6,0.2,0,-0.6,25 - 25,2.9,0.1,0.1,37.50%,37.50%,25.00%,12.50%,68.80%,18.80%,40.00%,16.80%,,20.00%,28.40%,9.50%,,,,14.70%,10.50%,,86.7,,81.4,90.7,93.2,,,,93.7,86.1,,-7.1,,4.8,-5.1,1.6,,,,-6.4,0.9,,2.1,,-4.6,7.4,5.9,,,,4.2,0.1,,1,,-0.6,1.2,2.2,,,,0.3,-0.4,,6.25,,-3.25,4.53,24.76,,,,2.16,-3.7,,16.30%,61.50%,41.10%,28.60%,93.80%,82.10%,54.70%,,,184,175,87,167,167,139,187,127,127,52,328,92,108,103,67,131,65,87.7,3.9,1,6.30%,105,5,31.30%,16,20.00%,27.40%,0.281,0.447,0.355,0.4,21560
