Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,playerid
Kevin Gausman,TOR,2,1,0,5,5,31.2,11.65,0,0,0.383,71.00%,41.30%,0.00%,94.7,2.27,2.64,0.5,1.58,1.9,14107
Carlos Rodon,SFG,3,0,0,4,4,23,14.87,3.13,0,0.268,85.00%,34.10%,0.00%,96.3,1.17,1.74,0.96,2.21,1.2,16137
Joe Musgrove,SDP,4,0,0,5,5,32,9.28,0.56,0.56,0.294,73.50%,44.70%,7.70%,92.4,1.97,2.29,2.12,2.37,1.1,12970
Michael King,NYY,2,0,1,7,0,14.2,13.5,1.84,0,0.345,84.60%,48.30%,0.00%,95.7,0.61,2.18,0.7,1.15,1.1,19853
Kyle Wright,ATL,3,0,0,4,4,24,12.75,2.25,0,0.286,87.00%,52.10%,0.00%,95.4,1.13,1.86,1.38,2.14,1,19665
Pablo Lopez,MIA,3,0,0,4,4,23.1,8.87,1.54,0,0.224,94.10%,44.80%,0.00%,93,0.39,2.22,1.63,2.59,0.9,17085
Merrill Kelly,ARI,2,1,0,5,5,28.1,8.26,2.22,0,0.275,86.70%,46.30%,0.00%,92.4,1.27,3.42,2.1,3.35,0.9,11156
Tarik Skubal,DET,1,2,0,4,4,20.2,8.71,1.31,0,0.338,52.00%,50.80%,0.00%,94.5,3.05,2.85,1.59,2.73,0.9,22267
Nestor Cortes,NYY,1,0,0,4,4,20.2,12.19,1.31,0.44,0.304,84.30%,31.90%,5.00%,90.4,1.31,1.66,1.44,2.08,0.9,17874
Clayton Kershaw,LAD,3,0,0,4,4,23,11.74,0.78,0.78,0.24,77.50%,48.10%,11.10%,90.9,2.35,1.75,2,1.9,0.9,2036
Max Fried,ATL,2,2,0,4,4,24,7.88,0.38,0.38,0.29,66.40%,55.10%,5.60%,94.9,3,2.89,2.25,2.7,0.8,13743
Tyler Mahle,CIN,1,3,0,5,5,22.1,9.67,4.43,0,0.388,54.10%,35.80%,0.00%,93.5,6.45,2.85,2.42,4,0.8,16358
Paul Blackburn,OAK,3,0,0,4,4,20,8.1,0.9,0,0.264,81.30%,56.60%,0.00%,92.5,1.35,2.72,1.59,2.24,0.7,14739
Tylor Megill,NYM,4,0,0,5,5,28,8.68,1.93,0.64,0.222,84.90%,44.40%,8.30%,95.8,1.93,2.8,2.73,2.93,0.7,21318
Corbin Burnes,MIL,1,1,0,5,5,32.2,11.85,1.93,1.1,0.2,93.10%,46.40%,16.70%,,1.93,2.27,2.87,2.25,0.7,19361
Shohei Ohtani,LAA,2,2,0,4,4,19.1,13.97,2.33,0.93,0.326,65.90%,35.60%,12.50%,97.5,4.19,2.64,2.1,1.85,0.7,19755
Dylan Cease,CHW,2,1,0,4,4,22,11.45,4.09,0.41,0.283,73.20%,50.90%,5.60%,96.6,3.27,1.72,2.5,2.98,0.7,18525
Zach Eflin,PHI,1,2,0,5,5,24,6.75,1.88,0.38,0.325,55.60%,44.90%,3.80%,93.7,4.5,2.64,2.88,3.76,0.7,13774
Miles Mikolas,STL,1,1,0,5,5,29.2,7.58,1.21,0.61,0.229,90.90%,45.90%,6.10%,93.1,1.52,2.2,2.89,3.47,0.6,9803
Eric Lauer,MIL,2,0,0,4,4,23.1,13.11,1.93,1.16,0.294,90.40%,28.80%,12.00%,94.1,1.93,2.8,2.49,2.22,0.6,19316
Patrick Sandoval,LAA,1,0,0,3,3,15,12,3.6,0,0.265,86.70%,27.30%,0.00%,93.4,0,1.8,1.62,3.02,0.6,19447
Martin Perez,TEX,0,2,0,4,4,21,6.86,2.14,0,0.267,65.20%,55.00%,0.00%,93,3,2.1,2.56,3.63,0.6,6902
Logan Webb,SFG,3,1,0,5,5,30.1,5.93,1.78,0.3,0.323,74.50%,61.60%,4.80%,92.6,3.26,2.82,2.79,3.27,0.6,17995
Max Scherzer,NYM,4,0,0,5,5,31,12.19,2.61,1.16,0.197,83.30%,34.40%,13.30%,94.2,2.61,2.6,3.02,2.62,0.6,3137
Bruce Zimmermann,BAL,1,1,0,4,4,19.1,9.78,2.79,0.47,0.308,74.10%,43.10%,6.70%,90.8,0.93,3.61,2.52,2.86,0.6,20370
Jesus Luzardo,MIA,2,1,0,4,4,20.1,12.39,3.98,0.44,0.273,68.00%,35.60%,6.30%,97.3,3.1,2.72,2.3,2.69,0.6,19959
Walker Buehler,LAD,3,1,0,5,5,29.2,7.89,2.12,0.61,0.286,87.00%,40.00%,6.10%,95.3,2.12,3.49,3.12,3.7,0.6,19374
Logan Gilbert,SEA,4,0,0,5,5,28,8.68,2.57,0.64,0.225,99.20%,37.00%,7.10%,95.7,0.64,3.33,3.05,3.44,0.6,22250
Triston McKenzie,CLE,1,2,0,5,4,23.1,9.26,2.7,0.39,0.271,78.10%,34.50%,3.60%,92.8,2.7,3.01,2.87,3.89,0.6,18000
Shane McClanahan,TBR,1,2,0,5,5,27,14,2.33,1.33,0.302,80.40%,56.10%,26.70%,97.5,3,2.87,2.79,1.59,0.6,21483
Chris Paddack,MIN,0,2,0,3,3,14.2,7.98,0.61,0,0.356,66.70%,51.20%,0.00%,93.5,3.68,2.12,1.72,2.8,0.6,20099
Shane Bieber,CLE,1,1,0,5,5,29.1,8.9,1.84,0.92,0.25,79.80%,39.00%,9.70%,91.4,2.45,3.87,3.05,3.11,0.6,19427
Adrian Houser,MIL,2,2,0,4,4,21.1,6.75,4.22,0,0.246,76.00%,39.30%,0.00%,94.7,2.53,3.95,2.99,4.29,0.6,12718
Joe Ryan,MIN,3,1,0,4,4,23,9.78,2.35,0.78,0.163,98.60%,36.70%,7.70%,92.4,1.17,2.64,2.96,3.31,0.6,21390
Steven Matz,STL,2,1,0,4,4,17.2,11.72,2.55,0.51,0.462,62.90%,37.70%,11.10%,,6.11,4.36,2.07,2,0.6,13361
Justin Verlander,HOU,2,1,0,4,4,26,9.69,1.38,1.04,0.19,94.60%,36.70%,10.70%,95.2,1.73,2.47,3.01,2.92,0.6,8700
Garrett Whitlock,BOS,1,1,1,6,2,16.2,10.8,2.16,0.54,0.205,94.80%,42.50%,6.70%,96.2,0.54,1.77,2.19,2.59,0.6,20191
Keegan Thompson,CHC,2,0,0,5,0,16.2,9.18,2.7,0,0.237,93.30%,57.90%,0.00%,94.2,0.54,1.89,2.13,3.07,0.5,19795
Brandon Woodruff,MIL,2,1,0,4,4,18.2,9.16,3.86,0,0.315,59.30%,42.30%,0.00%,96.2,5.3,3.12,2.66,4.28,0.5,16162
Michael Kopech,CHW,0,0,0,4,4,19,8.53,4.26,0,0.2,78.90%,28.90%,0.00%,95.8,1.42,2.72,2.77,4.64,0.5,17282
Zac Gallen,ARI,0,0,0,3,3,15,8.4,2.4,0,0.162,90.90%,40.50%,0.00%,94.3,0.6,1.98,2.22,3.88,0.5,19291
Alek Manoah,TOR,4,0,0,4,4,25,9,2.52,0.72,0.21,94.10%,34.40%,6.30%,94.3,1.44,2.13,3.09,3.73,0.5,26410
Dylan Bundy,MIN,3,1,0,4,4,21.1,8.02,1.27,0.84,0.25,75.60%,48.40%,9.10%,89.7,2.95,2.27,2.95,3.08,0.5,12917
Josh Hader,MIL,0,0,10,10,0,9.1,14.46,3.86,0,0.133,100.00%,46.70%,0.00%,,0,1.94,1.16,2.14,0.5,14212
Ross Stripling,TOR,0,0,0,5,3,15,7.2,2.4,0,0.283,64.70%,52.20%,0.00%,92.2,3.6,3.06,2.29,3.25,0.5,13273
Trevor Stephan,CLE,2,0,0,10,0,10.2,10.13,0,0,0.167,75.00%,54.20%,0.00%,96.7,0,0.89,0.84,1.94,0.5,19932
Chris Bassitt,NYM,3,1,0,4,4,24,9.75,2.63,0.75,0.232,84.90%,45.60%,8.70%,92.5,2.25,3.12,3.13,3.3,0.5,12304
Noah Syndergaard,LAA,2,0,0,3,3,17,5.82,2.12,0,0.2,75.00%,58.00%,0.00%,95.2,2.12,2.12,2.85,4.16,0.5,11762
Andrew Heaney,LAD,1,0,0,2,2,10.1,13.94,2.61,0,0.2,87.50%,45.00%,0.00%,91.7,0,2,1.15,2.04,0.5,15423
Jorge Lopez,BAL,2,1,4,10,0,11.1,11.12,4.76,0,0.231,83.30%,61.50%,0.00%,97.7,1.59,1.8,2.21,2.9,0.5,14527
Freddy Peralta,MIL,0,1,0,4,4,18,11.5,4,0.5,0.333,63.60%,39.10%,5.60%,93.3,5,3.92,2.75,3.34,0.5,18679
J.P. Feyereisen,TBR,1,0,0,8,2,10.1,9.58,0.87,0,0.091,100.00%,36.40%,0.00%,93.1,0,1.97,1.25,2.9,0.5,16610
Carlos Carrasco,NYM,1,1,0,4,4,22,9.41,1.64,0.82,0.254,59.40%,41.70%,8.30%,93.2,4.09,2.76,3,3.25,0.4,6632
Brad Boxberger,MIL,1,0,0,9,0,7.2,7.04,1.17,0,0.304,75.00%,43.50%,0.00%,93.7,2.35,3.52,1.91,2.94,0.4,10133
Brad Keller,KCR,0,2,0,4,4,24.2,6.2,1.82,0.73,0.182,74.10%,55.90%,10.00%,94.2,2.19,2.91,3.37,3.38,0.4,15734
Ryan Helsley,STL,0,0,1,7,0,8.1,17.28,0,0,0.1,100.00%,50.00%,0.00%,99.4,0,0.16,-0.75,-0.12,0.4,18138
Jordan Romano,TOR,1,1,11,13,0,12.1,10.22,1.46,0.73,0.267,83.30%,36.70%,11.10%,96.7,1.46,4.3,2.36,2.26,0.4,16122
A.J. Minter,ATL,0,0,0,9,0,8.2,14.54,2.08,0,0.294,62.50%,17.60%,0.00%,96.3,3.12,1.56,0.9,2.71,0.4,18655
MacKenzie Gore,SDP,2,0,0,3,3,15.1,11.74,3.52,0.59,0.314,90.40%,44.40%,8.30%,95.5,1.76,3.01,2.5,2.68,0.4,22201
Sean Manaea,SDP,2,2,0,5,5,30,9,3.3,0.9,0.234,68.30%,40.00%,8.60%,,3.6,3.52,3.49,3.72,0.4,15873
Frankie Montas,OAK,2,2,0,5,5,29.2,9.4,2.43,1.21,0.233,61.50%,46.80%,16.00%,96.1,4.25,2.8,3.66,3.01,0.4,14309
Eduardo Rodriguez,DET,0,2,0,5,5,25.1,8.17,2.84,1.07,0.286,38.20%,34.20%,9.40%,92.5,5.33,4.33,3.76,3.88,0.4,13164
David Robertson,CHC,1,0,5,9,0,10,12.6,4.5,0,0.059,100.00%,52.90%,0.00%,,0,1.69,1.79,2.71,0.4,8241
Victor Arano,WSN,0,0,0,12,0,11.1,11.91,2.38,0,0.393,60.00%,55.60%,0.00%,93.9,4.76,2.15,1.5,2.19,0.4,15915
Austin Gomber,COL,1,2,0,4,4,21,8.57,3,0.86,0.293,64.70%,43.10%,8.70%,91.1,3.86,3.61,3.42,3.62,0.4,16561
Jeffrey Springs,TBR,1,0,0,8,1,9.2,11.17,2.79,0,0.227,87.50%,47.60%,0.00%,92.1,0.93,1.24,1.54,2.62,0.4,17677
Tanner Houck,BOS,2,1,0,5,3,18.2,8.2,4.82,0,0.277,79.20%,38.30%,0.00%,95.4,2.41,4.25,3.03,4.02,0.4,19879
Jalen Beeks,TBR,1,0,0,5,0,9.1,12.54,2.89,0,0.235,100.00%,47.10%,0.00%,95.1,0,2.57,1.27,1.97,0.4,17192
Hector Neris,HOU,1,1,0,12,0,11,9,0.82,0,0.214,87.50%,21.40%,0.00%,94.3,0.82,2.74,1.63,3.54,0.4,11804
Erik Swanson,SEA,0,0,0,9,0,9.2,12.1,0.93,0,0.304,100.00%,30.40%,0.00%,94.1,0,1.56,0.71,2.2,0.4,16587
Chad Kuhl,COL,3,0,0,4,4,23.2,6.46,2.66,0.76,0.177,87.20%,45.30%,9.10%,94.3,1.9,2.87,3.64,3.76,0.4,14975
Kyle Freeland,COL,1,3,0,5,5,26,7.27,2.42,1.04,0.329,64.20%,50.60%,13.60%,91.2,4.85,4.28,4.13,3.74,0.4,16256
Dillon Tate,BAL,0,1,0,10,0,11,6.55,0.82,0,0.2,57.10%,53.30%,0.00%,,2.45,3.37,1.91,2.62,0.3,17796
John Means,BAL,0,0,0,2,2,8,7.88,2.25,0,0.32,70.00%,40.00%,0.00%,92.3,3.38,3.59,2.09,3.56,0.3,16269
Trevor Rogers,MIA,1,3,0,4,4,17.2,7.13,4.58,0,0.302,52.00%,44.20%,0.00%,94.6,5.09,3.12,3.03,4.07,0.3,22286
Tyler Anderson,LAD,2,0,0,4,2,17.2,7.64,2.04,0.51,0.25,79.50%,43.80%,5.90%,90.5,2.55,2.78,3.14,3.67,0.3,12880
Brock Burke,TEX,2,0,0,7,0,11.2,15.43,2.31,0.77,0.391,77.60%,33.30%,11.10%,95.1,2.31,2.66,1.54,1.44,0.3,17968
Kendall Graveman,CHW,0,1,1,10,0,11.1,10.32,3.18,0,0.276,66.70%,60.70%,0.00%,96.2,1.59,1.78,1.85,2.66,0.3,15514
Jordan Montgomery,NYY,0,1,0,4,4,20,6.75,2.25,0.45,0.224,77.70%,44.60%,4.50%,92.3,2.7,2.99,3.44,4.23,0.3,16511
Adam Wainwright,STL,2,3,0,5,5,27,8.67,4,0.67,0.368,76.50%,53.80%,10.00%,88.5,4,4.33,3.46,3.47,0.3,2233
Antonio Senzatela,COL,2,1,0,4,4,19.2,2.75,1.37,0.46,0.421,73.00%,42.70%,5.30%,94,3.66,5.96,3.75,4.36,0.3,15488
Wil Crowe,PIT,1,1,1,8,0,15.2,9.77,2.87,0,0.25,81.30%,48.70%,0.00%,94.8,1.15,1.89,2.07,3.07,0.3,19800
Yu Darvish,SDP,2,1,0,5,5,26.1,8.54,3.42,0.68,0.264,66.20%,40.50%,7.70%,95.1,4.44,3.19,3.54,3.85,0.3,13074
Tony Gonsolin,LAD,1,0,0,4,4,17,6.88,4.24,0,0.245,81.00%,53.10%,0.00%,93.4,1.59,2.62,3.15,4.23,0.3,19388
Clay Holmes,NYY,1,0,2,11,0,10.2,9.28,1.69,0,0.25,90.00%,82.10%,0.00%,97.8,0.84,1.24,1.87,2.11,0.3,13649
Corey Kluber,TBR,1,1,0,4,4,20.2,7.84,2.18,0.87,0.298,81.10%,42.40%,8.70%,90.8,3.05,4.3,3.47,3.68,0.3,2429
Gerrit Cole,NYY,2,0,0,5,5,24,10.13,3.75,1.13,0.254,84.70%,40.30%,14.30%,97.5,3,3.52,3.84,3.36,0.3,13125
Josiah Gray,WSN,3,2,0,5,5,26,10.73,4.85,1.04,0.288,84.40%,25.00%,10.70%,93.6,3.12,3.64,3.93,3.85,0.3,24580
Chris Flexen,SEA,1,3,0,4,4,24,5.63,2.25,0.75,0.274,75.40%,39.70%,6.70%,92,3.38,4.87,3.67,4.23,0.3,13896
Kenley Jansen,ATL,0,0,6,9,0,9,12,2,0,0.167,40.00%,27.80%,0.00%,,3,1.18,1.09,2.69,0.3,3096
Dane Dunning,TEX,1,1,0,5,5,26,9,2.77,1.04,0.301,77.20%,50.00%,16.70%,,3.81,4,3.63,3.03,0.3,19409
Alex Cobb,SFG,1,1,0,3,3,10,12.6,4.5,0,0.452,42.10%,73.30%,0.00%,,5.4,1.46,1.79,2.57,0.3,6562
Lucas Giolito,CHW,0,1,0,3,3,14,14.14,3.86,1.29,0.357,92.10%,33.30%,15.40%,93.6,2.57,3.37,3.09,2.45,0.3,15474
Taylor Rogers,SDP,0,0,9,10,0,9.2,9.31,0.93,0,0.182,100.00%,50.00%,0.00%,94.3,0,4.08,1.64,2.59,0.3,13449
Scott Effross,CHC,0,0,0,10,0,10,10.8,0.9,0,0.292,75.00%,50.00%,0.00%,91.1,1.8,1.43,0.99,2.04,0.3,18384
Michael Fulmer,DET,1,0,1,9,0,9.1,7.71,1.93,0,0.136,100.00%,36.40%,0.00%,94.6,0,1.68,2.02,3,0.3,13218
Drew Rasmussen,TBR,1,1,0,4,4,18,9,2,1,0.245,74.10%,39.20%,11.80%,96.4,3.5,4.11,3.37,3.16,0.3,25385
Zack Greinke,KCR,0,1,0,4,4,22,2.45,1.23,0.41,0.267,77.20%,38.70%,3.70%,89,2.86,6,3.81,4.83,0.3,1943
Jeff Hoffman,CIN,0,0,0,8,0,12.2,7.82,2.84,0,0.316,75.00%,31.60%,0.00%,94.9,2.13,2.55,2.3,4.47,0.3,17432
Chasen Shreve,NYM,1,0,0,8,0,9,14,2,0,0.25,66.70%,50.00%,0.00%,90.3,2,2.91,0.64,1.08,0.3,10855
Dany Jimenez,OAK,1,1,4,9,0,9,9,2,0,0.296,80.00%,44.40%,0.00%,94.3,0,3.37,1.75,3.5,0.3,21170
Kyle Gibson,PHI,2,1,0,5,5,27.2,8.46,3.9,0.98,0.211,77.50%,60.30%,16.70%,92.1,2.93,3.04,3.92,3.36,0.3,10123
Aaron Nola,PHI,1,3,0,5,5,27.2,11.06,1.63,1.63,0.267,77.30%,56.30%,23.80%,92.4,3.9,2.27,3.85,2.49,0.3,16149
Jameson Taillon,NYY,1,1,0,4,4,19.1,7.91,0.93,1.4,0.328,86.50%,42.40%,12.50%,94,3.26,3.06,3.81,3.42,0.3,11674
Daniel Hudson,LAD,1,1,1,7,0,6.2,10.8,1.35,0,0.222,60.00%,64.70%,0.00%,96.8,1.35,1.87,1.14,1.92,0.3,7146
Jimmy Herget,LAA,0,0,0,9,1,11.1,9.53,0,0.79,0.371,55.60%,44.40%,11.10%,93.3,5.56,3.45,2.12,2.01,0.3,17556
Tim Mayza,TOR,1,0,0,10,0,9,9,1,0,0.28,87.50%,64.00%,0.00%,,1,2.4,1.42,1.57,0.3,15042
Chris Stratton,PIT,1,1,2,10,0,9.1,7.71,0.96,0,0.412,53.30%,50.00%,0.00%,92.1,5.79,2.02,1.69,3.24,0.3,13761
Daniel Bard,COL,1,0,6,8,0,8,12.38,0,1.13,0.235,87.00%,33.30%,11.10%,98.3,2.25,1.55,2.34,2.19,0.3,7115
Bailey Ober,MIN,1,1,0,4,4,19.2,7.32,2.29,0.92,0.283,75.50%,21.00%,6.10%,91.9,2.75,5.33,3.55,4.42,0.3,21224
Luis Severino,NYY,2,0,0,5,5,24,8.63,2.63,1.13,0.304,75.50%,47.90%,12.50%,96.7,3.75,2.85,3.8,3.48,0.3,15890
Tyler Rogers,SFG,0,1,0,10,0,9.2,8.38,0,0,0.292,75.00%,65.20%,0.00%,82,1.86,1.33,1.54,2.08,0.3,15541
