"Name","Team","GS","ERA","IP","WAR","update_WAR","percent_season","adj_WAR"
"Zac Gallen","ARI",29,4.35,169,2.2,0.5,0.123456790123457,1.99012345679012
"Merrill Kelly","ARI",29,4.98,171,1.2,0.9,0.123456790123457,1.16296296296296
"Luke Weaver","ARI",26,4.77,140,1.1,0,0.123456790123457,0.964197530864198
"Madison Bumgarner","ARI",31,5.21,184,0.9,0.1,0.123456790123457,0.801234567901234
"Zach Davies","ARI",26,5.49,136,0.1,0,0.123456790123457,0.0876543209876543
"Tyler Gilbert","ARI",6,5.16,44,0.1,0.1,0.123456790123457,0.1
"Humberto Castellanos","ARI",2,5.36,9,0,0.2,0.123456790123457,0.0246913580246914
"Corbin Martin","ARI",3,5.5,18,0,0.2,0.123456790123457,0.0246913580246914
"Charlie Morton","ATL",29,3.76,169,3.1,-0.2,0.123456790123457,2.69259259259259
"Max Fried","ATL",31,3.94,185,2.7,0.8,0.123456790123457,2.46543209876543
"Ian Anderson","ATL",29,4.47,166,1.8,-0.1,0.123456790123457,1.56543209876543
"Huascar Ynoa","ATL",21,4.38,115,1.4,-0.2,0.123456790123457,1.20246913580247
"Tucker Davidson","ATL",10,4.35,72,0.5,0,0.123456790123457,0.438271604938272
"Kyle Wright","ATL",10,4.73,65,0.3,1,0.123456790123457,0.38641975308642
"Kyle Muller","ATL",8,4.9,44,0.2,-0.1,0.123456790123457,0.162962962962963
"John Means","BAL",29,4.36,172,2.7,0.3,0.117283950617284,2.41851851851852
"Bruce Zimmermann","BAL",23,4.75,126,1.2,0.6,0.117283950617284,1.12962962962963
"Tyler Wells","BAL",13,4.62,112,1.1,0,0.117283950617284,0.970987654320988
"Keegan Akin","BAL",16,4.84,85,0.7,0.1,0.117283950617284,0.62962962962963
"Jordan Lyles","BAL",28,5.42,158,0.7,0.2,0.117283950617284,0.641358024691358
"Nathan Eovaldi","BOS",31,3.9,183,3.4,0.2,0.123456790123457,3.00493827160494
"Tanner Houck","BOS",24,4.1,147,2.1,0.4,0.123456790123457,1.89012345679012
"Nick Pivetta","BOS",29,4.58,165,1.9,0,0.123456790123457,1.66543209876543
"Michael Wacha","BOS",19,4.62,122,1.2,0.2,0.123456790123457,1.07654320987654
"Rich Hill","BOS",18,4.95,113,0.5,0.1,0.123456790123457,0.450617283950617
"Kutter Crawford","BOS",2,4.45,15,0.1,0,0.123456790123457,0.0876543209876543
"Marcus Stroman","CHC",32,4.48,188,2.2,0.2,0.117283950617284,1.96543209876543
"Kyle Hendricks","CHC",31,5.1,184,1.1,0,0.117283950617284,0.970987654320988
"Drew Smyly","CHC",19,5.02,122,0.5,0,0.117283950617284,0.441358024691358
"Justin Steele","CHC",6,4.52,60,0.3,0.2,0.117283950617284,0.288271604938272
"Lucas Giolito","CHW",31,4.04,184,3.2,0.3,0.111111111111111,2.87777777777778
"Dylan Cease","CHW",31,4.06,170,2.9,0.7,0.111111111111111,2.65555555555556
"Michael Kopech","CHW",23,3.87,141,2.6,0.5,0.111111111111111,2.36666666666667
"Dallas Keuchel","CHW",29,4.72,161,1.1,-0.3,0.111111111111111,0.944444444444445
"Jimmy Lambert","CHW",5,4.84,47,0.1,0,0.111111111111111,0.0888888888888889
