Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
MIL,15,8,11,98,23,203,10.37,3.77,0.62,0.273,75.40%,44.00%,7.70%,93.2,3.01,,3.07,3.35,4.1
LAD,14,7,5,93,21,185.2,9.45,2.33,0.63,0.244,78.10%,45.60%,7.40%,93.5,2.33,,2.85,3.18,3.8
NYY,16,6,9,107,22,198.2,9.38,3.17,0.68,0.282,80.20%,45.60%,8.20%,95,2.72,,3.21,3.44,3.7
TOR,15,8,12,113,23,205.1,8.63,2.63,0.88,0.293,72.10%,40.80%,9.30%,94.2,3.68,,3.4,3.5,3.4
SFG,14,8,7,112,22,197.1,8.98,2.69,0.5,0.312,74.20%,50.10%,6.40%,95,3.06,,2.8,3.22,3.3
NYM,16,7,6,98,23,205,10.1,2.9,0.83,0.253,76.90%,43.40%,9.80%,94.6,2.99,,3.13,3.17,3.1
BAL,8,14,4,104,22,191,7.68,3.44,0.94,0.283,71.70%,46.10%,11.30%,93.8,3.68,,4.03,3.88,2.5
TBR,12,10,6,103,22,193,9.51,2.8,0.98,0.27,68.00%,44.10%,10.90%,92.3,3.4,,3.48,3.37,2.4
DET,7,14,4,96,21,183.1,7.31,2.7,0.83,0.263,66.90%,41.00%,7.60%,93.7,3.39,,3.58,3.99,2.3
ATL,10,13,8,98,23,202,9.62,3.83,0.85,0.288,68.50%,42.20%,9.20%,94.9,4.28,,3.61,3.73,2.2
PHI,11,12,5,102,23,200,8.69,3.33,0.81,0.294,70.10%,48.00%,9.80%,94.3,4.1,,3.68,3.71,2.2
COL,13,9,10,92,22,194,7.1,3.11,0.84,0.316,66.60%,46.50%,9.40%,93.7,4.41,,3.86,3.95,2.2
MIN,13,9,3,89,22,194,8.81,3.02,1.07,0.267,80.20%,41.90%,10.90%,92.9,3.15,,3.72,3.61,2.1
SDP,15,8,9,99,23,205,9.4,3.25,1.1,0.262,74.20%,43.80%,13.00%,93.8,3.51,,3.8,3.45,2
CLE,10,12,4,95,22,190.2,8.07,2.64,0.99,0.274,68.40%,37.50%,9.30%,92.9,3.87,,3.78,3.9,1.9
LAA,15,8,8,103,23,204,8.12,3,1.06,0.243,72.60%,40.30%,10.80%,94.4,3.66,,3.95,3.85,1.8
MIA,12,9,9,99,21,186,8.85,3.34,0.82,0.273,73.80%,43.50%,10.00%,94.4,3.29,,3.55,3.56,1.8
CHW,8,13,6,105,21,185,9.54,4.67,0.73,0.3,70.90%,45.10%,8.20%,95.1,3.89,,3.71,3.95,1.8
HOU,11,11,5,100,22,193.1,8.24,3.12,0.98,0.271,74.00%,37.30%,9.60%,94.4,3.58,,3.96,4.02,1.6
BOS,9,14,5,118,23,203.1,8.94,3.59,1.06,0.273,75.40%,37.10%,10.70%,94.1,3.59,,3.99,3.9,1.6
STL,12,9,5,89,21,185,8.27,3.02,0.83,0.283,77.80%,48.40%,10.40%,94.3,3.31,,3.63,3.59,1.5
SEA,12,10,3,98,22,193,8.81,3.22,1.21,0.272,77.80%,38.30%,12.30%,94.1,3.26,,4.08,3.76,1.2
OAK,10,12,7,102,22,193.2,8.18,3.25,0.93,0.279,72.90%,46.60%,11.00%,93.9,3.67,,3.81,3.7,1.2
WSN,8,16,3,128,24,211,8.66,4.22,0.94,0.322,67.70%,40.40%,9.60%,92.8,5.08,,4.17,4.24,1.2
CHC,9,13,7,96,22,189,9.24,3.43,1.33,0.298,73.70%,46.10%,15.30%,92.9,4.33,,4.18,3.53,1.2
ARI,10,13,6,109,23,203,6.56,3.46,0.75,0.264,71.60%,40.20%,6.90%,92.5,3.37,,4.02,4.51,1
KCR,7,13,4,100,20,179,7.54,3.62,0.96,0.3,69.00%,42.90%,9.50%,94.3,4.63,,4.12,4.2,1
PIT,9,13,5,99,22,193,7.83,4.01,1.07,0.289,64.30%,44.30%,10.90%,93.8,4.99,,4.37,4.26,0.5
CIN,3,19,3,111,22,186,8.76,5.03,1.11,0.333,65.20%,38.10%,10.00%,94.8,6.19,,4.67,4.68,0.3
TEX,8,14,2,111,22,194,9.37,3.94,1.48,0.274,74.30%,47.20%,19.40%,94.6,4.45,,4.66,3.64,-0.2
