Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
BAL,4,8,4,72,0,85.1,9.07,3.38,0.84,0.289,68.20%,46.10%,11.40%,94.9,3.8,,3.46,3.28,1.4
NYY,9,4,7,75,0,80.2,10.04,4.35,0.45,0.286,76.70%,49.50%,6.10%,95.2,2.9,,3.08,3.47,1.3
MIL,8,3,11,68,0,72.1,9.95,4.11,0.62,0.298,74.70%,47.20%,8.30%,91.5,3.36,,3.25,3.39,1.2
CHC,5,2,6,65,0,80.2,10.49,3.01,0.78,0.299,80.80%,48.80%,10.90%,94.1,2.79,,2.94,2.82,1.2
KCR,5,5,4,69,0,69.1,10.64,3.89,0.52,0.343,68.20%,40.20%,5.80%,96.1,4.28,,2.83,3.34,1.1
LAD,4,4,4,59,0,67,9.27,1.88,0.54,0.222,74.90%,49.70%,6.60%,94.6,2.28,,2.59,2.96,1.1
ATL,1,2,7,66,0,76.1,10.97,3.54,0.71,0.283,64.60%,31.10%,6.40%,94.8,3.89,,2.95,3.48,1
TOR,7,5,10,79,0,78,7.96,2.54,0.81,0.259,69.90%,42.80%,9.60%,94.2,3.46,,3.42,3.44,0.8
DET,4,4,4,65,0,75,7.92,3.6,0.36,0.255,78.50%,42.50%,3.60%,94.5,2.28,,3.07,3.96,0.8
WSN,1,1,3,90,0,89.2,8.43,3.81,0.5,0.296,71.90%,44.20%,5.50%,92.3,3.61,,3.56,4.11,0.7
PIT,8,3,5,66,0,89.2,8.53,3.51,0.7,0.28,68.40%,43.40%,7.40%,93.5,4.12,,3.59,3.9,0.7
SFG,5,3,7,76,0,82,8.23,3.07,0.44,0.239,86.70%,49.80%,5.70%,94.4,1.54,,2.97,3.41,0.7
BOS,4,6,4,83,0,85,9.85,3.39,0.74,0.278,70.70%,38.80%,7.90%,95.1,3.28,,3.32,3.58,0.7
TBR,9,3,6,73,0,95.1,9.06,3.12,0.94,0.224,67.00%,44.90%,10.10%,89.1,2.83,,3.67,3.62,0.6
HOU,3,4,5,70,0,72,9.25,3.63,0.63,0.292,76.10%,32.80%,6.40%,94.7,3,,3.45,3.92,0.5
NYM,4,3,5,64,0,70,11.06,3.86,0.77,0.297,75.70%,41.70%,9.20%,95.1,3.34,,3.09,3.15,0.5
SEA,3,1,3,66,0,67.1,10.43,3.21,1.2,0.264,81.00%,32.40%,12.00%,94.9,2.94,,3.64,3.31,0.4
OAK,2,1,7,70,0,71.1,9.46,4.04,0.63,0.297,78.40%,43.70%,7.80%,94,3.03,,3.35,3.57,0.4
COL,6,1,9,63,0,71.1,7.7,4.29,0.63,0.308,64.00%,44.70%,6.40%,94.2,4.92,,3.82,4.29,0.4
CLE,4,4,2,63,0,70.2,8.79,2.67,1.15,0.277,73.20%,39.00%,11.50%,93.9,3.57,,3.79,3.53,0.3
PHI,3,3,4,69,0,73.1,8.71,3.93,0.74,0.284,70.50%,42.10%,8.10%,94.6,4.17,,3.83,4.04,0.3
CHW,4,4,6,72,0,80.1,9.52,4.93,0.56,0.293,70.00%,46.70%,6.80%,95.4,3.81,,3.66,4.02,0.2
STL,4,1,4,57,0,72.1,7.59,2.99,0.75,0.258,81.20%,47.00%,8.60%,95,2.74,,3.7,3.85,0.1
CIN,0,2,3,76,0,82.2,8.71,4.68,0.87,0.28,76.10%,37.20%,7.80%,95.1,4.03,,4.2,4.52,0.1
SDP,4,2,7,68,0,71.1,9.84,3.41,1.39,0.236,70.00%,45.60%,17.20%,93.2,4.16,,4.23,3.36,0.1
ARI,5,6,5,76,0,86.2,6.02,3.32,0.83,0.304,68.80%,40.60%,7.80%,92.3,4.05,,4.28,4.58,-0.2
LAA,5,2,6,70,0,81,7.67,3,1.44,0.231,69.90%,38.00%,14.40%,94.1,4.11,,4.52,3.84,-0.3
MIN,4,3,3,60,0,77.2,9.15,4.17,1.39,0.289,80.00%,45.60%,15.80%,93.5,3.94,,4.47,3.7,-0.3
MIA,2,3,7,67,0,63,8.71,3.71,1,0.235,74.00%,45.70%,12.10%,93.7,3.14,,4,3.72,-0.4
TEX,5,7,1,79,0,87.2,9.44,4.83,1.44,0.248,75.90%,45.20%,17.70%,94.9,4.21,,4.86,3.92,-0.8
