Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,playerid
Corbin Burnes,MIL,11,5,0,28,28,167,12.61,1.83,0.38,0.309,75.70%,48.80%,6.10%,96.5,2.43,2,1.63,2.3,7.5,19361
Zack Wheeler,PHI,14,10,0,32,32,213.1,10.42,1.94,0.68,0.288,75.30%,49.80%,10.80%,97.3,2.78,2.79,2.59,2.84,7.3,10310
Nathan Eovaldi,BOS,11,9,0,32,32,182.1,9.63,1.73,0.74,0.326,70.40%,42.00%,8.20%,97.1,3.75,3.37,2.79,3.48,5.6,9132
Walker Buehler,LAD,16,4,0,33,33,207.2,9.19,2.25,0.82,0.247,80.90%,44.70%,10.10%,95.5,2.47,3.1,3.16,3.57,5.5,19374
Max Scherzer,LAD,15,4,0,30,30,179.1,11.84,1.81,1.15,0.247,84.30%,33.50%,11.70%,94.5,2.46,2.9,2.97,3.24,5.4,3137
Gerrit Cole,NYY,16,8,0,30,30,181.1,12.06,2.03,1.19,0.305,77.90%,43.10%,13.50%,97.8,3.23,3.13,2.92,2.93,5.3,13125
Julio Urias,LAD,20,3,0,32,32,185.2,9.45,1.84,0.92,0.272,76.20%,40.20%,9.40%,94,2.96,3.1,3.13,3.73,5,14765
Carlos Rodon,CHW,13,5,0,24,24,132.2,12.55,2.44,0.88,0.267,82.20%,37.70%,9.60%,95.4,2.37,2.68,2.65,3.17,4.9,16137
Jacob deGrom,NYM,7,2,0,15,15,92,14.28,1.08,0.59,0.213,87.20%,44.00%,9.40%,99.1,1.08,1.54,1.24,1.61,4.9,10954
Kevin Gausman,SFG,14,6,0,33,33,192,10.64,2.34,0.94,0.274,78.40%,41.90%,11.30%,94.7,2.81,3.55,3,3.28,4.8,14107
Brandon Woodruff,MIL,9,10,0,30,30,179.1,10.59,2.16,0.9,0.261,81.40%,41.50%,12.70%,96.5,2.56,3.3,2.96,3.05,4.7,16162
Charlie Morton,ATL,14,6,0,33,33,185.2,10.47,2.81,0.78,0.267,71.00%,47.80%,12.10%,95.5,3.34,3.32,3.18,3.31,4.6,4676
Aaron Nola,PHI,9,9,0,32,32,180.2,11.11,1.94,1.3,0.308,66.80%,40.50%,13.50%,93.1,4.63,3.37,3.37,3.37,4.5,16149
Dylan Cease,CHW,13,7,0,32,32,165.2,12.28,3.69,1.09,0.309,73.90%,33.30%,11.30%,96.8,3.91,3.68,3.41,3.72,4.4,18525
Trevor Rogers,MIA,7,8,0,25,25,133,10.62,3.11,0.41,0.301,74.90%,40.10%,5.00%,94.6,2.64,3.39,2.55,3.54,4.2,22286
Sandy Alcantara,MIA,9,15,0,33,33,205.2,8.8,2.19,0.92,0.27,72.40%,53.30%,13.30%,98.1,3.19,3.5,3.42,3.45,4.2,18684
Lance Lynn,CHW,11,6,0,28,28,157,10.09,2.58,1.03,0.263,81.50%,38.10%,10.20%,94,2.69,2.62,3.32,3.82,4.2,2520
