Team,H,1B,2B,3B,HR,R,SB,BB_rate,K_rate,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC,WAR,BB,Season
TOR,1455,895,285,13,262,846,81, 0.0820 , 0.2010 ,0.2,0.296,0.266,0.33,0.466,0.34,113,30.5,496,2021
HOU,1496,962,299,14,221,863,53, 0.0900 , 0.1940 ,0.177,0.303,0.267,0.339,0.444,0.336,116,33.9,569,2021
BOS,1434,862,330,23,219,829,40, 0.0840 , 0.2260 ,0.188,0.309,0.261,0.328,0.449,0.333,107,23.2,512,2021
SFG,1360,823,271,25,241,804,66, 0.0970 , 0.2360 ,0.191,0.295,0.249,0.329,0.44,0.329,108,30,602,2021
CHW,1373,886,275,22,190,796,57, 0.0960 , 0.2280 ,0.166,0.31,0.256,0.336,0.422,0.329,109,25.3,586,2021
CIN,1352,822,295,13,222,786,36, 0.0900 , 0.2310 ,0.182,0.296,0.249,0.328,0.431,0.327,98,19.6,553,2021
LAD,1330,822,247,24,237,830,65, 0.0980 , 0.2260 ,0.185,0.284,0.244,0.33,0.429,0.327,106,29.5,613,2021
WSN,1388,914,272,20,182,724,56, 0.0940 , 0.2130 ,0.159,0.307,0.258,0.337,0.417,0.326,101,19.2,573,2021
ATL,1307,779,269,20,239,790,59, 0.0910 , 0.2400 ,0.191,0.288,0.244,0.319,0.435,0.323,98,22.1,549,2021
TBR,1336,790,288,36,222,857,88, 0.0940 , 0.2480 ,0.186,0.294,0.243,0.321,0.429,0.322,109,30,585,2021
MIN,1311,795,271,17,228,729,54, 0.0860 , 0.2310 ,0.182,0.282,0.241,0.314,0.423,0.318,101,17.4,525,2021
NYY,1266,819,213,12,222,711,63, 0.1020 , 0.2450 ,0.169,0.285,0.237,0.322,0.407,0.317,101,18.2,621,2021
COL,1338,847,275,34,182,739,76, 0.0820 , 0.2260 ,0.165,0.299,0.249,0.317,0.414,0.315,82,15.1,491,2021
PHI,1288,804,262,24,198,734,77, 0.0930 , 0.2300 ,0.168,0.286,0.24,0.318,0.408,0.313,93,18.6,564,2021
OAK,1284,795,271,19,199,743,88, 0.0890 , 0.2210 ,0.168,0.278,0.238,0.317,0.406,0.313,102,22.8,545,2021
SDP,1305,831,273,21,180,729,110, 0.0960 , 0.2160 ,0.159,0.287,0.242,0.321,0.401,0.312,97,18.7,586,2021
STL,1303,822,261,22,198,706,89, 0.0800 , 0.2230 ,0.168,0.287,0.244,0.313,0.412,0.312,97,24.8,478,2021
CHC,1255,794,225,26,210,705,86, 0.0840 , 0.2670 ,0.171,0.296,0.237,0.312,0.407,0.311,92,15.3,502,2021
MIL,1251,784,255,18,194,738,82, 0.0960 , 0.2400 ,0.163,0.283,0.233,0.317,0.396,0.31,91,22.2,586,2021
