"Confirmed_Lineup"
"T. Grisham"
"Austin Nola"
"M. Machado"
"J. Cronenworth"
"Eric Hosmer"
"Wil Myers"
"Matt Beaty"
"J. Profar"
"CJ Abrams"
"J. India"
"Tyler Naquin"
"Tommy Pham"
"Joey Votto"
"Kyle Farmer"
"Nick Senzel"
"Colin Moran"
"A. Garcia"
"Jake Fraley"
"A. McCutchen"
"Willy Adames"
"C. Yelich"
"H. Renfroe"
"Keston Hiura"
"T. Taylor"
"Kolten Wong"
"M. Brosseau"
"Alex Jackson"
"D. Vogelbach"
"K. Hayes"
"J. VanMeter"
"Y. Tsutsugo"
"Ben Gamel"
"D. Castillo"
"R. Perez"
"Kevin Newman"
"J. Suwinski"
"C. Mullins"
"A. Santander"
"Trey Mancini"
"R. Mountcastle"
"Rougned Odor"
"Austin Hays"
"Ramon Urias"
"R. Chirinos"
"Jorge Mateo"
"DJ LeMahieu"
"Aaron Judge"
"J. Donaldson"
"G. Stanton"
"A. Rizzo"
"G. Torres"
"I. Kiner-Falefa"
"K. Higashioka"
"Tim Locastro"
"Jorge Soler"
"G. Cooper"
"J. Aguilar"
"A. Garcia"
"J. Sanchez"
"Miguel Rojas"
"B. Anderson"
"J. Stallings"
"J. Chisholm"
"C. Hernandez"
"Juan Soto"
"Nelson Cruz"
"Josh Bell"
"Keibert Ruiz"
"Lane Thomas"
"M. Franco"
"A. Escobar"
"V. Robles"
"Connor Joe"
"C. Blackmon"
"Kris Bryant"
"C.J. Cron"
"R. Grichuk"
"Ryan McMahon"
"Elias Diaz"
"B. Rodgers"
"J. Iglesias"
"Jean Segura"
"Rhys Hoskins"
"Bryce Harper"
"N. Castellanos"
"J. Realmuto"
"K. Schwarber"
"Alec Bohm"
"D. Gregorius"
"O. Herrera"
"R. Grossman"
"A. Meadows"
"Javier Baez"
"M. Cabrera"
"S. Torkelson"
"J. Candelario"
"J. Schoop"
"T. Barnhart"
"Akil Baddoo"
"Byron Buxton"
"C. Correa"
"J. Polanco"
"Gio Urshela"
"Kyle Garlick"
"Gary Sanchez"
"Max Kepler"
"Miguel Sano"
"Ryan Jeffers"
"Adam Frazier"
"Ty France"
"Jesse Winker"
"E. Suarez"
"J. Crawford"
"Abraham Toro"
"J. Rodriguez"
"J. Kelenic"
"Cal Raleigh"
"Brandon Lowe"
"W. Franco"
"Yandy Diaz"
"Ji-Man Choi"
"R. Arozarena"
"K. Kiermaier"
"M. Margot"
"Josh Lowe"
"Mike Zunino"
"C. McCormick"
"M. Brantley"
"Alex Bregman"
"Y. Alvarez"
"Yuli Gurriel"
"Kyle Tucker"
"Aledmys Diaz"
"Jeremy Pena"
"M. Maldonado"
"Brad Miller"
"M. Semien"
"Corey Seager"
"Mitch Garver"
"N. Lowe"
"A. Garcia"
"Kole Calhoun"
"W. Calhoun"
"Andy Ibanez"
"Nicky Lopez"
"W. Merrifield"
"A. Benintendi"
"S. Perez"
"C. Santana"
"H. Dozier"
"Bobby Witt"
"A. Mondesi"
"M. Taylor"
"Tim Anderson"
"Luis Robert"
"Jose Abreu"
"Y. Grandal"
"A. Vaughn"
"Gavin Sheets"
"AJ Pollock"
"Leury Garcia"
"Jake Burger"
"E. Hernandez"
"R. Devers"
"J. Martinez"
"X. Bogaerts"
"Alex Verdugo"
"Trevor Story"
"Bobby Dalbec"
"J. Bradley"
"C. Vazquez"
"G. Springer"
"Bo Bichette"
"V. Guerrero"
"L. Gurriel"
"Zack Collins"
"Matt Chapman"
"A. Kirk"
"Raimel Tapia"
"S. Espinal"
"Myles Straw"
"Steven Kwan"
"Jose Ramirez"
"F. Reyes"
"Amed Rosario"
"Owen Miller"
"Josh Naylor"
"O. Mercado"
"A. Hedges"
"Taylor Ward"
"S. Ohtani"
"Mike Trout"
"Jared Walsh"
"A. Rendon"
"B. Marsh"
"Max Stassi"
"Tyler Wade"
"A. Velazquez"
"R. Ortega"
"Seiya Suzuki"
"W. Contreras"
"Ian Happ"
"F. Schwindel"
"J. Villar"
"N. Madrigal"
"J. Heyward"
"Nico Hoerner"
"Ozzie Albies"
"Matt Olson"
"Austin Riley"
"M. Ozuna"
"Adam Duvall"
"T. d'Arnaud"
"D. Swanson"
"G. Heredia"
"O. Arcia"
"D. Varsho"
"Ketel Marte"
"D. Peralta"
"C. Walker"
"Pavin Smith"
"Seth Beer"
"Carson Kelly"
"Nick Ahmed"
"S. Alcantara"
"D. Carlson"
"P. Goldschmidt"
"T. O'Neill"
"N. Arenado"
"C. Dickerson"
"Paul DeJong"
"H. Bader"
"Y. Molina"
"Tommy Edman"
