"Team","exp_wins","Over_Under","pct_diff","diff","win_pct"
"ARI",68,65,4.61538461538462,3,0.419753086419753
"ATL",93.8,88,6.59090909090909,5.8,0.579012345679012
"BAL",62.3,60.5,2.97520661157024,1.8,0.384567901234568
"BOS",84.9,90,-5.66666666666666,-5.09999999999999,0.524074074074074
"CHC",69.7,72.5,-3.86206896551724,-2.8,0.430246913580247
"CHW",90.5,91.5,-1.09289617486339,-1,0.558641975308642
"CIN",72.1,71,1.54929577464788,1.09999999999999,0.445061728395062
"CLE",80.1,76.5,4.70588235294117,3.59999999999999,0.494444444444444
"COL",66.6,71,-6.19718309859156,-4.40000000000001,0.411111111111111
"DET",81.5,77.5,5.16129032258065,4,0.503086419753086
"HOU",92.8,92,0.869565217391301,0.799999999999997,0.57283950617284
"KCR",74.6,76,-1.8421052631579,-1.40000000000001,0.460493827160494
"LAA",86.4,84,2.85714285714286,2.40000000000001,0.533333333333333
"LAD",98.8,95,4,3.8,0.609876543209876
"MIA",82.3,76,8.28947368421052,6.3,0.508024691358025
"MIL",82.9,88.5,-6.3276836158192,-5.59999999999999,0.511728395061728
"MIN",85.4,74,15.4054054054054,11.4,0.527160493827161
"NYM",89.8,88.5,1.46892655367231,1.3,0.554320987654321
"NYY",100.8,93,8.38709677419354,7.8,0.622222222222222
"OAK",69.5,79,-12.0253164556962,-9.5,0.429012345679012
"PHI",84.5,83,1.80722891566265,1.5,0.521604938271605
"PIT",67.6,65,3.99999999999999,2.59999999999999,0.417283950617284
"SDP",94.3,91.5,3.06010928961748,2.8,0.582098765432099
"SEA",89.7,84.5,6.15384615384616,5.2,0.553703703703704
"SFG",92.5,85.5,8.18713450292398,7,0.570987654320988
"STL",80.8,86,-6.04651162790698,-5.2,0.498765432098765
"TBR",91.9,89.5,2.68156424581006,2.40000000000001,0.567283950617284
"TEX",73.7,71.5,3.07692307692308,2.2,0.454938271604938
"TOR",90.1,91,-0.989010989010995,-0.900000000000006,0.556172839506173
"WSN",75.1,68.5,9.63503649635036,6.59999999999999,0.46358024691358
