Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC,BsR,Fld,Off,Def,WAR,ADP,playerid
Ketel Marte,ARI,146,652,582,168,38,3,22,92,76,55,97,7,5,2,0.288,0.354,0.479,0.832,0.355,120,-0.2,-2.1,16.2,0.5,3.8,78.8,13613
Daulton Varsho,ARI,104,420,374,95,19,3,16,49,54,36,83,4,8,3,0.253,0.323,0.45,0.773,0.33,103,0.5,0.7,2.2,4.8,2,95.8,19918
Carson Kelly,ARI,93,389,337,80,15,1,14,45,47,42,81,5,1,0,0.238,0.328,0.414,0.742,0.322,98,-0.4,-0.8,-1.4,7,2,274.4,13620
Josh Rojas,ARI,130,565,496,121,27,3,12,66,52,58,130,3,11,5,0.244,0.324,0.385,0.709,0.31,91,0.9,0,-5.7,2.7,1.6,230.3,19734
David Peralta,ARI,120,503,453,122,24,5,13,56,61,40,95,5,2,1,0.268,0.332,0.429,0.761,0.327,102,-0.5,0.2,0.6,-5.8,1.2,479.1,2136
Nick Ahmed,ARI,117,471,424,100,24,2,10,46,48,37,96,3,6,3,0.236,0.3,0.376,0.675,0.293,79,0.3,-1.3,-12.1,4.5,0.8,557.3,12147
Alek Thomas,ARI,40,167,151,40,7,2,4,19,19,12,34,2,4,2,0.267,0.325,0.435,0.76,0.327,102,-0.2,0,0.2,0.7,0.6,544.9,sa3006892
Pavin Smith,ARI,102,431,386,102,20,3,10,49,47,35,81,3,2,1,0.263,0.328,0.411,0.739,0.32,97,-0.9,-1,-2.3,-6.5,0.5,383.4,19892
Seth Beer,ARI,62,249,220,57,12,1,9,29,32,17,51,8,1,0,0.257,0.332,0.444,0.775,0.334,106,-0.2,0.2,1.7,-4.9,0.5,549.5,20493
Christian Walker,ARI,90,381,338,83,18,1,13,43,48,34,92,4,1,1,0.246,0.32,0.424,0.744,0.321,97,0.1,0.9,-1.1,-6.7,0.5,418.7,13419
Josh VanMeter,ARI,58,239,208,49,12,1,7,27,26,26,58,2,4,1,0.236,0.324,0.401,0.725,0.316,95,-0.3,-1.6,-1.9,-1.4,0.4,599.6,15170
Cooper Hummel,ARI,33,137,118,30,5,1,4,16,16,16,29,2,1,1,0.255,0.348,0.433,0.781,0.339,109,-0.2,0,1.5,-1.9,0.4,999,sa918412
Geraldo Perdomo,ARI,24,97,86,20,4,1,1,9,9,9,20,1,2,1,0.236,0.314,0.347,0.661,0.291,78,-0.1,0.1,-2.8,1.3,0.2,584.2,22799
Jake McCarthy,ARI,65,254,229,52,9,3,7,27,28,19,66,3,11,4,0.229,0.294,0.387,0.681,0.295,81,0.4,-0.1,-5.8,-1,0.2,600.5,21622
Jose Herrera,ARI,15,62,55,12,2,0,1,6,6,6,14,0,0,0,0.221,0.3,0.346,0.647,0.285,74,-0.1,0,-2.1,1.3,0.1,999,sa830295
Drew Ellis,ARI,31,123,108,23,5,0,3,12,13,12,33,2,1,0,0.216,0.302,0.37,0.672,0.294,80,-0.1,-0.7,-3.2,-0.4,0,999,19873
Clifton Kennedy,ARI,3,13,12,3,0,0,0,1,2,1,3,0,0,0,0.245,0.308,0.419,0.727,0.313,92,0,0,-0.1,0.1,0,999,sa3004617
Stuart Fairchild,ARI,6,26,24,6,1,0,1,3,3,2,6,0,1,0,0.24,0.306,0.388,0.694,0.302,85,0,-0.1,-0.5,-0.1,0,999,20321
Andy Young,ARI,2,6,6,1,0,0,0,1,1,0,2,0,0,0,0.221,0.291,0.398,0.689,0.299,84,0,0,-0.1,0,0,999,19521
Dominic Canzone,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.26,0.312,0.437,0.749,0.321,98,0,0,0,0,0,999,sa1115890
Andrew Yerzy,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.209,0.28,0.371,0.65,0.283,73,0,0,0,0,0,999,sa917939
Juan Graterol,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.246,0.289,0.336,0.625,0.274,67,0,0,0,0,0,999,5398
Dominic Miroglio,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.223,0.283,0.345,0.628,0.274,67,0,0,0,0,0,999,sa739013
Benjamin DeLuzio,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.241,0.299,0.356,0.655,0.286,75,0,0,0,0,0,999,sa737626
Eduardo Diaz,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.243,0.287,0.422,0.709,0.303,86,0,0,0,0,0,999,sa917182
Drew Stankiewicz,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.233,0.299,0.343,0.642,0.283,73,0,0,0,0,0,999,sa599531
Renae Martinez,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.206,0.27,0.323,0.593,0.261,59,0,0,-0.1,0,0,999,sa3004255
Jeison Guzman,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.233,0.274,0.345,0.619,0.269,64,0,0,0,0,0,999,sa914314
Gregory Garrett,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.24,0.277,0.408,0.685,0.293,79,0,0,0,0,0,999,sa829117
Leandro Cedeno,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.243,0.285,0.394,0.679,0.292,79,0,0,0,0,0,999,sa873307
Nick Heath,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.211,0.288,0.32,0.608,0.27,64,0,0,0,0,0,999,19577
Jancarlos Cintron,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.231,0.273,0.329,0.601,0.263,60,0,0,-0.1,0,0,999,sa3004065
Jorge Barrosa,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.224,0.269,0.328,0.597,0.261,59,0,0,-0.1,0,0,999,sa3005524
Nick Dalesandro,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.192,0.254,0.262,0.516,0.233,40,0,0,-0.1,0,0,999,sa3007503
Camden Duzenack,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.204,0.252,0.321,0.573,0.25,52,0,0,-0.1,0,0,999,sa873988
Tristin English,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.205,0.251,0.322,0.573,0.25,52,0,0,-0.1,0,0,999,sa876328
Blaze Alexander,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.194,0.25,0.293,0.543,0.24,45,0,0,-0.1,0,0,999,sa3007742
Walter Coursey,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.218,0.266,0.297,0.563,0.249,51,0,0,-0.1,0,0,999,sa3010721
Aaron Vukovich,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.209,0.245,0.327,0.572,0.248,50,0,0,-0.1,0,0,999,sa3014525
Ryan Bliss,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.189,0.227,0.273,0.499,0.22,32,0,0,-0.1,0,0,999,sa3016951
Chia Lin,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.175,0.223,0.244,0.467,0.209,25,0,0,-0.1,0,0,999,sa918343
Caleb Roberts,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.168,0.222,0.244,0.466,0.209,25,0,0,-0.1,0,0,999,sa3016959
Ramses Malave,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.159,0.211,0.254,0.465,0.207,24,0,0,-0.1,0,0,999,sa3006428
Javier D'Orazio,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.17,0.205,0.25,0.455,0.201,19,0,0,-0.1,0,0,999,sa3008876
Deyvison De Los Santos,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.185,0.221,0.276,0.497,0.218,31,0,0,-0.1,0,0,999,sa3015168
Timothy Tawa,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.189,0.242,0.294,0.535,0.236,43,0,0,-0.1,0,0,999,sa3016970
Axel Andueza,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.22,0.259,0.297,0.556,0.245,48,0,0,-0.1,0,0,999,sa3002712
Elian Miranda,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.194,0.246,0.313,0.559,0.245,48,0,0,-0.1,0,0,999,sa3014947
Manuel Garcia,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.161,0.207,0.226,0.433,0.194,15,0,0,-0.1,0,0,999,sa3006202
Daniel Oriente,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.192,0.243,0.272,0.515,0.229,38,0,0,-0.1,0,0,999,sa3014943
Leodany Perez,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.19,0.245,0.265,0.51,0.228,37,0,0,-0.1,0,0,999,sa3008956
Wilderd Patino,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.173,0.213,0.258,0.471,0.208,24,0,0,-0.1,0,0,999,sa3007874
Spencer Brickhouse,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.179,0.234,0.302,0.536,0.235,42,0,0,-0.1,0,0,999,sa1052762
Sheng-Ping Chen,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.162,0.208,0.23,0.438,0.196,17,0,0,-0.1,0,0,999,sa3014837
Dairon Cuevas,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.168,0.202,0.228,0.43,0.191,13,0,0,-0.1,0,0,999,sa3008792
Neyfy Castillo,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.169,0.229,0.281,0.51,0.226,36,0,0,-0.1,0,0,999,sa3005544
Jose Curpa,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.179,0.235,0.238,0.474,0.214,28,0,0,-0.1,0,0,999,sa3002703
Jeferson Espinal,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.176,0.217,0.254,0.472,0.209,25,0,0,-0.1,0,0,999,sa3008793
Manuel Pena,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.159,0.195,0.213,0.408,0.182,7,0,0,-0.1,0,0,999,sa3015715
Mason Berne,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.171,0.214,0.264,0.478,0.211,26,0,0,-0.1,0,0,999,sa3007029
Glenallen Hill,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.163,0.209,0.231,0.44,0.197,17,0,0,-0.1,0,0,999,sa3010335
Teofilo Mendez,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.149,0.185,0.209,0.394,0.176,3,0,0,-0.1,0,0,999,sa3008795
Luis Rubio,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.154,0.189,0.199,0.388,0.174,2,0,0,-0.1,0,0,999,sa3008797
Alvin Guzman,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.145,0.174,0.212,0.386,0.17,0,0,0,-0.1,0,0,999,sa3008748
Juan Batista,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.15,0.187,0.215,0.403,0.179,6,0,0,-0.1,0,0,999,sa3005629
Endy Estrada,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.153,0.187,0.225,0.412,0.182,8,0,0,-0.1,0,0,999,sa3008935
