Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC,BsR,Fld,Off,Def,WAR,ADP,playerid
Ronald Acuna Jr.,ATL,122,557,465,132,25,2,35,99,78,74,128,9,25,9,0.285,0.391,0.569,0.96,0.403,151,2.4,-0.4,38.4,-0.5,5.6,12.2,18401
Ozzie Albies,ATL,150,673,611,165,36,5,28,97,87,49,117,5,18,6,0.27,0.327,0.483,0.81,0.343,112,2.4,3.1,12.6,5.6,4.1,19.3,16556
Austin Riley,ATL,150,647,581,159,30,2,33,87,99,52,161,9,1,1,0.274,0.34,0.5,0.84,0.356,120,-1.5,-6.1,15.1,-3.6,3.3,47.8,18360
Dansby Swanson,ATL,150,665,592,145,31,2,23,84,72,57,163,7,10,4,0.245,0.316,0.419,0.735,0.316,94,1.2,-2.8,-3.8,4.7,2.3,119.8,18314
Marcell Ozuna,ATL,138,595,528,139,24,1,27,75,87,59,132,4,3,1,0.263,0.339,0.466,0.806,0.344,113,-0.5,-0.9,9.1,-7.8,2.1,204.4,10324
Travis d'Arnaud,ATL,121,495,445,110,22,1,17,54,61,40,114,5,2,1,0.248,0.314,0.419,0.734,0.317,95,-1.1,-1.9,-4.4,2.5,2,191.4,7739
Manny Pina,ATL,58,235,208,49,9,1,9,26,29,20,51,4,1,0,0.235,0.311,0.411,0.722,0.313,92,-0.7,1.3,-3,5.7,1.4,550.2,2829
Orlando Arcia,ATL,112,445,404,105,19,1,15,48,55,32,73,3,6,2,0.261,0.317,0.422,0.74,0.318,95,0.1,7,-2.4,0.3,1.3,999,13185
Adam Duvall,ATL,137,575,521,118,22,2,32,71,86,41,168,6,3,1,0.226,0.288,0.457,0.746,0.316,94,-1.3,1.8,-5.7,-5.1,0.8,220.5,10950
William Contreras,ATL,6,24,21,5,1,0,1,3,3,2,6,0,0,0,0.253,0.317,0.44,0.757,0.324,100,0,0,0,0.5,0.1,586,20503
Cristian Pache,ATL,47,184,168,40,8,1,5,17,19,11,49,1,3,2,0.236,0.287,0.377,0.665,0.288,76,-0.2,-0.2,-5.9,0.3,0.1,581.5,19948
Travis Demeritte,ATL,9,39,34,8,2,0,2,5,5,3,13,0,0,0,0.233,0.307,0.43,0.737,0.317,95,0,-0.1,-0.3,-0.7,0,999,15958
Chadwick Tromp,ATL,2,6,5,1,0,0,0,1,1,0,1,0,0,0,0.225,0.275,0.367,0.641,0.278,69,0,0,-0.2,0.1,0,999,16953
Shea Langeliers,ATL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.243,0.306,0.437,0.743,0.317,95,0,0,0,0,0,999,sa3010329
Hendrik Clementina,ATL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.224,0.275,0.391,0.666,0.286,75,0,0,0,0,0,999,sa828422
Braden Shewmake,ATL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.241,0.283,0.384,0.668,0.288,76,0,0,0,0,0,999,sa3010332
Yariel Gonzalez,ATL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.244,0.295,0.393,0.688,0.297,82,0,0,0,0,0,999,sa920278
Justin Dean,ATL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.231,0.302,0.358,0.66,0.29,77,0,0,0,0,0,999,sa3007070
Vaughn Grissom,ATL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.237,0.289,0.334,0.623,0.274,67,0,0,0,0,0,999,sa3010711
