Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC,BsR,Fld,Off,Def,WAR,ADP,playerid
Cedric Mullins II,BAL,150,677,603,156,30,4,25,93,73,56,128,7,26,9,0.259,0.328,0.445,0.773,0.331,108,1.8,-5.1,8.6,-2.6,2.9,28.6,17929
Adley Rutschman,BAL,95,386,339,88,16,1,15,48,48,38,65,4,3,1,0.26,0.339,0.448,0.787,0.339,113,-0.3,0,6.1,7,2.6,184.1,sa3011643
Austin Hays,BAL,136,591,542,139,26,3,26,74,77,34,121,8,7,3,0.257,0.308,0.457,0.764,0.326,105,-0.4,3.1,2.9,-3.3,2,217.1,19363
Ryan Mountcastle,BAL,146,626,571,148,26,1,32,80,90,43,160,6,5,2,0.26,0.316,0.478,0.794,0.336,112,-0.6,1,8.3,-12.3,1.7,101.3,18373
Ramon Urias,BAL,117,472,420,105,22,1,14,52,52,39,114,8,4,2,0.25,0.322,0.406,0.728,0.317,98,-0.6,-3.4,-1.5,2.2,1.7,467.3,18795
Trey Mancini,BAL,149,657,582,150,30,1,27,83,86,59,149,9,1,1,0.257,0.332,0.452,0.784,0.335,111,-0.7,0.7,8.1,-14.6,1.6,181.3,15149
Anthony Santander,BAL,130,562,518,130,29,1,26,69,78,33,119,6,3,1,0.252,0.301,0.461,0.762,0.323,103,-0.5,-0.9,1.4,-8,1.2,246.8,14551
Kelvin Gutierrez,BAL,94,375,340,84,13,2,10,39,40,26,93,4,3,1,0.248,0.306,0.388,0.694,0.301,88,-0.5,-1.6,-6,0,0.7,597.2,17468
Rougned Odor,BAL,94,384,343,73,15,1,18,43,48,31,106,6,3,1,0.212,0.285,0.413,0.698,0.299,86,0.1,-2.6,-6.2,-1,0.6,435.8,12282
Rylan Bannon,BAL,44,177,157,35,7,0,7,20,21,16,38,2,3,1,0.225,0.303,0.404,0.707,0.307,92,-0.1,0,-1.9,0.7,0.5,599.7,sa3004162
Jorge Mateo,BAL,84,334,309,73,16,2,8,34,34,16,87,4,11,4,0.236,0.28,0.376,0.655,0.283,76,0.1,-1.3,-9.9,1.6,0.3,444.8,17273
D.J. Stewart,BAL,52,216,185,41,8,0,8,25,25,26,57,3,1,0,0.222,0.324,0.406,0.729,0.318,99,-0.1,-0.9,-0.3,-4.8,0.2,600,17766
Jacob Nottingham,BAL,33,130,117,24,5,0,5,13,14,9,42,2,1,1,0.202,0.27,0.365,0.635,0.276,71,-0.1,-0.5,-4.7,2.3,0.2,597.7,16448
Jahmai Jones,BAL,26,103,93,22,4,1,3,11,11,8,24,1,2,1,0.232,0.297,0.376,0.673,0.293,83,-0.1,0,-2.3,0.5,0.2,596.7,18872
Brett Cumberland,BAL,9,37,32,6,1,0,1,4,4,3,11,1,0,0,0.202,0.296,0.352,0.647,0.287,78,0,0,-1,0.8,0.1,999,sa915611
Tyler Nevin,BAL,16,66,59,14,3,0,2,7,8,5,13,1,0,0,0.242,0.307,0.413,0.72,0.311,95,0,-0.7,-0.5,-1,0.1,999,17893
Greg Cullen,BAL,11,46,41,9,2,0,1,5,4,4,10,1,0,0,0.232,0.309,0.346,0.655,0.29,80,0,0,-1.1,0.2,0.1,999,sa3007069
Ryan McKenna,BAL,19,80,70,15,3,0,2,9,8,8,24,1,2,1,0.22,0.305,0.371,0.677,0.297,85,0,0,-1.4,-0.9,0,999,19928
Kyle Stowers,BAL,2,7,6,1,0,0,0,1,1,1,2,0,0,0,0.241,0.313,0.438,0.751,0.322,102,0,0,0,-0.1,0,999,sa1115829
Jordan Westburg,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.244,0.307,0.39,0.697,0.303,89,0,0,0,0,0,999,sa3014499
Terrin Vavra,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.24,0.313,0.367,0.68,0.299,86,0,0,0,0,0,999,sa3007643
Joseph Ortiz,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.238,0.295,0.367,0.662,0.289,79,0,0,0,0,0,999,sa3009889
John Rizer,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.241,0.288,0.398,0.685,0.295,84,0,0,0,0,0,999,sa1169761
Zachary Watson,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.232,0.273,0.416,0.689,0.294,83,0,0,0,0,0,999,sa3011258
Patrick Dorrian,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.222,0.295,0.386,0.681,0.295,84,0,0,0,0,0,999,sa3007629
Robert Neustrom,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.246,0.307,0.414,0.721,0.311,94,0,0,0,0,0,999,sa3006667
Cody Roberts,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.214,0.28,0.334,0.614,0.27,67,0,0,0,0,0,999,sa3007869
Christopher Hudgins,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.197,0.259,0.342,0.601,0.262,62,0,0,0,0,0,999,sa829684
Zachary Jarrett,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.223,0.282,0.36,0.642,0.28,74,0,0,0,0,0,999,sa3002883
Cadyn Grenier,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.209,0.283,0.317,0.6,0.267,65,0,0,0,0,0,999,sa3008140
Mason McCoy,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.223,0.275,0.329,0.604,0.265,63,0,0,0,0,0,999,sa3002758
Shayne Fontana,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.228,0.296,0.372,0.668,0.291,81,0,0,0,0,0,999,sa3010897
Gunnar Henderson,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.204,0.262,0.332,0.594,0.26,60,0,0,0,0,0,999,sa3011484
Andrew Daschbach,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.224,0.287,0.396,0.683,0.295,84,0,0,0,0,0,999,sa3011414
Doran Turchin,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.211,0.281,0.37,0.651,0.284,76,0,0,0,0,0,999,sa3006680
William Yahn,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.226,0.261,0.348,0.609,0.263,62,0,0,0,0,0,999,sa915589
Ramon Rodriguez,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.199,0.241,0.301,0.543,0.238,45,0,0,-0.1,0,0,999,sa918698
Toby Welk,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.228,0.285,0.378,0.663,0.288,79,0,0,0,0,0,999,sa1170296
Hudson Haskin,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.213,0.263,0.32,0.583,0.256,58,0,0,-0.1,0,0,999,sa3014449
Juan Escarra,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.225,0.292,0.366,0.658,0.287,78,0,0,0,0,0,999,sa738605
Benton Breazeale,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.19,0.254,0.27,0.524,0.236,44,0,0,-0.1,0,0,999,sa3002753
Jeffrey Mundy,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.223,0.278,0.389,0.667,0.286,78,0,0,0,0,0,999,sa3014886
Ryne Ogren,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.2,0.249,0.28,0.528,0.235,43,0,0,-0.1,0,0,999,sa3006726
Maverick Handley,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.178,0.239,0.275,0.514,0.229,39,0,0,-0.1,0,0,999,sa3010848
Colton Cowser,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.2,0.254,0.299,0.553,0.245,50,0,0,-0.1,0,0,999,sa3017018
Adam Hall,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.21,0.259,0.284,0.543,0.242,48,0,0,-0.1,0,0,999,sa3005077
Darell Hernaiz,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.208,0.243,0.284,0.527,0.232,41,0,0,-0.1,0,0,999,sa3011309
Coby Mayo,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.193,0.234,0.313,0.547,0.238,45,0,0,-0.1,0,0,999,sa3014479
Cristopher Cespedes,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.206,0.248,0.34,0.588,0.254,56,0,0,-0.1,0,0,999,sa872783
Jordan Cannon,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.169,0.215,0.269,0.484,0.213,29,0,0,-0.1,0,0,999,sa3010020
Anthony Graffanino,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.206,0.253,0.271,0.524,0.233,42,0,0,-0.1,0,0,999,sa3008030
Andrew Martinez,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.174,0.243,0.271,0.514,0.231,40,0,0,-0.1,0,0,999,sa3010691
Kirvin Moesquit,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.194,0.25,0.261,0.511,0.229,39,0,0,-0.1,0,0,999,sa829715
Charlie Harris,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.195,0.26,0.299,0.559,0.249,52,0,0,-0.1,0,0,999,sa3014888
