Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC,BsR,Fld,Off,Def,WAR,ADP,playerid
Rafael Devers,BOS,150,648,578,161,36,2,36,95,105,56,133,6,6,3,0.278,0.346,0.534,0.88,0.369,131,0.8,-2.6,25.4,-0.8,4.7,17.9,17350
Xander Bogaerts,BOS,150,649,572,158,36,1,25,85,92,67,120,5,6,2,0.276,0.354,0.473,0.828,0.354,121,0.4,-3.4,17,3.8,4.3,42.8,12161
Enrique Hernandez,BOS,149,661,579,142,34,3,25,90,75,62,127,9,3,1,0.246,0.326,0.441,0.767,0.33,105,0.6,-2.1,4.6,0.5,2.8,211,10472
Alex Verdugo,BOS,141,614,548,157,35,2,16,80,70,52,100,6,6,3,0.286,0.351,0.445,0.796,0.341,112,0.5,0.3,9.8,-6.6,2.4,155.8,17027
J.D. Martinez,BOS,150,653,581,156,34,2,31,88,98,61,154,5,1,1,0.269,0.342,0.495,0.837,0.353,120,-2.4,-0.5,13.8,-17.3,1.9,86.8,6184
Christian Vazquez,BOS,87,351,321,81,16,1,8,37,38,24,66,2,5,2,0.253,0.307,0.386,0.693,0.301,85,-1.2,1.1,-7.7,8.4,1.4,205.1,9774
Hunter Renfroe,BOS,133,553,497,119,25,1,32,71,86,46,141,4,3,1,0.238,0.305,0.482,0.787,0.333,106,-1.4,-2.2,3.1,-9,1.2,165.1,15464
Kevin Plawecki,BOS,62,249,223,59,13,1,6,29,28,19,43,3,1,1,0.266,0.33,0.414,0.744,0.323,100,-0.7,-1.4,-0.7,3,1.1,574.4,13807
Bobby Dalbec,BOS,139,545,486,114,21,3,29,70,78,44,173,8,4,1,0.234,0.306,0.471,0.776,0.329,104,-1,-1.8,1.9,-12.8,0.8,229.2,19966
Jarren Duran,BOS,115,472,429,108,21,4,13,56,53,30,120,6,15,6,0.252,0.307,0.412,0.718,0.31,91,0.1,0.9,-5.1,-3.4,0.8,396.7,24617
Christian Arroyo,BOS,55,225,205,50,11,1,7,26,26,13,53,4,2,1,0.246,0.302,0.413,0.716,0.309,90,-0.1,-0.1,-2.8,0.4,0.5,595.4,16434
Triston Casas,BOS,32,131,115,30,6,1,5,17,17,13,27,1,2,1,0.258,0.337,0.45,0.787,0.338,110,-0.1,0,1.6,-2.9,0.3,509.6,sa3007634
