Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC,BsR,Fld,Off,Def,WAR,ADP,playerid
Ian Happ,CHC,147,634,546,131,25,2,30,81,88,76,175,6,9,4,0.24,0.337,0.458,0.796,0.342,112,0,-0.3,9.9,-5.6,2.5,192.9,17919
Nico Hoerner,CHC,131,533,477,133,27,2,8,53,54,43,80,7,12,5,0.278,0.344,0.391,0.735,0.32,98,-0.1,-1.5,-1.7,5.1,2.1,400.5,21479
Willson Contreras,CHC,107,471,406,97,20,1,19,59,58,47,126,13,5,2,0.239,0.334,0.43,0.764,0.331,105,-1.4,-0.1,1.8,7.6,2.1,109.7,11609
Nick Madrigal,CHC,130,505,462,138,23,6,6,51,53,29,40,6,9,4,0.299,0.346,0.416,0.762,0.33,104,-0.8,-0.1,2,2,2.1,306.5,20521
Frank Schwindel,CHC,131,589,541,146,30,2,27,81,75,35,105,5,3,2,0.27,0.318,0.478,0.796,0.337,109,-1.1,0.3,5.7,-10.7,1.4,239.4,15351
Patrick Wisdom,CHC,134,566,504,107,19,1,29,66,79,50,208,6,5,2,0.212,0.287,0.427,0.714,0.305,88,-0.6,-0.6,-8.9,0.9,1.1,316.2,13602
Rafael Ortega,CHC,115,522,463,115,23,2,13,66,48,48,114,4,16,6,0.249,0.323,0.398,0.72,0.313,94,0.1,-4.4,-4.2,-2.5,1.1,330.4,10323
Jason Heyward,CHC,97,390,342,84,15,2,11,40,44,39,76,4,5,2,0.246,0.328,0.4,0.728,0.316,96,0.4,2.7,-1.8,-2.2,0.9,599.4,4940
Yan Gomes,CHC,52,212,193,48,9,1,7,23,26,14,46,3,1,0,0.249,0.306,0.42,0.725,0.31,91,-0.4,0.5,-2.8,3.7,0.7,349.6,9627
David Bote,CHC,47,192,169,40,8,1,6,21,22,18,46,3,1,1,0.239,0.32,0.402,0.722,0.314,94,0,-0.7,-1.5,-0.4,0.5,600.2,14593
