Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC,BsR,Fld,Off,Def,WAR,ADP,playerid
Luis Robert,CHW,149,636,579,165,33,2,30,89,91,41,141,8,14,6,0.285,0.339,0.507,0.846,0.358,129,0.3,0.8,23,3.3,4.8,18.8,20043
Yasmani Grandal,CHW,127,536,433,102,18,1,26,73,72,92,128,5,1,1,0.235,0.373,0.458,0.831,0.361,131,-3.1,-1.4,17.4,5.2,4.5,97,11368
Yoan Moncada,CHW,149,651,559,144,31,2,21,84,78,77,168,8,4,2,0.258,0.353,0.433,0.786,0.342,118,0,0.5,14.3,1.7,3.8,141.7,17232
Tim Anderson,CHW,150,692,645,182,34,2,23,95,76,31,144,5,19,6,0.283,0.319,0.448,0.767,0.328,109,2.5,-8.2,9.7,-0.7,3.3,34.9,15172
Eloy Jimenez,CHW,146,620,567,151,28,1,33,82,98,42,147,5,1,1,0.267,0.32,0.495,0.815,0.346,121,-0.2,-2.2,15.3,-11.6,2.5,60.7,17484
Jose Abreu,CHW,150,655,584,151,30,2,32,86,98,52,151,14,1,1,0.258,0.331,0.477,0.808,0.344,120,-1.6,-2.6,14.1,-15.5,2.1,67.7,15676
Andrew Vaughn,CHW,115,467,413,106,22,1,19,57,61,42,96,6,2,1,0.257,0.331,0.45,0.782,0.336,114,-0.8,0,7.3,-8.5,1.5,225.9,26197
Leury Garcia,CHW,112,447,408,105,19,2,7,46,44,29,96,4,6,2,0.258,0.312,0.37,0.682,0.298,88,0.5,-0.6,-5.9,1.4,1.1,486.3,5913
Gavin Sheets,CHW,110,453,407,105,18,1,20,56,61,37,100,4,2,1,0.257,0.321,0.449,0.771,0.331,110,-0.9,-1.2,4.9,-10.6,1,462,19901
Adam Engel,CHW,87,356,323,76,16,1,11,40,40,21,92,7,9,4,0.234,0.293,0.389,0.682,0.296,87,0.6,1.9,-5.2,-1.9,0.5,595.4,15082
Romy Gonzalez,CHW,28,111,101,25,5,0,4,13,14,8,30,1,3,1,0.245,0.303,0.422,0.725,0.311,97,0,-0.5,-0.3,0,0.3,999,21562
Danny Mendick,CHW,39,153,137,32,6,0,4,17,16,12,32,1,2,1,0.237,0.305,0.366,0.672,0.294,86,-0.1,0.1,-2.7,0.8,0.3,999,18889
Jake Burger,CHW,13,52,48,12,2,0,2,6,7,3,15,1,0,0,0.255,0.306,0.464,0.769,0.327,108,0,0,0.4,0.2,0.2,591.5,22275
