Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC,BsR,Fld,Off,Def,WAR,ADP,playerid
Jonathan India,CIN,149,679,579,149,32,2,23,96,69,73,147,16,12,4,0.257,0.354,0.437,0.791,0.344,109,-0.2,0.9,8,3.4,3.4,95.4,21523
Jesse Winker,CIN,131,590,503,140,28,1,26,90,75,69,102,11,2,1,0.279,0.374,0.497,0.872,0.373,129,-2.3,-4.6,19.2,-11.2,2.8,107.2,13590
Tyler Stephenson,CIN,104,429,378,100,21,1,13,48,51,41,81,6,1,1,0.264,0.342,0.424,0.766,0.333,102,-0.7,-0.2,0.5,7.9,2.1,135.9,17988
Joey Votto,CIN,149,655,553,137,25,2,31,88,91,90,154,5,2,1,0.248,0.356,0.466,0.822,0.352,115,-3.4,-0.9,8.8,-13.3,1.7,151.2,4314
Eugenio Suarez,CIN,116,493,431,96,18,1,25,61,71,51,142,7,2,1,0.224,0.314,0.444,0.758,0.326,98,-1.6,-2.6,-3,-0.9,1.2,202.3,12552
Kyle Farmer,CIN,125,499,457,116,23,2,13,50,58,25,100,10,4,2,0.253,0.305,0.4,0.705,0.305,84,-0.5,-1.9,-10.7,4.4,1,498.3,14813
Mike Moustakas,CIN,81,339,302,72,15,1,16,42,49,29,68,4,1,1,0.24,0.312,0.453,0.765,0.326,98,-1.1,-2.2,-1.9,-2.7,0.7,377.8,4892
T.J. Friedl,CIN,79,308,273,71,12,2,9,33,36,25,52,5,6,3,0.261,0.331,0.418,0.749,0.324,97,-0.2,-1.7,-1.5,-2.1,0.7,601,19522
Tyler Naquin,CIN,117,489,447,114,23,2,18,57,65,31,121,5,5,2,0.256,0.309,0.436,0.745,0.319,93,-0.2,-2.3,-4.5,-5.3,0.6,364.2,13359
Nick Senzel,CIN,38,161,145,38,8,1,4,19,18,13,31,1,4,2,0.263,0.326,0.425,0.751,0.325,97,-0.1,-0.7,-0.7,-0.4,0.4,465.9,19293
Jose Barrero,CIN,31,121,110,28,6,0,4,13,15,7,28,2,3,1,0.253,0.308,0.425,0.733,0.315,91,0,-0.1,-1.4,0.9,0.3,426.4,23378
Asdrubal Cabrera,CIN,62,257,229,54,12,1,7,29,29,24,58,2,1,0,0.235,0.31,0.387,0.697,0.303,90,-1.3,-0.3,-4.6,-1.9,0.2,595.7,4962
Aristides Aquino,CIN,61,248,219,49,9,1,13,31,35,23,76,3,3,1,0.222,0.302,0.447,0.75,0.319,93,-0.1,-0.7,-2.2,-4.2,0.2,600.9,15482
Shogo Akiyama,CIN,37,151,133,33,6,0,3,17,15,14,33,2,3,1,0.252,0.33,0.38,0.711,0.312,89,-0.2,-0.3,-2.4,-1,0.2,999,27461
Alejo Lopez,CIN,5,20,18,5,1,0,0,2,2,1,2,0,0,0,0.28,0.336,0.387,0.723,0.316,91,0,-0.1,-0.2,0,0,999,21127
Mark Kolozsvary,CIN,12,50,44,9,2,0,1,5,5,4,16,1,0,0,0.2,0.275,0.337,0.612,0.27,62,0,0,-2.5,1,0,999,sa3004996
Lorenzo Cedrola,CIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.276,0.314,0.416,0.731,0.315,91,0,0,0,0,0,999,sa872850
Francisco Urbaez,CIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.269,0.325,0.387,0.712,0.311,88,0,0,0,0,0,999,sa3014944
Brian Rey,CIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.257,0.309,0.392,0.702,0.305,84,0,0,0,0,0,999,sa3007307
Charles Robinson,CIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.22,0.284,0.357,0.64,0.28,68,0,0,0,0,0,999,sa918471
Cristian Santana,CIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.261,0.29,0.403,0.693,0.297,79,0,0,0,0,0,999,sa829387
Aramis Garcia,CIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.215,0.268,0.366,0.634,0.274,64,0,0,0,0,0,999,16925
Quincy McAfee,CIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.234,0.306,0.36,0.666,0.293,77,0,0,0,0,0,999,sa1159899
Taylor Sparks,CIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.221,0.28,0.398,0.677,0.292,76,0,0,0,0,0,999,sa599278
Leonardo Rivas,CIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.236,0.313,0.334,0.647,0.288,73,0,0,0,0,0,999,sa872542
Robert Tenerowicz,CIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.23,0.29,0.368,0.658,0.287,73,0,0,0,0,0,999,sa738999
Matthew Lloyd,CIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.227,0.29,0.422,0.712,0.306,85,0,0,0,0,0,999,sa1169978
Jake Bauers,CIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.233,0.321,0.392,0.713,0.312,89,0,0,0,0,0,600.1,15194
Christopher Okey,CIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.205,0.271,0.342,0.613,0.267,59,0,0,-0.1,0,0,999,sa738505
