Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC,BsR,Fld,Off,Def,WAR,ADP,playerid
Jose Ramirez,CLE,150,663,570,152,35,4,34,97,101,80,97,7,23,7,0.266,0.36,0.52,0.88,0.37,136,2.1,1.1,31.3,3.2,5.7,4.2,13510
Amed Rosario,CLE,138,599,555,153,27,5,14,70,64,32,117,4,10,4,0.276,0.318,0.417,0.735,0.316,100,0.8,-1.6,0.7,5.3,2.6,161.4,15518
Myles Straw,CLE,130,544,476,124,23,1,5,60,43,56,104,3,22,7,0.262,0.341,0.344,0.685,0.306,93,2.1,1.7,-2.7,3.8,2,134.7,17620
Franmil Reyes,CLE,149,634,563,141,22,2,38,85,101,62,189,4,4,2,0.25,0.326,0.5,0.826,0.349,122,-2,0,14.9,-17.4,1.9,116.1,14566
Andres Gimenez,CLE,115,454,414,103,21,2,13,51,51,24,103,9,16,6,0.248,0.301,0.403,0.704,0.304,91,0.4,2.6,-4.4,4.9,1.6,281.1,19950
Austin Hedges,CLE,92,355,323,66,12,1,13,36,40,23,101,4,2,1,0.205,0.263,0.367,0.631,0.272,70,-0.6,1.4,-13.8,9,1.5,565.5,12976
Steven Kwan,CLE,86,348,313,88,16,2,9,41,41,27,41,3,5,2,0.281,0.342,0.437,0.778,0.336,113,-0.2,0,5.4,-4.1,1.3,540.7,sa3008536
Josh Naylor,CLE,58,235,213,58,12,1,9,27,30,18,41,2,2,1,0.272,0.33,0.453,0.784,0.335,113,-0.2,-1.5,3.4,-5.3,0.6,563.8,18839
Oscar Mercado,CLE,65,259,232,57,12,1,7,28,28,20,50,3,7,3,0.244,0.311,0.39,0.701,0.305,92,0.4,1,-2,-1.7,0.5,584.5,16375
Nolan Jones,CLE,55,223,193,45,10,1,7,26,25,25,65,2,3,1,0.235,0.325,0.403,0.728,0.317,100,-0.1,0,0,-2.5,0.5,571,sa917941
Bobby Bradley,CLE,120,500,445,95,18,1,27,60,70,43,170,7,1,1,0.212,0.288,0.441,0.729,0.311,96,-1,0.6,-3.5,-9.4,0.4,404.9,17278
Bradley Zimmer,CLE,79,326,285,63,12,1,8,35,31,28,112,9,10,3,0.219,0.306,0.354,0.66,0.292,84,0.4,1.5,-6.1,-1.1,0.4,506.4,16221
Yu Chang,CLE,57,227,207,49,10,1,8,25,26,15,59,2,2,1,0.236,0.292,0.408,0.701,0.302,90,-0.1,-0.3,-3,-1.7,0.3,591.2,14773
Harold Ramirez,CLE,34,142,132,38,8,1,4,16,19,7,25,2,1,1,0.285,0.327,0.449,0.776,0.332,106,0.1,-0.8,1.1,-3,0.3,524.9,14387
Richard Palacios,CLE,18,72,64,17,4,0,1,8,7,6,13,1,2,1,0.264,0.336,0.395,0.731,0.32,102,0,0,0.2,0.1,0.3,597.6,sa3006908
Bryan Lavastida,CLE,15,61,55,14,3,0,2,7,6,5,13,1,2,1,0.247,0.31,0.388,0.698,0.303,91,0,0,-0.7,1.3,0.3,999,sa3006917
Sandy Leon,CLE,44,172,155,31,6,0,4,16,16,12,48,2,1,0,0.199,0.264,0.32,0.584,0.258,60,-0.8,-0.3,-9.2,3.4,0.1,999,5273
Owen Miller,CLE,40,163,149,37,7,0,4,16,17,10,38,1,1,0,0.245,0.296,0.376,0.672,0.292,83,-0.2,-0.3,-3.6,-1,0.1,599.8,24655
Ernie Clement,CLE,11,44,41,10,2,0,1,4,4,2,7,0,1,0,0.256,0.303,0.361,0.664,0.29,82,0,-0.2,-1,0.1,0.1,999,20352
Daniel Johnson,CLE,13,52,47,11,2,0,2,6,6,4,16,0,1,0,0.226,0.286,0.397,0.683,0.294,85,0,0.1,-1,-0.6,0,999,19643
William Benson,CLE,8,33,29,6,1,0,1,4,4,4,11,0,1,0,0.204,0.297,0.385,0.682,0.297,86,0,0,-0.6,-0.4,0,999,sa917927
Gabriel Arias,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.259,0.307,0.4,0.707,0.306,93,0,0,0,0,0,599,sa3004047
George Valera,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.241,0.325,0.444,0.769,0.331,110,0,0,0,0,0,999,sa3006872
Tyler Freeman,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.266,0.307,0.375,0.682,0.296,86,0,0,0,0,0,999,sa3004755
William Brennan,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.256,0.314,0.386,0.699,0.305,92,0,0,0,0,0,999,sa3010039
Alex Call,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.24,0.308,0.393,0.701,0.305,92,0,0,0,0,0,999,sa913343
Brayan Rocchio,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.248,0.294,0.388,0.682,0.295,85,0,0,0,0,0,999,sa3005898
Gavin Collins,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.216,0.277,0.347,0.625,0.273,71,0,0,0,0,0,999,sa857219
Daniel Schneemann,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.236,0.287,0.357,0.644,0.281,76,0,0,0,0,0,999,sa3006936
Jose Fermin,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.249,0.3,0.362,0.661,0.289,81,0,0,0,0,0,999,sa917339
Noah Naylor,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.201,0.266,0.337,0.603,0.264,64,0,0,0,0,0,999,sa3008247
Michael Rivera,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.207,0.269,0.32,0.589,0.26,62,0,0,0,0,0,999,sa829667
Victor Nova,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.218,0.284,0.337,0.621,0.274,71,0,0,0,0,0,999,sa3006075
Jose Tena,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.226,0.261,0.346,0.607,0.262,63,0,0,0,0,0,999,sa3005482
Trenton Brooks,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.239,0.305,0.39,0.695,0.301,90,0,0,0,0,0,999,sa873268
Jhonkensy Noel,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.236,0.274,0.408,0.682,0.289,82,0,0,0,0,0,999,sa3005579
Pablo Sandoval,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.227,0.294,0.401,0.695,0.3,89,0,0,0,0,0,999,5409
Isaac Freeman,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.213,0.269,0.309,0.578,0.256,59,0,0,-0.1,0,0,999,sa3010167
Michael Amditis,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.185,0.24,0.29,0.53,0.234,44,0,0,-0.1,0,0,999,sa3010148
Jonathan Engelmann,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.22,0.283,0.357,0.64,0.28,75,0,0,0,0,0,999,sa3006858
Christopher Roller,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.219,0.278,0.334,0.611,0.267,67,0,0,0,0,0,999,sa3004068
Andres Melendez,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.177,0.236,0.271,0.506,0.226,39,0,0,-0.1,0,0,999,sa3005523
Cody Farhat,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.198,0.243,0.318,0.561,0.245,51,0,0,-0.1,0,0,999,sa3008078
Philip Scolamiero,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.198,0.264,0.332,0.595,0.262,63,0,0,0,0,0,999,sa3002837
Joseph Donovan,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.17,0.225,0.273,0.498,0.221,35,0,0,-0.1,0,0,999,sa3015088
Micah Pries,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.21,0.256,0.339,0.595,0.258,60,0,0,0,0,0,999,sa3014830
Christian Cairo,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.189,0.253,0.275,0.529,0.237,46,0,0,-0.1,0,0,999,sa3010028
Micael Ramirez,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.185,0.228,0.257,0.485,0.216,32,0,0,-0.1,0,0,999,sa3004883
Marcos Gonzalez,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.216,0.269,0.34,0.609,0.266,66,0,0,0,0,0,999,sa3003311
Alexfri Planez,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.198,0.226,0.319,0.545,0.235,45,0,0,-0.1,0,0,999,sa3005515
Peter Halpin,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.201,0.244,0.29,0.534,0.235,45,0,0,-0.1,0,0,999,sa3014461
Johnathan Rodriguez,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.214,0.258,0.321,0.579,0.253,57,0,0,-0.1,0,0,999,sa3004147
Julian Escobedo,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.189,0.235,0.289,0.524,0.23,42,0,0,-0.1,0,0,999,sa3010030
Raynel Delgado,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.195,0.24,0.281,0.521,0.23,41,0,0,-0.1,0,0,999,sa3007288
Aaron Bracho,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.182,0.237,0.28,0.517,0.229,41,0,0,-0.1,0,0,999,sa3010018
Angel Martinez,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.196,0.24,0.277,0.517,0.228,40,0,0,-0.1,0,0,999,sa3008762
Quentin Holmes,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.179,0.225,0.265,0.49,0.217,33,0,0,-0.1,0,0,999,sa3004776
Angel Lopez,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.158,0.206,0.233,0.44,0.197,19,0,0,-0.1,0,0,999,sa3004167
Joseph Naranjo,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.201,0.254,0.299,0.552,0.244,51,0,0,-0.1,0,0,999,sa3010025
Jorge Burgos,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.193,0.23,0.289,0.519,0.227,39,0,0,-0.1,0,0,999,sa3008929
Milan Tolentino,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.173,0.205,0.241,0.446,0.197,19,0,0,-0.1,0,0,999,sa3014544
Eric Rodriguez,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.146,0.192,0.218,0.41,0.184,10,0,0,-0.1,0,0,999,sa185525
Gabriel Rodriguez,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.183,0.218,0.243,0.461,0.204,24,0,0,-0.1,0,0,999,sa3008744
Yordys Valdes,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.174,0.211,0.224,0.435,0.194,17,0,0,-0.1,0,0,999,sa3010037
Korey Holland,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.174,0.226,0.262,0.487,0.217,33,0,0,-0.1,0,0,999,sa3008249
Victor Planchart,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.145,0.181,0.201,0.382,0.171,1,0,0,-0.1,0,0,999,sa3005555
Richard Paz,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.14,0.174,0.2,0.374,0.167,-1,0,0,-0.1,0,0,999,sa3005928
William Bartlett,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.168,0.22,0.27,0.489,0.216,32,0,0,-0.1,0,0,999,sa3010032
Miguel Jerez,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.159,0.213,0.263,0.477,0.212,29,0,0,-0.1,0,0,999,sa917754
