Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC,BsR,Fld,Off,Def,WAR,ADP,playerid
Brendan Rodgers,COL,130,579,533,150,30,3,21,78,70,31,113,8,2,1,0.281,0.327,0.467,0.794,0.339,98,-0.4,0.6,-1.7,3.1,2.1,153.1,17907
Ryan McMahon,COL,134,564,497,128,27,2,22,69,76,56,144,5,5,2,0.257,0.334,0.452,0.786,0.337,97,-0.2,0.9,-2.2,1.7,1.8,167.5,15112
C.J. Cron,COL,134,574,504,135,28,1,30,77,91,54,125,10,1,1,0.268,0.348,0.509,0.857,0.363,114,-2.1,-0.4,8,-11.6,1.5,128.7,12546
Elias Diaz,COL,84,342,309,82,16,1,11,38,43,26,59,3,1,0,0.265,0.326,0.436,0.762,0.327,91,-0.7,0.3,-4.7,7.4,1.2,253.9,11680
Connor Joe,COL,84,383,329,87,18,1,14,55,40,43,80,5,3,1,0.266,0.356,0.453,0.81,0.35,106,-0.2,0.9,2.6,-4,1.1,352.9,16572
Charlie Blackmon,COL,130,568,507,141,27,4,19,71,74,47,98,8,3,1,0.278,0.346,0.454,0.8,0.343,101,-0.7,-2.1,0.1,-8.6,1,232.7,7859
Dom Nunez,COL,62,241,208,42,8,1,9,25,27,27,75,2,1,0,0.203,0.298,0.378,0.676,0.292,68,-0.1,-0.8,-10,4.3,0.4,579.5,15055
Colton Welker,COL,62,244,220,58,11,1,7,27,29,18,51,2,2,1,0.261,0.32,0.423,0.743,0.32,86,-0.2,-0.4,-4.5,-0.2,0.3,589.8,19961
Raimel Tapia,COL,109,487,444,125,27,3,8,61,44,33,78,3,16,5,0.282,0.334,0.408,0.742,0.321,87,1.2,-1,-7,-5.8,0.3,279.5,14350
Alan Trejo,COL,78,306,284,72,16,2,9,34,37,16,66,2,4,2,0.254,0.296,0.423,0.719,0.307,77,-0.4,-1.8,-9.1,1.5,0.2,999,20056
Elehuris Montero,COL,8,33,30,8,2,0,2,4,5,2,7,0,0,0,0.275,0.333,0.495,0.828,0.352,107,0,0,0.3,0.1,0.2,596.6,sa872477
Sam Hilliard,COL,94,375,335,78,14,3,17,42,50,32,118,3,7,3,0.231,0.301,0.437,0.737,0.313,82,0,-3.3,-8.8,-2.2,0.1,382.2,17954
Yonathan Daza,COL,62,253,233,65,12,2,3,26,25,14,45,2,3,1,0.279,0.323,0.388,0.711,0.309,79,-0.2,0.6,-6.9,-0.1,0.1,599.7,15794
Brian Serven,COL,5,19,17,4,1,0,1,2,2,1,4,0,0,0,0.236,0.288,0.414,0.702,0.301,74,0,0,-0.6,0.4,0,999,sa857231
Tim Lopes,COL,2,6,6,2,0,0,0,1,1,0,1,0,0,0,0.259,0.313,0.4,0.714,0.309,79,0,0,-0.2,0,0,999,14137
William MacIver,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.23,0.286,0.379,0.665,0.288,65,0,0,0,0,0,999,sa3007828
Jameson Hannah,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.261,0.314,0.385,0.699,0.304,76,0,0,0,0,0,999,sa3007046
Sean Bouchard,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.259,0.311,0.437,0.748,0.32,86,0,0,0,0,0,999,sa915652
Max George,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.21,0.288,0.35,0.637,0.281,60,0,0,-0.1,0,0,999,sa829010
Robert Montes,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.255,0.298,0.399,0.697,0.3,73,0,0,0,0,0,999,sa3006715
Bret Boswell,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.244,0.294,0.403,0.697,0.3,73,0,0,0,0,0,999,sa918769
Brian Mundell,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.258,0.319,0.402,0.721,0.313,82,0,0,0,0,0,999,sa875185
Michael Toglia,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.242,0.307,0.441,0.748,0.32,86,0,0,0,0,0,999,sa3010393
Taylor Snyder,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.245,0.294,0.431,0.725,0.31,79,0,0,0,0,0,999,sa738930
Matthew Hearn,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.254,0.304,0.347,0.65,0.285,63,0,0,0,0,0,999,sa918523
Ezequiel Tovar,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.246,0.274,0.364,0.638,0.275,57,0,0,-0.1,0,0,999,sa3008239
Isaac Collins,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.245,0.298,0.352,0.651,0.285,63,0,0,0,0,0,999,sa3009884
Daniel Cope,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.214,0.276,0.322,0.598,0.264,50,0,0,-0.1,0,0,999,sa3010157
Matthew McLaughlin,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.249,0.303,0.34,0.644,0.284,62,0,0,0,0,0,999,sa915706
Jack Blomgren,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.232,0.291,0.32,0.611,0.271,54,0,0,-0.1,0,0,999,sa3014825
Nicholas Decolati,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.234,0.282,0.357,0.639,0.278,59,0,0,-0.1,0,0,999,sa3006670
