Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC,BsR,Fld,Off,Def,WAR,ADP,playerid
Alex Bregman,HOU,146,643,539,145,33,1,27,90,91,90,84,8,2,1,0.269,0.38,0.484,0.863,0.37,139,-1,-2.8,29.5,-0.3,5.1,90.8,17678
Jose Altuve,HOU,147,681,603,170,32,1,26,101,79,62,97,5,8,3,0.282,0.352,0.469,0.821,0.352,127,0.8,-4.1,23,-1.7,4.5,69.4,5417
Kyle Tucker,HOU,147,605,539,150,32,4,31,84,92,55,105,4,14,5,0.278,0.348,0.522,0.87,0.366,136,0.3,0.6,26.9,-6.7,4.1,10.4,18345
Yordan Alvarez,HOU,146,628,554,155,32,1,37,92,109,62,145,7,1,1,0.279,0.356,0.543,0.9,0.378,144,-0.4,0,33.3,-16.5,3.8,31,19556
Michael Brantley,HOU,125,561,506,147,29,2,15,75,66,43,70,6,2,1,0.291,0.35,0.444,0.794,0.342,120,-0.8,-1.6,12.9,-9.2,2.3,242.2,4106
Yuli Gurriel,HOU,139,589,529,148,31,1,18,72,76,48,75,5,2,1,0.281,0.344,0.442,0.786,0.339,117,-1.3,-2.3,11.2,-13.9,1.7,191.1,19198
Jeremy Pena,HOU,99,383,350,86,15,2,13,44,47,21,88,6,7,3,0.245,0.296,0.41,0.706,0.304,94,-0.2,0,-3,4.9,1.5,481.1,sa876320
Jake Meyers,HOU,107,423,383,95,18,1,14,49,51,28,104,6,8,3,0.248,0.306,0.408,0.714,0.309,97,-0.1,-0.2,-1.5,0.1,1.3,576.6,20308
Martin Maldonado,HOU,107,404,354,69,13,1,11,43,40,39,118,5,2,1,0.196,0.282,0.335,0.617,0.273,73,-1.9,2.8,-15.3,11.7,1.1,515.3,6887
Aledmys Diaz,HOU,87,365,330,83,18,1,11,42,44,24,68,6,2,1,0.253,0.313,0.415,0.728,0.312,100,-0.7,-3.4,-0.8,-1.1,1,573.4,15937
Jason Castro,HOU,38,146,125,26,5,0,5,17,16,17,45,2,1,0,0.21,0.31,0.373,0.683,0.3,91,-0.5,-0.2,-2,3,0.6,580,8722
Chas McCormick,HOU,70,281,249,58,10,1,9,30,32,24,77,3,4,2,0.233,0.307,0.382,0.69,0.301,92,-0.3,1.5,-2.9,-0.5,0.6,436.8,19599
Jose Siri,HOU,53,221,203,48,9,1,7,25,26,12,71,2,8,3,0.235,0.284,0.397,0.681,0.293,87,0.1,-2.4,-3.5,-2,0.2,542.2,17452
Garrett Stubbs,HOU,21,83,73,16,4,0,1,8,8,8,18,1,1,1,0.224,0.305,0.337,0.642,0.286,75,0,0.2,-2.6,2,0.2,999,18067
Taylor Jones,HOU,15,59,53,13,3,0,2,7,7,5,15,1,0,0,0.245,0.318,0.41,0.727,0.315,101,-0.1,0,0,-1,0.1,999,19533
Korey Lee,HOU,6,24,22,5,1,0,1,3,3,1,5,0,0,0,0.239,0.291,0.372,0.663,0.287,82,0,0,-0.5,0.5,0.1,999,sa3010034
Pedro Leon,HOU,5,20,18,4,1,0,0,2,2,2,6,0,1,0,0.212,0.286,0.338,0.623,0.274,74,0,0,-0.6,0.2,0,999,sa3014838
Scott Manea,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.226,0.299,0.365,0.664,0.292,86,0,0,0,0,0,999,sa829837
Lucas Berryhill,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.222,0.289,0.377,0.666,0.29,85,0,0,0,0,0,999,sa3011587
Cesar Salazar,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.226,0.279,0.378,0.656,0.283,80,0,0,0,0,0,999,sa3008107
Joseph Perez,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.244,0.292,0.399,0.691,0.298,90,0,0,0,0,0,999,sa3006868
Michael Papierski,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.206,0.3,0.315,0.616,0.277,76,0,0,0,0,0,999,sa829203
Enmanuel Valdez,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.232,0.283,0.399,0.682,0.293,86,0,0,0,0,0,999,sa917288
Yainer Diaz,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.233,0.267,0.358,0.625,0.27,71,0,0,0,0,0,999,sa3003386
Martin Costes,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.248,0.324,0.374,0.698,0.307,96,0,0,0,0,0,999,sa3006783
David Hensley,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.241,0.296,0.365,0.661,0.287,83,0,0,0,0,0,999,sa3006733
Norel Gonzalez,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.25,0.306,0.422,0.728,0.313,100,0,0,0,0,0,999,sa3014819
Bryan Arias,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.215,0.274,0.375,0.648,0.281,78,0,0,0,0,0,999,sa3011265
Alexander McKenna,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.22,0.282,0.363,0.645,0.281,79,0,0,0,0,0,999,sa3008003
Matthew Barefoot,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.224,0.268,0.38,0.648,0.279,77,0,0,0,0,0,999,sa3010145
Corey Julks,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.241,0.299,0.383,0.682,0.295,88,0,0,0,0,0,999,sa913274
Cameron Stubbs,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.2,0.255,0.327,0.582,0.255,61,0,0,0,0,0,999,sa3010328
Luis Santana,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.233,0.282,0.346,0.628,0.275,74,0,0,0,0,0,999,sa921577
Joseph Matijevic,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.224,0.289,0.412,0.702,0.302,92,0,0,0,0,0,999,sa829488
Graeber Kessinger,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.216,0.269,0.325,0.594,0.261,65,0,0,0,0,0,999,sa3010327
Jean Correa,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.232,0.27,0.326,0.596,0.26,65,0,0,0,0,0,999,sa3014823
Shay Whitcomb,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.209,0.253,0.337,0.59,0.257,62,0,0,0,0,0,999,sa3014948
Alexander Holderbach,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.191,0.245,0.315,0.56,0.245,54,0,0,-0.1,0,0,999,sa3006789
Ross Adolph,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.217,0.283,0.372,0.655,0.285,81,0,0,0,0,0,999,sa3006666
Scott Schreiber,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.239,0.288,0.4,0.688,0.295,88,0,0,0,0,0,999,sa3007637
Carmen Benedetti,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.214,0.292,0.339,0.631,0.279,77,0,0,0,0,0,999,sa918269
Ramiro Rodriguez,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.218,0.284,0.35,0.633,0.278,76,0,0,0,0,0,999,sa917287
Anibal Sierra,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.197,0.254,0.286,0.541,0.241,51,0,0,-0.1,0,0,999,sa908626
Justin Dirden,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.2,0.265,0.343,0.608,0.266,68,0,0,0,0,0,999,sa3014986
Nathan Perry,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.176,0.228,0.275,0.503,0.222,39,0,0,-0.1,0,0,999,sa3004756
Ronnie Dawson,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.22,0.292,0.355,0.647,0.284,80,0,0,0,0,0,999,19710
Nerio Rodriguez,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.178,0.235,0.254,0.489,0.219,37,0,0,-0.1,0,0,999,sa3003325
Colton Shaver,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.183,0.268,0.34,0.608,0.268,70,0,0,0,0,0,999,sa915847
Wilyer Abreu,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.202,0.259,0.327,0.586,0.257,62,0,0,0,0,0,999,sa3005082
Michael Sandle,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.19,0.231,0.305,0.536,0.234,47,0,0,-0.1,0,0,999,sa3017048
Zachary Daniels,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.177,0.24,0.276,0.516,0.23,44,0,0,-0.1,0,0,999,sa3014935
Freudis Nova,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.188,0.233,0.262,0.496,0.22,37,0,0,-0.1,0,0,999,sa3003195
Kobe Kato,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.19,0.246,0.266,0.512,0.229,44,0,0,-0.1,0,0,999,sa3017052
Miguel Palma,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.167,0.215,0.248,0.463,0.206,28,0,0,-0.1,0,0,999,sa3009279
Deury Carrasco,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.174,0.232,0.252,0.484,0.217,35,0,0,-0.1,0,0,999,sa3003330
Jordan Brewer,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.184,0.235,0.275,0.51,0.226,41,0,0,-0.1,0,0,999,sa3011737
Yohander Martinez,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.191,0.247,0.252,0.499,0.225,41,0,0,-0.1,0,0,999,sa3008775
Jose Alvarez,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.174,0.215,0.245,0.459,0.204,27,0,0,-0.1,0,0,999,sa3003377
Kenedy Corona,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.186,0.228,0.272,0.5,0.221,38,0,0,-0.1,0,0,999,sa3009845
William Wagner,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.189,0.233,0.263,0.496,0.22,37,0,0,-0.1,0,0,999,sa3017079
Luis Guerrero,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.191,0.243,0.294,0.537,0.237,49,0,0,-0.1,0,0,999,sa3010713
