Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC,BsR,Fld,Off,Def,WAR,ADP,playerid
Robert Witt,KCR,134,545,496,133,29,3,24,71,75,35,116,6,18,7,0.267,0.321,0.481,0.803,0.341,114,0.1,0,9.7,2,3,94.4,sa3011225
Salvador Perez,KCR,141,617,575,149,26,1,37,81,102,27,151,10,1,1,0.26,0.302,0.504,0.806,0.338,113,-1.6,5.6,8,11.1,2.6,32.2,7304
Whit Merrifield,KCR,149,689,629,174,37,3,14,90,62,43,103,6,29,8,0.277,0.327,0.409,0.736,0.318,99,2.5,-1.4,1.9,-0.3,2.5,29.8,11281
Nicky Lopez,KCR,141,568,506,135,23,4,5,62,49,48,79,5,14,6,0.267,0.334,0.359,0.693,0.306,91,0.7,-1.4,-5.3,5.3,1.9,236,19339
Andrew Benintendi,KCR,130,557,495,130,27,2,17,68,67,51,108,5,12,5,0.263,0.335,0.429,0.765,0.331,108,0,0.5,5.4,-6,1.8,200.4,17901
Michael A. Taylor,KCR,125,494,449,108,23,2,13,52,53,34,136,5,11,5,0.24,0.298,0.386,0.684,0.297,85,0.5,2.2,-8.6,4.3,1.3,429.2,11489
Adalberto Mondesi,KCR,136,563,523,130,27,4,19,67,68,29,154,4,42,12,0.248,0.291,0.423,0.714,0.305,90,3.3,2.3,-3.3,-4.6,1.1,59.4,13769
Kyle Isbel,KCR,100,400,361,93,18,3,10,45,45,28,85,5,11,4,0.259,0.319,0.412,0.731,0.315,97,0.1,0.1,-1.2,-3.4,0.9,513.2,21614
Carlos Santana,KCR,99,432,365,87,16,1,15,54,50,60,71,3,1,1,0.239,0.348,0.411,0.759,0.331,108,-0.8,-0.3,3.4,-9.3,0.9,458.2,2396
Nicholas Pratto,KCR,53,217,191,47,9,2,11,29,30,21,61,2,4,2,0.246,0.325,0.479,0.804,0.342,115,-0.1,0,4,-4.8,0.7,509.8,sa3004138
Mervyl Melendez,KCR,28,113,101,26,5,1,6,15,16,10,25,1,1,1,0.256,0.327,0.493,0.82,0.348,119,-0.1,0,2.6,0.1,0.7,427,sa3004139
Hunter Dozier,KCR,117,479,426,100,21,4,15,54,55,43,129,5,5,2,0.235,0.309,0.411,0.72,0.312,95,-0.6,-1.2,-3.7,-7.6,0.5,370.6,15117
Cam Gallagher,KCR,23,90,81,20,4,0,2,9,9,7,17,1,1,0,0.246,0.309,0.366,0.675,0.296,84,-0.2,-0.2,-1.9,1.7,0.4,600,12981
Edward Olivares,KCR,29,117,107,28,5,1,4,13,14,7,21,2,3,1,0.261,0.314,0.428,0.742,0.319,100,0,-0.3,-0.1,-1.2,0.3,561.5,19698
Emmanuel Rivera,KCR,23,90,83,22,4,0,3,10,11,5,18,1,1,0,0.261,0.308,0.427,0.735,0.315,97,0,-0.3,-0.3,-1.2,0.2,999,19890
