Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC,BsR,Fld,Off,Def,WAR,ADP,playerid
Mike Trout,LAA,147,648,520,141,25,3,37,102,102,110,149,11,7,2,0.271,0.406,0.546,0.952,0.399,155,0.5,0.3,44.2,-5,6.1,14.2,10155
Anthony Rendon,LAA,133,575,493,134,31,1,21,76,79,69,90,8,2,1,0.271,0.367,0.466,0.833,0.357,127,0.1,1.5,19.2,3.7,4.3,103.4,12861
Shohei Ohtani,LAA,147,657,554,142,25,5,39,106,99,89,182,5,24,9,0.257,0.363,0.533,0.895,0.371,137,0.2,0,29.7,-17,3.5,7.9,19755
Max Stassi,LAA,98,398,352,78,14,1,15,44,47,35,117,6,1,1,0.223,0.301,0.392,0.693,0.302,90,-1.1,-2.7,-6.1,5.4,2.6,287.8,10059
Jared Walsh,LAA,150,643,572,149,31,2,33,86,98,58,166,7,3,1,0.26,0.333,0.49,0.823,0.347,120,-1.3,1.3,14.9,-11.2,2.6,114.1,18607
David Fletcher,LAA,150,659,603,166,32,3,6,77,56,43,65,3,12,4,0.275,0.323,0.369,0.692,0.302,90,0.6,-0.1,-7.4,3.1,1.8,334.3,17992
Brandon Marsh,LAA,123,514,458,111,21,4,11,56,52,45,150,5,9,4,0.243,0.315,0.377,0.692,0.303,90,0.5,0.5,-5.6,2.5,1.4,375.4,20202
Matt Thaiss,LAA,52,212,186,43,8,1,7,24,24,21,49,2,1,1,0.23,0.313,0.39,0.702,0.306,92,-0.3,0.2,-2.3,2.9,0.8,999,19318
Jo Adell,LAA,126,511,469,114,21,3,21,60,68,31,140,5,8,3,0.243,0.294,0.437,0.731,0.312,97,-0.3,-1.3,-2.5,-7.4,0.7,238.4,20220
Luis Rengifo,LAA,50,200,180,44,8,1,5,23,22,16,37,2,5,2,0.246,0.312,0.391,0.702,0.305,92,0,-0.6,-2,0.7,0.6,999,19858
Justin Upton,LAA,78,333,293,67,12,0,15,42,43,33,98,4,3,1,0.227,0.312,0.43,0.741,0.32,102,-0.1,-2.3,0.6,-7,0.5,546.8,5222
Michael Stefanic,LAA,16,66,60,16,3,0,1,7,7,4,10,1,1,0,0.274,0.33,0.397,0.726,0.316,99,-0.1,0,-0.1,0.3,0.2,999,sa3008479
Jack Mayfield,LAA,36,141,130,30,6,0,5,16,17,8,31,2,2,1,0.233,0.285,0.397,0.682,0.293,84,-0.2,-0.7,-2.9,0.4,0.2,999,15402
Andrew Velazquez,LAA,34,135,122,28,6,1,3,15,14,9,38,1,6,2,0.23,0.288,0.363,0.652,0.284,78,0.3,-0.7,-3.4,1,0.2,999,14196
Brendon Davis,LAA,6,26,24,6,1,0,1,3,3,2,6,0,0,0,0.246,0.306,0.435,0.741,0.318,101,0,0,0,0.1,0.1,999,sa875089
Chad Wallach,LAA,11,41,37,7,1,0,1,4,4,4,13,0,0,0,0.201,0.278,0.343,0.621,0.273,70,-0.1,-0.1,-1.6,0.7,0.1,999,17161
Taylor Ward,LAA,6,26,23,6,1,0,1,3,3,3,7,0,0,0,0.25,0.333,0.424,0.757,0.328,108,0,0,0.2,-0.4,0.1,597.9,17548
Jose Rojas,LAA,6,26,24,6,1,0,1,3,3,2,6,0,0,0,0.239,0.3,0.414,0.713,0.306,93,-0.1,-0.1,-0.3,-0.4,0,999,19331
Anthony Mulrine,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.217,0.284,0.339,0.623,0.275,71,0,0,0,0,0,999,sa1170373
Michael Cruz,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.206,0.27,0.357,0.627,0.272,70,0,0,0,0,0,999,sa918049
David MacKinnon,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.25,0.331,0.395,0.726,0.318,100,0,0,0,0,0,999,sa873706
Orlando Martinez,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.243,0.293,0.404,0.697,0.299,88,0,0,0,0,0,999,sa3006664
Trey Cabbage,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.222,0.28,0.416,0.696,0.297,87,0,0,0,0,0,999,sa875022
Brennon Lund,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.223,0.277,0.357,0.635,0.276,73,0,0,0,0,0,999,sa857730
Livan Soto,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.216,0.27,0.322,0.591,0.26,61,0,0,0,0,0,999,sa3004264
Torii Hunter,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.216,0.281,0.321,0.602,0.266,66,0,0,0,0,0,999,sa738667
Dillon Thomas,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.222,0.292,0.356,0.648,0.284,78,0,0,0,0,0,999,12719
Ryan Aguilar,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.193,0.28,0.31,0.589,0.263,64,0,0,0,0,0,999,sa918712
Henry Gatewood,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.201,0.248,0.365,0.613,0.263,64,0,0,0,0,0,999,sa828685
Braxton Martinez,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.225,0.288,0.366,0.654,0.285,78,0,0,0,0,0,999,sa3005373
Gabe Matthews,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.216,0.279,0.369,0.648,0.281,76,0,0,0,0,0,999,sa3016920
Jeremy Arocho,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.218,0.279,0.278,0.556,0.25,55,0,0,-0.1,0,0,999,sa3004046
Preston Palmeiro,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.221,0.27,0.358,0.628,0.272,70,0,0,0,0,0,999,sa857823
Kyren Paris,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.186,0.244,0.271,0.515,0.23,41,0,0,-0.1,0,0,999,sa3011768
Gustavo Campero,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.179,0.224,0.267,0.491,0.217,33,0,0,-0.1,0,0,999,sa3003242
Francisco Del Valle,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.195,0.259,0.322,0.581,0.256,58,0,0,-0.1,0,0,999,sa918323
Jordyn Adams,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.188,0.242,0.287,0.529,0.234,44,0,0,-0.1,0,0,999,sa3008032
Jeremiah Jackson,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.178,0.224,0.282,0.506,0.222,36,0,0,-0.1,0,0,999,sa3007740
Jose Guzman,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.186,0.235,0.255,0.49,0.219,34,0,0,-0.1,0,0,999,sa3005601
Kevin Maitan,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.189,0.229,0.287,0.517,0.227,39,0,0,-0.1,0,0,999,sa969045
Carlos Reina,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.16,0.21,0.231,0.441,0.198,20,0,0,-0.1,0,0,999,sa917054
Edgar Quero,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.157,0.198,0.24,0.438,0.194,17,0,0,-0.1,0,0,999,sa3015239
Arol Vera,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.184,0.214,0.246,0.46,0.203,23,0,0,-0.1,0,0,999,sa3014687
D'Shawn Knowles,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.179,0.218,0.263,0.481,0.212,29,0,0,-0.1,0,0,999,sa3006889
Kyle Kasser,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.222,0.267,0.28,0.548,0.243,50,0,0,-0.1,0,0,999,sa3006916
Osmy Gregorio,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.179,0.221,0.252,0.473,0.21,28,0,0,-0.1,0,0,999,sa917348
Carson Matthews,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.182,0.219,0.246,0.465,0.206,25,0,0,-0.1,0,0,999,sa3016873
Kenyon Yovan,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.176,0.225,0.293,0.518,0.227,39,0,0,-0.1,0,0,999,sa3016839
Edwin Yon,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.163,0.21,0.285,0.495,0.216,32,0,0,-0.1,0,0,999,sa872464
Jorge Ruiz,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.162,0.201,0.23,0.431,0.192,16,0,0,-0.1,0,0,999,sa3015873
Alexander Ramirez,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.155,0.192,0.242,0.434,0.191,15,0,0,-0.1,0,0,999,sa3008757
Jose Bonilla,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.16,0.195,0.239,0.434,0.192,15,0,0,-0.1,0,0,999,sa3011404
Jose Reyes,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.172,0.214,0.263,0.477,0.21,28,0,0,-0.1,0,0,999,sa3005490
Cade Cabbiness,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.149,0.203,0.249,0.451,0.2,21,0,0,-0.1,0,0,999,sa3016855
Starlin Gill,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.171,0.204,0.253,0.457,0.201,21,0,0,-0.1,0,0,999,sa3008737
Kevin Watson,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.146,0.189,0.221,0.41,0.183,10,0,0,-0.1,0,0,999,sa3005151
Natanael Santana,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.143,0.175,0.217,0.392,0.173,3,0,0,-0.1,0,0,999,sa3008950
Trent Deveaux,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.142,0.178,0.212,0.389,0.173,3,0,0,-0.1,0,0,999,sa3006885
William Rivera,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.142,0.182,0.202,0.384,0.172,2,0,0,-0.1,0,0,999,sa3007748
Pedro Diaz,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.14,0.173,0.21,0.383,0.17,1,0,0,-0.1,0,0,999,sa917465
