Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC,BsR,Fld,Off,Def,WAR,ADP,playerid
Mookie Betts,LAD,150,692,589,160,35,3,30,112,82,85,108,8,17,5,0.272,0.369,0.492,0.86,0.368,133,2.1,7.4,31,0.8,5.5,15.5,13611
Trea Turner,LAD,150,681,613,178,34,3,25,104,83,53,118,6,27,7,0.29,0.35,0.477,0.827,0.353,123,3.5,-3.8,23.7,3.7,5,1.9,16252
Will Smith,LAD,112,468,401,99,19,1,24,64,71,52,98,9,2,1,0.247,0.344,0.479,0.824,0.351,122,-1.1,0.1,11.8,8.7,3.6,61,19197
Max Muncy,LAD,127,551,455,113,20,1,29,79,83,83,119,8,2,1,0.249,0.371,0.49,0.861,0.368,133,-0.2,2.5,22.9,-7.8,3.3,155.9,13301
Justin Turner,LAD,134,590,517,141,26,1,22,78,80,56,101,12,2,1,0.273,0.354,0.456,0.81,0.35,121,-1.7,-5,14.3,-2.8,3.1,161.1,5235
Cody Bellinger,LAD,134,543,472,115,22,3,27,69,79,61,118,3,8,3,0.243,0.331,0.469,0.801,0.339,114,0.1,-0.5,9.6,0.1,2.8,95.8,15998
Chris Taylor,LAD,146,604,527,129,29,4,18,69,71,63,167,7,9,3,0.244,0.33,0.415,0.745,0.323,104,1,-3.7,3.7,-2.9,2.1,139.2,13757
A.J. Pollock,LAD,125,493,446,116,24,1,22,60,71,34,101,6,7,2,0.26,0.319,0.469,0.788,0.334,111,-0.4,-2.7,6.3,-8.4,1.4,226.3,9256
Gavin Lux,LAD,73,296,261,68,12,2,8,34,35,29,61,2,3,1,0.26,0.335,0.416,0.751,0.325,105,0.2,-0.4,1.9,0.9,1.3,221.6,19955
Austin Barnes,LAD,41,158,138,31,6,0,4,17,17,15,38,2,1,1,0.228,0.312,0.368,0.68,0.298,88,-0.1,-0.5,-2.6,2.6,0.8,588.1,12158
Matt Beaty,LAD,46,182,162,42,8,1,5,21,22,13,34,4,2,1,0.257,0.326,0.411,0.737,0.32,102,-0.1,-0.7,0.3,-4.2,0.2,590.2,17710
Zach Reks,LAD,37,150,132,31,6,0,5,17,17,13,46,2,1,0,0.234,0.309,0.399,0.708,0.308,95,-0.2,-0.2,-1,-2.1,0.2,999,19667
Zach McKinstry,LAD,35,140,126,31,6,1,4,15,17,10,31,1,2,1,0.243,0.304,0.403,0.706,0.305,92,-0.1,-0.6,-1.6,-1.6,0.1,592.5,19392
Luke Raley,LAD,16,63,57,14,2,0,3,7,8,4,18,2,1,0,0.24,0.301,0.419,0.721,0.31,95,0,-0.2,-0.4,-1.1,0.1,999,19354
Hunter Feduccia,LAD,3,12,11,3,0,0,0,1,1,1,3,0,0,0,0.236,0.3,0.372,0.672,0.293,84,0,0,-0.3,0.3,0,999,sa3007872
Edwin Rios,LAD,13,52,47,10,2,0,2,6,7,4,18,1,0,0,0.222,0.288,0.419,0.706,0.303,91,-0.1,0.1,-0.7,-1,0,565.3,18316
Miguel Vargas,LAD,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.278,0.326,0.452,0.778,0.333,110,0,0,0,0,0,999,sa3006896
Michael Busch,LAD,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.241,0.314,0.402,0.717,0.312,96,0,0,0,0,0,999,sa3011540
Tomas Telis,LAD,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.261,0.299,0.378,0.677,0.293,84,0,0,0,0,0,999,10067
James Outman,LAD,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.229,0.295,0.399,0.694,0.3,89,0,0,0,0,0,999,sa3007312
Andy Burns,LAD,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.231,0.31,0.389,0.699,0.305,92,0,0,0,0,0,999,12779
Drew Avans,LAD,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.236,0.307,0.369,0.676,0.296,86,0,0,0,0,0,999,sa3006937
Sheldon Neuse,LAD,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.25,0.299,0.398,0.697,0.301,89,0,0,0,0,0,999,19635
Andy Pages,LAD,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.228,0.299,0.433,0.732,0.314,98,0,0,0,0,0,999,sa3005625
Ryan Noda,LAD,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.228,0.316,0.422,0.738,0.319,101,0,0,0,0,0,999,sa873960
Carson Taylor,LAD,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.218,0.277,0.338,0.616,0.27,69,0,0,0,0,0,999,sa3014468
Justin Yurchak,LAD,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.269,0.328,0.404,0.732,0.318,100,0,0,0,0,0,999,sa915590
