Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC,BsR,Fld,Off,Def,WAR,ADP,playerid
Miguel Rojas,MIA,130,588,533,142,28,2,10,70,50,39,80,6,12,4,0.266,0.322,0.385,0.707,0.308,95,-0.4,0.5,-3.9,7,2.3,384.1,7802
Avisail Garcia,MIA,139,608,548,145,25,1,23,72,78,44,142,10,9,4,0.264,0.328,0.44,0.768,0.328,108,-0.7,2.4,5.9,-4.1,2.2,173.3,5760
Jazz Chisholm Jr.,MIA,126,568,512,124,21,4,22,73,63,43,148,6,22,9,0.241,0.304,0.427,0.732,0.314,99,0.5,-2.8,0.1,0.1,1.9,76.9,20454
Jesus Aguilar,MIA,115,498,440,115,22,1,22,62,69,50,97,4,1,0,0.262,0.34,0.463,0.803,0.343,118,-1.5,-0.4,10,-10,1.6,282.5,11342
Brian Anderson,MIA,113,468,409,98,20,1,14,49,52,44,116,9,4,2,0.24,0.326,0.395,0.721,0.314,99,-0.1,-0.8,-0.4,1.1,1.6,413.8,18289
Jesus Sanchez,MIA,125,524,474,121,17,6,24,63,76,40,129,5,3,1,0.255,0.317,0.468,0.785,0.332,111,-1.3,-1.6,6,-7.8,1.5,237.6,19913
Bryan De La Cruz,MIA,123,493,449,120,22,2,12,48,56,33,107,4,5,3,0.266,0.32,0.408,0.728,0.315,100,-0.5,-3.3,-0.7,-1.6,1.4,472.1,19600
Garrett Cooper,MIA,53,223,196,51,10,1,8,26,28,22,58,3,1,1,0.262,0.342,0.437,0.779,0.337,114,-0.8,-0.4,3.3,-3.9,0.7,506.6,15279
Nick Fortes,MIA,31,123,112,29,5,0,4,13,14,8,20,2,1,1,0.256,0.314,0.411,0.726,0.314,99,-0.1,-0.4,-0.2,2.1,0.5,592.7,21538
Jon Berti,MIA,31,125,108,26,5,0,2,13,11,13,29,2,4,1,0.239,0.327,0.352,0.679,0.302,92,0.4,-0.6,-0.9,-0.5,0.3,573.1,12037
Lewin Diaz,MIA,52,212,195,47,9,1,10,25,30,12,45,2,1,0,0.239,0.288,0.453,0.742,0.313,99,-0.2,0.3,-0.6,-3.7,0.3,560.8,18365
Edmund Burdick,MIA,10,40,35,8,2,0,1,4,4,4,11,1,1,0,0.226,0.313,0.394,0.707,0.308,95,0,0,-0.3,0.2,0.1,999,sa3009876
Alex Jackson,MIA,14,54,48,9,2,0,2,5,6,4,20,1,0,0,0.198,0.272,0.383,0.656,0.283,79,-0.1,0,-1.5,1.2,0.1,999,17276
Payton Henry,MIA,6,24,22,5,1,0,1,2,2,2,7,0,0,0,0.234,0.294,0.368,0.662,0.288,82,0,0,-0.6,0.5,0.1,999,22164
Isan Diaz,MIA,17,67,59,13,3,0,2,7,7,7,17,1,1,0,0.227,0.31,0.376,0.687,0.297,88,-0.1,-0.6,-1.1,-0.6,0.1,596.2,17922
Monte Harrison,MIA,41,168,152,33,6,1,5,17,18,11,61,2,7,2,0.216,0.278,0.364,0.642,0.279,77,0.3,0.1,-4.7,-0.5,0,999,17216
Jeffrey Bleday,MIA,8,33,30,7,1,0,1,3,3,3,7,0,0,0,0.225,0.302,0.369,0.672,0.295,87,0,0,-0.6,-0.4,0,598.6,sa3011642
Francisco Cervelli,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.22,0.309,0.353,0.662,0.294,86,0,0,0,0,0,999,5275
Bryson Brigman,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.248,0.306,0.338,0.644,0.284,80,0,0,0,0,0,999,sa829857
Jose Devers,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.251,0.298,0.349,0.646,0.283,79,0,0,0,0,0,999,20540
Griffin Conine,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.212,0.279,0.432,0.711,0.303,92,0,0,0,0,0,999,sa876060
Erik Gonzalez,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.246,0.284,0.359,0.642,0.278,76,0,0,0,0,0,600,13369
Ray-Patrick Didder,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.22,0.293,0.317,0.61,0.272,72,0,0,0,0,0,999,sa736824
David Hollins,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.228,0.285,0.347,0.632,0.277,75,0,0,0,0,0,999,sa829697
Jarrod Orr,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.255,0.31,0.366,0.676,0.296,87,0,0,0,0,0,999,sa3009875
Luis Aviles,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.227,0.278,0.343,0.621,0.271,72,0,0,0,0,0,999,sa738445
Victor Mesa,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.233,0.282,0.333,0.615,0.27,71,0,0,0,0,0,999,sa3008602
Brian Miller,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.244,0.291,0.333,0.624,0.273,73,0,0,0,0,0,999,20047
Joseph Dunand,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.216,0.269,0.335,0.604,0.264,67,0,0,0,0,0,999,sa3005360
Lorenzo Quintana,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.245,0.292,0.389,0.681,0.294,86,0,0,0,0,0,999,sa3005394
Jerar Encarnacion,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.222,0.279,0.367,0.646,0.28,77,0,0,0,0,0,999,sa943817
Demetrius Sims,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.205,0.266,0.295,0.561,0.25,58,0,0,-0.1,0,0,999,sa3004390
Riley Mahan,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.211,0.261,0.316,0.578,0.253,59,0,0,-0.1,0,0,999,sa829844
Lazaro Alonso,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.215,0.298,0.339,0.636,0.281,78,0,0,0,0,0,999,sa3002722
Troy Johnston,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.23,0.289,0.351,0.641,0.28,77,0,0,0,0,0,999,sa3010899
Jose Chavez,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.188,0.242,0.275,0.517,0.229,44,0,0,-0.1,0,0,999,sa657706
Tristan Pompey,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.207,0.287,0.313,0.6,0.268,69,0,0,0,0,0,999,sa3008077
Deven Marrero,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.206,0.271,0.324,0.594,0.262,65,0,0,0,0,0,999,13325
Devin Hairston,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.198,0.251,0.285,0.537,0.238,50,0,0,-0.1,0,0,999,sa915575
Dustin Skelton,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.174,0.224,0.28,0.503,0.222,39,0,0,-0.1,0,0,999,sa3011327
Victor Mesa,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.209,0.244,0.301,0.545,0.238,50,0,0,-0.1,0,0,999,sa3010700
John-Daniel Osborne,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.216,0.271,0.338,0.609,0.266,68,0,0,0,0,0,999,sa3005053
William Banfield,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.174,0.222,0.266,0.487,0.216,35,0,0,-0.1,0,0,999,sa3007973
Christopher Torres,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.182,0.244,0.247,0.491,0.222,40,0,0,-0.1,0,0,999,sa872538
Bennett Hostetler,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.195,0.23,0.301,0.531,0.232,46,0,0,-0.1,0,0,999,sa3017120
Ynmanol Marinez,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.196,0.228,0.273,0.501,0.219,38,0,0,-0.1,0,0,999,sa3005716
Jan Mercado,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.169,0.215,0.256,0.471,0.209,31,0,0,-0.1,0,0,999,sa3005152
Nasim Nunez,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.188,0.238,0.239,0.477,0.215,35,0,0,-0.1,0,0,999,sa3010695
Dalvy Rosario,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.19,0.229,0.255,0.484,0.215,35,0,0,-0.1,0,0,999,sa3005712
Nicholas Ready,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.177,0.223,0.288,0.511,0.224,41,0,0,-0.1,0,0,999,sa3009892
Thomas Jones,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.193,0.253,0.294,0.547,0.243,53,0,0,-0.1,0,0,999,sa917968
Jose Salas,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.186,0.22,0.251,0.47,0.208,30,0,0,-0.1,0,0,999,sa3014690
William Bradshaw,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.21,0.247,0.285,0.531,0.234,47,0,0,-0.1,0,0,999,sa3007031
Cameron Barstad,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.152,0.201,0.233,0.434,0.194,21,0,0,-0.1,0,0,999,sa3011350
