Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC,BsR,Fld,Off,Def,WAR,ADP,playerid
Willy Adames,MIL,143,628,553,140,29,1,23,81,73,63,168,4,7,3,0.252,0.33,0.437,0.767,0.331,105,0.5,-1.4,4.4,5.7,3.1,135.3,15986
Christian Yelich,MIL,146,644,540,139,27,2,25,87,83,91,156,6,12,4,0.257,0.368,0.457,0.825,0.354,120,1.4,-1.8,17.6,-9,3,98.3,11477
Luis Urias,MIL,139,564,488,124,25,2,19,65,69,60,112,9,6,2,0.255,0.344,0.431,0.775,0.336,108,-0.7,2.9,5,5.5,2.9,156,16622
Kolten Wong,MIL,136,628,557,148,32,3,14,84,56,48,104,13,16,5,0.265,0.335,0.409,0.744,0.323,100,1.3,1.7,1.1,3.9,2.6,203.5,12532
Omar Narvaez,MIL,90,373,326,81,14,0,10,39,41,38,75,5,1,0,0.249,0.334,0.389,0.723,0.316,95,-1,-1.7,-3.3,5.8,1.9,245.8,13338
Lorenzo Cain,MIL,124,486,431,114,21,1,11,51,52,43,89,5,14,5,0.265,0.336,0.396,0.732,0.32,98,1,1.6,-0.5,3.4,1.9,424.2,9077
Rowdy Tellez,MIL,102,431,386,100,19,2,21,54,66,36,94,6,1,0,0.258,0.327,0.481,0.809,0.342,112,-0.8,-0.3,5.8,-8.8,1.1,340.8,15679
Tyrone Taylor,MIL,73,300,271,66,13,2,11,35,38,20,70,5,4,2,0.243,0.304,0.429,0.733,0.314,94,-0.1,0.3,-2.5,-1.8,0.6,496.4,13675
Jackie Bradley Jr.,MIL,91,363,321,69,16,2,9,39,37,30,99,6,5,2,0.215,0.293,0.362,0.655,0.287,76,0.4,1,-10.4,2.5,0.4,589.9,12984
Pedro Severino,MIL,56,230,206,49,9,0,7,23,26,19,58,2,1,0,0.236,0.305,0.382,0.687,0.299,84,-0.8,-0.5,-5.4,4.1,0.2,457.4,14523
Jace Peterson,MIL,41,166,144,34,7,1,4,18,17,18,38,1,3,1,0.238,0.328,0.379,0.708,0.312,92,0.1,-0.9,-1.5,-2.2,0.2,567.3,12325
Mike Brosseau,MIL,62,262,235,54,11,1,9,29,30,20,70,4,2,1,0.231,0.301,0.393,0.694,0.301,86,-0.5,0.2,-5.3,-1.7,0.2,593.5,19683
Pablo Reyes,MIL,11,45,40,10,2,0,1,5,5,3,9,0,1,0,0.246,0.308,0.387,0.695,0.301,85,0,-0.2,-0.8,0.1,0.1,999,16357
Keston Hiura,MIL,33,138,123,28,6,0,5,16,17,11,45,3,2,1,0.229,0.302,0.41,0.713,0.308,90,0,0.1,-1.8,-2.5,0,433.7,20003
Brett Sullivan,MIL,2,6,6,1,0,0,0,1,1,0,1,0,0,0,0.231,0.284,0.358,0.642,0.28,72,0,0,-0.2,0.1,0,999,sa857232
Garrett Mitchell,MIL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.237,0.318,0.401,0.719,0.313,93,0,0,0,0,0,999,sa3014438
Jamie Westbrook,MIL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.257,0.311,0.413,0.725,0.312,93,0,0,0,0,0,999,sa737824
Brice Turang,MIL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.242,0.313,0.342,0.655,0.289,78,0,0,0,0,0,999,sa3008294
Korry Howell,MIL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.226,0.291,0.39,0.681,0.295,81,0,0,0,0,0,999,sa3008238
Jakson Reetz,MIL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.207,0.279,0.335,0.614,0.271,66,0,0,0,0,0,999,17837
David Fry,MIL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.228,0.29,0.38,0.67,0.291,79,0,0,0,0,0,999,sa3006787
Gabriel Holt,MIL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.253,0.316,0.341,0.657,0.291,79,0,0,0,0,0,999,sa3011899
Dustin Peterson,MIL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.259,0.311,0.408,0.719,0.311,92,0,0,0,0,0,999,15189
Joseph Wiemer,MIL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.232,0.289,0.417,0.707,0.302,86,0,0,0,0,0,999,sa3014531
Hayden Cantrelle,MIL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.205,0.302,0.326,0.628,0.281,73,0,0,0,0,0,999,sa3014426
Weston Wilson,MIL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.236,0.301,0.421,0.721,0.31,91,0,0,0,0,0,999,sa873690
Brent Diaz,MIL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.203,0.268,0.323,0.592,0.261,59,0,0,-0.1,0,0,999,sa3004297
Tyler Austin,MIL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.216,0.29,0.425,0.715,0.306,89,0,0,0,0,0,999,11850
Thomas Dillard,MIL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.226,0.304,0.403,0.707,0.307,89,0,0,0,0,0,999,sa3011308
Garrett Whitley,MIL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.218,0.295,0.387,0.682,0.297,83,0,0,0,0,0,999,sa874244
Felix Valerio,MIL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.233,0.288,0.342,0.63,0.277,70,0,0,0,0,0,999,sa3005613
Andruw Monasterio,MIL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.23,0.296,0.33,0.626,0.277,70,0,0,0,0,0,999,sa830359
Mark Mathias,MIL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.235,0.306,0.382,0.688,0.3,85,0,0,0,0,0,999,18032
Ryon Healy,MIL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.236,0.292,0.419,0.711,0.305,88,0,0,0,0,0,999,15447
Lucas Erceg,MIL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.212,0.271,0.355,0.627,0.273,67,0,0,0,0,0,999,sa872722
Cory Spangenberg,MIL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.23,0.289,0.354,0.643,0.281,73,0,0,0,0,0,999,12294
