Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC,BsR,Fld,Off,Def,WAR,ADP,playerid
Byron Buxton,MIN,131,567,521,139,33,2,31,82,85,32,136,7,15,5,0.268,0.316,0.514,0.831,0.35,123,1.8,4.4,17.6,6.5,4.3,64.8,14161
Josh Donaldson,MIN,138,606,511,127,27,1,30,87,84,81,135,7,1,1,0.249,0.357,0.48,0.837,0.358,128,-1.7,-3.3,19.3,-6.4,3.4,206.5,5038
Jorge Polanco,MIN,a,654,590,158,34,2,24,85,83,50,114,6,11,5,0.267,0.328,0.454,0.782,0.336,113,0.5,-9.7,10.8,-2.5,3.1,80.4,13152
Luis Arraez,MIN,144,627,558,167,30,5,6,77,57,56,62,4,5,2,0.299,0.364,0.402,0.766,0.335,112,0.2,-2.4,9.6,-1,3,305.8,18568
Max Kepler,MIN,130,557,480,112,24,3,24,74,70,63,105,7,8,3,0.233,0.328,0.443,0.771,0.331,110,0.3,3.6,7.1,-2.6,2.3,271,12144
Mitch Garver,MIN,95,399,347,81,18,1,17,50,51,42,115,5,2,1,0.232,0.322,0.433,0.755,0.326,107,-0.6,-1.5,2.6,5,2.1,189.8,15161
Jose Miranda,MIN,102,414,380,107,22,1,15,52,54,23,53,5,3,1,0.282,0.329,0.46,0.789,0.337,114,-0.3,0,6.6,-1.1,2,441.1,sa917952
Alex Kirilloff,MIN,110,461,421,113,22,2,18,57,63,30,97,5,4,2,0.268,0.322,0.459,0.781,0.332,110,-0.4,0.1,5.4,-11.3,1,167.6,20325
Ryan Jeffers,MIN,44,172,154,34,6,0,7,20,21,14,52,2,1,0,0.219,0.291,0.403,0.694,0.3,89,-0.3,-0.5,-2.7,3.1,0.8,449.3,24618
Trevor Larnach,MIN,91,381,336,79,16,1,12,43,43,35,119,6,2,1,0.234,0.315,0.391,0.706,0.308,95,-0.8,-0.1,-3.3,-4.8,0.5,525.4,21501
Nick Gordon,MIN,45,182,167,43,9,1,4,20,20,10,41,2,6,2,0.257,0.305,0.392,0.697,0.302,90,0.1,-0.7,-2.1,0.5,0.5,536.3,16337
Brent Rooker,MIN,65,274,240,54,11,1,13,35,35,24,87,6,1,1,0.225,0.308,0.436,0.745,0.32,102,-0.2,-1.8,0.6,-5.6,0.4,599.8,19627
Ben Rortvedt,MIN,20,77,69,16,3,0,2,8,8,5,19,1,0,0,0.226,0.288,0.375,0.663,0.288,81,0,0.2,-1.8,1.8,0.4,999,20287
Gilberto Celestino,MIN,15,57,52,13,3,0,1,6,6,4,12,1,1,0,0.246,0.305,0.386,0.692,0.3,89,0,0,-0.8,-0.2,0.1,999,20233
Spencer Steer,MIN,2,7,6,1,0,0,0,1,1,0,1,0,0,0,0.242,0.302,0.415,0.717,0.309,95,0,0,0,0,0,999,sa3010586
Jake Cave,MIN,11,46,41,10,2,0,1,5,5,3,15,1,0,0,0.229,0.294,0.375,0.669,0.292,83,0,0,-1,-0.4,0,999,14477
Miguel Sano,MIN,149,615,535,120,25,1,34,79,87,68,214,5,3,1,0.224,0.315,0.462,0.776,0.331,110,-1,-14.9,6.3,-27.1,0,274,12164
Kyle Garlick,MIN,3,14,13,3,1,0,1,2,2,1,4,0,0,0,0.227,0.279,0.417,0.696,0.297,87,0,0,-0.2,-0.2,0,999,18063
Christopher Martin,MIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.243,0.327,0.355,0.683,0.303,91,0,0,0,0,0,600.1,sa3014454
Steven Berman,MIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.216,0.289,0.331,0.62,0.274,72,0,0,0,0,0,999,sa873599
Royce Lewis,MIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.233,0.285,0.363,0.649,0.282,77,0,0,0,0,0,999,sa3004259
Jermaine Palacios,MIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.226,0.283,0.358,0.641,0.28,75,0,0,0,0,0,999,sa828886
Alexander Isola,MIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.208,0.268,0.345,0.614,0.268,67,0,0,0,0,0,999,sa1170516
Derek Fisher,MIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.227,0.313,0.402,0.715,0.311,96,0,0,0,0,0,999,16192
Edouard Julien,MIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.214,0.295,0.351,0.646,0.284,78,0,0,0,0,0,999,sa3014445
Leobaldo Cabrera,MIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.219,0.295,0.402,0.696,0.301,89,0,0,0,0,0,999,sa872551
Chris Williams,MIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.188,0.269,0.319,0.588,0.261,62,0,0,0,0,0,999,sa3007028
Caleb Hamilton,MIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.189,0.268,0.314,0.582,0.259,61,0,0,0,0,0,999,sa738961
Jordan Gore,MIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.221,0.279,0.313,0.592,0.262,63,0,0,0,0,0,999,sa3004127
Ryan Costello,MIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.22,0.298,0.387,0.686,0.298,88,0,0,0,0,0,999,sa3004071
Joseph Cronin,MIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.206,0.285,0.316,0.6,0.268,67,0,0,0,0,0,999,sa857761
Mark Contreras,MIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.217,0.282,0.381,0.663,0.286,80,0,0,0,0,0,999,sa3004164
Ernie De La Trinidad,MIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.233,0.29,0.365,0.655,0.286,79,0,0,0,0,0,999,sa3003955
Curtis Terry,MIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.234,0.29,0.413,0.703,0.302,90,0,0,0,0,0,999,18881
James Kerrigan,MIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.218,0.271,0.381,0.652,0.28,75,0,0,0,0,0,999,sa3005235
David Banuelos,MIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.193,0.24,0.305,0.545,0.238,47,0,0,-0.1,0,0,999,sa3004056
Roy Morales,MIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.252,0.308,0.345,0.653,0.288,81,0,0,0,0,0,999,sa829030
Gabriel Maciel,MIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.215,0.268,0.3,0.568,0.252,56,0,0,-0.1,0,0,999,sa919532
Jair Camargo,MIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.187,0.225,0.305,0.53,0.23,42,0,0,-0.1,0,0,999,sa917333
Yunior Severino,MIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.21,0.261,0.304,0.565,0.249,54,0,0,-0.1,0,0,999,sa3003185
Charles Mack,MIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.178,0.236,0.27,0.506,0.225,38,0,0,-0.1,0,0,999,sa3008250
Kyle Schmidt,MIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.184,0.242,0.265,0.507,0.225,38,0,0,-0.1,0,0,999,sa3010707
Alexander Wiel,MIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.213,0.269,0.368,0.638,0.276,72,0,0,0,0,0,999,sa857249
Matthew Wallner,MIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.204,0.257,0.352,0.609,0.264,64,0,0,0,0,0,999,sa918808
