Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC,BsR,Fld,Off,Def,WAR,ADP,playerid
Francisco Lindor,NYM,150,667,590,148,29,3,30,90,90,64,116,7,13,5,0.252,0.329,0.463,0.792,0.336,116,-0.2,2,13.3,9.5,4.5,48,12916
Pete Alonso,NYM,150,649,562,145,26,2,42,93,111,68,141,13,2,1,0.258,0.349,0.534,0.884,0.37,138,-2.5,-0.1,28.8,-12.7,3.8,51.4,19251
Brandon Nimmo,NYM,130,596,493,128,26,4,16,86,55,85,125,10,9,4,0.259,0.376,0.426,0.802,0.352,126,0,-0.1,19.7,-5.4,3.4,292.9,12927
Starling Marte,NYM,134,607,545,146,28,2,18,83,65,40,116,14,30,9,0.269,0.332,0.426,0.758,0.327,110,2.8,-3.4,10.5,-1.1,2.9,31.1,9241
Mark Canha,NYM,136,580,485,113,22,3,18,69,63,70,129,18,8,3,0.232,0.347,0.403,0.75,0.331,112,-0.4,-2.1,8.6,-8.6,1.9,254.6,11445
Eduardo Escobar,NYM,138,566,513,123,23,3,22,63,74,43,117,3,2,1,0.24,0.301,0.429,0.73,0.312,100,-0.8,-1.5,-1.1,0.8,1.8,187.1,6153
Jeff McNeil,NYM,91,386,346,96,20,1,9,46,43,27,54,9,3,1,0.278,0.344,0.425,0.769,0.333,114,-0.6,-1.1,6.2,-3.6,1.5,310.8,15362
James McCann,NYM,95,373,336,77,13,1,11,35,40,26,103,4,2,1,0.229,0.292,0.369,0.661,0.288,84,-0.8,1,-8.3,9,1,328.8,12859
Robinson Cano,NYM,98,410,375,96,20,1,11,44,50,26,70,5,2,1,0.256,0.309,0.4,0.71,0.306,96,-1.1,-1.9,-3.3,-1.3,0.9,498.5,3269
J.D. Davis,NYM,50,211,183,45,9,0,7,25,25,22,58,3,1,0,0.245,0.333,0.414,0.748,0.325,108,-0.5,-1,1.8,-1.5,0.7,452.5,16219
Tomas Nido,NYM,48,191,177,39,8,1,5,18,20,9,49,2,1,1,0.223,0.266,0.359,0.625,0.269,72,-0.5,-0.2,-7.3,3.8,0.7,999,13755
