Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC,BsR,Fld,Off,Def,WAR,ADP,playerid
Aaron Judge,NYY,150,665,568,155,26,1,41,104,108,84,172,5,5,2,0.274,0.37,0.537,0.907,0.383,146,-0.2,4.6,37.2,-2.9,5.7,35.1,15640
Gleyber Torres,NYY,150,632,556,149,28,1,23,81,83,64,118,4,14,6,0.269,0.346,0.445,0.791,0.341,118,-0.3,-2.2,13.2,1.1,3.6,151.4,16997
Joey Gallo,NYY,147,633,519,108,18,1,40,91,98,101,217,7,4,2,0.208,0.342,0.48,0.822,0.35,123,0.8,1.9,18.8,-5.6,3.5,175.6,14128
DJ LeMahieu,NYY,150,690,612,174,29,2,17,95,68,63,95,5,6,2,0.285,0.354,0.421,0.775,0.337,115,-0.4,1.4,12,-0.8,3.5,109.7,9874
Giancarlo Stanton,NYY,138,597,520,140,24,1,39,91,103,65,162,5,1,1,0.268,0.353,0.54,0.893,0.377,141,-1.8,0,28.4,-15.9,3.3,88.6,4949
Aaron Hicks,NYY,126,538,452,105,20,2,19,68,64,75,121,5,5,2,0.233,0.346,0.413,0.759,0.332,111,0.5,-3.5,8,-1.4,2.5,463.4,5297
Luke Voit,NYY,134,572,496,124,21,2,28,78,80,60,155,9,2,1,0.249,0.338,0.466,0.804,0.345,120,-1.1,-1.2,12.9,-12.7,2,273.8,14811
Gio Urshela,NYY,144,588,542,142,27,2,17,67,73,35,123,5,2,1,0.262,0.309,0.415,0.724,0.312,98,-2,-6.8,-3.7,-1.3,1.5,255.7,10681
Gary Sanchez,NYY,94,382,330,69,11,1,20,48,53,41,107,6,1,0,0.21,0.307,0.434,0.741,0.317,101,-0.9,-3,-0.3,3.8,1.4,245.9,11442
Kyle Higashioka,NYY,57,223,203,45,9,0,10,26,30,15,58,2,1,0,0.221,0.278,0.419,0.697,0.298,88,-0.4,-1.2,-3.6,3.5,1.2,539.1,5517
Tyler Wade,NYY,75,298,264,62,12,2,4,32,27,26,70,4,17,6,0.234,0.309,0.34,0.649,0.287,79,1.2,-2.2,-6.3,0.7,0.4,466.1,15730
Estevan Florial,NYY,42,169,151,34,7,0,6,20,20,14,50,1,4,2,0.227,0.298,0.398,0.696,0.301,91,-0.1,0.9,-2.1,0.1,0.4,999,19151
Miguel Andujar,NYY,32,129,119,32,6,1,6,16,18,7,23,1,1,0,0.271,0.315,0.471,0.786,0.334,113,0,-2.7,2,-2.7,0.4,595.3,15878
Oswaldo Cabrera,NYY,21,85,79,19,3,0,3,10,11,5,20,1,2,1,0.236,0.285,0.405,0.69,0.296,87,0,0,-1.4,0.7,0.2,999,sa916954
Oswald Peraza,NYY,13,53,48,12,2,0,1,6,6,3,11,1,2,1,0.255,0.301,0.389,0.691,0.299,89,0,0,-0.7,0.6,0.2,597.5,sa3003305
Jose Peraza,NYY,31,121,111,28,5,0,3,13,13,6,18,2,2,1,0.251,0.299,0.372,0.671,0.292,84,0.1,-1.4,-2.3,-0.3,0.2,600.8,13593
Ender Inciarte,NYY,8,32,28,6,1,0,1,3,3,3,7,0,0,0,0.229,0.301,0.331,0.631,0.28,76,0,-0.1,-0.9,0.1,0,599.4,4922
David Freitas,NYY,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.254,0.325,0.386,0.711,0.311,97,0,0,0,0,0,999,10619
Donny Sands,NYY,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.238,0.291,0.384,0.675,0.292,85,0,0,0,0,0,999,sa875201
Joshua Breaux,NYY,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.23,0.275,0.409,0.684,0.292,84,0,0,0,0,0,999,sa3008051
Michael Gasper,NYY,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.229,0.292,0.369,0.66,0.288,82,0,0,0,0,0,999,sa3007747
Anthony Volpe,NYY,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.229,0.291,0.394,0.684,0.296,87,0,0,0,0,0,999,sa3010868
Rodolfo Duran,NYY,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.228,0.274,0.387,0.661,0.284,79,0,0,0,0,0,999,sa877500
Brandon Lockridge,NYY,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.242,0.291,0.397,0.687,0.296,87,0,0,0,0,0,999,sa3006856
Michael Beltre,NYY,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.23,0.3,0.373,0.673,0.294,86,0,0,0,0,0,999,sa736945
Francisco Diaz,NYY,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.21,0.296,0.299,0.594,0.268,68,0,0,0,0,0,999,sa505229
Everson Pereira,NYY,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.213,0.265,0.397,0.662,0.284,79,0,0,0,0,0,999,sa3007034
Austin Wells,NYY,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.203,0.266,0.335,0.602,0.263,65,0,0,0,0,0,999,sa3014440
Armando Alvarez,NYY,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.232,0.286,0.368,0.654,0.284,79,0,0,0,0,0,999,sa913279
Jesus Bastidas,NYY,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.229,0.289,0.359,0.648,0.283,78,0,0,0,0,0,999,sa916969
Jhalan Jackson,NYY,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.227,0.291,0.41,0.701,0.302,91,0,0,0,0,0,999,sa875208
Maxwell McDowell,NYY,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.2,0.283,0.293,0.576,0.26,62,0,0,0,0,0,999,sa875626
Blake Perkins,NYY,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.211,0.292,0.337,0.629,0.278,75,0,0,0,0,0,999,sa874806
Aaron Palensky,NYY,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.226,0.303,0.378,0.681,0.298,88,0,0,0,0,0,999,sa3015077
Oliver Dunn,NYY,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.21,0.288,0.335,0.623,0.275,73,0,0,0,0,0,999,sa3010595
Cristian Perez,NYY,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.234,0.282,0.316,0.598,0.264,65,0,0,0,0,0,999,sa917025
