Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC,BsR,Fld,Off,Def,WAR,ADP,playerid
Matt Olson,OAK,150,656,558,144,27,1,39,93,104,83,135,9,3,1,0.258,0.361,0.522,0.883,0.371,140,-0.9,4.3,31.5,-8.2,4.6,40,14344
Matt Chapman,OAK,150,631,545,120,25,3,27,75,79,72,189,7,3,2,0.22,0.316,0.428,0.743,0.321,107,0.4,4.8,6,7.3,3.5,183.5,16505
Sean Murphy,OAK,108,431,377,86,19,1,18,49,53,41,106,7,1,1,0.227,0.312,0.42,0.732,0.317,104,-0.5,0.4,1.7,6.5,3,233.6,19352
Ramon Laureano,OAK,126,554,490,120,26,2,21,69,67,45,139,12,13,5,0.245,0.321,0.435,0.756,0.326,111,0.8,-0.3,7.9,1.9,2.9,230.6,17128
Tony Kemp,OAK,130,530,454,116,22,3,9,60,50,60,76,8,9,4,0.256,0.351,0.38,0.731,0.324,109,-0.1,-1.8,5.7,-2.5,2.1,415.9,14894
Chad Pinder,OAK,122,498,451,112,24,2,18,57,61,35,120,5,3,1,0.249,0.308,0.43,0.738,0.317,104,-0.9,-1,1.6,-4.3,1.4,572.7,15191
Elvis Andrus,OAK,113,447,409,103,21,2,7,46,42,27,69,4,9,3,0.252,0.303,0.364,0.667,0.29,86,1.5,-2.6,-6.1,3.1,1.2,564.8,8709
Austin Allen,OAK,59,235,217,54,11,0,9,27,30,12,52,2,1,0,0.247,0.29,0.429,0.719,0.307,97,-0.3,-0.3,-1.1,3.3,1.1,596.4,18083
Vimael Machin,OAK,42,168,148,35,6,1,3,17,15,16,31,2,1,0,0.239,0.316,0.351,0.667,0.293,88,-0.1,-0.4,-2.5,0.5,0.4,999,17684
Nicholas Allen,OAK,58,236,218,52,11,1,3,22,21,13,46,2,5,2,0.239,0.288,0.343,0.63,0.276,77,-0.1,0,-6.9,2.1,0.3,999,sa3004723
Stephen Piscotty,OAK,128,516,467,108,22,1,17,54,58,38,130,5,4,2,0.23,0.293,0.393,0.686,0.297,91,-0.3,-2,-6.2,-9.9,0.1,600.9,13367
Skye Bolt,OAK,16,65,58,13,3,0,2,7,6,5,18,1,1,0,0.221,0.292,0.359,0.651,0.285,82,0,0,-1.5,-0.2,0.1,999,17723
Seth Brown,OAK,126,513,465,105,21,2,22,58,64,37,149,4,6,3,0.227,0.287,0.423,0.71,0.302,94,-0.9,0.3,-4.4,-12.9,0,478.8,18171
Maxwell Schuemann,OAK,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.232,0.29,0.334,0.624,0.275,76,0,0,0,0,0,999,sa3007511
Jeffrey Schwarz,OAK,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.209,0.274,0.325,0.599,0.264,69,0,0,0,0,0,999,sa3008391
Jake Suddleson,OAK,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.241,0.297,0.397,0.695,0.301,93,0,0,0,0,0,999,sa3014828
