Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC,BsR,Fld,Off,Def,WAR,ADP,playerid
Bryce Harper,PHI,150,662,537,144,32,1,35,101,100,112,150,7,12,5,0.269,0.398,0.531,0.929,0.389,143,-1.7,-1.7,34.3,-9.2,4.7,9.4,11579
J.T. Realmuto,PHI,129,556,495,124,25,3,21,66,74,47,129,9,9,4,0.251,0.324,0.437,0.761,0.326,102,1.4,3.9,2.6,13,4.2,54.4,11739
Rhys Hoskins,PHI,143,638,533,126,29,1,34,95,84,88,154,9,5,2,0.236,0.351,0.485,0.836,0.357,122,-1.2,1.9,16.8,-10,2.8,138,16472
Jean Segura,PHI,139,634,573,160,29,3,15,82,61,43,92,8,9,3,0.28,0.337,0.419,0.756,0.326,102,0.8,-1.1,2.3,1.3,2.4,210.5,5933
Alec Bohm,PHI,123,502,452,119,23,1,14,53,59,40,116,4,5,2,0.263,0.326,0.413,0.739,0.321,98,-0.8,-0.9,-1.9,0.2,1.5,286.6,21618
Didi Gregorius,PHI,107,447,407,101,19,2,16,51,60,30,69,6,3,1,0.248,0.306,0.426,0.732,0.313,93,0,-0.4,-3.8,3.7,1.5,441.6,6012
Bryson Stott,PHI,70,288,257,66,13,1,8,32,32,25,62,2,4,2,0.258,0.327,0.408,0.735,0.319,97,-0.2,0,-1.2,3.5,1.2,437.4,sa3011443
Matt Vierling,PHI,93,376,341,90,16,2,12,43,46,26,80,4,7,3,0.265,0.323,0.431,0.753,0.324,100,0,0.6,0.1,-1.9,1.1,576,21558
Johan Camargo,PHI,36,143,129,34,7,1,5,17,18,11,28,1,1,0,0.26,0.322,0.443,0.765,0.327,103,-0.1,-0.4,0.3,-0.4,0.5,598.5,14950
Ronald Torreyes,PHI,45,179,165,42,8,1,3,18,18,9,24,2,1,1,0.254,0.299,0.369,0.668,0.289,80,0,0.3,-4.4,1.3,0.3,596.9,11400
Adam Haseley,PHI,105,420,382,95,18,1,10,40,45,27,86,5,7,3,0.248,0.304,0.375,0.68,0.296,82,0.2,1.9,-9.5,-1.7,0.3,999,19878
Mickey Moniak,PHI,79,305,278,64,12,3,10,30,35,20,77,2,3,1,0.231,0.285,0.402,0.687,0.292,80,-0.1,-0.8,-7.9,-0.5,0.2,999,19956
Nick Maton,PHI,14,57,50,12,2,0,1,6,6,5,14,1,1,0,0.229,0.303,0.359,0.663,0.291,79,0,0.2,-1.5,0.4,0.1,999,21635
Matt Joyce,PHI,36,146,124,28,6,0,4,17,15,18,35,1,1,0,0.228,0.33,0.379,0.709,0.311,95,-0.3,-1.6,-1.2,-3.4,0,999,3353
Logan O'Hoppe,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.247,0.296,0.412,0.708,0.304,88,0,0,0,0,0,999,sa3007519
Nick Matera,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.211,0.276,0.373,0.649,0.282,73,0,0,0,0,0,999,sa3007528
Colby Fitch,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.198,0.294,0.319,0.613,0.274,68,0,0,0,0,0,999,sa915614
Daniel Brito,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.248,0.302,0.375,0.677,0.294,81,0,0,0,0,0,999,sa872732
Matthew Kroon,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.239,0.294,0.382,0.676,0.293,80,0,0,0,0,0,999,sa3007502
Wendell Rijo,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.229,0.289,0.387,0.676,0.293,80,0,0,0,0,0,999,sa739597
Jhailyn Ortiz,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.229,0.291,0.425,0.716,0.307,89,0,0,0,0,0,999,sa920180
Greg Garcia,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.225,0.317,0.322,0.638,0.287,76,0,0,0,0,0,999,10951
Darick Hall,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.228,0.3,0.413,0.714,0.307,90,0,0,0,0,0,999,sa918293
Dalton Guthrie,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.23,0.272,0.341,0.613,0.267,63,0,0,0,0,0,999,sa829836
John Conley,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.195,0.263,0.319,0.583,0.256,56,0,0,-0.1,0,0,999,sa3006857
Joshua Stephen,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.224,0.295,0.371,0.666,0.291,79,0,0,0,0,0,999,sa918203
Christopher Cornelius,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.233,0.274,0.342,0.617,0.269,64,0,0,0,0,0,999,sa3010686
Johan Rojas,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.222,0.262,0.344,0.605,0.263,61,0,0,-0.1,0,0,999,sa3005784
Ali Castillo,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.237,0.277,0.32,0.597,0.262,60,0,0,-0.1,0,0,999,sa507143
McCarthy Tatum,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.202,0.258,0.334,0.593,0.259,58,0,0,-0.1,0,0,999,sa3010582
Luis Garcia,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.199,0.254,0.303,0.556,0.245,49,0,0,-0.1,0,0,999,sa3007295
Luke Miller,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.216,0.269,0.387,0.656,0.283,73,0,0,0,0,0,999,sa3006879
Nicolas Torres,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.22,0.264,0.294,0.558,0.247,50,0,0,-0.1,0,0,999,sa3002711
Juan Aparicio,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.185,0.231,0.285,0.515,0.227,37,0,0,-0.1,0,0,999,sa3002710
Madison Stokes,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.221,0.272,0.356,0.628,0.273,67,0,0,0,0,0,999,sa3008076
Hunter Markwardt,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.199,0.247,0.3,0.547,0.241,46,0,0,-0.1,0,0,999,sa3010602
Salvatore Gozzo,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.2,0.256,0.286,0.542,0.241,46,0,0,-0.1,0,0,999,sa3010708
Devan Stewart,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.22,0.264,0.35,0.615,0.266,63,0,0,0,0,0,999,sa3005181
Jared Carr,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.184,0.234,0.298,0.532,0.234,42,0,0,-0.1,0,0,999,sa3017343
Herbert Iser,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.173,0.216,0.269,0.485,0.213,28,0,0,-0.1,0,0,999,sa3010679
Nathaniel Fassnacht,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.177,0.247,0.266,0.513,0.231,40,0,0,-0.1,0,0,999,sa3010594
Kendall Simmons,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.186,0.227,0.301,0.527,0.23,39,0,0,-0.1,0,0,999,sa3006867
Jonathan Guzman,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.189,0.231,0.266,0.497,0.22,33,0,0,-0.1,0,0,999,sa917127
Noah Martin,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.182,0.227,0.265,0.492,0.218,31,0,0,-0.1,0,0,999,sa3014524
Jose Tortolero,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.191,0.24,0.268,0.507,0.226,36,0,0,-0.1,0,0,999,sa3002708
Vito Friscia,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.197,0.265,0.302,0.567,0.252,54,0,0,-0.1,0,0,999,sa3010712
Corbin Williams,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.176,0.226,0.262,0.488,0.217,31,0,0,-0.1,0,0,999,sa3007324
Benjamin Pelletier,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.183,0.228,0.309,0.537,0.234,42,0,0,-0.1,0,0,999,sa876134
Jadiel Sanchez,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.19,0.232,0.301,0.532,0.233,41,0,0,-0.1,0,0,999,sa3011629
Kervin Pichardo,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.171,0.225,0.241,0.465,0.209,26,0,0,-0.1,0,0,999,sa3011260
Ethan Wilson,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.184,0.226,0.293,0.519,0.227,37,0,0,-0.1,0,0,999,sa3017329
Edgar Made,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.178,0.217,0.251,0.468,0.207,24,0,0,-0.1,0,0,999,sa3003244
Baron Radcliff,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.162,0.231,0.276,0.508,0.226,37,0,0,-0.1,0,0,999,sa3014424
Carlos De La Cruz,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.176,0.221,0.282,0.503,0.221,33,0,0,-0.1,0,0,999,sa3006903
Felix Reyes,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.177,0.218,0.271,0.489,0.215,30,0,0,-0.1,0,0,999,sa3015688
Jamari Baylor,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.164,0.194,0.226,0.42,0.186,11,0,0,-0.1,0,0,999,sa3011446
Rixon Wingrove,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.178,0.216,0.296,0.512,0.222,34,0,0,-0.1,0,0,999,sa3007298
Erick Brito,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.161,0.209,0.223,0.432,0.193,15,0,0,-0.1,0,0,999,sa3011753
Oscar Gonzalez,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.142,0.18,0.196,0.377,0.169,0,0,0,-0.1,0,0,999,sa3005776
Wilson Valdez,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.151,0.183,0.219,0.402,0.178,6,0,0,-0.1,0,0,999,sa3005792
Guarner Dipre,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.147,0.178,0.195,0.374,0.167,-2,0,0,-0.1,0,0,999,sa3005793
Marcus Lee Sang,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.143,0.176,0.211,0.387,0.172,2,0,0,-0.1,0,0,999,sa3011445
Leandro Pineda,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.141,0.175,0.212,0.387,0.172,1,0,0,-0.1,0,0,999,sa3008905
Rafael Marchan,PHI,13,50,46,11,2,0,1,5,5,3,9,1,0,0,0.236,0.293,0.341,0.634,0.279,71,0,0,-1.9,0.7,0,999,21646
Luke Williams,PHI,54,218,197,47,9,1,4,22,21,16,46,2,6,3,0.237,0.3,0.353,0.653,0.287,76,0.1,0.4,-6.6,-1.4,-0.1,999,19931
Simon Muzziotti,PHI,6,27,25,5,1,0,0,2,2,2,5,0,0,0,0.22,0.27,0.314,0.584,0.258,57,0,0,-1.5,-0.3,-0.1,999,sa917376
Scott Kingery,PHI,29,117,105,22,5,1,3,11,12,8,35,1,2,1,0.21,0.273,0.351,0.624,0.272,66,0.1,-0.8,-4.9,-0.3,-0.1,600.6,17975
