Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC,BsR,Fld,Off,Def,WAR,ADP,playerid
Bryan Reynolds,PIT,150,660,574,160,32,6,22,85,85,73,132,7,5,3,0.278,0.364,0.47,0.834,0.356,123,-0.4,-4.8,18.9,-4.6,3.6,92.3,19326
Oneil Cruz,PIT,110,451,411,115,21,3,20,55,65,31,95,4,14,6,0.281,0.335,0.498,0.833,0.354,122,-0.1,0.1,12.4,5.6,3.3,228,21711
Ke'Bryan Hayes,PIT,139,639,570,151,33,3,17,83,61,54,132,5,12,4,0.265,0.331,0.424,0.755,0.326,104,0.4,2.8,3.5,5.1,3,139.1,18577
Jacob Stallings,PIT,101,399,353,87,18,1,8,38,40,36,85,4,1,0,0.247,0.321,0.374,0.694,0.305,93,-0.9,0.3,-4.4,8.7,2.5,358.5,13723
Roberto Perez,PIT,102,407,358,76,14,1,14,39,45,40,118,4,2,1,0.212,0.296,0.369,0.665,0.292,81,-1.4,3,-11.1,11.5,1.7,499.4,2900
Yoshi Tsutsugo,PIT,127,565,487,115,23,2,22,72,63,66,140,4,2,1,0.235,0.329,0.426,0.755,0.327,104,-0.7,1.4,2.4,-8.9,1.2,374.8,27459
Kevin Newman,PIT,95,395,363,97,18,2,5,39,37,23,38,3,5,2,0.266,0.313,0.373,0.686,0.298,85,0,-0.3,-7.4,1.7,0.7,592.5,17696
Ben Gamel,PIT,120,510,442,106,24,3,10,53,52,59,134,5,7,3,0.24,0.333,0.373,0.706,0.311,94,-0.2,-0.7,-4.2,-6.8,0.6,571.4,12160
Cole Tucker,PIT,69,271,240,57,11,2,5,25,26,24,60,2,5,2,0.236,0.309,0.364,0.672,0.295,83,0,1.3,-5.7,1.9,0.5,565.9,17326
Michael Chavis,PIT,85,349,319,77,14,2,14,39,43,20,96,5,4,2,0.242,0.294,0.426,0.72,0.308,92,-0.5,-0.1,-4,-3,0.4,541,17321
Hoy Park,PIT,32,132,113,27,5,1,3,14,12,16,29,1,3,1,0.239,0.336,0.369,0.705,0.311,94,-0.1,-0.4,-1.1,0.3,0.4,597.1,18027
Travis Swaggerty,PIT,31,127,114,28,5,0,4,13,14,10,27,1,3,1,0.245,0.31,0.395,0.705,0.306,91,-0.1,0,-1.5,0.5,0.3,596.5,sa3007512
Michael Perez,PIT,38,148,132,28,6,1,4,14,15,12,41,1,1,0,0.209,0.282,0.353,0.634,0.277,72,-0.4,0.3,-5.6,3.5,0.2,999,12977
James Ritchie,PIT,11,44,38,9,2,0,1,4,4,4,8,1,0,0,0.246,0.325,0.349,0.674,0.299,86,-0.1,0,-0.8,0.9,0.2,999,sa829058
Greg Allen,PIT,37,146,129,32,7,1,2,15,14,10,31,4,6,2,0.25,0.322,0.365,0.687,0.303,89,0.3,-0.5,-1.8,-2.1,0.1,999,16623
