Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC,BsR,Fld,Off,Def,WAR,ADP,playerid
Fernando Tatis Jr.,SDP,150,677,587,165,32,2,46,116,108,75,167,7,26,10,0.281,0.366,0.575,0.941,0.392,150,2.4,-3.9,45.1,2.7,7,1.8,19709
Manny Machado,SDP,150,652,576,158,29,2,32,89,101,66,111,5,10,4,0.273,0.35,0.498,0.848,0.357,127,-0.9,1.7,21.4,4.2,4.7,22.1,11493
Trent Grisham,SDP,139,629,541,133,27,3,21,87,65,71,136,7,16,6,0.246,0.339,0.427,0.766,0.332,110,0.5,1.8,8.8,4.1,3.4,137.4,18564
Jake Cronenworth,SDP,146,637,565,152,31,5,16,78,77,57,96,9,6,3,0.269,0.343,0.43,0.773,0.332,111,-0.3,1.8,8.4,2.2,3.2,113.9,18036
Adam Frazier,SDP,133,592,531,140,27,3,10,68,52,44,77,8,8,4,0.264,0.328,0.38,0.708,0.309,100,0.3,-1.6,0.1,-0.2,2,325.7,15223
Austin Nola,SDP,71,280,248,65,13,1,7,29,31,24,49,4,1,1,0.263,0.335,0.402,0.737,0.321,104,-0.2,-0.9,1.1,4.6,1.7,356.9,15941
Wil Myers,SDP,146,597,526,124,27,2,22,68,74,61,172,4,10,4,0.236,0.318,0.421,0.738,0.318,102,0.4,-3.6,1.6,-10.9,1,285.2,10047
Ha-seong Kim,SDP,73,287,256,63,12,1,9,32,34,23,56,3,7,2,0.248,0.316,0.406,0.722,0.312,98,0.1,0.3,-0.8,1.2,1,366.5,27506
Eric Hosmer,SDP,133,558,502,134,25,1,18,65,73,44,110,5,5,2,0.267,0.33,0.429,0.759,0.327,107,-1.6,-1.8,3.5,-13,0.9,390.4,3516
Victor Caratini,SDP,53,207,180,45,8,0,5,21,22,20,46,3,1,1,0.247,0.33,0.385,0.715,0.308,95,-0.4,-0.3,-1.7,3.5,0.7,536.2,14968
Jurickson Profar,SDP,108,434,378,91,19,2,11,46,47,44,67,6,9,3,0.241,0.328,0.385,0.713,0.313,98,0.4,-1.8,-0.9,-6.7,0.7,473.3,10815
Jorge Alfaro,SDP,74,299,276,67,12,1,9,30,34,14,94,5,5,2,0.243,0.29,0.387,0.677,0.292,85,-0.7,-0.6,-6.5,-1.2,0.2,410.6,12180
Luis Campusano,SDP,5,18,16,4,1,0,1,2,2,1,4,0,0,0,0.251,0.311,0.417,0.728,0.314,99,0,0,-0.1,0.4,0.1,999,22217
Eguy Rosario,SDP,3,13,12,3,1,0,0,1,1,1,3,0,0,0,0.246,0.302,0.375,0.677,0.294,86,0,0,-0.3,0.1,0,999,sa917140
Webster Rivas,SDP,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.233,0.302,0.354,0.655,0.287,81,0,0,0,0,0,999,14636
Paul Abrams,SDP,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.25,0.301,0.363,0.663,0.29,83,0,0,0,0,0,587.8,sa3010152
Juan Fernandez,SDP,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.222,0.281,0.354,0.635,0.277,75,0,0,0,0,0,999,sa917824
Domingo Leyba,SDP,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.244,0.292,0.394,0.686,0.296,87,0,0,0,0,0,999,16404
Matthew Batten,SDP,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.236,0.299,0.321,0.62,0.276,74,0,0,0,0,0,999,sa3004179
Robbie Podorsky,SDP,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.242,0.295,0.357,0.652,0.285,80,0,0,0,0,0,999,sa3004066
Jose Azocar,SDP,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.245,0.288,0.363,0.651,0.282,78,0,0,0,0,0,999,sa735839
Taylor Kohlwey,SDP,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.246,0.313,0.361,0.674,0.297,87,0,0,0,0,0,999,sa918457
Ethan Skender,SDP,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.233,0.286,0.334,0.62,0.272,72,0,0,0,0,0,999,sa3010268
Dwanya Williams-Sutton,SDP,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.213,0.302,0.357,0.66,0.291,84,0,0,0,0,0,999,sa875819
Robert Hassell,SDP,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.222,0.28,0.336,0.615,0.27,70,0,0,0,0,0,999,sa3014701
Olivier Basabe,SDP,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.22,0.275,0.342,0.616,0.27,70,0,0,0,0,0,999,sa3004933
Esteury Ruiz,SDP,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.238,0.289,0.369,0.658,0.286,81,0,0,0,0,0,999,sa917030
Michael Cantu,SDP,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.19,0.256,0.306,0.563,0.248,56,0,0,-0.1,0,0,999,sa829494
