Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC,BsR,Fld,Off,Def,WAR,ADP,playerid
J.P. Crawford,SEA,150,664,586,151,33,1,12,78,58,63,113,6,8,3,0.258,0.333,0.381,0.714,0.314,103,-0.3,-2.1,2,5.4,3,357,15491
Ty France,SEA,150,652,580,158,31,2,23,80,83,47,119,19,1,0,0.272,0.344,0.449,0.793,0.342,122,-1.5,1,16.2,-10.8,2.8,135.1,17982
Abraham Toro,SEA,110,454,401,103,21,1,15,52,54,39,71,8,7,3,0.257,0.332,0.424,0.756,0.328,113,-0.4,0.1,6.6,1.6,2.4,265.3,19844
Mitch Haniger,SEA,146,658,582,142,26,2,31,87,84,59,165,9,2,1,0.245,0.321,0.457,0.777,0.332,115,-1.4,-1.8,10.9,-10.2,2.3,105.1,14274
Jarred Kelenic,SEA,131,538,478,111,22,2,22,63,65,48,129,5,12,5,0.232,0.307,0.424,0.731,0.315,103,0.3,-2.7,2.5,-4.9,1.6,134.4,22558
Cal Raleigh,SEA,66,260,238,56,13,0,9,29,31,16,60,3,3,1,0.235,0.288,0.412,0.7,0.3,93,-0.1,-0.4,-2.2,5.1,1.5,554,21534
Kyle Lewis,SEA,131,571,506,120,21,1,20,64,69,56,156,4,5,2,0.238,0.317,0.403,0.72,0.314,103,-0.3,-2.3,1.5,-7.7,1.3,302.3,19508
Tom Murphy,SEA,62,246,218,47,9,0,9,26,28,23,75,2,1,0,0.215,0.294,0.384,0.677,0.295,90,-0.3,-0.9,-3.2,4.3,0.9,473.3,13499
Jake Fraley,SEA,100,405,349,79,16,1,13,45,44,46,110,5,11,5,0.227,0.322,0.387,0.709,0.31,100,-0.2,-4.1,0,-8.3,0.5,585.7,19260
Dylan Moore,SEA,87,353,310,64,13,1,10,38,36,32,100,7,15,7,0.206,0.292,0.357,0.649,0.286,84,0.3,-1.1,-6.7,-1.1,0.4,448.2,18042
Taylor Trammell,SEA,21,84,74,16,3,0,3,9,9,8,25,1,2,1,0.216,0.297,0.367,0.664,0.291,87,0,0.2,-1.3,-0.2,0.1,598,19960
Luis Torrens,SEA,71,288,260,61,12,1,10,31,34,22,71,2,1,0,0.235,0.297,0.404,0.701,0.302,95,-0.3,-0.4,-2.2,-3.8,0.1,385.8,15905
Donovan Walton,SEA,6,25,23,6,1,0,1,3,3,2,4,0,0,0,0.251,0.319,0.379,0.699,0.305,97,0,-0.1,-0.1,0.1,0.1,999,19314
Kevin Padlo,SEA,8,33,29,6,1,0,1,4,4,3,10,0,0,0,0.211,0.283,0.394,0.677,0.292,88,0,0,-0.5,0.1,0.1,600.3,16593
Julio Rodriguez,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.272,0.334,0.445,0.78,0.335,117,0,0,0,0,0,298.8,sa3005720
Brian O'Keefe,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.211,0.279,0.361,0.64,0.279,79,0,0,0,0,0,999,sa829152
Jack Larsen,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.231,0.303,0.385,0.688,0.299,93,0,0,0,0,0,999,sa3004840
Patrick Frick,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.237,0.303,0.342,0.645,0.285,83,0,0,0,0,0,999,sa3009891
Joshua Morgan,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.22,0.284,0.336,0.62,0.273,75,0,0,0,0,0,999,sa828797
Jose Godoy,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.237,0.289,0.352,0.641,0.28,80,0,0,0,0,0,999,15808
David Sheaffer,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.215,0.266,0.338,0.604,0.264,69,0,0,0,0,0,999,sa3006846
Zachary DeLoach,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.238,0.3,0.392,0.693,0.301,94,0,0,0,0,0,999,sa3014547
Joseph Rizzo,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.232,0.287,0.36,0.647,0.281,81,0,0,0,0,0,999,sa917934
Jake Anchia,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.201,0.252,0.35,0.602,0.26,66,0,0,0,0,0,999,sa3006674
Kaden Polcovich,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.213,0.285,0.339,0.624,0.275,77,0,0,0,0,0,999,sa3014496
Caleb Joseph,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.204,0.256,0.322,0.578,0.253,62,0,0,0,0,0,999,7087
Marcus Wilson,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.208,0.291,0.356,0.647,0.285,83,0,0,0,0,0,999,sa828703
Sam Haggerty,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.219,0.298,0.339,0.637,0.282,81,0,0,0,0,0,999,18054
Jake Scheiner,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.222,0.28,0.379,0.659,0.286,84,0,0,0,0,0,999,sa3004160
Jose Caballero,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.202,0.261,0.288,0.549,0.245,56,0,0,-0.1,0,0,999,sa3004817
Noelvi Marte,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.199,0.25,0.305,0.555,0.244,55,0,0,-0.1,0,0,999,sa3008745
Matthew Scheffler,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.183,0.238,0.288,0.526,0.233,48,0,0,-0.1,0,0,999,sa3014832
Robert Perez,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.227,0.275,0.373,0.648,0.28,80,0,0,0,0,0,999,sa3002851
Ty Kelly,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.207,0.276,0.301,0.577,0.258,65,0,0,0,0,0,999,7740
Robert Honeyman,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.232,0.284,0.335,0.619,0.272,75,0,0,0,0,0,999,sa3006645
Matthew Marlowe,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.201,0.257,0.345,0.602,0.261,67,0,0,0,0,0,999,sa1170288
Victor Labrada,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.197,0.251,0.291,0.542,0.24,53,0,0,-0.1,0,0,999,sa3015062
Dominique Thompson-Williams,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.202,0.257,0.335,0.592,0.258,65,0,0,0,0,0,999,sa829483
Michael Davis,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.192,0.242,0.288,0.53,0.234,49,0,0,-0.1,0,0,999,sa3016806
Matthew Sanders,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.203,0.243,0.278,0.521,0.23,46,0,0,-0.1,0,0,999,sa3006679
Tyler Duvall,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.162,0.224,0.23,0.454,0.206,30,0,0,-0.1,0,0,999,sa3014880
Alberto Rodriguez,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.199,0.252,0.3,0.551,0.243,55,0,0,-0.1,0,0,999,sa3005603
Justin Lavey,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.183,0.228,0.272,0.499,0.221,40,0,0,-0.1,0,0,999,sa3014817
James Parker,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.19,0.228,0.266,0.494,0.218,38,0,0,-0.1,0,0,999,sa3016859
Connor Hoover,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.187,0.251,0.307,0.559,0.247,58,0,0,-0.1,0,0,999,sa3004061
Tyler Keenan,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.163,0.22,0.259,0.479,0.214,35,0,0,-0.1,0,0,999,sa3014497
Trent Tingelstad,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.18,0.248,0.265,0.513,0.23,46,0,0,-0.1,0,0,999,sa3009896
Spencer Packard,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.187,0.233,0.284,0.518,0.228,45,0,0,-0.1,0,0,999,sa3016803
Liam Sabino,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.173,0.224,0.24,0.465,0.209,32,0,0,-0.1,0,0,999,sa3007821
Cesar Izturis,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.19,0.224,0.245,0.469,0.208,32,0,0,-0.1,0,0,999,sa3002847
Dariel Gomez,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.182,0.239,0.303,0.542,0.237,51,0,0,-0.1,0,0,999,sa872729
Cody Grosse,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.186,0.245,0.251,0.497,0.224,42,0,0,-0.1,0,0,999,sa3010052
Michael Salvatore,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.166,0.209,0.226,0.435,0.195,22,0,0,-0.1,0,0,999,sa3011254
Juan Querecuto,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.171,0.215,0.235,0.45,0.201,27,0,0,-0.1,0,0,999,sa3005721
Charles McConnell,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.162,0.206,0.233,0.439,0.196,23,0,0,-0.1,0,0,999,sa3006716
Ryan Ramiz,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.169,0.23,0.246,0.476,0.215,36,0,0,-0.1,0,0,999,sa3006924
Brett Rodriguez,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.152,0.208,0.22,0.428,0.194,22,0,0,-0.1,0,0,999,sa3014831
Freuddy Batista,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.142,0.173,0.208,0.381,0.169,5,0,0,-0.1,0,0,999,sa3002866
Onil Pena,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.162,0.219,0.263,0.482,0.214,36,0,0,-0.1,0,0,999,sa828232
Junior Gonzalez,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.131,0.165,0.186,0.35,0.157,-3,0,0,-0.1,0,0,999,sa3006221
Starlin Aguilar,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.147,0.186,0.209,0.394,0.177,10,0,0,-0.1,0,0,999,sa3015722
Amador Arias,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.143,0.174,0.2,0.374,0.166,3,0,0,-0.1,0,0,999,sa3003216
Milkar Perez,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.15,0.18,0.216,0.396,0.175,9,0,0,-0.1,0,0,999,sa3008883
Miguel Perez,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.139,0.178,0.216,0.394,0.175,9,0,0,-0.1,0,0,999,sa3004053
Gabriel Gonzalez,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.158,0.194,0.237,0.431,0.191,20,0,0,-0.1,0,0,999,sa3015723
