Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC,BsR,Fld,Off,Def,WAR,ADP,playerid
Brandon Crawford,SFG,136,585,520,131,27,2,19,67,71,54,121,6,7,4,0.253,0.327,0.423,0.75,0.322,103,-1.3,-1.1,1,5.7,2.6,198.5,5343
Tommy La Stella,SFG,116,529,471,129,25,2,14,68,51,44,54,5,3,1,0.274,0.341,0.424,0.765,0.331,109,-1,-2.4,5.3,-0.8,2.2,513.4,12371
Brandon Belt,SFG,125,556,473,115,23,2,25,77,69,70,137,6,4,2,0.243,0.345,0.461,0.806,0.345,118,-1.5,1,11.6,-9.4,2.1,234.1,10264
Mike Yastrzemski,SFG,133,557,489,117,27,3,21,65,68,54,140,7,4,2,0.24,0.322,0.436,0.759,0.325,105,-0.1,-1.3,3.7,-5.5,1.7,271.1,14854
Evan Longoria,SFG,110,463,414,102,20,1,17,53,60,40,105,5,2,1,0.246,0.317,0.427,0.743,0.318,101,-0.8,-0.8,-0.2,1.1,1.6,408.5,9368
LaMonte Wade Jr.,SFG,125,541,471,114,21,3,16,62,62,58,119,8,7,3,0.241,0.332,0.402,0.733,0.32,102,-0.9,-1.8,0.5,-7.8,1.1,312.5,18126
Wilmer Flores,SFG,72,298,268,72,14,1,11,35,39,23,41,3,1,0,0.267,0.329,0.447,0.776,0.333,111,-1,-2.8,3.1,-3.2,1,405.4,5827
Darin Ruf,SFG,76,317,274,68,13,1,12,38,39,36,85,3,2,1,0.248,0.34,0.436,0.776,0.334,111,-0.7,-0.4,3.9,-5.5,0.9,450.3,9929
Joey Bart,SFG,89,354,325,76,15,1,9,32,38,19,97,5,2,1,0.234,0.285,0.368,0.652,0.283,78,-0.3,-0.9,-10,6.5,0.9,247.5,21524
Austin Slater,SFG,56,238,207,50,10,1,7,28,24,24,64,3,8,3,0.244,0.33,0.396,0.726,0.316,100,0.5,0.8,0.5,-1.7,0.7,554.6,16153
Thairo Estrada,SFG,54,218,200,52,10,1,6,23,25,13,40,3,4,2,0.26,0.311,0.412,0.723,0.311,97,0,-0.6,-1,0.3,0.7,597.8,16426
Curt Casali,SFG,57,228,198,43,8,1,5,22,22,23,62,3,1,1,0.217,0.306,0.348,0.654,0.286,80,-0.4,-0.4,-6.2,4.3,0.6,590.8,12510
Steven Duggar,SFG,83,326,290,68,15,3,6,31,32,28,92,3,7,3,0.235,0.307,0.372,0.679,0.294,85,0.2,-0.1,-6,0.5,0.5,587.2,17719
Mauricio Dubon,SFG,19,77,71,19,3,0,2,8,9,5,14,1,1,1,0.263,0.313,0.399,0.712,0.307,94,-0.1,-0.4,-0.7,0.1,0.2,588.5,16530
Heliot Ramos,SFG,36,150,137,33,6,1,4,15,16,10,40,2,3,1,0.239,0.296,0.378,0.674,0.293,85,-0.1,0,-3.1,0,0.2,999,sa3004693
Jason Vosler,SFG,7,28,25,6,1,0,1,3,3,2,6,0,0,0,0.245,0.313,0.421,0.734,0.316,100,0,-0.1,-0.1,-0.1,0.1,999,16686
Jaylin Davis,SFG,13,51,46,11,2,0,2,6,6,4,15,1,1,0,0.23,0.298,0.402,0.7,0.303,91,0,-0.2,-0.6,-0.9,0,999,19552
John Nogowski,SFG,40,164,144,36,7,0,4,18,18,15,29,2,2,1,0.247,0.327,0.381,0.708,0.311,91,-0.3,0.3,-2.2,-3.1,0,599.5,16852
Fabian Pena,SFG,5,19,17,4,1,0,0,2,2,1,5,0,0,0,0.21,0.256,0.345,0.601,0.261,64,0,0,-0.9,0.4,0,999,sa3007303
Brandon Martorano,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.217,0.296,0.366,0.662,0.29,83,0,0,0,0,0,999,sa918686
David Villar,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.241,0.306,0.403,0.71,0.308,94,0,0,0,0,0,999,sa3007063
Jhonny Pereda,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.234,0.305,0.321,0.626,0.279,75,0,0,0,0,0,999,sa735866
Diego Rincones,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.259,0.314,0.422,0.736,0.317,100,0,0,0,0,0,999,sa916849
Bryce Johnson,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.233,0.305,0.341,0.646,0.285,80,0,0,0,0,0,999,sa3004753
Austin Dean,SFG,3,13,12,3,1,0,0,1,1,1,3,0,0,0,0.24,0.306,0.394,0.7,0.304,92,0,-0.1,-0.1,-0.3,0,999,18288
Will Wilson,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.214,0.273,0.345,0.618,0.27,70,0,0,0,0,0,999,sa3009871
Ismael Munguia,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.252,0.284,0.36,0.644,0.279,75,0,0,0,0,0,999,sa917132
Vincent Fernandez,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.218,0.291,0.393,0.683,0.295,86,0,0,0,0,0,999,sa873990
Jacob Heyward,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.208,0.306,0.355,0.661,0.293,85,0,0,0,0,0,999,sa738955
Jason Krizan,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.254,0.311,0.385,0.696,0.303,91,0,0,0,0,0,999,sa546842
Ricardo Genoves,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.205,0.257,0.316,0.573,0.252,58,0,0,-0.1,0,0,999,sa916844
Simon Whiteman,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.222,0.293,0.309,0.602,0.269,69,0,0,0,0,0,999,sa1169809
Wyatt Mathisen,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.214,0.302,0.365,0.667,0.294,85,0,0,0,0,0,999,14555
Shane Matheny,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.205,0.278,0.304,0.582,0.26,63,0,0,0,0,0,999,sa3004780
Brett Auerbach,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.21,0.264,0.349,0.613,0.267,68,0,0,0,0,0,999,sa3014941
William Toffey,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.192,0.286,0.309,0.595,0.267,68,0,0,0,0,0,999,sa829401
Robert Emery,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.203,0.253,0.307,0.56,0.247,54,0,0,-0.1,0,0,999,sa3014940
Luis Matos,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.23,0.265,0.338,0.604,0.262,65,0,0,0,0,0,999,sa3008756
Ka'ai Tom,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.213,0.293,0.355,0.648,0.284,78,0,0,0,0,0,999,18136
Patrick Bailey,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.195,0.254,0.291,0.545,0.241,51,0,0,-0.1,0,0,999,sa3014442
Francisco Tostado,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.237,0.282,0.389,0.671,0.289,82,0,0,0,0,0,999,sa3007030
Heath Quinn,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.221,0.281,0.36,0.641,0.279,76,0,0,0,0,0,999,sa737904
Marco Luciano,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.202,0.253,0.313,0.566,0.249,56,0,0,-0.1,0,0,999,sa3010022
Sean Roby,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.202,0.254,0.338,0.591,0.257,61,0,0,0,0,0,999,sa3007788
Tyler Fitzgerald,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.207,0.256,0.33,0.586,0.256,60,0,0,-0.1,0,0,999,sa3011257
Jairo Pomares,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.224,0.259,0.366,0.625,0.269,69,0,0,0,0,0,999,sa3010023
Armani Smith,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.218,0.262,0.335,0.597,0.26,63,0,0,0,0,0,999,sa918911
Franklin Labour,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.194,0.267,0.322,0.589,0.26,63,0,0,0,0,0,999,sa916848
Carter Aldrete,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.199,0.243,0.295,0.538,0.235,47,0,0,-0.1,0,0,999,sa3010008
James Glowenke,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.192,0.246,0.281,0.527,0.234,46,0,0,-0.1,0,0,999,sa3014548
Casey Schmitt,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.193,0.235,0.29,0.524,0.23,44,0,0,-0.1,0,0,999,sa3014484
Juan Martinez,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.199,0.245,0.276,0.522,0.231,45,0,0,-0.1,0,0,999,sa502541
Ghordy Santos,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.191,0.232,0.257,0.49,0.218,36,0,0,-0.1,0,0,999,sa3003331
Logan Wyatt,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.204,0.28,0.289,0.569,0.256,61,0,0,-0.1,0,0,999,sa3011259
