Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC,BsR,Fld,Off,Def,WAR,ADP,playerid
Nolan Arenado,STL,150,649,582,153,30,2,31,83,98,57,96,5,2,1,0.264,0.332,0.481,0.813,0.343,118,0.2,4,14.8,6.5,4.3,63.4,9777
Paul Goldschmidt,STL,150,675,587,162,31,2,30,99,87,75,142,5,7,3,0.276,0.36,0.489,0.849,0.363,131,-0.1,0.5,26.5,-12,3.7,45.2,9218
Tyler O'Neill,STL,146,631,567,143,25,2,37,85,98,49,190,9,13,5,0.253,0.32,0.496,0.816,0.346,120,1,3.4,16.9,-3.9,3.4,51.2,15711
Harrison Bader,STL,139,544,478,119,23,2,19,60,65,47,131,10,12,5,0.248,0.326,0.423,0.749,0.321,103,0.7,5.9,3.1,8.3,2.9,223.1,18030
Tommy Edman,STL,143,653,595,160,33,3,14,84,58,40,98,8,24,7,0.268,0.321,0.403,0.724,0.314,99,2.6,0.2,1.8,1.5,2.5,82.6,19470
Dylan Carlson,STL,146,621,547,137,28,3,20,74,74,58,144,9,5,2,0.251,0.33,0.423,0.752,0.325,106,-0.7,4.2,4.2,-1.8,2.3,164,20126
Paul DeJong,STL,97,397,350,82,16,1,16,46,51,36,96,7,4,2,0.235,0.316,0.428,0.743,0.321,104,-0.2,0.7,1.5,4.1,1.9,438,18015
Yadier Molina,STL,102,422,390,99,18,1,11,41,47,22,71,5,2,1,0.254,0.301,0.384,0.685,0.297,88,-2.3,3.6,-8.7,12.2,1.7,287.7,7007
Edmundo Sosa,STL,82,326,297,77,12,3,8,32,36,16,65,8,4,2,0.26,0.315,0.397,0.713,0.308,95,-0.3,-0.6,-2.2,2.9,1.1,396.2,17022
Nolan Gorman,STL,26,109,101,26,5,0,4,12,13,6,23,1,1,0,0.259,0.304,0.431,0.735,0.315,99,-0.1,0,-0.1,0.2,0.4,474.8,sa3007017
Lars Nootbaar,STL,36,141,126,32,5,1,5,16,17,13,28,1,2,1,0.256,0.326,0.419,0.746,0.32,103,0,0.1,0.5,-2,0.3,538.3,21454
Andrew Knizner,STL,41,164,146,35,7,0,4,16,17,13,34,3,1,0,0.243,0.316,0.374,0.69,0.3,90,-0.2,0.2,-2.2,3.5,0.3,598.4,19514
Juan Yepez,STL,15,63,56,15,3,0,3,8,9,5,12,1,0,0,0.263,0.328,0.475,0.803,0.342,117,0,0,1.3,-1.1,0.2,481.6,sa877505
Ali Sanchez,STL,8,30,28,7,1,0,1,3,3,2,5,0,0,0,0.248,0.295,0.355,0.65,0.284,79,0,0,-0.8,0.6,0.1,999,18551
Brendan Donovan,STL,6,26,23,6,1,0,1,3,3,2,5,0,1,0,0.263,0.326,0.394,0.719,0.313,99,0,0,-0.1,-0.1,0.1,596.3,sa3006675
Ivan Herrera,STL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.232,0.305,0.377,0.682,0.299,89,0,0,0,0,0,999,sa3003191
Nicholas Raposo,STL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.236,0.301,0.36,0.661,0.29,83,0,0,0,0,0,999,sa3015018
Malcom Nunez,STL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.251,0.301,0.391,0.692,0.3,90,0,0,0,0,0,999,sa3008113
Matthew Koperniak,STL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.269,0.321,0.413,0.734,0.317,101,0,0,0,0,0,999,sa3014834
Alec Burleson,STL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.256,0.304,0.427,0.731,0.314,99,0,0,0,0,0,999,sa3014466
Julio Rodriguez,STL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.228,0.272,0.356,0.628,0.272,72,0,0,0,0,0,999,sa917669
Kramer Robertson,STL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.231,0.31,0.348,0.659,0.292,85,0,0,0,0,0,999,sa857820
Justin Toerner,STL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.224,0.3,0.356,0.656,0.289,83,0,0,0,0,0,999,sa3006735
Eduardo Antonini,STL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.202,0.277,0.332,0.609,0.27,70,0,0,0,0,0,999,sa3010906
Jordan Walker,STL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.236,0.279,0.384,0.663,0.286,81,0,0,0,0,0,999,sa3014464
Michael Capel,STL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.243,0.301,0.401,0.702,0.303,92,0,0,0,0,0,999,sa918012
Luken Baker,STL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.238,0.294,0.426,0.72,0.309,96,0,0,0,0,0,999,sa3008267
Nicholas Dunn,STL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.24,0.291,0.338,0.629,0.276,75,0,0,0,0,0,999,sa915613
Pedro Pages,STL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.208,0.264,0.318,0.581,0.256,61,0,0,0,0,0,999,sa3010339
