Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC,BsR,Fld,Off,Def,WAR,ADP,playerid
Wander Franco,TBR,149,651,589,170,33,9,19,85,84,49,79,6,10,5,0.289,0.346,0.472,0.818,0.35,128,0,-1.4,22.3,6.1,5.1,54.8,23667
Brandon Lowe,TBR,143,626,544,132,28,1,32,87,86,66,167,9,6,2,0.244,0.332,0.479,0.811,0.345,125,1.2,-1.7,20.2,0,4.2,79,18882
Randy Arozarena,TBR,147,653,571,147,29,3,25,88,80,59,172,14,19,9,0.257,0.339,0.45,0.789,0.338,120,-0.1,-1.5,16.1,-10.5,2.8,59.7,19290
Yandy Diaz,TBR,130,561,479,131,24,2,14,70,64,71,93,4,2,1,0.274,0.371,0.421,0.792,0.345,125,-1,-1.1,16,-8.3,2.7,393.6,16578
Mike Zunino,TBR,80,312,278,57,10,1,17,38,43,24,109,5,1,0,0.203,0.276,0.435,0.712,0.303,97,-0.6,0.2,-1.9,6.8,2.1,231.5,13265
Manuel Margot,TBR,115,485,436,113,22,3,13,57,55,40,84,3,16,7,0.259,0.323,0.414,0.738,0.318,107,0.5,2.8,4.5,-0.7,2,350.9,14712
Austin Meadows,TBR,141,615,543,133,28,3,27,80,83,59,137,7,7,3,0.245,0.324,0.454,0.778,0.332,116,-1.6,-0.5,10.4,-13.7,1.8,131.2,15672
Taylor Walls,TBR,104,416,363,82,18,1,8,44,40,45,106,3,12,6,0.227,0.314,0.354,0.668,0.295,91,-0.4,5.9,-5.1,7.9,1.7,575.4,22458
Kevin Kiermaier,TBR,120,474,426,99,20,5,10,51,49,36,117,5,11,4,0.232,0.298,0.374,0.672,0.291,88,0.9,4.4,-5.9,6.4,1.7,582.3,11038
Ji-Man Choi,TBR,109,465,391,92,21,1,16,58,54,64,121,5,2,1,0.236,0.348,0.418,0.766,0.334,117,-0.8,-0.8,9,-10.1,1.5,545,5452
