Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC,BsR,Fld,Off,Def,WAR,ADP,playerid
Corey Seager,TEX,136,596,523,152,32,3,25,85,82,60,98,6,3,1,0.29,0.368,0.505,0.873,0.372,138,0,-6.1,28,-0.6,4.8,73.4,13624
Marcus Semien,TEX,150,681,599,155,31,2,30,96,84,68,126,4,11,4,0.26,0.337,0.468,0.805,0.345,120,1.2,2.8,18.2,4.6,4.6,31.6,12533
Joshua Jung,TEX,97,394,356,96,19,1,16,50,53,28,86,5,3,1,0.27,0.328,0.466,0.794,0.339,116,-0.3,0,7.5,1.6,2.3,277,sa3011468
Nathaniel Lowe,TEX,146,626,540,139,25,2,23,78,79,76,157,4,5,2,0.258,0.351,0.44,0.791,0.342,118,-0.9,-2,13.1,-14.2,2,247.4,19566
Jonah Heim,TEX,74,294,269,66,13,1,9,32,34,19,55,2,4,1,0.245,0.298,0.399,0.697,0.301,90,-0.3,0.6,-3.7,6.7,2,440.5,16930
Willie Calhoun,TEX,123,529,476,127,22,4,20,68,66,40,78,5,4,2,0.267,0.329,0.457,0.786,0.337,115,-1.6,-1.9,8,-13.3,1.3,418.3,17838
Jose Trevino,TEX,72,283,263,64,14,0,6,28,29,13,56,2,2,1,0.242,0.281,0.369,0.65,0.28,77,-0.8,-0.9,-8.9,5.1,1.2,553.3,16725
Isiah Kiner-Falefa,TEX,76,338,310,83,15,2,5,38,30,19,48,5,9,3,0.267,0.316,0.374,0.69,0.301,90,0.6,1.5,-3.4,3.7,1.2,318.6,16512
Nick Solak,TEX,100,424,379,99,17,1,11,48,47,32,86,7,6,3,0.26,0.327,0.402,0.729,0.318,102,0.1,-2.9,1.2,-5.1,1,413.7,19294
Kole Calhoun,TEX,105,456,400,91,17,1,19,56,55,45,109,6,3,1,0.227,0.312,0.414,0.726,0.314,100,-0.8,0.9,-1,-4.4,1,446.7,11200
Adolis Garcia,TEX,146,633,588,133,26,2,26,71,83,32,201,8,13,6,0.227,0.273,0.414,0.686,0.293,85,-1.2,3.1,-12.5,0.6,1,163.4,19287
Andy Ibanez,TEX,78,321,292,79,15,1,9,37,38,22,52,3,2,1,0.269,0.324,0.423,0.747,0.322,105,-0.5,0.7,1.4,-7.1,0.5,594.7,18819
Leody Taveras,TEX,45,191,171,39,7,1,5,22,19,15,50,1,7,3,0.226,0.293,0.374,0.668,0.29,83,0.3,1.2,-3.7,1.9,0.5,519.8,18900
Yonny Hernandez,TEX,10,41,35,8,1,0,0,5,3,5,7,1,2,1,0.243,0.343,0.317,0.661,0.3,90,0,0,-0.5,0.2,0.1,595.8,19432
Samuel Huff,TEX,6,25,23,5,1,0,1,3,3,1,8,0,0,0,0.222,0.273,0.402,0.675,0.289,83,0,0,-0.5,0.2,0,564.7,22209
