Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC,BsR,Fld,Off,Def,WAR,ADP,playerid
Vladimir Guerrero Jr.,TOR,150,656,567,176,30,2,43,108,120,76,101,6,3,2,0.309,0.394,0.598,0.992,0.414,162,-1.5,-0.1,48.6,-12.6,5.8,5.4,19611
Bo Bichette,TOR,150,668,611,178,36,2,28,98,96,44,123,6,18,7,0.292,0.343,0.496,0.839,0.357,124,0.6,-2.2,20,5.3,4.8,5.3,19612
George Springer,TOR,150,678,588,153,27,2,34,103,90,72,141,9,8,3,0.26,0.348,0.489,0.837,0.357,124,0,-4.4,19.9,-4.5,3.8,55.6,12856
Danny Jansen,TOR,94,361,317,76,15,1,15,46,47,35,73,4,2,1,0.24,0.321,0.436,0.757,0.326,103,-0.5,0.5,0.9,7,2.2,327.7,16535
Alejandro Kirk,TOR,84,334,297,84,17,1,14,45,47,29,46,4,2,1,0.283,0.352,0.487,0.839,0.359,125,-0.5,-0.5,9.7,-0.9,1.9,233.1,22581
Teoscar Hernandez,TOR,150,639,580,150,30,1,32,85,98,47,171,6,10,4,0.259,0.319,0.48,0.799,0.339,112,0,-2.1,9.3,-13.9,1.7,32.2,13066
Santiago Espinal,TOR,123,488,441,119,23,2,7,53,50,36,74,4,8,4,0.269,0.327,0.377,0.704,0.308,91,0.2,2.2,-5.3,4.3,1.6,530.5,19997
Cavan Biggio,TOR,123,524,441,102,21,2,16,66,55,71,130,4,7,2,0.231,0.341,0.393,0.734,0.322,100,-0.6,-2.7,-0.4,-3.2,1.4,294.3,19252
Lourdes Gurriel Jr.,TOR,138,559,515,139,28,2,23,69,77,33,113,5,4,2,0.27,0.317,0.463,0.78,0.332,107,-1,-1,3.9,-8.7,1.4,143.1,19238
Randal Grichuk,TOR,118,489,450,111,24,1,22,60,68,29,108,4,2,1,0.247,0.296,0.451,0.747,0.318,97,-0.6,0,-2.3,-5,0.9,391.3,10243
Kevin Smith,TOR,81,320,291,69,14,2,12,39,41,22,80,3,7,3,0.239,0.297,0.428,0.725,0.31,92,0.1,-1.4,-3,0.1,0.8,600.6,20242
Reese McGuire,TOR,17,63,57,14,3,0,1,7,7,5,13,1,1,0,0.241,0.3,0.376,0.676,0.294,81,0,0.2,-1.5,1.6,0.4,596.4,15674
Jordan Groshans,TOR,15,59,54,14,3,0,1,7,6,4,11,1,0,0,0.255,0.314,0.38,0.694,0.303,87,0,0,-1,0.3,0.1,600.4,sa3006893
Gabriel Moreno,TOR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.259,0.312,0.43,0.742,0.319,98,0,0,0,0,0,418.7,sa3003226
Samad Taylor,TOR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.234,0.303,0.383,0.687,0.298,84,0,0,0,0,0,999,sa918192
Gosuke Katoh,TOR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.242,0.312,0.361,0.673,0.296,83,0,0,0,0,0,999,sa737619
Chavez Young,TOR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.236,0.299,0.368,0.668,0.292,80,0,0,0,0,0,999,sa918963
Vincent Capra,TOR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.238,0.294,0.36,0.654,0.286,76,0,0,0,0,0,999,sa3006731
Orelvis Martinez,TOR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.218,0.259,0.383,0.641,0.275,68,0,0,0,0,0,999,sa3010692
Ryan Gold,TOR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.21,0.27,0.332,0.602,0.263,60,0,0,0,0,0,999,sa918639
Kellin Deglan,TOR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.204,0.267,0.334,0.601,0.264,61,0,0,0,0,0,999,sa548189
Christopher Bec,TOR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.207,0.277,0.311,0.587,0.261,59,0,0,0,0,0,999,sa3006727
Nathan Lukes,TOR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.256,0.303,0.377,0.68,0.295,82,0,0,0,0,0,999,sa875215
Tanner Kirwer,TOR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.23,0.3,0.367,0.667,0.292,80,0,0,0,0,0,999,sa3002831
Roemon Fields,TOR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.233,0.292,0.323,0.616,0.273,67,0,0,0,0,0,999,sa829879
Cullen Large,TOR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.237,0.298,0.363,0.661,0.289,78,0,0,0,0,0,999,sa3003959
Philip Clarke,TOR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.207,0.262,0.302,0.564,0.249,51,0,0,-0.1,0,0,999,sa3011379
Mallex Smith,TOR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.236,0.306,0.348,0.654,0.288,77,0,0,0,0,0,999,13608
Rodrigo Vigil,TOR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.215,0.26,0.299,0.559,0.246,49,0,0,-0.1,0,0,999,sa547818
Rafael Lantigua,TOR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.217,0.269,0.325,0.593,0.261,59,0,0,-0.1,0,0,999,sa3003219
Tanner Morris,TOR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.221,0.28,0.308,0.588,0.261,59,0,0,-0.1,0,0,999,sa3009873
Spencer Horwitz,TOR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.234,0.296,0.361,0.657,0.287,77,0,0,0,0,0,999,sa1115496
Leonardo Jimenez,TOR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.211,0.27,0.271,0.542,0.244,47,0,0,-0.1,0,0,999,sa3006891
Cameron Eden,TOR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.205,0.26,0.307,0.567,0.251,52,0,0,-0.1,0,0,999,sa3009883
Jason Talley,TOR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.234,0.289,0.353,0.642,0.281,72,0,0,0,0,0,999,sa1169773
Luis De Los Santos,TOR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.208,0.24,0.315,0.554,0.24,45,0,0,-0.1,0,0,999,sa917822
Davis Schneider,TOR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.193,0.25,0.315,0.565,0.248,50,0,0,-0.1,0,0,999,sa3004518
Brock Lundquist,TOR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.207,0.273,0.332,0.605,0.266,62,0,0,0,0,0,999,sa3002834
Nick Podkul,TOR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.221,0.287,0.341,0.627,0.276,69,0,0,0,0,0,999,sa3006720
Jonathan Robertson,TOR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.197,0.243,0.306,0.549,0.241,45,0,0,-0.1,0,0,999,sa3009879
Zachary Cook,TOR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.201,0.254,0.338,0.592,0.258,57,0,0,-0.1,0,0,999,sa3015090
Addison Barger,TOR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.184,0.223,0.296,0.519,0.226,35,0,0,-0.1,0,0,999,sa3006910
Zachary Britton,TOR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.169,0.224,0.255,0.48,0.214,27,0,0,-0.1,0,0,999,sa3014821
Sebastian Espino,TOR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.213,0.256,0.323,0.579,0.253,53,0,0,-0.1,0,0,999,sa3003347
