Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC,BsR,Fld,Off,Def,WAR,ADP,playerid
Juan Soto,WSN,150,663,517,160,29,2,36,112,106,135,96,5,11,5,0.31,0.453,0.586,1.039,0.431,170,-0.8,-0.8,57.9,-8.3,7.2,3.9,20123
Keibert Ruiz,WSN,95,387,352,95,18,1,16,45,55,27,44,4,1,1,0.27,0.326,0.464,0.79,0.337,109,-0.5,-0.3,3.8,7.1,2.4,139.4,19610
Josh Bell,WSN,147,633,547,143,28,1,31,84,98,75,125,5,1,0,0.26,0.352,0.486,0.839,0.356,121,-2.6,-5,14.4,-17.3,1.8,124.5,13145
Cesar Hernandez,WSN,126,569,503,131,24,2,14,72,55,53,109,5,3,1,0.26,0.333,0.396,0.73,0.318,96,-0.1,-0.8,-2.9,1.3,1.7,376.3,10556
Carter Kieboom,WSN,126,495,427,105,19,1,14,52,55,52,104,8,2,1,0.246,0.336,0.395,0.731,0.32,97,-0.6,-3.3,-2.4,-0.7,1.3,493.9,19958
Lane Thomas,WSN,105,476,417,101,21,3,16,64,49,47,120,4,11,5,0.243,0.324,0.421,0.745,0.322,99,-0.2,-1.3,-0.9,-2.4,1.2,256.2,16939
Luis Garcia,WSN,91,363,337,91,17,1,12,39,47,19,60,2,3,2,0.269,0.31,0.437,0.747,0.319,97,-0.2,-3.9,-1.7,-1.4,0.9,486.1,20391
Victor Robles,WSN,84,339,298,71,17,1,7,38,34,26,79,10,10,4,0.238,0.318,0.377,0.695,0.304,87,-0.1,0.4,-5.8,1.8,0.7,407.7,18363
Yadiel Hernandez,WSN,86,356,321,83,13,1,13,41,47,28,81,2,3,1,0.258,0.32,0.425,0.745,0.32,98,-0.8,-1.6,-1.9,-6.2,0.4,586.4,19334
Maikel Franco,WSN,24,100,92,22,5,0,4,11,13,6,17,1,0,0,0.242,0.293,0.419,0.712,0.303,87,-0.2,-0.5,-1.9,-0.1,0.1,599.7,12179
Alcides Escobar,WSN,121,497,457,112,24,2,9,47,50,26,91,7,4,2,0.246,0.295,0.362,0.657,0.286,76,0.3,-3.5,-15.1,0.1,0.1,583,6310
Tres Barrera,WSN,6,24,21,5,1,0,1,2,2,2,5,0,0,0,0.231,0.303,0.361,0.664,0.29,78,0,-0.1,-0.7,0.4,0.1,999,19977
Andrew Stevenson,WSN,54,216,195,50,9,1,4,23,23,15,57,3,3,1,0.256,0.314,0.379,0.694,0.301,85,-0.1,0.2,-4.2,-2.5,0.1,600.7,17932
Riley Adams,WSN,55,217,189,42,9,1,7,23,24,20,68,5,1,0,0.223,0.311,0.383,0.694,0.304,87,-0.2,-0.7,-3.7,3.4,0,590.3,19864
Adrian Sanchez,WSN,2,7,6,2,0,0,0,1,1,0,1,0,0,0,0.258,0.301,0.369,0.67,0.29,78,0,0,-0.2,0,0,999,11338
John Lindsly,WSN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.229,0.296,0.361,0.657,0.288,76,0,0,0,0,0,999,sa3014942
Jacob Alu,WSN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.257,0.297,0.386,0.683,0.295,81,0,0,0,0,0,999,sa3010009
Cole Freeman,WSN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.257,0.306,0.345,0.651,0.287,76,0,0,0,0,0,999,sa915838
Jecksson Flores,WSN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.236,0.297,0.328,0.626,0.277,69,0,0,0,0,0,999,sa597007
Alex Dunlap,WSN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.204,0.268,0.325,0.593,0.261,59,0,0,-0.1,0,0,999,sa3004878
Andrew Millas,WSN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.218,0.282,0.303,0.585,0.261,59,0,0,-0.1,0,0,999,sa3014475
Richard Urena,WSN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.243,0.28,0.365,0.644,0.279,71,0,0,0,0,0,999,16411
Welington Castillo,WSN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.213,0.277,0.364,0.641,0.278,70,0,0,0,0,0,999,3256
Jacob Rhinesmith,WSN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.243,0.303,0.374,0.677,0.294,81,0,0,0,0,0,999,sa3006729
Armond Upshaw,WSN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.219,0.282,0.344,0.626,0.275,68,0,0,0,0,0,999,sa918220
Jackson Cluff,WSN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.222,0.275,0.327,0.602,0.264,61,0,0,-0.1,0,0,999,sa3010342
Kyle Marinconz,WSN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.234,0.287,0.33,0.617,0.272,66,0,0,0,0,0,999,sa3007638
Dee Gordon,WSN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.257,0.29,0.342,0.632,0.275,68,0,0,0,0,0,999,8203
Kainoa Harrison,WSN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.231,0.289,0.402,0.691,0.298,83,0,0,0,0,0,999,sa829382
Gilbert Lara,WSN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.226,0.259,0.335,0.594,0.258,57,0,0,-0.1,0,0,999,sa877337
Yasel Antuna,WSN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.21,0.26,0.32,0.581,0.255,55,0,0,-0.1,0,0,999,sa962601
Gage Canning,WSN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.238,0.288,0.36,0.648,0.282,73,0,0,0,0,0,999,sa3006711
Israel Pineda,WSN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.196,0.238,0.322,0.56,0.243,47,0,0,-0.1,0,0,999,sa3004385
