Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
Merrill Kelly,ARI,7,11,0,27,27,158,7.41,2.34,1.2,0.301,70.50%,43.90%,12.60%,91.7,4.44,4.51,4.11,4.24,2.4
Madison Bumgarner,ARI,7,10,0,26,26,146.1,7.63,2.4,1.48,0.265,67.80%,33.30%,12.30%,90.5,4.67,4.36,4.63,4.85,1.5
Zac Gallen,ARI,4,10,0,23,23,121.1,10.31,3.63,1.41,0.286,74.60%,43.70%,15.80%,93.4,4.3,3.98,4.25,3.96,1.5
Luke Weaver,ARI,3,6,0,13,13,65.2,8.5,2.74,1.51,0.26,70.80%,38.30%,14.70%,93.7,4.25,4.63,4.42,4.26,0.7
Taylor Widener,ARI,2,1,0,13,13,61,9.44,4.72,1.92,0.253,82.40%,34.10%,16.50%,92.7,4.28,,5.71,5.23,-0.2
Charlie Morton,ATL,14,6,0,33,33,185.2,10.47,2.81,0.78,0.267,71.00%,47.80%,12.10%,95.5,3.34,3.32,3.18,3.31,4.6
Max Fried,ATL,14,7,0,28,28,165.2,8.58,2.23,0.81,0.278,75.90%,51.80%,12.10%,94,3.04,3.5,3.31,3.45,3.8
Ian Anderson,ATL,9,5,0,24,24,128.1,8.7,3.72,1.12,0.261,79.10%,49.30%,15.10%,94.6,3.58,4.3,4.12,3.96,1.9
Huascar Ynoa,ATL,4,6,0,17,17,90,10,2.5,1.4,0.271,73.50%,47.20%,18.70%,96.6,4.1,,3.94,3.38,1.4
Drew Smyly,ATL,9,4,0,23,23,115.2,8.48,2.96,2.1,0.292,76.50%,39.50%,19.40%,92.1,4.75,,5.36,4.44,0.2
John Means,BAL,6,9,0,26,26,146.2,8.22,1.6,1.84,0.24,80.50%,32.90%,15.00%,92.9,3.62,4.09,4.62,4.36,2.5
Matt Harvey,BAL,6,14,0,28,28,127.2,6.7,2.61,1.34,0.331,60.40%,42.70%,12.30%,93.6,6.27,5.41,4.6,4.81,1.9
Jorge Lopez,BAL,3,14,0,25,25,113.1,8.1,4.29,1.51,0.347,68.60%,49.40%,18.80%,95.1,6.35,,5.24,4.64,0.8
Keegan Akin,BAL,2,10,0,17,17,77,7.6,4.44,1.87,0.316,65.70%,35.10%,15.00%,92,6.9,,5.74,5.49,0.3
Bruce Zimmermann,BAL,3,5,0,13,13,58.2,7.67,3.22,1.99,0.335,77.10%,38.40%,19.70%,91.5,5.37,,5.52,4.63,0.3
Nathan Eovaldi,BOS,11,9,0,32,32,182.1,9.63,1.73,0.74,0.326,70.40%,42.00%,8.20%,97.1,3.75,3.37,2.79,3.48,5.6
Eduardo Rodriguez,BOS,12,8,0,31,31,156.2,10.57,2.7,1.09,0.364,68.90%,43.40%,12.80%,92.8,4.77,,3.34,3.43,3.8
Nick Pivetta,BOS,9,8,0,30,30,154,10.17,3.8,1.4,0.29,73.20%,38.30%,13.60%,95,4.56,,4.3,4.29,2.1
Martin Perez,BOS,7,8,0,22,22,100,7.65,2.97,1.53,0.338,74.20%,42.00%,16.50%,93.3,4.77,,4.91,4.52,0.5
Garrett Richards,BOS,6,7,0,22,22,110.1,7.1,3.92,1.47,0.335,72.30%,46.60%,15.70%,94.4,5.22,,5.15,4.87,0.4
Alec Mills,CHC,4,7,0,20,20,99.1,6.52,2.17,1.18,0.322,66.80%,50.90%,14.80%,88.9,4.8,,4.27,4.13,1.3
Kyle Hendricks,CHC,14,7,0,32,32,181,6.51,2.19,1.54,0.299,73.00%,43.10%,15.60%,87.5,4.77,4.99,4.89,4.61,1.3
Adbert Alzolay,CHC,4,13,0,21,21,106.1,9.06,2.71,2.03,0.261,70.40%,44.90%,23.50%,93.9,5.16,,5.14,3.89,0.4
Zach Davies,CHC,6,12,0,32,32,148,6.93,4.56,1.52,0.305,69.10%,42.50%,16.80%,,5.78,6.36,5.45,5.03,0.1
Jake Arrieta,CHC,5,11,0,20,20,86.1,7.71,4.07,2.19,0.339,64.00%,43.60%,23.30%,90.8,6.88,,6.11,4.79,-0.6
Carlos Rodon,CHW,13,5,0,24,24,132.2,12.55,2.44,0.88,0.267,82.20%,37.70%,9.60%,95.4,2.37,2.68,2.65,3.17,4.9
Dylan Cease,CHW,13,7,0,32,32,165.2,12.28,3.69,1.09,0.309,73.90%,33.30%,11.30%,96.8,3.91,3.68,3.41,3.72,4.4
Lance Lynn,CHW,11,6,0,28,28,157,10.09,2.58,1.03,0.263,81.50%,38.10%,10.20%,94,2.69,2.62,3.32,3.82,4.2
Lucas Giolito,CHW,11,9,0,31,31,178.2,10.13,2.62,1.36,0.269,77.50%,33.20%,13.80%,94,3.53,3.3,3.79,3.75,4
Dallas Keuchel,CHW,9,9,0,30,30,156.1,5.18,3.28,1.32,0.304,67.80%,55.20%,17.40%,89.1,5.18,,5.16,4.74,0.7
Tyler Mahle,CIN,13,6,0,33,33,180,10.5,3.2,1.2,0.297,77.60%,42.20%,14.10%,94.2,3.75,3.76,3.8,3.74,3.8
Luis Castillo,CIN,8,16,0,33,33,187.2,9.21,3.6,0.91,0.318,71.50%,56.60%,15.00%,97.3,3.98,3.65,3.75,3.63,3.7
Wade Miley,CIN,12,7,0,28,28,163,6.9,2.76,0.94,0.301,79.40%,49.40%,12.60%,90.1,3.37,4.15,3.97,4.07,2.9
Sonny Gray,CIN,7,9,0,26,26,135.1,10.31,3.33,1.26,0.28,72.40%,47.20%,16.50%,92.6,4.19,3.25,3.99,3.66,2.4
Vladimir Gutierrez,CIN,9,6,0,22,22,114,6.95,3.63,1.58,0.281,75.90%,43.40%,14.30%,93.4,4.74,4.57,5.22,5.11,0.6
Shane Bieber,CLE,7,4,0,16,16,96.2,12.48,3.07,1.02,0.327,80.50%,44.00%,14.70%,92.9,3.17,3.76,3.03,2.91,2.6
Cal Quantrill,CLE,8,2,0,22,22,121,7.36,2.6,1.04,0.264,76.60%,42.60%,10.90%,94.5,3.12,,4.05,4.42,1.8
Triston McKenzie,CLE,5,9,0,24,24,116.1,10.13,4.18,1.62,0.226,67.50%,30.80%,15.10%,92.3,5.03,,4.73,4.5,1.1
Zach Plesac,CLE,10,6,0,25,25,142.2,6.31,2.14,1.45,0.263,67.90%,45.30%,13.30%,93,4.67,4.54,4.73,4.77,1.1
Aaron Civale,CLE,12,5,0,21,21,124.1,7.17,2.24,1.66,0.249,78.50%,45.00%,17.20%,91.5,3.84,4.79,4.83,4.32,0.8
Antonio Senzatela,COL,4,10,0,28,28,156.2,6.03,1.84,0.69,0.324,66.80%,51.20%,8.70%,94.7,4.42,4.33,3.61,4.17,3.5
German Marquez,COL,12,11,0,32,32,180,8.8,3.2,1.05,0.293,69.30%,51.60%,15.90%,95.1,4.4,4.04,3.86,3.64,3.4
Jon Gray,COL,8,12,0,29,29,149,9.48,3.5,1.27,0.298,69.60%,48.40%,15.10%,95,4.59,3.98,4.22,4.04,2.3
Kyle Freeland,COL,7,8,0,23,23,120.2,7.83,2.83,1.49,0.325,78.90%,45.00%,16.40%,91.5,4.33,4.24,4.63,4.26,1.5
Austin Gomber,COL,9,9,0,23,23,115.1,8.82,3.2,1.56,0.264,69.50%,44.30%,16.80%,91.8,4.53,4.09,4.61,4.18,1.3
Casey Mize,DET,7,9,0,30,30,150.1,7.06,2.45,1.44,0.254,79.50%,48.10%,16.20%,94.1,3.71,4.92,4.71,4.37,1.3
Tyler Alexander,DET,1,3,0,15,15,66.2,7.02,2.43,1.22,0.277,81.20%,36.50%,9.80%,90.4,3.38,,4.31,4.99,1
Matt Manning,DET,4,7,0,18,18,85.1,6.01,3.48,1.05,0.305,61.90%,44.50%,10.20%,93.7,5.8,5.48,4.62,5.13,0.9
Tarik Skubal,DET,8,11,0,29,29,143.2,9.96,2.76,2.13,0.274,80.50%,38.60%,21.00%,94.6,4.39,,5.06,3.97,0.8
Lance McCullers Jr.,HOU,13,5,0,28,28,162.1,10.26,4.21,0.72,0.273,78.50%,56.40%,11.70%,93.4,3.16,3.42,3.52,3.69,3.3
Luis Garcia,HOU,11,7,0,28,28,149.1,9.64,2.95,1.08,0.292,76.90%,38.90%,11.50%,93.3,3.56,,3.62,3.91,3.1
Framber Valdez,HOU,11,6,0,22,22,134.2,8.35,3.88,0.8,0.268,78.30%,70.30%,21.40%,92.3,3.14,3.84,4.01,3.58,1.9
Jose Urquidy,HOU,8,3,0,20,20,107,7.57,1.6,1.43,0.237,77.20%,32.20%,12.10%,92.7,3.62,3.98,4.14,4.39,1.8
Zack Greinke,HOU,11,6,0,29,29,168.2,6.24,1.92,1.55,0.264,75.30%,44.10%,17.00%,89,4.11,,4.69,4.25,1.4
Mike Minor,KCR,8,12,0,28,28,158.2,8.45,2.33,1.47,0.29,66.40%,38.40%,13.40%,91.1,5.05,4.39,4.29,4.32,2.3
Brady Singer,KCR,5,10,0,27,27,128.1,9.19,3.72,0.98,0.35,67.80%,49.90%,13.00%,93.7,4.91,4.57,4.04,4.11,2
Brad Keller,KCR,8,12,0,26,26,133.2,8.08,4.31,1.21,0.347,68.70%,47.80%,14.90%,94.2,5.39,6.52,4.72,4.57,1.1
Daniel Lynch,KCR,4,6,0,15,15,68,7.28,4.1,1.19,0.335,67.40%,38.80%,11.00%,93.9,5.69,6.4,4.82,5.22,0.5
Kris Bubic,KCR,5,6,0,20,20,103.2,7.99,3.82,1.91,0.284,77.60%,45.40%,23.40%,91,4.77,,5.6,4.44,-0.1
Shohei Ohtani,LAA,9,2,0,23,23,130.1,10.77,3.04,1.04,0.269,79.40%,45.00%,13.30%,95.7,3.18,3.35,3.52,3.55,3
Alex Cobb,LAA,8,3,0,18,18,93.1,9.45,3.18,0.48,0.315,65.80%,53.30%,8.20%,93.2,3.76,3.98,2.92,3.38,2.5
Patrick Sandoval,LAA,3,6,0,14,14,79.2,9.72,3.5,0.9,0.274,74.90%,50.70%,12.90%,93.3,3.39,,3.63,3.7,1.7
Andrew Heaney,LAA,6,7,0,18,18,94,10.82,2.97,1.53,0.319,67.60%,33.50%,15.40%,92,5.27,,4.06,3.8,1.5
Jose Suarez,LAA,5,7,0,14,14,71,7.48,3.42,1.01,0.272,66.80%,47.20%,11.60%,93,4.44,,4.28,4.53,1
