Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Zac Gallen,ARI,11,11,3.99,31,31,0,178,163,79,23,198,65,1.28,10.01,3.3,3.82,3,3,143.4,19291
Merrill Kelly,ARI,9,11,4.56,29,29,0,171,181,87,26,145,51,1.35,7.62,2.67,4.42,2,1.8,459.9,11156
Luke Weaver,ARI,8,9,4.38,26,26,0,140,139,68,21,139,45,1.32,8.9,2.92,4.24,1.7,1.7,464.1,16918
Madison Bumgarner,ARI,9,12,4.8,31,31,0,184,193,98,32,157,52,1.34,7.69,2.57,4.75,1.7,1.5,469.3,5524
Tyler Gilbert,ARI,5,7,4.84,18,18,0,102,109,55,16,83,39,1.44,7.3,3.39,4.82,0.7,0.7,597.9,17964
Ryne Nelson,ARI,2,2,4.44,6,6,0,37,35,18,5,37,15,1.36,8.96,3.61,4.41,0.4,0.4,999,sa3011524
Mark Melancon,ARI,3,3,3.94,0,65,30,65,66,28,6,57,24,1.39,7.96,3.31,3.87,0.4,0.5,141.6,4264
Sean Poppen,ARI,2,2,3.85,0,42,0,42,39,18,4,43,18,1.36,9.15,3.77,3.81,0.3,0.3,999,19583
J.B. Wendelken,ARI,3,3,4.22,0,60,1,60,57,28,7,59,25,1.38,8.8,3.8,4.21,0.3,0.3,599.3,14506
Taylor Widener,ARI,4,4,4.57,5,51,0,73,69,37,11,75,30,1.36,9.27,3.66,4.5,0.3,0.3,598.6,19266
Caleb Smith,ARI,3,3,4.29,0,65,2,65,57,31,10,75,28,1.31,10.42,3.84,4.36,0.2,0.3,545.3,14875
Corbin Martin,ARI,3,4,5.07,10,10,0,53,54,30,8,48,26,1.51,8.18,4.45,4.96,0.2,0.2,595.7,19884
Joe Mantiply,ARI,3,3,4.08,0,58,0,58,57,26,7,55,23,1.38,8.47,3.57,4.14,0.2,0.3,999,14857
Luis Frias,ARI,1,1,4.19,2,18,0,25,24,12,3,26,11,1.37,9.15,3.91,4.16,0.2,0.2,999,21997
Noe Ramirez,ARI,3,3,4.58,0,64,1,64,63,33,10,60,24,1.37,8.45,3.37,4.52,0.1,0,999,12800
Humberto Castellanos,ARI,1,1,4.94,3,3,0,18,19,10,3,14,6,1.42,7.17,3.06,4.81,0.1,0.1,999,21183
Mitchell Stumpo,ARI,1,1,4.07,0,24,0,24,23,11,3,24,10,1.36,8.93,3.67,4.04,0.1,0.1,999,sa3011585
Ryan Weiss,ARI,1,2,4.33,0,30,0,30,30,14,4,28,12,1.37,8.5,3.49,4.28,0.1,0,999,sa3007778
J.B. Bukauskas,ARI,2,3,4.28,0,52,0,52,49,25,6,52,25,1.43,9.01,4.35,4.29,0.1,0.1,599,20491
Zack Burdi,ARI,1,1,4.42,0,22,0,22,20,11,3,24,10,1.4,9.63,4.29,4.42,0.1,0,999,19159
Matt Peacock,ARI,2,2,4.33,0,36,0,36,40,17,4,26,13,1.45,6.49,3.15,4.27,0.1,0.1,999,20339
Edwin Uceta,ARI,0,0,4.15,0,6,0,6,5,3,1,7,3,1.35,9.83,3.98,4.13,0,0,999,20539
Humberto Mejia,ARI,0,1,5.17,2,2,0,9,9,5,2,7,3,1.44,7.4,3.39,5.08,0,0.1,999,20739
Kevin Ginkel,ARI,0,0,4.22,0,4,0,4,4,2,1,4,2,1.36,10.01,4.12,4.13,0,0,999,19876
Brett de Geus,ARI,0,1,4.41,0,10,0,10,10,5,1,9,4,1.46,7.97,3.97,4.35,0,0,999,23592
Ben Heller,ARI,0,0,4.15,0,1,0,1,1,0,0,1,0,1.35,9.21,3.61,4.06,0,0.1,999,15100
Junior Garcia,ARI,0,0,4.24,0,1,0,1,1,0,0,1,0,1.45,8.6,4.36,4.33,0,0,999,sa737032
Tyler Jones,ARI,0,0,4.4,0,1,0,1,1,0,0,1,0,1.4,8.38,3.7,4.35,0,0,999,sa3007999
Blake Workman,ARI,0,0,4.42,0,1,0,1,1,0,0,1,0,1.34,8.77,3.28,4.35,0,0,999,sa3007856
Blake Rogers,ARI,0,0,4.38,0,1,0,1,1,0,0,1,0,1.44,8.62,4.24,4.38,0,0,999,sa876290
Stefan Crichton,ARI,0,0,4.6,0,1,0,1,1,1,0,1,0,1.45,7.2,3.58,4.59,0,0,598.4,16058
Miguel Aguilar,ARI,0,0,4.43,0,1,0,1,1,0,0,1,0,1.4,8.22,3.69,4.51,0,0,999,19246
Keegan Curtis,ARI,0,0,4.49,0,1,0,1,1,0,0,1,0,1.42,8.84,4.06,4.44,0,0,999,sa3007833
Mack Lemieux,ARI,0,0,4.3,0,1,0,1,1,0,0,1,1,1.48,8.96,4.87,4.47,0,0,999,sa875726
Brandyn Sittinger,ARI,0,0,4.7,0,1,0,1,1,1,0,1,0,1.45,8.76,4.24,4.68,0,0,999,19192
Tyler Holton,ARI,0,0,4.08,0,0,0,1,1,0,0,1,0,1.35,8.22,3.17,4.09,0,0,999,sa3011295
Drey Jameson,ARI,0,0,4.44,0,0,0,1,1,0,0,1,0,1.39,8.28,3.49,4.33,0,0,999,sa3011652
Shumpei Yoshikawa,ARI,0,0,4.72,0,0,0,1,1,1,0,1,0,1.39,7.85,3.17,4.59,0,0,999,sa3008654
Brandon Pfaadt,ARI,0,0,4.69,0,0,0,1,1,1,0,1,0,1.35,7.75,2.85,4.6,0,0,999,sa3014983
Joshua Green,ARI,0,0,4.73,0,0,0,1,1,1,0,1,0,1.44,5.76,2.73,4.62,0,0,999,sa3006701
Thomas Henry,ARI,0,0,4.58,0,0,0,1,1,1,0,1,0,1.46,8.15,4.21,4.69,0,0,999,sa3011673
Bryce Jarvis,ARI,0,0,4.86,0,0,0,1,1,1,0,1,0,1.45,7.86,3.75,4.73,0,0,999,sa3014437
Kenny Hernandez,ARI,0,0,4.7,0,0,0,1,1,1,0,1,0,1.51,6.28,3.7,4.75,0,0,999,sa943755
Kevin McCanna,ARI,0,0,4.91,0,0,0,1,1,1,0,1,0,1.4,7.88,3.3,4.82,0,0,999,sa658530
Justin Vernia,ARI,0,0,5.09,0,0,0,1,1,1,0,1,0,1.47,6.13,2.98,4.95,0,0,999,sa3008626
Matt Tabor,ARI,0,0,5.14,0,0,0,1,1,1,0,1,0,1.46,6.97,3.38,5.03,0,0,999,sa3005334
Austin Pope,ARI,0,0,5.3,0,0,0,1,1,1,0,1,1,1.62,6.38,4.62,5.22,0,0,999,sa3010816
Matthew Walston,ARI,0,0,5.2,0,0,0,1,1,1,0,1,0,1.56,6.83,4.4,5.29,0,0,999,sa3011814
Kyle Backhus,ARI,0,0,5.3,0,0,0,1,1,1,0,1,1,1.62,6.24,4.58,5.33,0,0,999,sa3017068
Conor Grammes,ARI,0,0,5.5,0,0,0,1,1,1,0,1,1,1.63,6.71,4.69,5.35,0,0,999,sa3011651
Slade Cecconi,ARI,0,0,5.47,0,0,0,1,1,1,0,1,0,1.59,6.46,4.29,5.38,0,0,999,sa3014739
Collin Sullivan,ARI,0,0,5.62,0,0,0,1,1,1,0,1,0,1.59,6.37,4.18,5.5,0,0,999,sa3017192
Matthew Mercer,ARI,0,0,5.61,0,0,0,1,1,1,0,1,1,1.66,6.98,5.15,5.5,0,0,999,sa3007837
Marlon Arias,ARI,0,0,5.51,0,0,0,1,1,1,0,1,1,1.63,6.24,4.74,5.67,0,0,999,sa294505
Adrian Del Moral,ARI,0,0,5.82,0,0,0,1,1,1,0,1,1,1.69,5.12,4.65,5.73,0,0,999,sa3006816
Joe Elbis,ARI,0,0,5.9,0,0,0,1,1,1,0,1,1,1.68,5.99,4.76,5.75,0,0,999,sa3015216
Avery Short,ARI,0,0,5.68,0,0,0,1,1,1,0,1,1,1.7,5.75,5.11,5.76,0,0,999,sa3011712
Yaifer Perdomo,ARI,0,0,5.69,0,0,0,1,1,1,0,1,1,1.75,6.75,6.08,5.8,0,0,999,sa3009484
Justin Martinez,ARI,0,0,5.85,0,0,0,1,1,1,0,1,1,1.79,6.18,6.03,5.8,0,0,999,sa3005864
Luke Albright,ARI,0,0,6,0,0,0,1,1,1,0,1,1,1.73,5.97,5.26,5.85,0,0,999,sa3017592
Cesilio Pimentel,ARI,0,0,5.7,0,0,0,1,1,1,0,1,1,1.67,5.06,4.54,5.86,0,0,999,sa603201
Jackson Goddard,ARI,0,0,5.95,0,0,0,1,1,1,0,1,1,1.73,5.87,5.33,5.88,0,0,999,sa3007776
Deyni Olivero,ARI,0,0,6.13,0,0,0,1,1,1,0,1,1,1.73,5.45,4.97,5.97,0,0,999,sa917869
Rigoberto Borbolla,ARI,0,0,6.05,0,0,0,1,1,1,0,1,1,1.84,5.85,6.46,6.14,0,0,999,sa3006170
Junior Mieses,ARI,0,0,6.35,0,0,0,1,1,1,0,1,1,1.89,6.05,6.92,6.34,0,0,999,sa3005258
Patrick McGuff,ARI,0,0,6.61,0,0,0,1,1,1,0,1,1,1.84,5.11,5.78,6.44,0,0,999,sa918916
Tyler Poulin,ARI,0,0,6.68,0,0,0,1,1,1,0,1,1,1.89,4.91,6.16,6.52,0,0,999,sa3010138
Liam Norris,ARI,0,0,6.41,0,0,0,1,1,1,0,1,1,1.97,6.3,7.85,6.53,0,0,999,sa3014543
Arturo Roque,ARI,0,0,6.52,0,0,0,1,1,1,0,1,1,1.92,4.79,6.57,6.57,0,0,999,sa3011049
Phillip Lacaze,ARI,0,0,6.72,0,0,0,1,1,1,0,1,1,1.9,4.92,6.36,6.59,0,0,999,sa3009942
Peniel Otano,ARI,0,0,6.73,0,0,0,1,1,1,0,1,1,1.91,5.03,6.5,6.74,0,0,999,sa3016751
Hansel Rincon,ARI,0,0,6.79,0,0,0,1,1,1,0,1,1,1.89,4.87,6.26,6.77,0,0,999,sa3015450
Jean Marcelino,ARI,0,0,6.78,0,0,0,1,1,1,0,1,1,1.95,4.88,6.89,6.84,0,0,999,sa3008695
Rael Santos,ARI,0,0,6.94,0,0,0,1,1,1,0,1,1,2.04,5.39,7.84,6.84,0,0,999,sa3006635
Carlos Meza,ARI,0,0,6.83,0,0,0,1,1,1,0,1,1,2.01,4.91,7.59,7.01,0,0,999,sa3006410
Lisandro Almonte,ARI,0,0,7.01,0,0,0,1,1,1,0,1,1,2,4.83,7.28,7.03,0,0,999,sa3015497
Jose Valdez,ARI,0,0,7.01,0,0,0,1,1,1,0,1,1,2,5.03,7.33,7.03,0,0,999,sa3011438
Luis Osorio,ARI,0,0,6.99,0,0,0,1,1,1,0,1,1,2.02,5.13,7.62,7.04,0,0,999,sa3015988
Yoscar Pimentel,ARI,0,0,7.04,0,0,0,1,1,1,0,0,1,1.98,4.5,6.93,7.04,0,0,999,sa3009599
Joiner Vicent,ARI,0,0,7,0,0,0,1,1,1,0,1,1,2,4.93,7.37,7.04,0,0,999,sa3015439
Diomede Sierra,ARI,0,0,6.91,0,0,0,1,1,1,0,1,1,2.07,4.82,8.11,7.12,0,0,999,sa3009586
Cristian Pacheco,ARI,0,0,7.11,0,0,0,1,1,1,0,1,1,2.02,4.79,7.45,7.13,0,0,999,sa3005887
Jesus Jimenez,ARI,0,0,7.36,0,0,0,1,1,1,0,0,1,2.05,4.38,7.5,7.34,0,0,999,sa3016266
Abraham Calzadilla,ARI,0,0,7.46,0,0,0,1,1,1,0,1,1,2.07,4.96,7.86,7.44,0,0,999,sa3011808
Mauricio Bascunan,ARI,0,0,7.6,0,0,0,1,1,1,0,0,1,2.08,4.33,7.69,7.59,0,0,999,sa3009461
Jeffrey Bain,ARI,0,0,4.59,0,1,0,1,1,1,0,1,0,1.42,7.6,3.44,4.49,0,0,999,sa829808
Jesus Liranzo,ARI,0,0,4.56,0,1,0,1,1,1,0,1,0,1.44,8.88,4.19,4.51,0,0,999,sa658076
Chester Pimentel,ARI,0,0,4.58,0,1,0,1,1,1,0,1,0,1.44,8.78,4.28,4.59,0,0,999,sa877342
Matthew Brill,ARI,0,0,4.61,0,1,0,1,1,1,0,1,1,1.52,8.74,4.98,4.64,0,0,999,sa738328
Riley Smith,ARI,0,0,4.78,0,1,0,1,1,1,0,1,0,1.4,6.51,2.61,4.67,0,0,999,19826
Jordan Weems,ARI,0,0,4.61,0,1,0,1,1,1,0,1,1,1.47,8.81,4.54,4.59,0,0,999,13190
Levi Kelly,ARI,0,0,4.63,0,1,0,1,1,1,0,1,1,1.52,9.27,5.29,4.69,0,0,999,sa3008500
Justin Lewis,ARI,0,0,4.74,0,1,0,1,1,1,0,1,0,1.46,8.2,4.19,4.76,0,0,999,sa3008577
Denson Hull,ARI,0,0,4.75,0,1,0,1,1,1,0,1,1,1.52,8.16,4.57,4.81,0,0,999,sa3010139
Chris Devenski,ARI,0,0,4.98,0,1,0,1,1,1,0,1,0,1.4,7.79,3.23,4.84,0,0,999,12763
Ty Tice,ARI,0,0,4.88,0,1,0,1,1,1,0,1,1,1.5,8.4,4.56,4.86,0,0,999,20177
Liu Fuenmayor,ARI,0,0,4.95,0,1,0,1,1,1,0,1,1,1.66,7.45,5.64,5.12,0,0,999,sa3003126
Wesley Rodriguez,ARI,0,0,5.15,0,1,0,1,1,1,0,1,1,1.57,7.62,4.79,5.15,0,0,999,sa875566
Marcos Tineo,ARI,0,0,5.33,0,1,0,1,1,1,0,1,0,1.59,6.63,4.4,5.25,0,0,999,sa3003124
Hunter Haworth,ARI,0,0,5.32,0,1,0,1,1,1,0,1,1,1.63,7.16,5.1,5.33,0,0,999,sa3005318
Jose Santamaria,ARI,0,0,5.36,0,1,0,1,1,1,0,1,1,1.69,6.58,5.42,5.37,0,0,999,sa3008373
Gerald Ogando,ARI,0,0,5.46,0,1,0,1,1,1,0,1,1,1.69,6.96,5.53,5.45,0,0,999,sa3005026
Julio Frias,ARI,0,0,5.28,0,1,0,1,1,1,0,1,1,1.72,7.25,6.1,5.46,0,0,999,sa873218
Joshua McMinn,ARI,0,0,5.64,0,1,0,1,1,1,0,1,1,1.7,6.77,5.51,5.62,0,0,999,sa3009926
Robert Ay,ARI,0,0,5.63,0,1,0,1,1,1,0,1,1,1.74,6.94,6.05,5.63,0,0,999,sa3011535
Jose Alcantara,ARI,0,0,5.6,0,1,0,1,1,1,0,1,1,1.77,6.65,6.16,5.63,0,0,999,sa3007819
John Carver,ARI,0,0,5.73,0,1,0,1,1,1,0,1,1,1.8,7.17,6.71,5.79,0,0,999,sa3017069
Michel Gelabert,ARI,0,0,5.63,0,1,0,1,1,1,0,1,1,1.79,6.89,6.59,5.84,0,0,999,sa3006153
Eric Mendez,ARI,0,0,5.82,0,1,0,1,1,1,0,1,1,1.79,7.18,6.56,5.85,0,0,999,sa3005433
Kyler Stout,ARI,0,0,5.88,0,1,0,1,1,1,0,1,1,1.77,7.21,6.31,5.86,0,0,999,sa3006769
Yaramil Hiraldo,ARI,0,0,5.9,0,1,0,1,1,1,0,1,1,1.74,6.91,5.97,5.88,0,0,999,sa3006562
Kai-Wei Lin,ARI,0,0,5.91,0,1,0,1,1,1,0,1,1,1.72,6.64,5.66,5.91,0,0,999,sa919537
Nicholas Snyder,ARI,0,0,5.71,0,1,0,1,1,1,0,1,1,1.82,7.45,7.13,5.93,0,0,999,sa3011528
Alex Valdez,ARI,0,0,5.93,0,1,0,1,1,1,0,1,1,1.82,5.97,6.24,5.95,0,0,999,sa3005432
Elroy Urbina,ARI,0,0,5.89,0,1,0,1,1,1,0,1,1,1.83,6.33,6.67,6.16,0,0,999,sa599414
Francis Beriguete,ARI,0,0,6.03,0,1,0,1,1,1,0,1,1,1.95,6.8,7.94,6.24,0,0,999,sa948350
Enmanuel Acosta,ARI,0,0,6.32,0,1,0,1,1,1,0,1,1,1.93,6.26,7.37,6.35,0,0,999,sa3010325
Bryan Castillo,ARI,0,0,6.39,0,1,0,1,1,1,0,1,1,1.97,6.5,7.92,6.44,0,0,999,sa917515
Hamilton Andujar,ARI,0,0,7.1,0,1,0,1,1,1,0,1,1,2.12,5.49,8.86,7.24,0,0,999,sa3009223
Jonathan Almonte,ARI,0,0,7.25,0,1,0,1,1,1,0,1,1,2.17,5.34,9.19,7.41,0,0,999,sa3008275
Luis Mendoza,ARI,0,0,7.39,0,1,0,1,1,1,0,1,1,2.15,5.09,8.87,7.47,0,0,999,sa3008696
Osvaldo Morel,ARI,0,0,7.44,0,1,0,1,1,1,0,1,1,2.2,5.37,9.45,7.57,0,0,999,sa3009585
Carlos Telleria,ARI,0,0,7.51,0,1,0,1,1,1,0,1,1,2.2,5.42,9.53,7.64,0,0,999,sa3008684
