Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Charlie Morton,ATL,12,8,3.42,29,29,0,169,147,64,17,196,52,1.18,10.43,2.78,3.31,3.8,3.9,97.3,4676
Max Fried,ATL,13,9,3.57,31,31,0,185,176,73,20,185,54,1.25,9.03,2.65,3.58,3.5,3.9,74.8,13743
Ian Anderson,ATL,11,9,4.08,29,29,0,166,154,75,20,174,71,1.36,9.44,3.83,4.02,2.5,2.6,141.1,19951
Huascar Ynoa,ATL,8,7,3.99,23,23,0,124,116,55,15,133,44,1.3,9.66,3.24,3.83,2,2,239.4,20468
Mike Soroka,ATL,6,6,4.14,18,18,0,102,105,47,12,88,31,1.33,7.76,2.72,4.04,1.5,1.5,529,18383
Tucker Davidson,ATL,5,4,4.11,13,13,0,72,70,33,9,72,30,1.37,8.98,3.67,4.13,0.9,1,570.4,19871
Tyler Matzek,ATL,4,3,3.44,0,68,2,68,55,26,7,88,32,1.27,11.63,4.2,3.5,0.7,0.9,563,10058
Will Smith,ATL,4,3,3.78,0,70,28,70,60,29,10,86,27,1.24,11.05,3.43,3.76,0.6,0.6,110.3,8048
Luke Jackson,ATL,4,3,3.67,0,66,1,66,59,27,7,73,27,1.31,9.89,3.71,3.63,0.6,0.7,586,11752
Spencer Strider,ATL,2,2,3.84,3,21,0,36,31,16,5,45,15,1.26,11.04,3.72,3.81,0.5,0.4,598.2,27498
A.J. Minter,ATL,3,3,3.62,0,62,0,62,54,25,7,72,25,1.27,10.4,3.65,3.66,0.5,0.7,595.5,18655
Kyle Wright,ATL,3,3,4.15,5,27,0,49,48,22,6,46,18,1.35,8.6,3.25,4.05,0.4,0.5,587.6,19665
Kirby Yates,ATL,2,2,3.58,0,36,2,36,30,14,4,45,12,1.18,11.26,3.04,3.46,0.4,0.5,566.8,9073
Jay Jackson,ATL,3,3,3.81,0,56,0,56,48,24,7,69,24,1.28,11.01,3.83,3.73,0.4,0.4,999,7432
Touki Toussaint,ATL,3,3,4.08,2,54,0,61,55,28,7,67,28,1.37,9.9,4.09,4.08,0.4,0.4,599.4,16929
Kyle Muller,ATL,3,3,4.49,8,8,0,44,42,22,6,46,23,1.46,9.23,4.66,4.6,0.3,0.4,548.2,20167
Sean Newcomb,ATL,2,2,3.69,0,40,0,40,35,16,5,46,17,1.3,10.46,3.9,3.75,0.3,0.4,999,16943
Alan Rangel,ATL,1,1,4.25,2,12,0,19,19,9,3,18,7,1.33,8.59,3.08,4.19,0.2,0.1,999,sa877578
Darren O'Day,ATL,1,1,4.25,0,26,0,26,25,12,4,27,9,1.29,9.22,2.97,4.17,0.1,0.1,999,3321
Dylan Lee,ATL,2,2,4.03,0,44,0,44,42,20,6,45,16,1.3,9.12,3.2,4.12,0.1,0.3,999,19996
Brooks Wilson,ATL,1,1,4.06,0,12,0,12,11,5,2,13,5,1.33,9.55,3.59,4.02,0.1,0.1,999,sa3006966
Jacob Webb,ATL,3,3,4.31,0,60,0,60,58,29,8,60,24,1.37,9.05,3.65,4.3,0,0.2,999,19274
Thomas Burrows,ATL,0,0,4.1,0,6,0,6,5,3,1,7,3,1.42,9.91,4.73,4.3,0,0,999,sa874215
Indigo Diaz,ATL,0,0,3.9,0,1,0,1,1,0,0,1,0,1.31,10.58,3.91,3.85,0,0.1,999,sa3011726
Tyler Ferguson,ATL,0,0,4.34,0,1,0,1,1,0,0,1,0,1.41,8.63,3.83,4.32,0,0,999,sa658964
Jacob Higginbotham,ATL,0,0,4.2,0,1,0,1,1,0,0,1,0,1.43,8.87,4.3,4.35,0,0,999,sa3007590
Daysbel Hernandez,ATL,0,0,4.33,0,1,0,1,1,0,0,1,0,1.43,9.46,4.48,4.37,0,0,999,sa3006065
Corbin Clouse,ATL,0,0,4.29,0,1,0,1,1,0,0,1,0,1.39,9.06,3.93,4.37,0,0,999,sa918605
Bryce Elder,ATL,0,0,4.22,0,0,0,1,1,0,0,1,0,1.42,8.19,3.84,4.23,0,0,999,sa3014515
Jeffrey Johnstone,ATL,0,0,4.69,0,0,0,1,1,1,0,1,0,1.41,6.24,2.58,4.61,0,0,999,sa3004190
Jared Shuster,ATL,0,0,4.64,0,0,0,1,1,1,0,1,0,1.39,8.11,3.25,4.62,0,0,999,sa3014483
Victor Vodnik,ATL,0,0,4.67,0,0,0,1,1,1,0,1,0,1.49,8.02,4.26,4.63,0,0,999,sa3008527
Hayden Deal,ATL,0,0,4.56,0,0,0,1,1,1,0,1,0,1.47,6.52,3.48,4.65,0,0,999,sa3004680
Frederic Tarnok,ATL,0,0,4.7,0,0,0,1,1,1,0,1,0,1.4,8.55,3.67,4.7,0,0,999,sa3005175
Austin Puckett,ATL,0,0,5.03,0,0,0,1,1,1,0,1,0,1.48,7.1,3.61,4.99,0,0,999,sa738686
Darius Vines,ATL,0,0,5.1,0,0,0,1,1,1,0,1,0,1.5,7,3.72,5.06,0,0,999,sa918848
Nolan Kingham,ATL,0,0,5.18,0,0,0,1,1,1,0,1,0,1.46,5.92,2.82,5.13,0,0,999,sa3008224
Odalvi Javier,ATL,0,0,5.16,0,0,0,1,1,1,0,1,0,1.5,7.45,4.01,5.17,0,0,999,sa877574
Tanner Gordon,ATL,0,0,5.35,0,0,0,1,1,1,0,1,0,1.5,6.38,3.5,5.35,0,0,999,sa3010570
Jake McSteen,ATL,0,0,5.39,0,0,0,1,1,1,0,1,0,1.57,6.05,3.87,5.41,0,0,999,sa3015087
Tanner Lawson,ATL,0,0,5.34,0,0,0,1,1,1,0,1,1,1.69,6.36,5.2,5.42,0,0,999,sa3007208
Joseph Estes,ATL,0,0,5.51,0,0,0,1,1,1,0,1,1,1.57,7.14,4.5,5.53,0,0,999,sa3011637
Andrew Hoffmann,ATL,0,0,5.66,0,0,0,1,1,1,0,1,1,1.64,6.62,4.75,5.59,0,0,999,sa3017202
Roddery Munoz,ATL,0,0,5.74,0,0,0,1,1,1,0,1,1,1.69,6.3,5.16,5.72,0,0,999,sa3008104
William Woods,ATL,0,0,5.8,0,0,0,1,1,1,0,1,1,1.68,6.73,5.14,5.73,0,0,999,sa3007256
Tyler Owens,ATL,0,0,5.8,0,0,0,1,1,1,0,1,1,1.71,6.23,5.22,5.75,0,0,999,sa3011201
Royber Salinas,ATL,0,0,5.76,0,0,0,1,1,1,0,1,1,1.75,6.81,5.94,5.77,0,0,999,sa3009243
Isaiah Johnson,ATL,0,0,5.93,0,0,0,1,1,1,0,1,1,1.73,6.58,5.61,5.91,0,0,999,sa3011626
Rainiery Rodriguez,ATL,0,0,6.28,0,0,0,1,1,1,0,1,1,1.71,5.41,4.74,6.21,0,0,999,sa3007903
Chadwick Bryant,ATL,0,0,6.29,0,0,0,1,1,1,0,1,1,1.81,5.94,6.03,6.27,0,0,999,sa3011133
Jorge Bautista,ATL,0,0,6.77,0,0,0,1,1,1,0,1,1,1.95,4.95,6.81,6.74,0,0,999,sa3008406
Reibyn Corona,ATL,0,0,6.83,0,0,0,1,1,1,0,1,1,1.96,5.09,6.91,6.79,0,0,999,sa3009521
Andrew Samuelson,ATL,0,0,7,0,0,0,1,1,1,0,1,1,2.06,5.27,7.9,7.02,0,0,999,sa3010822
Justin Kelly,ATL,0,0,4.39,0,1,0,1,1,0,0,1,1,1.47,9.05,4.59,4.51,0,0,999,sa918908
Troy Bacon,ATL,0,0,4.57,0,1,0,1,1,1,0,1,0,1.44,8.59,4.12,4.6,0,0,999,sa918926
Peter Moylan,ATL,0,0,4.62,0,1,0,1,1,1,0,1,0,1.52,7.06,4.04,4.61,0,0,999,4891
Brandon White,ATL,0,0,4.59,0,1,0,1,1,1,0,1,0,1.47,8.48,4.38,4.63,0,0,999,sa918249
Coleman Huntley,ATL,0,0,4.83,0,1,0,1,1,1,0,1,0,1.53,6.79,4.04,4.81,0,0,999,sa3014912
Jay Flaa,ATL,0,0,4.99,0,1,0,1,1,1,0,1,1,1.52,8.36,4.76,5.07,0,0,999,18140
Justin Yeager,ATL,0,0,5.27,0,1,0,1,1,1,0,1,1,1.65,8.1,5.77,5.35,0,0,999,sa3010825
Benjamin Dum,ATL,0,0,5.39,0,1,0,1,1,1,0,1,1,1.61,7.03,4.82,5.43,0,0,999,sa3011795
Jose Montilla,ATL,0,0,5.5,0,1,0,1,1,1,0,1,1,1.71,6.36,5.46,5.54,0,0,999,sa3003102
Zachary Daniels,ATL,0,0,5.48,0,1,0,1,1,1,0,1,1,1.7,6.95,5.67,5.56,0,0,999,sa3007774
Lisandro Santos,ATL,0,0,5.26,0,1,0,1,1,1,0,1,1,1.77,7.46,6.76,5.56,0,0,999,sa945728
Trey Riley,ATL,0,0,5.46,0,1,0,1,1,1,0,1,1,1.74,6.58,5.89,5.56,0,0,999,sa3007611
Alec Barger,ATL,0,0,5.73,0,1,0,1,1,1,0,1,1,1.7,6.97,5.57,5.73,0,0,999,sa3010566
