Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
John Means,BAL,9,11,4.48,29,29,0,172,170,85,34,159,39,1.22,8.35,2.06,4.68,2.4,2.3,232.2,16269
Bruce Zimmermann,BAL,6,9,4.86,23,23,0,126,131,68,22,104,47,1.42,7.44,3.36,5.07,1.1,1.1,598.8,20370
Grayson Rodriguez,BAL,4,5,4.67,13,13,0,74,71,38,13,73,29,1.35,8.85,3.48,4.78,0.8,0.8,507.9,sa3008130
Keegan Akin,BAL,6,8,4.96,21,21,0,111,112,61,21,101,47,1.42,8.21,3.78,5.19,0.8,0.9,598.7,19362
Tanner Scott,BAL,3,3,3.59,0,60,2,60,50,24,7,72,30,1.33,10.82,4.51,3.85,0.6,0.8,600.7,17586
Dean Kremer,BAL,4,6,5.14,15,15,0,77,79,44,15,66,31,1.42,7.66,3.57,5.3,0.6,0.4,999,19350
Zac Lowther,BAL,6,8,4.94,18,36,0,115,118,63,20,98,51,1.46,7.66,3.95,5.2,0.5,0.6,999,20243
Tyler Wells,BAL,3,3,4.27,0,64,21,64,57,30,11,73,22,1.23,10.28,3.05,4.34,0.5,0.4,455.3,20000
Jorge Lopez,BAL,3,3,3.94,0,56,2,56,53,25,8,57,18,1.26,9.17,2.83,4.02,0.4,0.4,999,14527
Kyle Bradish,BAL,3,3,4.71,6,20,0,51,49,27,8,49,23,1.43,8.62,4.09,4.84,0.4,0.3,999,sa3008605
Paul Fry,BAL,3,3,3.95,0,52,0,52,46,23,6,56,27,1.41,9.65,4.68,4.24,0.3,0.4,999,15832
Cole Sulser,BAL,3,3,4.27,0,66,6,66,60,31,10,69,27,1.33,9.45,3.68,4.42,0.3,0.3,504.2,15256
Dillon Tate,BAL,3,3,4.25,0,58,1,58,58,27,8,50,21,1.36,7.76,3.27,4.41,0.2,0.3,598.6,17796
Dayton Hall,BAL,1,2,4.83,5,5,0,28,26,15,4,28,15,1.51,8.94,5.03,5.1,0.2,0.3,600.9,sa3005282
Alexander Wells,BAL,2,3,5.1,3,35,0,50,55,28,10,36,14,1.38,6.56,2.49,5.35,0,0,999,19845
Rico Garcia,BAL,0,0,4.56,0,1,0,1,1,1,0,1,0,1.38,8.64,3.66,4.71,0,0,999,20023
Nicholas Vespi,BAL,0,0,4.44,0,1,0,1,1,0,0,1,0,1.44,8.38,4.16,4.73,0,0,999,sa875778
Ryan Conroy,BAL,0,0,4.67,0,1,0,1,1,1,0,1,0,1.48,7.04,3.89,4.85,0,0,999,sa3007906
Drew Rom,BAL,0,0,4.68,0,0,0,1,1,1,0,1,0,1.43,6.86,3.41,4.95,0,0,999,sa3007848
Garrett Stallings,BAL,0,0,4.87,0,0,0,1,1,1,0,1,0,1.44,5.93,2.82,4.97,0,0,999,sa3014457
Kyle Brnovich,BAL,0,0,4.98,0,0,0,1,1,1,0,1,0,1.4,7.61,3.19,5.07,0,0,999,sa3014923
Cameron Bishop,BAL,0,0,5.12,0,0,0,1,1,1,0,1,0,1.55,6.88,4.45,5.43,0,0,999,sa829601
Kevin Smith,BAL,0,0,5.24,0,0,0,1,1,1,0,1,1,1.56,7.9,4.95,5.54,0,0,999,sa3007710
Denyi Reyes,BAL,0,0,5.42,0,0,0,1,1,1,0,1,0,1.41,6.76,2.83,5.64,0,0,999,sa872864
Chris Ellis,BAL,0,0,5.5,0,0,0,1,1,1,0,1,0,1.53,7.11,4.25,5.7,0,0,999,16125
Ofelky Peralta,BAL,0,0,5.58,0,0,0,1,1,1,0,1,1,1.59,6.88,4.72,5.79,0,0,999,sa828239
Cody Sedlock,BAL,0,0,5.61,0,0,0,1,1,1,0,1,0,1.54,6.87,4.19,5.8,0,0,999,sa874042
Spenser Watkins,BAL,0,0,5.75,0,0,0,1,1,1,0,1,0,1.49,6.21,3.06,5.88,0,0,999,17489
Brandon Young,BAL,0,0,5.73,0,0,0,1,1,1,0,1,1,1.63,6.64,4.83,5.89,0,0,999,sa3014926
Zachary Peek,BAL,0,0,5.76,0,0,0,1,1,1,0,1,0,1.61,6.34,4.46,5.91,0,0,999,sa3014469
Jean Pinto,BAL,0,0,5.9,0,0,0,1,1,1,0,1,1,1.67,5.98,4.83,6,0,0,999,sa3011803
Jake Lyons,BAL,0,0,5.81,0,0,0,1,1,1,0,1,1,1.66,6.35,5.03,6.01,0,0,999,sa1055560
Noah Denoyer,BAL,0,0,5.99,0,0,0,1,1,1,0,1,1,1.67,6.09,4.95,6.15,0,0,999,sa3011889
Blaine Knight,BAL,0,0,6.02,0,0,0,1,1,1,0,1,0,1.57,5.66,3.71,6.19,0,0,999,sa3008532
Jacob Prizina,BAL,0,0,6.04,0,0,0,1,1,1,0,1,1,1.68,5.33,4.63,6.29,0,0,999,sa3011346
Conner Loeprich,BAL,0,0,6.18,0,0,0,1,1,1,0,1,0,1.63,5.36,4.14,6.34,0,0,999,sa3006986
Ignacio Feliz,BAL,0,0,6.19,0,0,0,1,1,1,0,1,1,1.77,5.81,5.83,6.41,0,0,999,sa3002982
Shane Davis,BAL,0,0,6.27,0,0,0,1,1,1,0,1,1,1.73,5.21,5.01,6.42,0,0,999,sa3015007
Griffin McLarty,BAL,0,0,6.28,0,0,0,1,1,1,0,1,1,1.66,5.71,4.55,6.44,0,0,999,sa1115734
Brenan Hanifee,BAL,0,0,6.53,0,0,0,1,1,1,0,1,1,1.77,4.59,5.09,6.66,0,0,999,sa917973
Connor Gillispie,BAL,0,0,6.57,0,0,0,1,1,1,0,1,1,1.69,5.7,4.68,6.74,0,0,999,sa1169801
Cesar Alvarez,BAL,0,0,6.83,0,0,0,1,1,1,0,1,1,1.94,5.17,6.87,6.83,0,0,999,sa3015418
Houston Roth,BAL,0,0,6.74,0,0,0,1,1,1,0,1,1,1.76,5.25,5.25,6.91,0,0,999,sa3011527
Deivy Cruz,BAL,0,0,6.81,0,0,0,1,1,1,0,1,1,2,5.26,7.63,6.98,0,0,999,sa3016013
Jordany Vasquez,BAL,0,0,7.06,0,0,0,1,1,1,0,1,1,1.99,4.53,7.02,7.06,0,0,999,sa3008728
Omar Hernandez,BAL,0,0,6.98,0,0,0,1,1,1,0,1,1,2.06,4.95,8.08,7.16,0,0,999,sa3016060
Randy Beriguete,BAL,0,0,7.25,0,0,0,1,1,1,0,1,1,1.97,4.53,6.76,7.22,0,0,999,sa3016199
Yonatan Pineda,BAL,0,0,7.48,0,0,0,1,1,1,0,1,1,2.1,4.88,8.17,7.47,0,0,999,sa3015471
Luis Sanchez,BAL,0,0,7.47,0,0,0,1,1,1,0,1,1,2.11,4.88,8.25,7.49,0,0,999,sa3015219
Juan De Los Santos,BAL,0,0,7.45,0,0,0,1,1,1,0,0,1,1.98,4.07,6.59,7.53,0,0,999,sa3010808
Eduard Monroy,BAL,0,0,7.42,0,0,0,1,1,1,0,1,1,2.07,4.61,7.87,7.69,0,0,999,sa3011243
Angel Vargas,BAL,0,0,7.77,0,0,0,1,1,1,0,0,1,2.08,4.25,7.57,7.84,0,0,999,sa3011855
Joel Benitez,BAL,0,0,7.84,0,0,0,1,1,1,0,1,1,2.13,4.54,8.29,7.96,0,0,999,sa3008733
Ryan Hartman,BAL,0,0,4.63,0,1,0,1,1,1,0,1,0,1.33,7.48,2.68,4.89,0,0,999,19480
Tyler Burch,BAL,0,0,4.86,0,1,0,1,1,1,0,1,0,1.43,8.22,3.8,5.01,0,0,999,sa1172727
Travis Lakins Sr.,BAL,0,0,4.9,0,1,0,1,1,1,0,1,0,1.47,7.92,4.26,5.12,0,0,999,18600
Gabriel Ynoa,BAL,0,0,5.19,0,1,0,1,1,1,0,1,0,1.43,6.54,2.79,5.24,0,0,999,12938
Morgan McSweeney,BAL,0,0,5.14,0,1,0,1,1,1,0,1,1,1.54,8.11,4.87,5.36,0,0,999,sa3010781
Timothy Naughton,BAL,0,0,5.14,0,1,0,1,1,1,0,1,1,1.62,8.08,5.65,5.4,0,0,999,sa3004713
Diogenes Almengo,BAL,0,0,5.3,0,1,0,1,1,1,0,1,1,1.56,7.78,4.84,5.48,0,0,999,sa835215
David Lebron,BAL,0,0,5.44,0,1,0,1,1,1,0,1,1,1.54,8.23,4.87,5.66,0,0,999,sa3006695
Tyler Joyner,BAL,0,0,5.5,0,1,0,1,1,1,0,1,0,1.55,6.88,4.27,5.7,0,0,999,sa3006836
Randall Strowd,BAL,0,0,5.7,0,1,0,1,1,1,0,1,1,1.69,6.32,5.37,5.92,0,0,999,sa3011418
Ryan Watson,BAL,0,0,5.81,0,1,0,1,1,1,0,1,0,1.61,6.33,4.49,5.97,0,0,999,sa3015070
Garrett Farmer,BAL,0,0,5.82,0,1,0,1,1,1,0,1,1,1.65,6.01,4.77,6.05,0,0,999,sa3010811
Easton Lucas,BAL,0,0,5.78,0,1,0,1,1,1,0,1,1,1.67,6.88,5.44,6.1,0,0,999,sa1159925
Rickey Ramirez,BAL,0,0,5.89,0,1,0,1,1,1,0,1,1,1.73,6.63,5.77,6.12,0,0,999,sa3004644
Adam Stauffer,BAL,0,0,5.9,0,1,0,1,1,1,0,1,1,1.66,6.56,5.15,6.12,0,0,999,sa3005146
Jensen Elliott,BAL,0,0,5.95,0,1,0,1,1,1,0,1,1,1.73,4.72,4.96,6.13,0,0,999,sa3010775
Shelton Perkins,BAL,0,0,5.94,0,1,0,1,1,1,0,1,1,1.72,6.79,5.82,6.18,0,0,999,sa1169965
Cameron Ming,BAL,0,0,5.82,0,1,0,1,1,1,0,1,1,1.75,5.86,5.74,6.18,0,0,999,sa3004576
Nick Roth,BAL,0,0,5.97,0,1,0,1,1,1,0,1,1,1.71,6.03,5.32,6.21,0,0,999,sa3010669
Travis Seabrooke,BAL,0,0,5.91,0,1,0,1,1,1,0,1,1,1.77,6.36,6.09,6.24,0,0,999,sa738330
Clayton McGinness,BAL,0,0,6.15,0,1,0,1,1,1,0,1,1,1.75,6.18,5.71,6.38,0,0,999,sa1170265
Xavier Moore,BAL,0,0,6.31,0,1,0,1,1,1,0,1,1,1.78,6.58,6.12,6.49,0,0,999,sa3004348
Kyle Martin,BAL,0,0,6.32,0,1,0,1,1,1,0,1,1,1.85,5.92,6.61,6.57,0,0,999,sa3010815
Gregori Vasquez,BAL,0,0,6.4,0,1,0,1,1,1,0,1,1,1.76,5.8,5.53,6.61,0,0,999,sa873328
Scott Burke,BAL,0,0,6.42,0,1,0,1,1,1,0,1,1,1.72,5.75,5.12,6.63,0,0,999,sa738474
Bryan Baker,BAL,1,1,4.91,0,22,0,22,21,12,4,21,11,1.46,8.72,4.54,5.16,0,-0.1,999,19804
Thomas Girard,BAL,0,0,6.51,0,1,0,1,1,1,0,1,1,1.84,5.94,6.41,6.72,0,0,999,sa3015011
Leonardo Rodriguez,BAL,0,0,6.44,0,1,0,1,1,1,0,1,1,1.87,5.47,6.58,6.73,0,0,999,sa3003058
Carlos Del Rosario,BAL,0,0,6.81,0,1,0,1,1,1,0,1,1,2.01,6.55,8.31,7.08,0,0,999,sa3009467
Hugo Beltran,BAL,0,0,6.56,0,1,0,1,1,1,0,1,1,2,5.73,7.92,6.73,0,0,999,sa3006354
Marcos Diplan,BAL,0,0,5.05,0,8,0,8,8,4,1,7,4,1.5,8.4,4.64,5.26,0,0,999,17583
Daniel Hammer,BAL,0,0,7.4,0,1,0,1,1,1,0,1,1,2.04,5.47,7.99,7.59,0,0,999,sa3011525
Logan Gillaspie,BAL,1,1,4.93,0,12,0,12,13,7,2,10,5,1.43,7.34,3.51,5.11,0,0,999,sa3008386
Hector Lopez,BAL,0,0,7.7,0,1,0,1,1,1,0,1,1,2.1,4.84,8.2,7.86,0,0,999,sa3010803
Darlin Alcantara,BAL,0,0,7.76,0,1,0,1,1,1,0,1,1,2.14,4.51,8.35,7.91,0,0,999,sa3011436
Brayner Sanchez,BAL,0,0,7.39,0,1,0,1,1,1,0,1,1,2.11,4.53,8.14,7.44,0,0,999,sa3011366
Miguel Padilla,BAL,0,0,7.79,0,1,0,1,1,1,0,1,1,2.15,4.68,8.55,7.96,0,0,999,sa3009740
Yan Lara,BAL,0,0,7.17,0,1,0,1,1,1,0,1,1,2.22,5.19,9.72,7.5,0,0,999,sa3010807
Kelvin LaRoche,BAL,0,0,7.86,0,1,0,1,1,1,0,0,1,2.19,4.26,8.73,8.06,0,0,999,sa3010795
Yeankarlos Lleras,BAL,0,0,7.91,0,1,0,1,1,1,0,0,1,2.18,4.42,8.72,8.07,0,0,999,sa3007904
Oscar Pierret,BAL,0,0,7.59,0,1,0,1,1,1,0,1,1,2.23,5.01,9.57,7.71,0,0,999,sa3010806
Orlando Fulgencio,BAL,0,0,7.97,0,1,0,1,1,1,0,1,1,2.3,4.74,10.1,8.24,0,0,999,sa3010810
Harif Frias,BAL,0,0,7.59,0,1,0,1,1,1,0,1,1,2.25,5.15,9.92,7.75,0,0,999,sa3010251
Elchero Francisca,BAL,0,0,7.68,0,1,0,1,1,1,0,1,1,2.24,5.3,9.84,7.81,0,0,999,sa3016054
Isaac Mattson,BAL,1,1,4.78,0,28,0,28,27,15,5,27,13,1.44,8.56,4.16,4.94,0,0,999,20385
Joey Krehbiel,BAL,2,3,4.81,0,48,0,48,47,26,8,44,21,1.43,8.25,4.03,5.04,-0.1,0,999,13707
Felix Bautista,BAL,2,2,4.89,0,38,0,38,36,21,6,39,22,1.51,9.23,5.13,5.11,-0.1,-0.1,999,sa737480
Mike Baumann,BAL,2,3,5.04,2,44,0,51,53,29,9,44,23,1.48,7.67,4.06,5.22,-0.1,-0.1,999,20206
