Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Marcus Stroman,CHC,11,11,4.1,32,32,0,188,197,86,21,158,56,1.34,7.55,2.67,3.96,3,2.7,166.2,13431
Kyle Hendricks,CHC,10,12,4.68,31,31,0,184,203,95,29,140,44,1.35,6.84,2.15,4.56,1.9,1.6,277.4,12049
Wade Miley,CHC,9,11,4.42,29,29,0,167,181,82,21,129,59,1.44,6.98,3.16,4.44,1.9,1.9,439,8779
Adbert Alzolay,CHC,8,8,4.31,23,27,0,127,121,61,18,131,45,1.31,9.26,3.21,4.2,1.7,1.7,352.5,17859
Justin Steele,CHC,6,7,4.21,15,48,0,114,107,53,14,115,52,1.4,9.07,4.1,4.31,1.2,1.2,587.4,17312
Alec Mills,CHC,5,7,4.78,16,32,0,105,115,56,15,79,32,1.41,6.8,2.79,4.64,0.8,0.6,577.7,13834
Manuel Rodriguez,CHC,3,3,4.11,0,58,2,58,53,26,6,61,29,1.42,9.5,4.54,4.14,0.4,0.3,999,20794
Codi Heuer,CHC,3,3,4.17,0,68,4,68,67,31,8,63,26,1.37,8.38,3.46,4.15,0.4,0.3,547,23293
Keegan Thompson,CHC,5,6,4.74,10,52,0,94,93,49,14,90,43,1.45,8.66,4.15,4.67,0.4,0.3,999,19795
Rowan Wick,CHC,3,3,4.05,0,64,29,64,59,29,8,69,27,1.34,9.68,3.86,4,0.4,0.4,364.8,14646
Brad Wieck,CHC,3,3,3.92,0,55,1,55,46,24,7,69,26,1.3,11.28,4.21,3.96,0.3,0.4,999,16390
Scott Effross,CHC,3,3,4.18,0,62,0,62,63,29,8,55,20,1.34,8.05,2.95,4.14,0.2,0.3,599.7,18384
Tommy Nance,CHC,2,2,4.06,0,46,0,46,44,21,5,46,19,1.36,9.06,3.68,4.03,0.2,0.2,999,19178
Benjamin Leeper,CHC,2,2,4.09,0,34,0,34,30,15,4,38,15,1.33,10.14,3.98,4.09,0.2,0.2,999,sa3014907
Ethan Roberts,CHC,2,2,4.16,0,35,0,35,34,16,4,35,14,1.35,8.99,3.56,4.12,0.2,0.2,999,sa3008132
Michael Rucker,CHC,2,2,4.25,0,48,0,48,47,23,6,47,18,1.35,8.85,3.37,4.16,0.2,0.2,999,19454
Caleb Kilian,CHC,1,1,4.24,2,2,0,9,9,4,1,8,3,1.3,7.81,2.45,4.15,0.1,0.1,999,sa3011773
Cory Abbott,CHC,1,2,4.87,3,11,0,26,26,14,4,26,13,1.44,8.76,4.27,4.9,0.1,0.1,999,20277
Matthew Swarmer,CHC,0,1,4.98,2,2,0,9,10,5,2,8,3,1.4,7.45,3.11,4.98,0.1,0.1,999,sa918458
Anderson Espinoza,CHC,0,0,4.22,0,10,0,10,9,5,1,11,5,1.4,9.8,4.36,4.21,0,0,999,sa872856
Jonathan Holder,CHC,1,2,4.55,0,30,0,30,31,15,4,27,11,1.39,7.98,3.3,4.51,0,0,999,16588
Cayne Ueckert,CHC,0,0,4.37,0,6,0,6,6,3,1,6,3,1.42,9.21,4.26,4.37,0,0,999,sa3010789
Mark Leiter,CHC,0,0,3.82,0,1,0,1,1,0,0,1,0,1.23,9.49,2.67,3.73,0,0.1,999,15551
Brailyn Marquez,CHC,0,0,4.02,0,1,0,1,1,0,0,1,1,1.43,9.97,4.82,4.18,0,0.1,595.8,21896
Craig Brooks,CHC,0,0,4.31,0,1,0,1,1,0,0,1,1,1.41,10.34,4.74,4.32,0,0,999,sa875197
Brendon Little,CHC,0,0,4.2,0,1,0,1,1,0,0,1,0,1.44,8.9,4.43,4.36,0,0,999,sa876266
Bryan Hudson,CHC,0,0,4.27,0,1,0,1,1,0,0,1,0,1.5,7.87,4.46,4.43,0,0,999,sa874984
Brandon Hughes,CHC,0,0,4.32,0,1,0,1,1,0,0,1,0,1.41,9.35,4.26,4.44,0,0,999,sa915618
Stephen Gonsalves,CHC,0,0,4.16,0,1,0,1,1,0,0,1,1,1.42,10.39,4.99,4.35,0,0.1,999,15492
Aneuris Rosario,CHC,0,0,4.51,0,1,0,1,1,1,0,1,0,1.46,9.11,4.48,4.49,0,0,999,sa828343
John Patterson,CHC,0,0,4.41,0,1,0,1,1,0,0,1,0,1.48,7.9,4.29,4.53,0,0,999,sa3007860
Locke St. John,CHC,0,0,4.45,0,1,0,1,1,0,0,1,0,1.42,8.8,4.06,4.54,0,0,999,16850
James Bourque,CHC,0,0,4.52,0,1,0,1,1,1,0,1,1,1.48,8.93,4.73,4.56,0,0,999,16668
C.D. Pelham,CHC,0,0,4.38,0,1,0,1,1,0,0,1,1,1.54,9.48,5.62,4.57,0,0,999,19820
Ben Hecht,CHC,0,0,4.57,0,1,0,1,1,1,0,1,0,1.46,8.82,4.43,4.57,0,0,999,sa738501
Scott Kobos,CHC,0,0,4.49,0,1,0,1,1,0,0,1,1,1.45,9.42,4.64,4.58,0,0,999,sa3014856
Ryan Jensen,CHC,0,0,4.72,0,0,0,1,1,1,0,1,0,1.48,7.71,4.04,4.68,0,0,999,sa3011496
Benjamin Holmes,CHC,0,0,4.86,0,0,0,1,1,1,0,1,0,1.47,7.99,4.05,4.93,0,0,999,sa549147
Erich Uelmen,CHC,0,0,4.98,0,0,0,1,1,1,0,1,0,1.52,7.2,4.13,4.96,0,0,999,sa915866
Adrian Sampson,CHC,0,0,5.22,0,0,0,1,1,1,0,1,0,1.44,6.85,2.97,5.11,0,0,999,13339
Cam Sanders,CHC,0,0,5.2,0,0,0,1,1,1,0,1,1,1.54,8,4.67,5.21,0,0,999,sa3008067
Joseph Nahas,CHC,0,0,5.27,0,0,0,1,1,1,0,1,0,1.52,6.81,3.88,5.21,0,0,999,sa3011679
Didier Vargas,CHC,0,0,5.2,0,0,0,1,1,1,0,1,1,1.59,6.63,4.55,5.29,0,0,999,sa3002981
Javier Assad,CHC,0,0,5.39,0,0,0,1,1,1,0,1,0,1.51,6.4,3.65,5.38,0,0,999,sa920249
Christopher Clarke,CHC,0,0,5.53,0,0,0,1,1,1,0,1,0,1.59,5.96,3.94,5.42,0,0,999,sa3011411
Davidjohn Herz,CHC,0,0,5.35,0,0,0,1,1,1,0,1,1,1.65,8.09,5.68,5.45,0,0,999,sa3011680
Peyton Remy,CHC,0,0,5.53,0,0,0,1,1,1,0,1,0,1.54,6.8,3.95,5.45,0,0,999,sa3005302
Bailey Horn,CHC,0,0,5.49,0,0,0,1,1,1,0,1,1,1.66,6.61,5.16,5.59,0,0,999,sa3014493
Derek Casey,CHC,0,0,5.75,0,0,0,1,1,1,0,1,0,1.61,6.29,4.3,5.68,0,0,999,sa3008259
Richard Gallardo,CHC,0,0,5.81,0,0,0,1,1,1,0,1,1,1.73,5.09,4.94,5.76,0,0,999,sa3009990
Luis Devers,CHC,0,0,5.84,0,0,0,1,1,1,0,1,1,1.7,5.82,4.95,5.77,0,0,999,sa3005694
Bradford Deppermann,CHC,0,0,5.88,0,0,0,1,1,1,0,1,1,1.67,6.31,4.84,5.79,0,0,999,sa3011801
Samuel Thoresen,CHC,0,0,5.91,0,0,0,1,1,1,0,1,1,1.74,6.6,5.67,5.82,0,0,999,sa3014920
Kohl Franklin,CHC,0,0,5.9,0,0,0,1,1,1,0,1,1,1.72,6.44,5.47,5.84,0,0,999,sa3008335
Benjamin Thompson,CHC,0,0,5.99,0,0,0,1,1,1,0,1,1,1.7,5.81,4.97,5.93,0,0,999,sa876287
Chris Kachmar,CHC,0,0,6.04,0,0,0,1,1,1,0,1,1,1.69,6.11,4.93,5.96,0,0,999,sa1170503
Porter Hodge,CHC,0,0,6.06,0,0,0,1,1,1,0,1,1,1.73,6.09,5.3,5.97,0,0,999,sa3011729
Manuel Espinoza,CHC,0,0,6.13,0,0,0,1,1,1,0,1,0,1.67,5.33,4.3,6.02,0,0,999,sa3010242
Tyler Schlaffer,CHC,0,0,6.11,0,0,0,1,1,1,0,1,1,1.73,5.67,5.17,6.03,0,0,999,sa3011815
Maxwell Bain,CHC,0,0,6.17,0,0,0,1,1,1,0,1,1,1.72,6.82,5.55,6.08,0,0,999,sa3014932
Adam Laskey,CHC,0,0,6.05,0,0,0,1,1,1,0,1,1,1.86,5.88,6.55,6.16,0,0,999,sa3014851
