Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Lance Lynn,CHW,12,10,3.99,31,31,0,187,170,83,29,202,58,1.22,9.7,2.81,4.05,3.3,3.2,62.6,2520
Lucas Giolito,CHW,12,10,4,31,31,0,184,162,82,30,208,60,1.21,10.21,2.93,4.08,3.3,3.2,41.6,15474
Dylan Cease,CHW,11,10,4.03,31,31,0,170,144,76,26,204,68,1.25,10.83,3.63,4.08,3,2.8,90.4,18525
Michael Kopech,CHW,9,8,3.83,23,43,0,145,120,62,21,179,52,1.19,11.15,3.25,3.83,2.7,2.6,180.6,17282
Liam Hendriks,CHW,4,3,2.85,0,68,29,68,48,22,8,100,17,0.96,13.18,2.22,2.67,1.5,1.4,37.2,3548
Dallas Keuchel,CHW,9,11,4.68,29,29,0,161,182,84,22,103,57,1.48,5.74,3.18,4.88,1.2,1.3,548,9434
Aaron Bummer,CHW,4,3,3,0,64,0,64,53,21,5,74,27,1.25,10.41,3.84,3.28,0.9,1.1,584.2,16258
Garrett Crochet,CHW,4,4,3.66,3,59,0,74,61,30,10,92,33,1.26,11.07,4.03,3.85,0.9,0.9,515.1,27463
Craig Kimbrel,CHW,4,3,3.63,0,66,4,66,49,27,9,94,30,1.2,12.78,4.13,3.68,0.7,0.8,154,6655
Kendall Graveman,CHW,3,3,3.84,0,62,1,62,57,26,8,66,23,1.3,9.6,3.4,3.97,0.4,0.5,476.3,15514
Reynaldo Lopez,CHW,3,3,4.24,3,43,0,57,53,27,9,59,18,1.26,9.24,2.89,4.36,0.3,0.4,527.6,16400
Jose Ruiz,CHW,3,3,4.32,0,57,0,57,53,27,9,59,24,1.36,9.28,3.8,4.5,0.2,0.2,999,14552
Jimmy Lambert,CHW,3,3,4.73,5,35,0,57,54,30,10,57,25,1.4,8.99,3.98,4.9,0.1,0.2,999,19541
John Parke,CHW,0,1,5.06,2,2,0,9,11,5,1,6,4,1.52,5.44,3.41,5.28,0,0,999,sa3003988
Jonathan Stiever,CHW,2,2,5.1,5,15,0,37,39,21,8,32,13,1.39,7.63,3.24,5.3,0,0,999,24584
John Sousa,CHW,1,1,4.38,0,16,0,16,15,8,3,16,7,1.38,9,3.93,4.66,0,0.1,999,sa913181
Evan Marshall,CHW,0,0,4.19,0,1,0,1,1,0,0,1,0,1.35,8.78,3.59,4.36,0,0,999,12297
Tanner Banks,CHW,0,0,4.25,0,1,0,1,1,0,0,1,0,1.3,7.85,2.58,4.5,0,0,999,sa829193
