Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Luis Castillo,CIN,12,10,3.79,32,32,0,192,177,81,22,209,71,1.29,9.78,3.33,3.73,3.9,3.9,78.6,15689
Tyler Mahle,CIN,11,11,4.25,31,31,0,176,164,83,28,197,62,1.29,10.07,3.19,4.18,3,2.8,125.5,16358
Sonny Gray,CIN,10,10,4.16,29,29,0,163,154,75,21,177,63,1.34,9.79,3.5,4.02,2.8,2.6,183.5,12768
Christian Greene,CIN,6,7,4.45,19,19,0,111,106,55,17,118,44,1.35,9.61,3.61,4.38,1.6,1.5,414.8,sa3005315
Reiver Sanmartin,CIN,5,5,4.15,13,33,0,94,95,43,12,87,32,1.35,8.3,3.05,4.15,1.3,1.3,511.5,19754
Lucas Sims,CIN,3,3,3.7,0,65,26,65,51,27,9,89,27,1.2,12.37,3.78,3.67,0.9,0.8,279.1,13470
Nicholas Lodolo,CIN,2,2,3.94,6,6,0,37,34,16,5,41,12,1.27,9.89,3.02,3.88,0.7,0.7,518.2,sa917947
Art Warren,CIN,3,2,3.61,0,54,0,54,45,22,6,68,22,1.25,11.37,3.74,3.52,0.7,0.6,533.4,18251
Vladimir Gutierrez,CIN,7,10,5.41,24,24,0,134,145,81,25,115,54,1.48,7.73,3.6,5.27,0.7,0.4,540.3,19278
Amir Garrett,CIN,3,3,4.05,0,61,1,61,53,27,8,74,30,1.36,10.96,4.44,4.12,0.4,0.4,594.9,14375
Jeff Hoffman,CIN,4,4,4.44,2,64,1,71,66,35,11,79,30,1.35,10.08,3.77,4.4,0.4,0.4,999,17432
Luis Cessa,CIN,3,3,4.34,0,66,4,66,66,32,9,63,24,1.37,8.62,3.28,4.25,0.4,0.3,597.1,13345
Tony Santillan,CIN,3,4,4.44,3,51,0,66,59,33,11,77,30,1.36,10.48,4.11,4.44,0.3,0.4,599.8,19926
Cionel Perez,CIN,2,2,4.12,0,44,0,44,40,20,6,46,23,1.42,9.34,4.62,4.49,0.3,0.3,999,19614
Trey Wingenter,CIN,2,2,4.14,0,32,0,32,27,15,5,41,15,1.33,11.41,4.29,4.06,0.2,0.2,999,17793
Justin Wilson,CIN,3,3,4.49,0,58,1,58,55,29,8,61,28,1.42,9.52,4.35,4.52,0.2,0.2,999,4301
Douglas Ashcraft,CIN,1,1,4.45,2,2,0,9,9,5,1,8,4,1.42,8.19,3.59,4.38,0.1,0.1,999,sa918274
Ryan Hendrix,CIN,2,2,4.45,0,38,0,38,36,19,5,41,18,1.42,9.72,4.25,4.42,0.1,0.1,999,19535
Alexis Diaz,CIN,1,1,4.48,0,28,0,28,26,14,4,32,14,1.42,10.16,4.55,4.49,0.1,0.1,999,sa875576
