Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Shane Bieber,CLE,12,10,3.36,31,31,0,193,164,72,24,232,54,1.13,10.84,2.52,3.31,4.5,4.7,29.3,19427
Aaron Civale,CLE,8,11,4.61,28,28,0,160,168,82,27,135,44,1.33,7.57,2.49,4.61,1.3,1.6,265.7,19479
Cal Quantrill,CLE,9,12,4.76,29,29,0,169,176,89,27,140,56,1.38,7.46,3.01,4.76,1.2,1.4,241.3,19312
Triston McKenzie,CLE,7,8,4.58,23,23,0,122,110,62,21,134,54,1.35,9.95,3.99,4.69,1.2,1.3,246.3,18000
Emmanuel Clase,CLE,4,3,2.91,0,67,31,67,55,22,6,80,21,1.14,10.69,2.87,2.92,1.1,1.3,68.9,21032
Zach Plesac,CLE,9,12,4.74,29,29,0,171,183,90,30,134,46,1.34,7.03,2.44,4.83,1.1,1.5,313.2,19979
James Karinchak,CLE,3,3,3.5,0,66,2,66,50,26,8,90,33,1.25,12.31,4.46,3.58,0.7,0.8,407.9,20151
Cody Morris,CLE,4,4,4.07,6,38,0,69,63,31,10,72,25,1.27,9.41,3.26,4.16,0.6,0.7,594.9,sa3008653
Nick Sandlin,CLE,3,3,3.8,0,62,1,62,51,26,8,74,29,1.3,10.78,4.21,3.93,0.4,0.6,597.5,20517
JC Mejia,CLE,3,3,4.33,3,45,0,59,57,28,8,58,25,1.39,8.82,3.79,4.36,0.2,0.3,999,20617
Sam Hentges,CLE,3,3,4.14,2,52,0,58,54,27,8,59,25,1.34,9.08,3.79,4.34,0.2,0.4,999,18548
Nick Wittgren,CLE,3,3,4.2,0,57,0,57,55,27,8,56,20,1.31,8.88,3.1,4.21,0.2,0.2,999,15594
Trevor Stephan,CLE,3,3,4.26,0,54,0,54,48,26,8,59,23,1.31,9.84,3.81,4.37,0.1,0.3,999,19932
Oliver Perez,CLE,2,2,4.2,0,40,0,40,39,19,6,38,14,1.33,8.5,3.21,4.31,0.1,0.2,999,1514
Scott Moss,CLE,1,1,4.71,2,2,0,9,9,5,2,9,5,1.45,9.17,4.58,4.94,0.1,0.1,999,sa738902
Konnor Pilkington,CLE,1,1,4.04,0,26,0,26,23,12,4,27,11,1.33,9.44,3.82,4.29,0.1,0.1,999,sa3008371
