Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Eduardo Rodriguez,DET,11,11,3.82,32,32,0,185,171,79,24,193,61,1.25,9.38,2.96,3.83,3.5,3.6,156.3,13164
Tarik Skubal,DET,10,10,4.13,29,29,0,158,145,72,24,171,53,1.25,9.71,3.01,4.14,2.3,2.6,198.7,22267
Casey Mize,DET,9,12,4.57,31,31,0,171,178,87,25,141,53,1.35,7.43,2.78,4.54,1.7,1.9,261.1,20492
Tyler Alexander,DET,7,9,4.71,21,43,0,134,141,70,22,109,39,1.35,7.31,2.65,4.7,1,1.1,570.1,17735
Matt Manning,DET,7,10,4.86,26,26,0,140,149,76,21,107,50,1.42,6.86,3.23,4.8,1,1.1,509,20369
Michael Fulmer,DET,3,3,3.81,0,65,7,65,61,28,8,64,20,1.25,8.93,2.82,3.83,0.7,0.6,363.4,13218
Gregory Soto,DET,3,3,3.56,0,68,24,68,56,27,7,82,34,1.31,10.84,4.46,3.71,0.6,0.9,215.6,19677
Jose Cisnero,DET,3,3,4.13,0,61,1,61,55,28,8,63,27,1.35,9.24,4,4.22,0.3,0.4,999,6399
Alexander Faedo,DET,2,2,4.74,5,13,0,36,36,19,6,31,11,1.33,7.87,2.88,4.76,0.2,0.3,999,sa829855
Joe Jimenez,DET,3,3,4.42,0,54,0,54,48,27,8,60,25,1.35,9.92,4.18,4.46,0.2,0.2,999,15761
Miguel Del Pozo,DET,2,2,4.28,0,46,0,46,43,22,6,46,22,1.41,8.95,4.35,4.44,0.2,0.2,999,18792
Kyle Funkhouser,DET,3,3,4.27,0,64,0,64,61,30,7,61,32,1.45,8.54,4.46,4.36,0.1,0.3,999,19456
Ian Krol,DET,2,2,4.02,0,34,0,34,31,15,4,35,15,1.36,9.26,3.98,4.19,0.1,0.2,999,10066
Garrett Hill,DET,0,1,4.97,2,2,0,9,10,5,1,7,4,1.45,7.24,3.76,5.01,0,0.1,999,sa3007259
Joseph Wentz,DET,3,4,5.37,10,10,0,55,58,33,10,44,27,1.53,7.21,4.45,5.52,0,0.1,999,sa917946
Alex Lange,DET,3,3,4.48,0,58,0,58,55,29,7,56,29,1.45,8.64,4.45,4.53,0,0.1,999,19883
Spencer Turnbull,DET,0,0,4.09,0,0,0,1,1,0,0,1,0,1.31,8.29,3.09,4,0,0,597.5,16207
Markus Solbach,DET,0,0,4.99,0,0,0,1,1,1,0,1,0,1.44,6.34,3.11,4.98,0,0,999,sa599472
Beau Brieske,DET,0,0,5.01,0,0,0,1,1,1,0,1,0,1.38,6.89,2.96,5.09,0,0,999,sa3010832
Paul Richan,DET,0,0,5.11,0,0,0,1,1,1,0,1,0,1.41,6.37,2.89,5.14,0,0,999,sa3008025
Brendan White,DET,0,0,5.23,0,0,0,1,1,1,0,1,0,1.55,5.55,3.78,5.26,0,0,999,sa3010663
Adam Ladwig,DET,0,0,5.42,0,0,0,1,1,1,0,1,0,1.41,5.8,2.46,5.44,0,0,999,sa602810
Adam Wolf,DET,0,0,5.33,0,0,0,1,1,1,0,1,0,1.59,5.29,4.1,5.46,0,0,999,sa3007587
Reese Olson,DET,0,0,5.43,0,0,0,1,1,1,0,1,1,1.59,6.47,4.63,5.48,0,0,999,sa3008513
Austin Bergner,DET,0,0,5.47,0,0,0,1,1,1,0,1,1,1.61,6.46,4.76,5.5,0,0,999,sa3011122
Jesus Rodriguez,DET,0,0,5.56,0,0,0,1,1,1,0,1,0,1.5,5.61,3.31,5.61,0,0,999,sa871769
