Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Carlos Rodon,FA,11,8,3.48,28,28,0,154,126,59,19,193,49,1.13,11.33,2.84,3.38,3.8,3.6,128.3,16137
Justin Verlander,FA,12,9,3.62,29,29,0,175,148,71,27,213,44,1.09,10.91,2.24,3.63,3.6,3.8,106.8,8700
Clayton Kershaw,FA,10,8,3.57,26,26,0,148,138,59,19,155,35,1.17,9.42,2.11,3.58,3.1,3.2,179.4,2036
Zack Greinke,FA,9,10,4.42,28,28,0,160,171,78,25,129,37,1.3,7.27,2.09,4.38,1.9,1.8,318.6,1943
Danny Duffy,FA,6,6,4.09,18,18,0,98,90,45,15,104,35,1.27,9.53,3.16,4.16,1.6,1.5,565.2,3542
Michael Pineda,FA,9,11,4.68,29,29,0,167,179,87,28,137,42,1.33,7.39,2.26,4.57,1.6,1.5,404.6,5372
Matthew Boyd,FA,5,5,4.11,15,15,0,81,76,37,13,83,23,1.23,9.27,2.61,4.18,1.3,1.2,588.6,15440
Kwang-hyun Kim,FA,8,9,4.54,24,24,0,129,137,65,19,103,44,1.4,7.18,3.05,4.61,1.3,1.3,537,27458
Tyler Anderson,FA,10,12,4.83,32,32,0,186,196,100,35,150,55,1.35,7.27,2.68,4.96,1.3,1.4,525.4,12880
Garrett Richards,FA,7,9,4.65,24,24,0,130,134,67,19,113,54,1.44,7.81,3.74,4.66,1.2,1.1,592.2,9784
Martin Perez,FA,7,8,4.5,23,23,0,120,126,60,17,100,43,1.4,7.53,3.19,4.54,1.2,1.2,598.9,6902
Wily Peralta,FA,8,10,4.85,26,26,0,143,153,77,21,111,59,1.48,6.98,3.69,4.87,1,0.9,586.1,7738
Brett Anderson,FA,7,8,4.54,23,23,0,116,133,58,14,70,35,1.45,5.42,2.69,4.58,1,1.1,599.2,8223
Johnny Cueto,FA,8,10,4.85,26,26,0,143,153,77,25,119,45,1.38,7.44,2.82,4.89,1,0.9,572.4,6893
Drew Smyly,FA,7,8,4.74,23,23,0,121,123,64,21,114,44,1.37,8.44,3.25,4.77,1,1,529.7,11760
J.A. Happ,FA,8,10,4.87,26,26,0,140,149,76,25,118,45,1.38,7.57,2.91,4.85,0.9,0.9,585.6,7410
Matt Harvey,FA,6,8,4.82,21,21,0,108,117,58,18,84,31,1.37,7.02,2.57,4.75,0.9,0.8,999,11713
Chris Archer,FA,6,7,4.66,19,19,0,105,105,55,17,100,39,1.37,8.57,3.31,4.63,0.9,1,599.9,6345
Jakob Junis,FA,5,5,4.69,15,15,0,80,83,42,13,70,25,1.35,7.94,2.77,4.62,0.8,0.7,999,13619
Carlos Martinez,FA,7,9,4.94,24,24,0,133,142,73,19,104,56,1.49,7.01,3.81,4.94,0.8,0.7,600.8,11682
Vince Velasquez,FA,6,8,4.84,21,21,0,108,104,58,19,107,46,1.39,8.93,3.82,4.93,0.7,0.8,999,11189
Trevor Cahill,FA,5,6,4.85,16,16,0,87,91,47,13,71,34,1.44,7.4,3.5,4.75,0.7,0.6,999,6249
Jake Diekman,FA,4,3,3.52,0,69,0,69,54,27,7,89,35,1.3,11.55,4.61,3.73,0.6,0.9,597.3,5003
Jose Urena,FA,6,8,4.91,21,21,0,113,124,61,17,82,41,1.47,6.53,3.29,4.92,0.6,0.7,999,11589
Collin McHugh,FA,3,3,3.74,0,63,0,63,57,26,8,70,20,1.22,9.93,2.87,3.74,0.6,0.6,517,7531
Jordan Lyles,FA,7,12,5.51,28,28,0,158,174,97,34,125,56,1.45,7.12,3.17,5.53,0.6,0.3,555.8,7593
Mike Foltynewicz,FA,6,9,5.15,23,23,0,126,137,72,24,99,42,1.42,7.03,3.01,5.17,0.5,0.4,600.6,10811
Cole Hamels,FA,4,4,4.7,11,11,0,64,66,33,9,53,24,1.41,7.56,3.39,4.7,0.5,0.5,999,4972
Chad Kuhl,FA,6,7,4.7,16,44,0,115,113,60,18,112,52,1.43,8.76,4.03,4.71,0.5,0.6,999,14975
