Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Framber Valdez,HOU,13,9,3.57,31,31,0,191,180,76,16,177,77,1.35,8.35,3.65,3.76,3.4,3.9,136,17295
Lance McCullers Jr.,HOU,10,8,3.66,26,26,0,147,131,60,16,160,59,1.29,9.75,3.61,3.74,2.6,2.8,163.7,14120
Luis Garcia,HOU,10,10,4.29,29,29,0,168,155,80,26,176,63,1.3,9.38,3.37,4.31,2.2,2.1,162.1,23735
Jose Urquidy,HOU,8,8,4.62,24,24,0,136,137,70,25,120,35,1.27,7.94,2.3,4.69,1.4,1.3,201.1,18413
Ryan Pressly,HOU,4,3,3.2,0,66,30,66,56,23,7,78,20,1.15,10.64,2.72,3.17,1,1,80,7005
Cristian Javier,HOU,5,6,4.44,11,45,0,97,84,48,16,116,46,1.33,10.69,4.27,4.55,0.6,0.7,329.6,17606
Jake Odorizzi,HOU,4,4,4.21,6,50,0,78,74,36,13,78,23,1.25,9.04,2.67,4.29,0.6,0.6,467.8,6397
Hector Neris,HOU,4,3,3.92,0,72,3,72,62,31,10,83,30,1.28,10.43,3.78,4.04,0.4,0.5,468.9,11804
Ryne Stanek,HOU,4,3,4.06,0,70,1,70,59,32,10,84,33,1.31,10.84,4.19,4.2,0.3,0.4,594.9,15947
Kent Emanuel,HOU,2,2,3.8,0,38,0,38,37,16,5,35,12,1.3,8.34,2.9,3.96,0.3,0.2,999,15849
Rafael Montero,HOU,2,2,4.13,0,46,0,46,44,21,6,44,16,1.3,8.59,3.08,4.19,0.2,0.2,999,12760
Phil Maton,HOU,3,3,4.09,0,64,0,64,58,29,9,69,26,1.31,9.63,3.68,4.21,0.2,0.4,595.7,18064
Charles Whitley,HOU,1,1,4.78,3,3,0,18,18,10,3,18,9,1.46,8.72,4.42,4.86,0.1,0.1,999,sa917930
Josh James,HOU,1,1,4.21,0,24,0,24,21,11,3,27,11,1.34,10.2,4.29,4.36,0.1,0.1,999,16794
Bryan Abreu,HOU,1,1,4.13,0,22,0,22,19,10,3,24,12,1.41,9.98,4.85,4.34,0.1,0.1,999,16609
Brandon Bielak,HOU,2,2,4.22,0,32,0,32,30,15,4,32,12,1.34,8.9,3.51,4.29,0.1,0.1,999,19866
Jonathan France,HOU,1,1,4.89,2,2,0,9,9,5,2,9,4,1.43,8.51,4.18,5.05,0,0.1,999,sa3008310
