Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Mike Minor,KCR,10,11,4.33,29,29,0,176,174,84,26,157,52,1.29,8.06,2.69,4.35,2.2,2.8,465.2,10021
Brady Singer,KCR,9,10,4.21,28,28,0,150,149,70,17,134,55,1.36,8.08,3.31,4.14,2.1,2.5,440.7,25377
Brad Keller,KCR,9,10,4.46,28,28,0,159,164,79,18,129,66,1.45,7.34,3.72,4.4,1.8,2.2,541.6,15734
Kris Bubic,KCR,7,8,4.51,23,23,0,124,123,62,17,109,55,1.43,7.86,3.98,4.64,1.2,1.6,452.9,21455
Carlos Hernandez,KCR,7,9,4.85,24,24,0,134,135,72,20,116,60,1.45,7.74,3.99,4.83,0.9,1.3,428.7,22713
Scott Barlow,KCR,3,3,3.74,0,66,27,66,57,27,8,74,27,1.27,10.15,3.65,3.74,0.7,0.8,189.1,14993
Daniel Lynch,KCR,4,5,4.68,13,13,0,70,72,36,10,55,28,1.43,7.06,3.55,4.75,0.6,0.8,473.2,21537
Dylan Coleman,KCR,3,3,3.83,0,60,0,60,52,26,7,68,27,1.31,10.16,4.06,3.88,0.6,0.6,599.8,22276
Jackson Kowar,KCR,3,3,4.4,6,20,0,48,47,24,6,47,20,1.38,8.64,3.75,4.38,0.4,0.5,598.7,21549
Josh Staumont,KCR,3,3,4.07,0,64,5,64,56,29,8,72,30,1.35,10.06,4.29,4.14,0.4,0.6,467.5,18335
Jake Brentz,KCR,3,3,3.74,0,60,1,60,51,25,6,69,31,1.36,10.32,4.63,3.93,0.4,0.7,600.2,17783
Jon Heasley,KCR,2,3,4.8,5,23,0,45,47,24,7,36,17,1.41,7.21,3.36,4.83,0.2,0.2,999,22224
Angel Zerpa,KCR,1,2,4.29,3,11,0,26,26,13,3,23,10,1.38,7.78,3.49,4.39,0.2,0.3,999,22717
Joel Payamps,KCR,2,3,4.42,0,52,0,52,52,26,7,44,19,1.36,7.57,3.24,4.49,0.2,0.3,999,14332
Gabe Speier,KCR,3,3,4.18,0,54,0,54,53,25,7,49,21,1.37,8.16,3.55,4.28,0.1,0.4,999,17170
Ronald Bolanos,KCR,1,2,4.67,2,24,0,31,30,16,4,27,16,1.5,7.94,4.64,4.76,0.1,0.2,999,20041
Daniel Tillo,KCR,0,1,4.94,2,2,0,9,10,5,1,6,5,1.62,5.53,4.6,5.1,0,0,999,sa876284
Tyler Zuber,KCR,2,2,4.6,0,35,0,35,32,18,5,35,19,1.46,8.97,4.79,4.72,0,0.1,999,20379
Richard Lovelady,KCR,0,0,3.99,0,1,0,1,1,0,0,1,0,1.37,8.58,3.81,4.12,0,0.1,999,19337
Joshua Dye,KCR,0,0,4.3,0,1,0,1,1,0,0,1,0,1.43,7.59,3.93,4.49,0,0,999,sa3007485
Andres Nunez,KCR,0,0,4.46,0,1,0,1,1,0,0,1,0,1.42,7.46,3.7,4.51,0,0,999,sa3006796
Alec Marsh,KCR,0,0,4.57,0,0,0,1,1,1,0,1,0,1.39,8,3.51,4.51,0,0,999,sa1159950
Jonathan Bowlan,KCR,0,0,4.62,0,0,0,1,1,1,0,1,0,1.37,7.05,2.84,4.57,0,0,999,sa3006973
Andrew Parrish,KCR,0,0,4.73,0,0,0,1,1,1,0,1,0,1.39,7.6,3.4,4.81,0,0,999,sa3011395
Emilio Marquez,KCR,0,0,4.8,0,0,0,1,1,1,0,1,0,1.41,7.2,3.42,4.93,0,0,999,sa3006145
Bryce Hensley,KCR,0,0,4.85,0,0,0,1,1,1,0,1,0,1.5,5.88,3.61,4.94,0,0,999,sa3006988
Calvin Eldred,KCR,0,0,5.12,0,0,0,1,1,1,0,1,0,1.48,6.02,3.41,5.12,0,0,999,sa3006697
Yefri Del Rosario,KCR,0,0,5.25,0,0,0,1,1,1,0,1,0,1.52,7.04,4.18,5.21,0,0,999,sa3002971
Anthony Block,KCR,0,0,5.25,0,0,0,1,1,1,0,1,1,1.6,6.19,4.62,5.34,0,0,999,sa3014916
Marcelo Martinez,KCR,0,0,5.25,0,0,0,1,1,1,0,1,0,1.46,6.56,3.5,5.38,0,0,999,sa3005060
Eric Skoglund,KCR,0,0,5.35,0,0,0,1,1,1,0,1,0,1.49,5.36,3.09,5.39,0,0,999,16155
Anderson Paulino,KCR,0,0,5.46,0,0,0,1,1,1,0,1,0,1.65,4.85,4.33,5.44,0,0,999,sa3007991
Anthony Veneziano,KCR,0,0,5.32,0,0,0,1,1,1,0,1,1,1.58,6.32,4.61,5.46,0,0,999,sa1115745
Christian Cosby,KCR,0,0,5.5,0,0,0,1,1,1,0,1,0,1.59,5.8,4.25,5.49,0,0,999,sa3007245
Cruz Noriega,KCR,0,0,5.55,0,0,0,1,1,1,0,1,0,1.65,5.1,4.46,5.5,0,0,999,sa3005702
Austin Cox,KCR,0,0,5.39,0,0,0,1,1,1,0,1,0,1.53,6.17,4.01,5.51,0,0,999,sa3007777
Stephen Woods,KCR,0,0,5.47,0,0,0,1,1,1,0,1,1,1.65,6.42,5.19,5.51,0,0,999,sa737853
Rito Lugo,KCR,0,0,5.44,0,0,0,1,1,1,0,1,0,1.62,5.11,4.29,5.54,0,0,999,sa3008237
Noah Murdock,KCR,0,0,5.68,0,0,0,1,1,1,0,1,1,1.67,5.38,4.8,5.65,0,0,999,sa919012
James Steele,KCR,0,0,5.72,0,0,0,1,1,1,0,1,1,1.7,5.59,5.21,5.8,0,0,999,sa915636
Charles Neuweiler,KCR,0,0,5.87,0,0,0,1,1,1,0,1,1,1.7,5.15,4.87,5.82,0,0,999,sa3004345
Asa Lacy,KCR,0,0,5.81,0,0,0,1,1,1,0,1,1,1.74,6.71,6.07,5.93,0,0,999,sa3014423
Dante Biasi,KCR,0,0,5.82,0,0,0,1,1,1,0,1,1,1.68,6.21,5.32,5.95,0,0,999,sa3010647
Heribert Garcia,KCR,0,0,6.03,0,0,0,1,1,1,0,1,1,1.69,4.95,4.61,5.97,0,0,999,sa3006408
Zachary Haake,KCR,0,0,6.08,0,0,0,1,1,1,0,1,1,1.71,5.83,5.23,6.03,0,0,999,sa3008523
Adrian Alcantara,KCR,0,0,6.08,0,0,0,1,1,1,0,1,1,1.69,5.03,4.72,6.05,0,0,999,sa974592
Delvin Capellan,KCR,0,0,6.2,0,0,0,1,1,1,0,1,1,1.73,5.1,5.16,6.16,0,0,999,sa3002996
Luinder Avila,KCR,0,0,6.19,0,0,0,1,1,1,0,1,1,1.79,4.72,5.56,6.17,0,0,999,sa3006507
David Hernandez,KCR,0,0,6.31,0,0,0,1,1,1,0,1,1,1.8,5,5.58,6.21,0,0,999,sa3014541
Rylan Kaufman,KCR,0,0,6.1,0,0,0,1,1,1,0,1,1,1.74,5.32,5.57,6.26,0,0,999,sa3008588
Luis Cepeda,KCR,0,0,6.17,0,0,0,1,1,1,0,1,1,1.84,4.82,6.11,6.27,0,0,999,sa3006132
