Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Shohei Ohtani,LAA,11,8,3.69,28,28,0,165,141,68,22,192,57,1.21,10.49,3.13,3.75,3.1,3.4,7.7,19755
Noah Syndergaard,LAA,9,10,4.53,28,28,0,163,169,82,25,133,44,1.31,7.36,2.42,4.44,2.3,1.7,195.7,11762
Patrick Sandoval,LAA,10,8,3.91,26,26,0,147,136,64,19,150,60,1.33,9.14,3.64,4.13,2.2,2.5,232.4,19447
Reid Detmers,LAA,6,5,4.3,16,16,0,90,82,43,14,96,34,1.3,9.6,3.44,4.41,1.1,1.2,440.7,27468
Jose Suarez,LAA,8,9,4.61,24,24,0,131,132,67,21,115,52,1.4,7.91,3.59,4.8,1,1.3,461.7,19911
Raisel Iglesias,LAA,4,3,3.25,0,68,31,68,54,25,9,87,19,1.08,11.58,2.58,3.28,1,1.1,61.8,17130
Michael Lorenzen,LAA,7,8,4.74,18,45,0,128,133,68,19,106,54,1.45,7.44,3.77,4.85,0.6,0.7,508.3,14843
Griffin Canning,LAA,2,3,4.31,5,23,0,44,41,21,7,46,16,1.3,9.42,3.23,4.4,0.4,0.4,588.8,19867
Aaron Loup,LAA,3,3,3.77,0,62,1,62,58,26,8,61,21,1.27,8.91,3.06,3.96,0.4,0.6,569.7,10343
Mike Mayers,LAA,3,3,4.04,0,66,2,66,60,30,10,73,23,1.26,9.96,3.2,4.12,0.3,0.4,565.6,15451
Jose Quijada,LAA,3,3,3.96,0,56,0,56,48,25,8,65,27,1.34,10.48,4.41,4.25,0.3,0.4,999,19200
Jaime Barria,LAA,4,5,5.19,13,13,0,70,77,40,14,52,21,1.4,6.65,2.72,5.31,0.3,0.3,999,18356
Austin Warren,LAA,3,3,4.26,0,61,1,61,59,29,8,57,27,1.4,8.48,3.96,4.44,0.2,0.2,999,24937
Andrew Wantz,LAA,3,3,4.33,0,60,0,60,56,29,10,62,23,1.31,9.23,3.4,4.49,0.2,0.2,999,24933
