Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Walker Buehler,LAD,13,9,3.8,32,32,0,198,183,84,26,214,56,1.21,9.72,2.55,3.71,3.9,3.2,17.5,19374
Julio Urias,LAD,13,9,3.89,32,32,0,187,174,81,28,196,51,1.2,9.45,2.46,3.92,3.2,2.9,37.6,14765
Andrew Heaney,LAD,9,7,4.16,24,24,0,134,124,62,23,149,40,1.22,10,2.67,4.17,1.9,1.7,309.9,15423
Trevor Bauer,LAD,5,4,3.71,13,13,0,78,66,32,11,96,25,1.17,11.12,2.91,3.64,1.6,1.5,291.1,12703
David Price,LAD,7,6,4.15,18,38,0,113,110,52,16,110,39,1.31,8.76,3.06,4.25,1.3,1.1,576.7,3184
Tony Gonsolin,LAD,9,8,4.52,26,26,0,139,131,70,23,148,59,1.36,9.54,3.78,4.54,1.3,1.1,331.3,19388
Dustin May,LAD,3,2,3.16,5,29,0,51,43,18,5,61,15,1.14,10.89,2.68,3.08,1,0.9,514.5,19716
Blake Treinen,LAD,4,3,3.42,0,70,27,70,60,27,7,80,26,1.24,10.26,3.38,3.44,0.9,0.8,185.4,12572
Brusdar Graterol,LAD,4,3,3.46,0,66,7,66,59,25,6,71,24,1.26,9.66,3.26,3.54,0.8,0.7,582.6,20367
Tommy Kahnle,LAD,3,2,3.38,0,54,0,54,44,20,6,68,20,1.2,11.33,3.4,3.37,0.7,0.6,999,11384
Caleb Ferguson,LAD,3,2,3.24,0,50,0,50,39,18,6,67,20,1.18,12.04,3.57,3.29,0.7,0.6,999,19349
Daniel Hudson,LAD,3,3,3.8,0,61,4,61,51,26,9,76,23,1.2,11.18,3.32,3.8,0.6,0.4,561.5,7146
Alex Vesia,LAD,3,3,3.82,0,62,2,62,50,26,9,80,30,1.28,11.63,4.3,4.01,0.4,0.4,600.4,25007
Phil Bickford,LAD,3,2,3.83,0,56,0,56,49,24,7,65,22,1.27,10.39,3.52,3.84,0.4,0.3,591.4,18519
Mitch White,LAD,2,2,4.09,3,21,0,36,34,16,5,37,13,1.3,9.33,3.24,4.08,0.4,0.2,583.7,19225
Victor Gonzalez,LAD,2,2,3.6,0,36,0,36,33,14,4,37,15,1.31,9.35,3.65,3.8,0.3,0.3,999,16408
Garrett Cleavinger,LAD,2,1,3.59,0,30,0,30,24,12,3,39,15,1.32,11.56,4.61,3.76,0.2,0.3,999,17897
Andre Jackson,LAD,3,3,4.87,6,16,0,47,47,25,8,42,20,1.43,8,3.75,4.98,0.2,0.1,598.2,21298
Justin Bruihl,LAD,2,2,4.03,0,44,0,44,42,20,5,42,18,1.36,8.68,3.6,4.2,0.2,0.2,999,23779
Evan Phillips,LAD,2,2,4.04,0,40,0,40,36,18,5,44,18,1.36,9.94,4.12,4.11,0.2,0.2,999,17734
Darien Nunez,LAD,1,1,3.44,0,12,0,12,10,5,1,16,5,1.23,11.66,3.88,3.58,0.1,0.1,999,21197
Ryan Pepiot,LAD,1,1,4.77,2,2,0,9,9,5,2,9,4,1.42,8.8,4,4.87,0.1,0.1,596.8,sa3011244
Jimmie Sherfy,LAD,0,0,4.3,0,1,0,1,1,0,0,1,0,1.34,9.52,3.6,4.38,0,0,999,15118
Nicholas Robertson,LAD,0,0,4.4,0,4,0,4,4,2,1,4,2,1.37,8.63,3.51,4.49,0,0,999,sa3011248
Cameron Gibbens,LAD,0,0,4.28,0,1,0,1,1,0,0,1,1,1.43,9.87,4.75,4.41,0,0,999,sa3014797
Justin Hagenman,LAD,0,0,4.4,0,1,0,1,1,0,0,1,0,1.37,8.3,3.38,4.49,0,0,999,sa3008022
Marshall Kasowski,LAD,0,0,4.41,0,1,0,1,1,0,0,1,0,1.41,9.39,4.27,4.51,0,0,999,sa3005114
Landon Knack,LAD,0,0,4.31,0,0,0,1,1,0,0,1,0,1.28,8.59,2.6,4.29,0,0,999,sa3014518
Clayton Beeter,LAD,0,0,4.37,0,0,0,1,1,0,0,1,0,1.36,9.04,3.59,4.42,0,0,999,sa3014536
Robert Miller,LAD,0,0,4.46,0,0,0,1,1,0,0,1,0,1.34,8.28,2.99,4.47,0,0,599.6,sa3014422
Gavin Stone,LAD,0,0,4.68,0,0,0,1,1,1,0,1,0,1.45,7.72,3.77,4.75,0,0,999,sa3014810
Jose Martinez,LAD,0,0,4.82,0,0,0,1,1,1,0,1,0,1.46,5.89,3.05,4.92,0,0,999,sa3002796
Parker Curry,LAD,0,0,4.93,0,0,0,1,1,1,0,1,0,1.38,7.53,2.78,4.94,0,0,999,sa977821
John Rooney,LAD,0,0,4.93,0,0,0,1,1,1,0,1,0,1.49,8.06,4.33,5.15,0,0,999,sa3008417
Michael Grove,LAD,0,0,5.09,0,0,0,1,1,1,0,1,0,1.48,8.12,4.13,5.18,0,0,999,sa3008625
Augustus Varland,LAD,0,0,5.21,0,0,0,1,1,1,0,1,0,1.49,7.01,3.69,5.33,0,0,999,sa3007779
Carlos Duran,LAD,0,0,5.27,0,0,0,1,1,1,0,1,0,1.57,6.86,4.36,5.33,0,0,999,sa3006404
Alec Gamboa,LAD,0,0,5.21,0,0,0,1,1,1,0,1,0,1.61,6.22,4.49,5.41,0,0,999,sa3011249
Hyun-il Choi,LAD,0,0,5.33,0,0,0,1,1,1,0,1,0,1.51,6.43,3.58,5.42,0,0,999,sa3009992
Kendall Williams,LAD,0,0,5.48,0,0,0,1,1,1,0,1,0,1.62,5.51,4.1,5.55,0,0,999,sa3011674
Juan Morillo,LAD,0,0,5.58,0,0,0,1,1,1,0,1,0,1.59,6.83,4.48,5.64,0,0,999,sa917772
William Montgomerie,LAD,0,0,5.6,0,0,0,1,1,1,0,1,1,1.66,7.2,5.35,5.73,0,0,999,sa915861
Huei-Sheng Lin,LAD,0,0,5.65,0,0,0,1,1,1,0,1,1,1.67,6,4.91,5.76,0,0,999,sa3010249
Carlos Felix,LAD,0,0,5.7,0,0,0,1,1,1,0,1,1,1.67,5.01,4.52,5.76,0,0,999,sa740138
Logan Boyer,LAD,0,0,5.84,0,0,0,1,1,1,0,1,1,1.64,6.47,4.65,5.9,0,0,999,sa3015002
Jerming Rosario,LAD,0,0,5.95,0,0,0,1,1,1,0,1,1,1.72,6.28,5.35,6.04,0,0,999,sa3008678
Robinson Ortiz,LAD,0,0,5.86,0,0,0,1,1,1,0,1,1,1.74,6.47,5.79,6.12,0,0,999,sa3004006
Benony Robles,LAD,0,0,5.98,0,0,0,1,1,1,0,1,1,1.74,6.17,5.6,6.2,0,0,999,sa3006135
Edgardo Henriquez,LAD,0,0,6.09,0,0,0,1,1,1,0,1,1,1.81,6.4,6.3,6.21,0,0,999,sa3009613
Robert Peto,LAD,0,0,6.22,0,0,0,1,1,1,0,1,1,1.69,5.82,4.78,6.29,0,0,999,sa3014848
James Lewis,LAD,0,0,6.45,0,0,0,1,1,1,0,1,1,1.79,5.16,5.37,6.52,0,0,999,sa3014533
Antonio Hernandez,LAD,0,0,6.55,0,0,0,1,1,1,0,1,1,1.91,4.97,6.45,6.72,0,0,999,sa3002788
Osvanni Gutierrez,LAD,0,0,6.85,0,0,0,1,1,1,0,1,1,1.96,5.01,7.03,6.92,0,0,999,sa3009730
Rafael Tua,LAD,0,0,6.92,0,0,0,1,1,1,0,1,1,1.95,5.06,6.9,6.94,0,0,999,sa3008692
Jhan Zambrano,LAD,0,0,7.01,0,0,0,1,1,1,0,1,1,1.96,4.68,6.86,7.04,0,0,999,sa3009472
Lesther Medrano,LAD,0,0,7.15,0,0,0,1,1,1,0,1,1,1.98,4.65,6.92,7.12,0,0,999,sa3016470
Heisell Baro,LAD,0,0,7.33,0,0,0,1,1,1,0,1,1,2.01,5.03,7.38,7.32,0,0,999,sa3009225
Guillermo Zuniga,LAD,0,0,4.46,0,1,0,1,1,0,0,1,0,1.4,9.42,4.17,4.58,0,0,999,sa945024
Austin Drury,LAD,0,0,4.42,0,1,0,1,1,0,0,1,0,1.46,7.86,4.08,4.64,0,0,999,sa3008043
Aaron Ochsenbein,LAD,0,0,4.57,0,1,0,1,1,1,0,1,0,1.4,8.79,3.78,4.65,0,0,999,sa3011241
Ryan Moseley,LAD,0,0,4.49,0,1,0,1,1,0,0,1,1,1.54,7.23,4.52,4.68,0,0,999,sa738670
Elio Serrano,LAD,0,0,4.61,0,1,0,1,1,1,0,1,0,1.41,8.6,3.8,4.69,0,0,999,sa917324
Maxwell Gamboa,LAD,0,0,4.58,0,1,0,1,1,1,0,1,1,1.52,9.84,5.47,4.75,0,0,999,sa3005358
Zackary Plunkett,LAD,0,0,4.82,0,1,0,1,1,1,0,1,0,1.47,8.44,4.37,4.97,0,0,999,sa3011394
Logan Salow,LAD,0,0,4.68,0,1,0,1,1,1,0,1,1,1.55,9.42,5.64,4.99,0,0,999,sa874231
Bobby Wahl,LAD,0,0,5.02,0,1,0,1,1,1,0,1,0,1.48,8.91,4.41,5.07,0,0,999,14832
Mark Washington,LAD,0,0,4.94,0,1,0,1,1,1,0,1,0,1.47,8.29,4.28,5.09,0,0,999,sa3005194
Cyrillo Watson,LAD,0,0,5.01,0,1,0,1,1,1,0,1,1,1.54,8.46,4.94,5.15,0,0,999,sa3011557
Franklin De La Paz,LAD,0,0,4.88,0,1,0,1,1,1,0,1,1,1.62,7.47,5.37,5.19,0,0,999,sa3002811
Melvin Jimenez,LAD,0,0,5.08,0,1,0,1,1,1,0,1,1,1.5,8.75,4.72,5.23,0,0,999,sa917739
Aldry Acosta,LAD,0,0,5.08,0,1,0,1,1,1,0,1,1,1.64,7.21,5.36,5.28,0,0,999,sa3002794
Jacob Cantleberry,LAD,0,0,5.06,0,1,0,1,1,1,0,1,1,1.6,8.15,5.36,5.32,0,0,999,sa3011237
Edward Cuello,LAD,0,0,5.24,0,1,0,1,1,1,0,1,0,1.49,7.4,3.91,5.36,0,0,999,sa3002795
Julian Smith,LAD,0,0,5.08,0,1,0,1,1,1,0,1,1,1.69,6.62,5.61,5.43,0,0,999,sa3010129
Kevin Malisheski,LAD,0,0,5.19,0,1,0,1,1,1,0,1,1,1.66,7.79,5.89,5.44,0,0,999,sa919034
Jose Hernandez,LAD,0,0,5.23,0,1,0,1,1,1,0,1,1,1.64,7.38,5.3,5.46,0,0,999,sa928463
Michael Mokma,LAD,0,0,5.33,0,1,0,1,1,1,0,1,1,1.63,7.08,5.01,5.46,0,0,999,sa3014794
Carlos Alejo,LAD,0,0,5.42,0,1,0,1,1,1,0,1,1,1.72,7.14,6,5.62,0,0,999,sa919033
Nicholas Struck,LAD,0,0,5.52,0,1,0,1,1,1,0,1,1,1.68,6.33,5.28,5.64,0,0,999,sa503356
Andrew Shaps,LAD,0,0,5.31,0,1,0,1,1,1,0,1,1,1.74,7.19,6.32,5.66,0,0,999,sa3008430
Jeffrey Belge,LAD,0,0,5.28,0,1,0,1,1,1,0,1,1,1.75,8.02,6.79,5.67,0,0,999,sa3011231
Daniel Cruz,LAD,0,0,5.49,0,1,0,1,1,1,0,1,1,1.7,7.63,6.07,5.7,0,0,999,sa3006101
Fredy Quintero,LAD,0,0,5.69,0,1,0,1,1,1,0,1,1,1.72,6.46,5.67,5.81,0,0,999,sa456031
Cole Percival,LAD,0,0,5.63,0,1,0,1,1,1,0,1,1,1.72,6.59,5.74,5.82,0,0,999,sa3014919
Nelfri Contreras,LAD,0,0,5.55,0,1,0,1,1,1,0,1,1,1.81,6.19,6.45,5.89,0,0,999,sa3002809
Braidyn Fink,LAD,0,0,5.59,0,1,0,1,1,1,0,1,1,1.71,7.06,5.93,5.9,0,0,999,sa3014862
Jose Rodulfo,LAD,0,0,5.75,0,1,0,1,1,1,0,1,1,1.69,6.48,5.33,5.92,0,0,999,sa3002961
Adolfo Ramirez,LAD,0,0,5.82,0,1,0,1,1,1,0,1,1,1.7,6.34,5.27,5.94,0,0,999,sa3003015
