Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Sandy Alcantara,MIA,12,11,3.59,32,32,0,200,184,80,21,201,60,1.22,9.06,2.69,3.55,3.7,3.6,41,18684
Pablo Lopez,MIA,11,9,3.46,29,29,0,166,149,64,18,174,46,1.17,9.44,2.49,3.47,3.3,3.2,133.5,17085
Trevor Rogers,MIA,10,9,3.43,28,28,0,154,130,59,17,176,54,1.2,10.31,3.14,3.5,3,3.1,102.4,22286
Elieser Hernandez,MIA,8,9,4.24,26,26,0,140,131,66,22,141,41,1.24,9.11,2.66,4.27,1.7,1.5,326.6,16933
Sixto Sanchez,MIA,6,5,3.69,16,16,0,92,86,38,10,89,28,1.25,8.7,2.78,3.71,1.6,1.5,341.3,19680
Zach Thompson,MIA,8,10,4.58,23,47,0,150,154,76,22,129,55,1.39,7.72,3.32,4.56,1.2,1,480,16094
Jesus Luzardo,MIA,6,6,3.94,16,34,0,106,97,46,13,108,42,1.32,9.19,3.55,4.09,1.1,1.3,304.4,19959
Edward Cabrera,MIA,3,3,3.67,6,28,0,57,48,23,6,66,25,1.28,10.43,3.91,3.75,0.7,0.8,498.3,21690
Anthony Bender,MIA,3,3,3.38,0,63,10,63,54,24,6,72,24,1.23,10.22,3.37,3.46,0.6,0.6,438.7,19742
Richard Bleier,MIA,3,3,3.35,0,62,2,62,63,23,5,49,16,1.26,7.09,2.26,3.48,0.6,0.6,598.6,7803
Dylan Floro,MIA,3,3,3.73,0,67,19,67,64,28,7,63,24,1.32,8.46,3.26,3.79,0.4,0.4,246.5,13394
Louis Head,MIA,3,3,3.87,0,52,0,52,47,22,6,54,19,1.27,9.29,3.32,3.95,0.4,0.3,598.2,13259
Steven Okert,MIA,3,3,3.79,0,56,0,56,48,24,8,62,22,1.24,9.93,3.46,4.02,0.4,0.4,999,13580
Max Meyer,MIA,2,2,4.1,5,5,0,28,27,13,3,25,11,1.37,8.13,3.62,4.17,0.3,0.3,510.1,sa3014430
