Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Corbin Burnes,MIL,13,8,2.99,29,29,0,174,136,58,17,230,50,1.07,11.89,2.61,2.81,5.2,5.1,11.3,19361
Brandon Woodruff,MIL,13,9,3.41,31,31,0,187,161,71,22,220,52,1.14,10.58,2.49,3.32,4.4,4.4,18.9,16162
Freddy Peralta,MIL,11,9,3.82,29,29,0,163,131,69,23,208,68,1.22,11.46,3.74,3.85,3.3,3.1,59.1,18679
Adrian Houser,MIL,9,10,4.38,28,28,0,149,154,72,16,121,62,1.45,7.33,3.75,4.37,1.7,1.7,411.3,12718
Aaron Ashby,MIL,6,4,3.16,6,61,1,90,74,32,8,110,41,1.27,10.97,4.07,3.32,1.5,1.7,264.8,23550
Eric Lauer,MIL,8,8,4.3,23,27,0,129,123,61,20,129,49,1.33,9,3.4,4.43,1.4,1.6,327.7,19316
Josh Hader,MIL,4,3,2.72,0,67,26,67,42,20,7,110,27,1.02,14.79,3.63,2.66,1.4,1.5,38.3,14212
Devin Williams,MIL,4,3,3.15,0,65,2,65,48,23,6,89,30,1.21,12.29,4.19,3.23,1,1,313.5,15816
Jake Cousins,MIL,3,3,3.63,0,60,0,60,50,24,7,73,27,1.28,10.99,4.03,3.65,0.6,0.7,595.5,21620
Ethan Small,MIL,3,3,4.55,8,8,0,46,44,23,7,44,22,1.45,8.54,4.34,4.75,0.4,0.5,600.9,sa3011621
Brent Suter,MIL,3,3,3.94,0,65,1,65,64,28,8,60,21,1.31,8.38,2.85,4.07,0.3,0.4,585.6,13942
Alec Bettinger,MIL,2,2,4.48,3,15,0,30,31,15,5,26,9,1.33,7.62,2.71,4.51,0.3,0.2,999,20312
Hoby Milner,MIL,2,1,3.71,0,30,0,30,27,12,4,33,9,1.22,9.8,2.79,3.78,0.2,0.3,999,13346
Angel Perdomo,MIL,2,2,3.7,0,38,0,38,30,16,4,50,22,1.35,11.74,5.17,3.98,0.2,0.4,999,17759
Justin Topa,MIL,1,1,4.02,0,27,0,27,26,12,3,26,10,1.33,8.53,3.25,4.07,0.2,0.2,999,15145
Jandel Gustave,MIL,2,2,4.11,0,48,0,48,46,22,6,46,19,1.35,8.72,3.49,4.14,0.2,0.2,999,14665
Trevor Gott,MIL,3,3,4.27,0,54,0,54,50,26,8,57,23,1.35,9.49,3.78,4.32,0.2,0.1,999,15046
Luke Barker,MIL,1,1,3.96,0,21,0,21,19,9,3,22,7,1.25,9.47,2.94,4,0.1,0.1,999,sa977837
Dylan File,MIL,1,1,4.51,2,10,0,17,18,9,3,14,5,1.33,7.49,2.67,4.56,0.1,0.1,999,sa3004197
Rex Brothers,MIL,1,1,3.85,0,18,0,18,14,8,2,24,10,1.36,11.89,5.18,4.02,0.1,0.2,999,9794
Miguel Sanchez,MIL,2,2,4.45,0,34,0,34,33,17,5,32,15,1.41,8.36,3.89,4.56,0,0,999,20074
Josh Lindblom,MIL,0,0,3.97,0,1,0,1,1,0,0,1,0,1.19,9.46,2.28,3.96,0,0.1,999,7882
Ray Black,MIL,0,0,4.05,0,1,0,1,1,0,0,1,0,1.33,10.47,4.1,4.1,0,0.1,999,14244
Luis Perdomo,MIL,0,0,4.1,0,1,0,1,1,0,0,1,0,1.38,8.12,3.39,4.11,0,0.1,999,14682
Taylor Floyd,MIL,0,0,4.09,0,1,0,1,1,0,0,1,0,1.39,9.61,4.32,4.2,0,0.1,999,sa3011367
Aaron Kurcz,MIL,0,0,4.21,0,1,0,1,1,0,0,1,0,1.32,9.21,3.38,4.24,0,0,999,sa549903
Matthew Hardy,MIL,0,0,4.31,0,1,0,1,1,0,0,1,0,1.39,8.64,3.78,4.38,0,0,999,sa3004120
Clayton Andrews,MIL,0,0,4.21,0,1,0,1,1,0,0,1,1,1.42,9.42,4.52,4.42,0,0,999,sa3007226
Peter Strzelecki,MIL,0,0,4.34,0,1,0,1,1,0,0,1,0,1.35,8.97,3.66,4.45,0,0,999,sa3006947
Zachary Vennaro,MIL,0,0,4.37,0,1,0,1,1,0,0,1,0,1.45,8.82,4.4,4.47,0,0,999,sa3010326
Connor Sadzeck,MIL,0,0,4.39,0,1,0,1,1,0,0,1,1,1.46,8.96,4.69,4.57,0,0,999,13483
Andy Otero,MIL,0,0,3.9,0,0,0,1,1,0,0,1,0,1.3,8.41,2.93,4.01,0,0,999,sa506550
Jason Alexander,MIL,0,0,4.19,0,0,0,1,1,0,0,1,0,1.36,7.53,3.07,4.23,0,0,999,sa3003997
Luis Contreras,MIL,0,0,4.51,0,0,0,1,1,1,0,1,0,1.38,8.8,3.7,4.53,0,0,999,sa3010362
Thomas Jankins,MIL,0,0,4.62,0,0,0,1,1,1,0,1,0,1.44,6.31,3.14,4.69,0,0,999,sa873276
Nicholas Bennett,MIL,0,0,4.69,0,0,0,1,1,1,0,1,0,1.46,7.64,3.96,4.85,0,0,999,sa3011410
Noah Zavolas,MIL,0,0,4.85,0,0,0,1,1,1,0,1,0,1.38,7.02,2.81,4.88,0,0,999,sa3006770
Carlos Luna,MIL,0,0,4.91,0,0,0,1,1,1,0,1,0,1.34,7.67,2.65,4.98,0,0,999,sa828727
Justin Bullock,MIL,0,0,4.95,0,0,0,1,1,1,0,1,0,1.43,7.25,3.38,5.01,0,0,999,sa3005213
Victor Castaneda,MIL,0,0,5.02,0,0,0,1,1,1,0,1,0,1.46,7.9,3.97,5.12,0,0,999,sa978399
Ariel Pena,MIL,0,0,5.11,0,0,0,1,1,1,0,1,1,1.53,7.84,4.56,5.14,0,0,999,10240
Scott Sunitsch,MIL,0,0,5.05,0,0,0,1,1,1,0,1,0,1.57,6.54,4.4,5.24,0,0,999,sa3007251
Max Lazar,MIL,0,0,5.22,0,0,0,1,1,1,0,1,0,1.54,7.41,4.46,5.31,0,0,999,sa3005163
Arnaldo Hernandez,MIL,0,0,5.35,0,0,0,1,1,1,0,1,0,1.49,6.6,3.55,5.43,0,0,999,sa828154
Brandon Knarr,MIL,0,0,5.27,0,0,0,1,1,1,0,1,1,1.61,7.19,5.12,5.49,0,0,999,sa3015005
Antoine Kelly,MIL,0,0,5.45,0,0,0,1,1,1,0,1,1,1.67,7.16,5.6,5.66,0,0,999,sa3011135
Franklin Shook,MIL,0,0,5.68,0,0,0,1,1,1,0,1,1,1.62,7.1,4.92,5.75,0,0,999,sa3014915
Joseph Matulovich,MIL,0,0,5.88,0,0,0,1,1,1,0,1,1,1.65,7.2,5.14,5.92,0,0,999,sa3008274
Alexander Cornielle,MIL,0,0,5.87,0,0,0,1,1,1,0,1,1,1.72,6.56,5.64,5.94,0,0,999,sa3011779
Zachary Mort,MIL,0,0,5.92,0,0,0,1,1,1,0,1,0,1.62,5.91,4.3,6,0,0,999,sa3008172
Jhoan Cruz,MIL,0,0,5.99,0,0,0,1,1,1,0,1,0,1.65,5.59,4.35,6.01,0,0,999,sa3006512
Brendan Murphy,MIL,0,0,5.93,0,0,0,1,1,1,0,1,1,1.77,5.92,5.93,6.16,0,0,999,sa3004961
Jeferson Figueroa,MIL,0,0,6.22,0,0,0,1,1,1,0,1,1,1.74,6.3,5.51,6.24,0,0,999,sa3016811
Justin Jarvis,MIL,0,0,6.17,0,0,0,1,1,1,0,1,1,1.72,6.14,5.44,6.26,0,0,999,sa3007775
Brailin Rodriguez,MIL,0,0,6.38,0,0,0,1,1,1,0,1,1,1.84,5.79,6.32,6.47,0,0,999,sa3009238
Israel Puello,MIL,0,0,6.5,0,0,0,1,1,1,0,1,1,1.85,5.88,6.4,6.55,0,0,999,sa3006113
Michele Vassalotti,MIL,0,0,6.57,0,0,0,1,1,1,0,1,1,1.87,6.28,6.76,6.63,0,0,999,sa3004802
Ian Exposito,MIL,0,0,6.5,0,0,0,1,1,1,0,1,1,1.94,5.46,7.16,6.69,0,0,999,sa1172530
Domingo Mejia,MIL,0,0,6.7,0,0,0,1,1,1,0,1,1,1.89,5.22,6.48,6.73,0,0,999,sa3016622
Alexis Ramirez,MIL,0,0,6.71,0,0,0,1,1,1,0,1,1,1.95,5.33,7.06,6.77,0,0,999,sa3006545
Stiven Cruz,MIL,0,0,6.87,0,0,0,1,1,1,0,1,1,1.94,5.4,6.96,6.88,0,0,999,sa3015938
Fernando Olguin,MIL,0,0,6.85,0,0,0,1,1,1,0,1,1,1.95,5.55,7.19,6.92,0,0,999,sa3008571
Brayan Salaya,MIL,0,0,6.87,0,0,0,1,1,1,0,1,1,1.99,5.34,7.41,6.93,0,0,999,sa3003032
Edwin Jimenez,MIL,0,0,6.99,0,0,0,1,1,1,0,1,1,1.98,4.93,7.15,7.03,0,0,999,sa3010800
Patricio Aquino,MIL,0,0,7.08,0,0,0,1,1,1,0,1,1,2,5.05,7.34,7.1,0,0,999,sa3016510
Gerson Calzadilla,MIL,0,0,7.11,0,0,0,1,1,1,0,1,1,2,4.55,7.08,7.11,0,0,999,sa3016621
Rafael Garcia,MIL,0,0,7.1,0,0,0,1,1,1,0,1,1,1.99,4.87,7.18,7.12,0,0,999,sa3008702
Yerlin Rodriguez,MIL,0,0,7.1,0,0,0,1,1,1,0,1,1,2.03,5.55,7.82,7.14,0,0,999,sa3015362
