Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Bailey Ober,MIN,9,9,4.51,26,26,0,145,145,73,25,144,40,1.27,8.95,2.46,4.38,1.9,1.7,271.7,21224
Joe Ryan,MIN,9,8,4.36,24,24,0,142,135,69,24,148,41,1.24,9.38,2.6,4.28,1.8,2,204.3,21390
Dylan Bundy,MIN,9,11,4.98,29,29,0,166,173,92,29,151,57,1.38,8.15,3.1,4.8,1.2,1.1,464.1,12917
Randy Dobnak,MIN,7,9,4.82,23,31,0,134,155,72,17,85,43,1.47,5.73,2.88,4.65,1.1,0.9,589.6,23798
Taylor Rogers,MIN,4,3,3.13,0,67,24,67,56,23,7,85,19,1.12,11.35,2.59,3,1.1,1.2,247.8,13449
Josh Winder,MIN,5,6,5.14,16,16,0,92,99,53,17,75,31,1.41,7.29,2.99,5.07,0.4,0.4,999,sa3007993
Lewis Thorpe,MIN,4,5,5.05,11,27,0,78,85,44,13,60,31,1.48,6.86,3.58,5.06,0.4,0.2,599.2,15906
Jorge Alcala,MIN,3,3,4.03,0,62,4,62,57,28,9,67,22,1.27,9.71,3.21,4,0.3,0.4,471.4,19459
Caleb Thielbar,MIN,3,3,4.11,0,62,1,62,57,28,9,67,23,1.28,9.75,3.28,4.15,0.3,0.4,999,10078
Tyler Duffey,MIN,3,3,4.19,0,66,4,66,63,31,9,68,26,1.35,9.32,3.52,4.11,0.3,0.3,564.2,13758
Danny Coulombe,MIN,2,2,4.01,0,40,0,40,38,18,5,40,15,1.34,9.02,3.43,4.05,0.2,0.3,999,13293
Jordan Balazovic,MIN,2,3,5.12,8,8,0,46,50,26,7,37,19,1.49,7.19,3.72,5.03,0.2,0.2,600.9,sa918017
Jhoan Duran,MIN,1,1,3.92,0,22,0,22,20,10,2,23,10,1.36,9.57,3.99,3.91,0.2,0.2,999,sa873347
Cody Stashak,MIN,2,2,4.51,0,45,0,45,43,23,8,46,16,1.3,9.2,3.13,4.48,0.1,0.1,599.3,18088
Griffin Jax,MIN,5,7,5.7,18,18,0,98,111,62,19,74,36,1.5,6.8,3.31,5.49,0.1,-0.1,596.3,20253
Jovani Moran,MIN,2,2,4.19,0,46,0,46,41,21,6,52,26,1.45,10.24,5.07,4.34,0.1,0.2,999,20422
Yennier Cano,MIN,2,2,4.4,0,34,0,34,33,17,4,32,17,1.47,8.42,4.41,4.41,0.1,0.1,999,sa3011688
Devin Smeltzer,MIN,1,1,4.95,2,6,0,13,14,7,2,10,4,1.41,7.09,3.06,5.01,0.1,0,999,19487
Bryson Sands,MIN,0,1,5.2,2,2,0,9,10,5,2,8,4,1.46,7.75,3.8,5.14,0,0,999,sa3008611
Andrew Strotman,MIN,1,1,5.5,3,3,0,18,20,11,3,14,9,1.61,6.66,4.55,5.42,0,0,999,sa3004584
Fernando Romero,MIN,0,0,4.21,0,1,0,1,1,0,0,1,0,1.39,8.87,3.83,4.2,0,0,999,15885
Ian Hamilton,MIN,0,0,4.27,0,1,0,1,1,0,0,1,1,1.43,9.55,4.6,4.31,0,0,999,19261
Kenta Maeda,MIN,0,0,4.41,0,0,0,1,1,0,0,1,0,1.3,8.95,2.88,4.3,0,0,577.2,18498
Aaron Rozek,MIN,0,0,4.51,0,0,0,1,1,1,0,1,0,1.37,7.79,3.06,4.49,0,0,999,sa3015224
Kody Funderburk,MIN,0,0,4.67,0,0,0,1,1,1,0,1,0,1.51,7.6,4.35,4.75,0,0,999,sa3007780
Simeon Woods Richardson,MIN,0,0,5.06,0,0,0,1,1,1,0,1,0,1.49,8.08,4.15,4.98,0,0,999,sa3008423
Benjamin Gross,MIN,0,0,5.13,0,0,0,1,1,1,0,1,0,1.45,7.35,3.49,5.09,0,0,999,sa1119979
Tyler Beck,MIN,0,0,5.22,0,0,0,1,1,1,0,1,0,1.5,7.18,3.75,5.11,0,0,999,sa3010563
Matthew Canterino,MIN,0,0,5.3,0,0,0,1,1,1,0,1,0,1.53,7.77,4.29,5.18,0,0,999,sa3011530
Chandler Shepherd,MIN,0,0,5.36,0,0,0,1,1,1,0,1,0,1.49,5.87,3.01,5.26,0,0,999,16166
Alec Gipson-Long,MIN,0,0,5.54,0,0,0,1,1,1,0,1,0,1.55,6.74,3.96,5.4,0,0,999,sa3011536
Louie Varland,MIN,0,0,5.49,0,0,0,1,1,1,0,1,0,1.54,7.07,4.09,5.42,0,0,999,sa3010572
Austin Schulfer,MIN,0,0,5.53,0,0,0,1,1,1,0,1,0,1.61,6.5,4.46,5.44,0,0,999,sa3007585
Chris Vallimont,MIN,0,0,5.59,0,0,0,1,1,1,0,1,1,1.56,8.21,4.92,5.58,0,0,999,sa3008026
Cody Laweryson,MIN,0,0,5.73,0,0,0,1,1,1,0,1,0,1.58,6.62,4.21,5.62,0,0,999,sa3010633
Casey Legumina,MIN,0,0,5.83,0,0,0,1,1,1,0,1,1,1.63,6.47,4.53,5.72,0,0,999,sa3014849
Blayne Enlow,MIN,0,0,5.87,0,0,0,1,1,1,0,1,1,1.66,6.12,4.6,5.72,0,0,999,sa3005117
Sean Mooney,MIN,0,0,5.86,0,0,0,1,1,1,0,1,1,1.64,7.33,5.04,5.75,0,0,999,sa3014913
Luis Rijo,MIN,0,0,5.89,0,0,0,1,1,1,0,1,0,1.65,5.97,4.49,5.78,0,0,999,sa916950
Bryan Sammons,MIN,0,0,5.81,0,0,0,1,1,1,0,1,1,1.63,6.57,4.76,5.86,0,0,999,sa3003932
Andrew Cabezas,MIN,0,0,6.05,0,0,0,1,1,1,0,1,1,1.66,6.2,4.71,5.96,0,0,999,sa3007461
Hunter McMahon,MIN,0,0,6.13,0,0,0,1,1,1,0,1,1,1.72,5.82,5.07,6,0,0,999,sa3010658
Brent Headrick,MIN,0,0,5.98,0,0,0,1,1,1,0,1,1,1.77,6.18,5.86,6.02,0,0,999,sa3011887
Zarion Sharpe,MIN,0,0,5.94,0,0,0,1,1,1,0,1,1,1.81,5.29,5.87,6.04,0,0,999,sa3015073
Lachlan Wells,MIN,0,0,6.08,0,0,0,1,1,1,0,1,0,1.66,5.58,4.49,6.1,0,0,999,sa877857
Jonathan Olsen,MIN,0,0,6.32,0,0,0,1,1,1,0,1,1,1.72,5.52,4.86,6.2,0,0,999,sa3015032
Miguel Rodriguez,MIN,0,0,6.36,0,0,0,1,1,1,0,1,1,1.79,5.6,5.52,6.22,0,0,999,sa3006570
John Stankiewicz,MIN,0,0,6.39,0,0,0,1,1,1,0,1,1,1.77,5.7,5.34,6.25,0,0,999,sa3016001
Regi Grace,MIN,0,0,6.48,0,0,0,1,1,1,0,1,1,1.77,5.68,5.33,6.31,0,0,999,sa3008101
Landon Leach,MIN,0,0,6.69,0,0,0,1,1,1,0,1,1,1.88,5.2,6.14,6.53,0,0,999,sa3005243
Juan Nunez,MIN,0,0,6.65,0,0,0,1,1,1,0,1,1,1.9,5.21,6.62,6.69,0,0,999,sa3015464
Carlos Gutierrez,MIN,0,0,6.84,0,0,0,1,1,1,0,1,1,1.95,5.06,7.01,6.9,0,0,999,sa3009226
