Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Jacob deGrom,NYM,12,6,2.33,26,26,0,152,103,39,14,228,33,0.9,13.49,1.96,2.08,6.1,5.3,25.8,10954
Max Scherzer,NYM,13,9,3.13,31,31,0,189,147,66,24,251,46,1.02,11.97,2.2,3.03,5.1,4.5,16.7,3137
Carlos Carrasco,NYM,9,8,3.76,26,26,0,144,132,60,19,153,45,1.22,9.55,2.79,3.81,2.5,2.2,306.5,6632
Taijuan Walker,NYM,10,10,4.26,29,29,0,166,160,79,25,160,58,1.31,8.7,3.12,4.34,1.8,1.4,363.3,11836
Tylor Megill,NYM,8,7,3.84,21,21,0,115,104,49,15,124,38,1.23,9.7,2.97,3.86,1.8,1.6,336.6,21318
Edwin Diaz,NYM,4,3,2.92,0,67,33,67,47,22,7,98,25,1.07,13.15,3.36,2.88,1.2,1,74.6,14710
David Peterson,NYM,5,4,3.84,13,13,0,69,64,29,8,69,28,1.33,8.97,3.65,4.07,0.9,1,570.7,20302
Trevor May,NYM,3,3,3.42,0,63,2,63,50,24,8,81,23,1.16,11.55,3.26,3.44,0.7,0.6,553.7,6398
Seth Lugo,NYM,4,3,3.52,0,70,1,70,61,27,8,79,23,1.2,10.12,2.93,3.55,0.6,0.5,598,12447
Trevor Williams,NYM,5,5,4,6,62,0,91,88,40,13,86,26,1.25,8.56,2.53,4.04,0.6,0.5,598.6,16977
Miguel Castro,NYM,3,3,3.6,0,63,0,63,52,25,6,73,32,1.33,10.46,4.54,3.79,0.5,0.4,600.8,15684
Adam Oller,NYM,2,2,4.05,3,23,0,38,36,17,5,38,15,1.31,9,3.47,4.2,0.3,0.2,999,sa913099
Drew Smith,NYM,3,3,4.19,0,60,0,60,55,28,9,61,24,1.32,9.17,3.53,4.34,0.2,0,999,17755
Sean Reid-Foley,NYM,2,2,3.82,0,40,0,40,33,17,5,47,20,1.34,10.62,4.57,3.99,0.2,0.2,999,17034
Jordan Yamamoto,NYM,3,3,4.63,5,33,0,55,54,28,9,51,21,1.36,8.3,3.37,4.7,0.2,0,999,17585
Jake Reed,NYM,2,2,4.15,0,47,0,47,45,22,6,45,19,1.35,8.62,3.56,4.29,0.1,0.1,999,16209
Eric Orze,NYM,1,1,3.85,0,14,0,14,12,6,2,15,6,1.28,9.81,3.63,3.98,0.1,0.1,999,sa3014793
Thomas Szapucki,NYM,1,1,4.51,2,6,0,13,13,7,2,12,6,1.45,8.21,4.39,4.84,0,0,999,21065
Allan Winans,NYM,0,0,4.13,0,10,0,10,10,5,1,9,4,1.39,8.44,3.99,4.33,0,0,999,sa3007580
Brian Metoyer,NYM,0,0,3.95,0,1,0,1,1,0,0,1,1,1.43,9.68,4.91,4.2,0,0.1,999,sa3008361
Nathan Fisher,NYM,0,0,4,0,1,0,1,1,0,0,1,0,1.33,8.48,3.41,4.25,0,0.1,999,sa3009863
Kevin Gadea,NYM,0,0,4.11,0,1,0,1,1,0,0,1,0,1.37,9.71,4.35,4.29,0,0.1,999,sa735841
Rob Zastryzny,NYM,0,0,4.02,0,1,0,1,1,0,0,1,0,1.34,8.6,3.63,4.3,0,0.1,999,15094
Willy Taveras,NYM,0,0,4.17,0,1,0,1,1,0,0,1,0,1.3,8.13,2.93,4.32,0,0.1,999,sa917753
Justin Dillon,NYM,0,0,4.19,0,1,0,1,1,0,0,1,0,1.31,8.29,3.16,4.37,0,-0.1,999,sa659283
Joey Lucchesi,NYM,0,0,3.89,0,0,0,1,1,0,0,1,0,1.26,9.42,3.05,4.01,0,0,999,19320
Jose Butto,NYM,0,0,4.4,0,0,0,1,1,0,0,1,0,1.34,7.8,3.06,4.54,0,0,999,sa3003166
Justin Lasko,NYM,0,0,4.41,0,0,0,1,1,0,0,1,0,1.39,6.9,3.06,4.54,0,0,999,sa1052944
Dylan Hall,NYM,0,0,4.45,0,0,0,1,1,0,0,1,0,1.39,8.62,3.79,4.57,0,0,999,sa3015008
Harol Gonzalez,NYM,0,0,4.54,0,0,0,1,1,1,0,1,0,1.36,7.41,2.95,4.64,0,0,999,sa828505
Joshua Walker,NYM,0,0,4.48,0,0,0,1,1,0,0,1,0,1.36,7.13,3.01,4.73,0,0,999,sa3004488
