Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Gerrit Cole,NYY,14,8,3.29,32,32,0,199,157,73,27,263,52,1.05,11.92,2.35,3.16,5.3,5.2,9.8,13125
Jordan Montgomery,NYY,11,9,4.1,29,29,0,164,157,75,24,164,53,1.28,8.96,2.89,4.14,2.5,2.5,233.9,16511
Luis Severino,NYY,10,8,4.07,24,42,0,156,148,70,23,156,48,1.26,9.02,2.77,4.11,2.1,2.3,175.4,15890
Jameson Taillon,NYY,9,9,4.67,28,28,0,152,152,79,27,143,45,1.3,8.46,2.68,4.64,1.7,1.4,321.7,11674
Nestor Cortes,NYY,8,8,4.55,19,51,0,139,132,70,26,146,49,1.3,9.45,3.14,4.65,1.2,1.1,363.1,17874
Domingo German,NYY,6,6,4.28,13,51,0,109,104,52,18,114,33,1.25,9.34,2.68,4.29,1.2,1.1,412,17149
Aroldis Chapman,NYY,4,2,2.92,0,64,32,64,42,21,6,98,32,1.16,13.71,4.48,3.05,1.1,1.2,85.4,10233
Jonathan Loaisiga,NYY,4,3,3.47,0,66,2,66,58,25,7,73,22,1.22,9.96,3.06,3.54,0.9,0.8,393.9,19753
Chad Green,NYY,3,3,3.73,0,63,1,63,53,26,10,76,18,1.14,10.88,2.61,3.78,0.7,0.7,391.1,15552
Luis Gil,NYY,4,5,4.6,10,34,0,78,69,40,13,90,43,1.42,10.36,4.88,4.75,0.6,0.5,468,21052
Joely Rodriguez,NYY,3,2,3.74,0,56,0,56,51,23,6,58,23,1.33,9.34,3.72,3.92,0.5,0.6,600.9,11487
Michael King,NYY,4,3,4.17,3,53,0,68,64,31,10,68,24,1.3,9.02,3.16,4.23,0.4,0.5,597.4,19853
Clay Holmes,NYY,3,3,3.87,0,60,1,60,54,26,6,64,29,1.39,9.56,4.37,4.03,0.3,0.5,999,13649
Nick Nelson,NYY,2,2,3.86,0,46,0,46,39,20,5,53,23,1.36,10.4,4.52,4,0.3,0.4,999,20153
Lucas Luetge,NYY,2,2,4.13,0,44,0,44,43,20,6,43,15,1.31,8.77,3,4.22,0.2,0.2,999,8337
Wandy Peralta,NYY,3,3,4.17,0,58,0,58,56,27,8,53,25,1.4,8.27,3.86,4.43,0.1,0.3,999,14295
Stephen Ridings,NYY,1,1,4.12,0,22,0,22,20,10,3,24,9,1.33,10.02,3.88,4.22,0.1,0.1,999,22358
Clarke Schmidt,NYY,1,1,4.57,2,10,0,17,17,9,3,15,7,1.41,8,3.6,4.64,0.1,0.1,597.6,19899
Zack Britton,NYY,0,0,3.88,0,1,0,1,1,0,0,1,1,1.5,7.95,4.72,4.24,0,0.1,999,3240
