Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Sean Manaea,OAK,11,10,3.66,31,31,0,179,164,73,24,179,44,1.17,9,2.22,3.77,3.1,3.4,162,15873
Frankie Montas,OAK,11,10,3.71,31,31,0,179,160,74,23,189,55,1.2,9.53,2.77,3.75,3.1,3.3,94.6,14309
Chris Bassitt,OAK,11,11,4.02,31,31,0,186,175,83,25,175,53,1.22,8.49,2.55,4.06,2.5,2.8,143,12304
James Kaprielian,OAK,7,9,4.53,23,37,0,140,134,71,23,137,48,1.3,8.81,3.07,4.55,1.1,1.1,333.8,18331
Cole Irvin,OAK,9,12,4.69,29,29,0,165,176,86,28,117,44,1.34,6.41,2.41,4.86,0.9,1.2,504.7,19244
A.J. Puk,OAK,4,4,3.83,3,63,5,78,70,33,10,80,31,1.3,9.22,3.59,4.06,0.6,0.7,539.7,19343
Paul Blackburn,OAK,2,3,4.17,3,31,0,45,48,21,6,33,12,1.32,6.57,2.37,4.24,0.2,0.2,999,14739
Daulton Jefferies,OAK,4,5,4.37,6,58,0,89,92,43,14,70,21,1.28,7.07,2.16,4.46,0.2,0.4,580.1,19345
Dany Jimenez,OAK,1,1,3.91,0,22,0,22,19,10,3,24,10,1.33,9.94,4.27,4.12,0.1,0.2,999,21170
Deolis Guerra,OAK,3,3,4.44,0,64,3,64,62,32,10,59,22,1.31,8.34,3.12,4.53,0.1,0,598.2,8410
Lou Trivino,OAK,3,3,4.21,0,65,24,65,60,30,8,62,29,1.37,8.55,3.97,4.37,0,0.1,294.3,15043
Zachary Jackson,OAK,0,0,4.11,0,4,0,4,4,2,1,4,2,1.37,9.15,4.25,4.35,0,0,999,sa874174
Brady Feigl,OAK,0,0,4.63,0,0,0,1,1,1,0,1,0,1.43,6.66,3.44,4.77,0,0,999,sa3007455
Chase Cohen,OAK,0,0,4.7,0,0,0,1,1,1,0,1,0,1.49,7.24,4.4,4.9,0,0,999,sa3007477
Treyson Supak,OAK,0,0,4.88,0,0,0,1,1,1,0,1,0,1.38,6.44,2.77,5,0,0,999,sa828707
Colin Peluse,OAK,0,0,4.98,0,0,0,1,1,1,0,1,0,1.39,6.88,3.07,5.11,0,0,999,sa3011126
Ty Damron,OAK,0,0,4.91,0,0,0,1,1,1,0,1,0,1.44,6.59,3.5,5.17,0,0,999,sa738284
Jared Koenig,OAK,0,0,4.96,0,0,0,1,1,1,0,1,0,1.46,6.34,3.59,5.22,0,0,999,sa3014906
Matthew Milburn,OAK,0,0,5.16,0,0,0,1,1,1,0,1,0,1.42,4.91,2.33,5.28,0,0,999,sa913084
John Cushing,OAK,0,0,5.17,0,0,0,1,1,1,0,1,0,1.44,6.18,3.16,5.31,0,0,999,sa1170342
Shohei Tomioka,OAK,0,0,5.13,0,0,0,1,1,1,0,1,0,1.56,5.83,4.26,5.35,0,0,999,sa3014808
David Leal,OAK,0,0,5.27,0,0,0,1,1,1,0,1,0,1.48,6.01,3.47,5.5,0,0,999,sa1171029
Brady Basso,OAK,0,0,5.27,0,0,0,1,1,1,0,1,1,1.59,6.38,4.69,5.51,0,0,999,sa1115881
Jack Owen,OAK,0,0,5.33,0,0,0,1,1,1,0,1,0,1.58,5.99,4.45,5.57,0,0,999,sa3017490
Rafael Kelly,OAK,0,0,5.44,0,0,0,1,1,1,0,1,0,1.56,5.41,3.97,5.6,0,0,999,sa3002917
Bryce Conley,OAK,0,0,5.38,0,0,0,1,1,1,0,1,1,1.54,6.88,4.62,5.64,0,0,999,sa3004704
Stephen Emanuels,OAK,0,0,5.72,0,0,0,1,1,1,0,1,1,1.63,5.72,4.67,5.83,0,0,999,sa3014698
Jorge Juan,OAK,0,0,5.71,0,0,0,1,1,1,0,1,1,1.66,6.6,5.39,5.85,0,0,999,sa3005826
Jake Walkinshaw,OAK,0,0,5.73,0,0,0,1,1,1,0,1,1,1.65,4.93,4.5,5.87,0,0,999,sa3010317
Gerald Garcia,OAK,0,0,5.69,0,0,0,1,1,1,0,1,1,1.68,5.81,5.23,5.92,0,0,999,sa1172141
Osvaldo Berrios,OAK,0,0,5.76,0,0,0,1,1,1,0,1,0,1.58,5.05,3.93,5.93,0,0,999,sa3004702
Kumar Nambiar,OAK,0,0,5.69,0,0,0,1,1,1,0,1,1,1.61,5.66,4.57,5.94,0,0,999,sa3010666
