Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Jose Quintana,PIT,9,10,4.05,28,28,0,156,150,70,19,151,60,1.35,8.74,3.47,4.1,2.3,2.2,548.3,11423
JT Brubaker,PIT,8,9,4.24,24,24,0,138,136,65,19,135,45,1.31,8.76,2.92,4.17,1.9,1.7,508.2,17578
Dillon Peters,PIT,6,7,4.2,15,55,0,119,118,56,16,105,43,1.35,7.93,3.22,4.34,1.1,1.1,594.5,18790
Mitch Keller,PIT,6,7,4.5,18,28,0,102,101,51,13,94,43,1.41,8.27,3.81,4.44,0.9,0.8,582.5,17594
Roansy Contreras,PIT,4,4,4.12,11,11,0,64,60,29,9,63,23,1.3,8.85,3.21,4.13,0.9,0.8,476.5,22810
Bryse Wilson,PIT,6,9,4.98,23,23,0,121,132,67,20,87,41,1.43,6.48,3.04,4.98,0.8,0.4,590.1,19990
Wil Crowe,PIT,6,8,4.62,16,48,0,117,116,60,17,107,49,1.41,8.22,3.76,4.63,0.7,0.6,591.6,19800
David Bednar,PIT,3,3,3.53,0,64,24,64,54,25,7,76,24,1.23,10.68,3.43,3.49,0.7,0.7,218.2,19569
Chris Stratton,PIT,3,3,4.05,0,68,8,68,65,31,9,68,26,1.33,9.03,3.43,4.05,0.4,0.3,498.1,13761
Sam Howard,PIT,3,3,3.85,0,58,0,58,49,25,7,68,30,1.35,10.52,4.61,4.05,0.4,0.4,999,16265
Anthony Banda,PIT,3,3,4.1,0,62,1,62,60,28,7,57,24,1.36,8.29,3.52,4.21,0.3,0.2,999,14706
Blake Cederlind,PIT,2,2,4.03,0,36,0,36,33,16,4,37,16,1.37,9.32,4.08,4.09,0.2,0.2,999,20344
Duane Underwood Jr.,PIT,3,3,4.29,0,60,0,60,59,29,8,56,24,1.38,8.47,3.61,4.25,0.2,0.1,999,14677
Max Kranick,PIT,2,2,4.7,3,17,0,32,32,17,5,26,11,1.38,7.43,3.17,4.76,0.2,0.1,999,22175
Miguel Yajure,PIT,2,2,4.37,2,30,0,37,37,18,5,32,13,1.36,7.8,3.19,4.34,0.2,0.2,598.6,21111
Nick Mears,PIT,3,3,4.36,0,56,0,56,52,27,7,58,28,1.42,9.35,4.48,4.38,0.1,0.1,999,25376
