Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Joe Musgrove,SDP,12,9,3.62,31,31,0,182,163,73,22,197,53,1.19,9.72,2.63,3.65,3.5,3.3,81.4,12970
Blake Snell,SDP,11,8,3.49,29,29,0,158,129,61,18,198,68,1.24,11.25,3.84,3.54,3.2,3.1,124.3,13543
Yu Darvish,SDP,11,8,3.79,28,28,0,159,139,67,22,185,46,1.16,10.46,2.58,3.64,3.1,2.6,101.4,13074
Mike Clevinger,SDP,10,7,3.48,24,24,0,138,118,54,17,160,46,1.19,10.4,2.99,3.51,2.9,2.8,195.8,12808
Chris Paddack,SDP,5,4,3.83,11,28,0,78,74,33,11,78,18,1.19,9.02,2.13,3.78,1.1,1,416.5,20099
Dinelson Lamet,SDP,3,2,3.15,0,52,6,52,40,18,6,69,17,1.11,11.97,3.03,3.09,0.9,0.7,366.7,17186
Luis Garcia,SDP,3,3,3.52,0,60,1,60,52,23,6,66,24,1.26,9.96,3.57,3.58,0.6,0.5,558.2,6984
Pierce Johnson,SDP,3,3,3.67,0,64,20,64,53,26,8,78,28,1.26,10.92,3.9,3.75,0.6,0.5,445.4,13435
Craig Stammen,SDP,3,3,3.73,0,60,1,60,59,25,7,57,15,1.23,8.48,2.21,3.63,0.5,0.4,592.7,7274
Javy Guerra,SDP,2,2,3.66,0,42,0,42,37,17,5,47,17,1.29,9.99,3.68,3.71,0.5,0.3,999,17292
Tim Hill,SDP,3,3,3.56,0,60,1,60,55,24,6,59,22,1.29,8.79,3.34,3.76,0.5,0.5,999,16814
Adrian Morejon,SDP,2,1,3.34,3,11,0,25,21,9,3,30,10,1.21,10.74,3.45,3.45,0.4,0.5,999,20039
Ryan Weathers,SDP,3,3,4.24,6,16,0,43,43,20,6,38,15,1.35,7.88,3.16,4.48,0.4,0.3,588.6,23796
MacKenzie Gore,SDP,2,2,4.26,6,6,0,37,35,17,5,36,17,1.4,8.7,4.17,4.49,0.4,0.4,999,sa3005068
Drew Pomeranz,SDP,2,1,3.42,0,34,0,34,28,13,4,42,14,1.24,11.24,3.81,3.52,0.4,0.4,534.8,11426
Emilio Pagan,SDP,3,3,4.17,0,63,2,63,56,29,10,70,21,1.23,10,3.03,4.22,0.3,0.1,543.2,14771
Austin Adams,SDP,3,2,3.83,0,48,0,48,39,20,5,60,24,1.32,11.25,4.55,3.9,0.3,0.3,599.3,13801
James Norwood,SDP,1,1,3.7,0,14,0,14,12,6,2,16,7,1.32,10.57,4.37,3.82,0.1,0.1,999,16440
Nabil Crismatt,SDP,2,1,3.99,0,30,0,30,29,13,4,28,10,1.29,8.31,2.89,4.04,0.1,0.2,999,17732
Steven Wilson,SDP,1,1,3.72,0,12,0,12,10,5,1,14,5,1.27,10.66,3.94,3.81,0.1,0.1,999,sa3006795
Michel Baez,SDP,0,0,3.99,0,4,0,4,4,2,0,4,2,1.34,9.71,4.02,4.1,0,0,999,20100
Nick Burdi,SDP,0,0,3.34,0,1,0,1,1,0,0,1,0,1.21,11.91,3.86,3.34,0,0.1,999,16074
Evan Miller,SDP,0,0,3.99,0,1,0,1,1,0,0,1,0,1.36,8.2,3.58,4.1,0,0.1,999,sa915725
Shaun Anderson,SDP,0,0,4.56,0,6,0,6,6,3,1,5,2,1.4,7.93,3.64,4.67,0,0,999,19453
Thomas Cosgrove,SDP,0,0,4.03,0,1,0,1,1,0,0,1,0,1.37,8.89,3.9,4.24,0,0.1,999,sa915675
Jose Quezada,SDP,0,0,4.17,0,1,0,1,1,0,0,1,1,1.44,8.8,4.56,4.35,0,0,999,sa3008375
Nicholas Kuzia,SDP,0,0,4.22,0,1,0,1,1,0,0,1,1,1.43,9.03,4.56,4.39,0,0,999,sa3004493
Jordan Brink,SDP,0,0,4.28,0,1,0,1,1,0,0,1,0,1.38,8.37,3.75,4.39,0,0,999,sa829003
Adrian Martinez,SDP,0,0,4.37,0,0,0,1,1,0,0,1,0,1.4,7.25,3.41,4.49,0,0,999,sa873428
Jesse Scholtens,SDP,0,0,4.43,0,0,0,1,1,0,0,1,0,1.36,7.77,3.24,4.49,0,0,999,sa918144
Reginald Lawson,SDP,0,0,4.44,0,0,0,1,1,0,0,1,0,1.39,8.68,3.86,4.5,0,0,999,sa917951
Ethan Elliott,SDP,0,0,4.42,0,0,0,1,1,0,0,1,0,1.35,8.03,3.22,4.55,0,0,999,sa3010380
Caleb Boushley,SDP,0,0,4.49,0,0,0,1,1,0,0,1,0,1.34,6.99,2.66,4.58,0,0,999,sa3004226
Luke Westphal,SDP,0,0,4.4,0,0,0,1,1,0,0,1,0,1.4,8.61,3.97,4.58,0,0,999,sa869541
Elliot Ashbeck,SDP,0,0,4.72,0,0,0,1,1,1,0,1,0,1.37,7.79,3.25,4.8,0,0,999,sa875665
Jacob Nix,SDP,0,0,4.84,0,0,0,1,1,1,0,1,0,1.4,7.12,3.02,4.81,0,0,999,17775
Matthew Waldron,SDP,0,0,4.72,0,0,0,1,1,1,0,1,0,1.42,7.03,3.4,4.82,0,0,999,sa3010111
Lake Bachar,SDP,0,0,4.75,0,0,0,1,1,1,0,1,0,1.46,7.78,4.1,4.84,0,0,999,sa917993
Pedro Avila,SDP,0,0,4.74,0,0,0,1,1,1,0,1,0,1.46,7.92,4.22,4.84,0,0,999,18864
Moises Lugo,SDP,0,0,4.73,0,0,0,1,1,1,0,1,0,1.42,8.29,4.07,4.87,0,0,999,sa3002814
Aaron Leasher,SDP,0,0,4.77,0,0,0,1,1,1,0,1,0,1.45,7.22,3.77,4.98,0,0,999,sa3004701
