Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Robbie Ray,SEA,12,11,3.68,32,32,0,191,152,78,29,251,71,1.17,11.8,3.34,3.74,3.6,3.7,49.8,11486
Yusei Kikuchi,SEA,10,9,4.03,28,28,0,152,145,68,20,147,54,1.31,8.71,3.2,4.08,2.2,2.4,352.1,20633
Logan Gilbert,SEA,8,9,4.17,26,26,0,141,130,65,23,146,40,1.21,9.31,2.53,4.23,1.8,1.9,158.9,22250
Chris Flexen,SEA,9,11,4.42,29,29,0,171,176,84,27,142,48,1.31,7.49,2.54,4.52,1.6,1.7,362.4,13896
Marco Gonzales,SEA,9,12,4.6,31,31,0,184,192,94,32,146,51,1.32,7.12,2.48,4.81,1.5,1.4,289.4,15467
Matthew Brash,SEA,5,6,4.11,11,43,0,97,87,44,13,102,43,1.34,9.54,4.02,4.28,0.8,0.9,585.4,sa3010616
Justin Dunn,SEA,4,6,4.87,16,16,0,86,81,47,14,85,40,1.41,8.87,4.19,4.93,0.6,0.4,556.7,19268
Diego Castillo,SEA,3,3,3.59,0,65,4,65,56,26,8,72,24,1.24,9.97,3.35,3.75,0.6,0.7,378.4,17496
Diego Castillo,SEA,3,3,3.59,0,65,4,65,56,26,8,72,24,1.24,9.97,3.35,3.75,0.6,0.7,599.5,17496
Andres Munoz,SEA,2,2,3.29,0,46,1,46,34,17,5,62,22,1.21,12.23,4.22,3.41,0.5,0.7,541.7,20373
Paul Sewald,SEA,3,3,3.74,0,67,6,67,55,28,10,82,24,1.17,10.99,3.21,3.83,0.5,0.6,323.7,13892
Brandon Williamson,SEA,2,2,4.18,6,6,0,37,34,17,6,38,14,1.3,9.29,3.44,4.38,0.4,0.5,600.2,sa3011494
Casey Sadler,SEA,3,3,3.88,0,60,0,60,56,26,7,58,21,1.29,8.71,3.12,4.02,0.4,0.4,600.7,11209
George Kirby,SEA,2,2,4.29,5,5,0,28,28,13,4,24,9,1.32,7.71,2.82,4.37,0.3,0.4,563.7,sa3011526
Ken Giles,SEA,3,3,3.89,0,54,8,54,48,23,7,58,19,1.25,9.73,3.16,3.96,0.3,0.4,267.7,12910
Anthony Misiewicz,SEA,3,3,3.82,0,58,1,58,54,25,8,58,19,1.25,9.06,2.92,4.03,0.3,0.4,999,18152
Erik Swanson,SEA,2,2,4.11,0,40,0,40,36,18,6,42,13,1.24,9.44,2.94,4.24,0.2,0.2,999,16587
Justus Sheffield,SEA,3,3,4.14,3,39,0,54,52,25,7,50,22,1.38,8.33,3.75,4.36,0.2,0.3,599.5,17285
Wyatt Mills,SEA,1,1,3.83,0,22,0,22,20,9,3,23,9,1.3,9.28,3.57,3.99,0.1,0.2,999,20010
Raymond Kerr,SEA,1,1,3.85,0,21,0,21,19,9,2,22,10,1.4,9.32,4.49,4.13,0.1,0.1,999,sa3005362
Drew Steckenrider,SEA,3,3,4.43,0,66,15,66,64,32,11,64,24,1.32,8.68,3.23,4.58,0.1,0,358.7,18806
Nick Margevicius,SEA,1,1,4.39,2,16,0,23,23,11,4,20,8,1.34,7.89,3.07,4.61,0,0.1,999,20395
Yohan Ramirez,SEA,1,1,4.27,0,28,0,28,23,13,4,33,16,1.41,10.59,5.19,4.58,0,0.1,999,19444
William Murfee,SEA,0,0,3.98,0,4,0,4,4,2,1,4,2,1.29,9.22,3.42,4.16,0,0,999,sa3006775
Ryan Weber,SEA,0,0,3.92,0,1,0,1,1,0,0,1,0,1.24,7.47,2.04,4.05,0,0.1,999,10160
Matt Andriese,SEA,0,0,4.18,0,1,0,1,1,0,0,1,0,1.31,8.41,3.02,4.31,0,0,999,12022
Benjamin Onyshko,SEA,0,0,4.09,0,1,0,1,1,0,0,1,0,1.41,8.68,4.33,4.44,0,0.1,999,sa3008096
Emerson Hancock,SEA,0,0,4.66,0,0,0,1,1,1,0,1,0,1.42,7.48,3.55,4.8,0,0,599,sa3014456
Joseph Hernandez,SEA,0,0,4.87,0,0,0,1,1,1,0,1,0,1.44,8.1,3.96,5.02,0,0,999,sa3006385
Holden Laws,SEA,0,0,4.77,0,0,0,1,1,1,0,1,0,1.43,7.53,3.77,5.03,0,0,999,sa3008332
Tyler Driver,SEA,0,0,4.99,0,0,0,1,1,1,0,1,0,1.49,7.25,4.08,5.18,0,0,999,sa3010253
Christian Pedrol,SEA,0,0,5.02,0,0,0,1,1,1,0,1,0,1.46,7.42,3.83,5.19,0,0,999,sa3005351
Levi Stoudt,SEA,0,0,5.05,0,0,0,1,1,1,0,1,0,1.47,7.42,3.96,5.23,0,0,999,sa3014545
Stephen Kolek,SEA,0,0,5.13,0,0,0,1,1,1,0,1,0,1.5,6.78,3.9,5.31,0,0,999,sa3007990
James Joyce,SEA,0,0,5.26,0,0,0,1,1,1,0,1,0,1.55,6.71,4.37,5.41,0,0,999,sa3016914
Taylor Dollard,SEA,0,0,5.28,0,0,0,1,1,1,0,1,0,1.47,6.59,3.54,5.45,0,0,999,sa3014982
Adam Hill,SEA,0,0,5.28,0,0,0,1,1,1,0,1,0,1.51,6.95,4.1,5.49,0,0,999,sa876313
Juan Then,SEA,0,0,5.54,0,0,0,1,1,1,0,1,0,1.58,6.1,4.25,5.72,0,0,999,sa3002793
Connor Phillips,SEA,0,0,5.55,0,0,0,1,1,1,0,1,1,1.62,7.04,5.22,5.78,0,0,999,sa3014433
Raul Alcantara,SEA,0,0,5.5,0,0,0,1,1,1,0,1,1,1.68,5.78,5.22,5.85,0,0,999,sa3005696
Ernesto Zaragoza,SEA,0,0,5.87,0,0,0,1,1,1,0,1,1,1.67,5.59,4.72,5.91,0,0,999,sa549734
James Kingsbury,SEA,0,0,5.76,0,0,0,1,1,1,0,1,1,1.65,6.02,4.93,5.95,0,0,999,sa3016838
Samuel Carlson,SEA,0,0,5.78,0,0,0,1,1,1,0,1,1,1.66,5.58,4.83,5.96,0,0,999,sa3005015
Timothy Elliott,SEA,0,0,5.83,0,0,0,1,1,1,0,1,1,1.65,6.21,4.96,6.01,0,0,999,sa1169632
Adam Macko,SEA,0,0,5.76,0,0,0,1,1,1,0,1,1,1.71,6.66,5.84,6.05,0,0,999,sa3011555
Kelvin Nunez,SEA,0,0,5.9,0,0,0,1,1,1,0,1,1,1.66,5.56,4.76,6.14,0,0,999,sa3002816
Adrian Quintana,SEA,0,0,6.69,0,0,0,1,1,1,0,1,1,1.88,5,6.33,6.72,0,0,999,sa3016465
Jose Aquino,SEA,0,0,6.6,0,0,0,1,1,1,0,1,1,1.99,5.4,7.63,6.81,0,0,999,sa3011364
Josias De Los Santos,SEA,0,0,6.62,0,0,0,1,1,1,0,1,1,1.83,5.05,6.04,6.84,0,0,999,sa3006508
Gabriel Sosa,SEA,0,0,6.86,0,0,0,1,1,1,0,1,1,1.98,4.92,7.2,6.91,0,0,999,sa3011682
Jean Munoz,SEA,0,0,6.99,0,0,0,1,1,1,0,1,1,2,4.79,7.26,7.02,0,0,999,sa3016594
Abdiel Medina,SEA,0,0,6.89,0,0,0,1,1,1,0,1,1,1.94,4.93,6.97,7.1,0,0,999,sa3009206
Yeury Tatiz,SEA,0,0,6.91,0,0,0,1,1,1,0,1,1,1.97,4.87,7.19,7.1,0,0,999,sa3005812
Kristian Cardozo,SEA,0,0,7.15,0,0,0,1,1,1,0,1,1,1.98,4.51,6.93,7.14,0,0,999,sa3014706
