Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Logan Webb,SFG,12,10,3.38,32,32,0,189,176,71,15,189,57,1.24,9.03,2.74,3.25,4.1,3.9,56,17995
Alex Wood,SFG,11,9,3.59,29,29,0,164,153,65,17,167,50,1.24,9.2,2.73,3.6,2.9,3,220.3,13781
Alex Cobb,SFG,10,9,3.67,28,28,0,151,147,62,15,144,48,1.29,8.57,2.85,3.59,2.6,2.6,272.6,6562
Anthony DeSclafani,SFG,10,11,4.17,31,31,0,175,175,81,23,159,51,1.29,8.18,2.6,4.05,2.3,2,196.4,13050
Sammy Long,SFG,6,6,4.2,16,28,0,102,98,48,13,97,40,1.35,8.54,3.51,4.27,0.8,1.1,569.9,25379
Jake McGee,SFG,3,3,3.65,0,66,8,66,59,27,8,71,20,1.2,9.69,2.69,3.65,0.7,0.5,293.6,7550
Camilo Doval,SFG,3,3,3.45,0,67,26,67,54,26,6,84,35,1.33,11.29,4.74,3.52,0.6,0.7,163,21992
Tyler Beede,SFG,4,5,4.67,13,21,0,81,80,42,10,75,40,1.48,8.35,4.41,4.62,0.4,0.4,584.2,16981
Kervin Castro,SFG,3,3,4.13,3,43,0,58,55,27,7,58,25,1.37,8.88,3.92,4.15,0.4,0.3,595.7,21656
Dominic Leone,SFG,3,3,3.83,0,62,0,62,55,26,7,69,26,1.31,10.02,3.82,3.8,0.3,0.3,596.6,13763
Sean Hjelle,SFG,2,2,4.44,6,6,0,37,39,18,4,27,15,1.46,6.5,3.55,4.42,0.3,0.3,597,sa3007989
Gregory Santos,SFG,1,1,3.84,2,20,0,27,25,12,3,28,12,1.35,9.35,3.92,3.85,0.3,0.2,999,21894
Hunter Harvey,SFG,2,2,3.87,0,48,0,48,45,21,5,48,18,1.3,9.03,3.3,3.85,0.3,0.3,999,15507
Tyler Rogers,SFG,3,4,4.08,0,70,5,70,74,32,7,53,21,1.36,6.82,2.71,4.01,0.3,0.1,505.3,15541
Jose Alvarez,SFG,3,3,4,0,52,0,52,52,23,6,42,19,1.37,7.35,3.31,4.13,0.2,0.2,999,5358
John Brebbia,SFG,2,2,4.04,0,44,0,44,40,20,6,48,15,1.25,9.73,3.16,3.98,0.2,0.2,999,12777
Zack Littell,SFG,3,3,3.91,0,56,0,56,51,24,6,58,23,1.32,9.25,3.63,3.94,0.2,0.3,599.2,15823
Jarlin Garcia,SFG,3,3,3.93,0,58,0,58,55,25,7,57,21,1.31,8.84,3.32,4.01,0.2,0.3,596.5,18282
Patrick Ruotolo,SFG,1,1,3.95,0,30,0,30,27,13,4,31,12,1.3,9.38,3.52,3.97,0.1,0.2,999,sa856262
Matt Frisbee,SFG,0,1,4.76,2,2,0,9,10,5,1,7,3,1.36,7.17,2.8,4.74,0,0.1,999,sa3006801
Roderick Dabovich,SFG,0,0,3.77,0,1,0,1,1,0,0,1,0,1.31,10.57,4.08,3.75,0,0.1,999,sa3014431
